min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
4,1.86,2.10,8.50,2.30,2.90,0.50,2.85,1.33,0.50,3.25,1.25,1,1,1,3.05,0,0
5,1.86,2.10,8.50,2.30,2.90,0.50,2.85,1.33,0.50,3.25,1.25,1,1,1,3.05,0,0
6,1.86,2.15,8.50,2.30,2.85,0.50,2.80,1.34,1.50,1.43,2.45,1,1,1,3.00,0,0
7,1.87,2.15,8.00,2.35,2.90,0.50,2.75,1.35,1.50,1.42,2.50,1,1,1,3.00,0,0
8,1.88,2.15,8.00,2.35,2.90,0.50,2.75,1.36,1.50,1.41,2.50,1,1,1,3.00,0,0
9,1.88,2.15,8.00,2.35,2.90,0.50,2.70,1.36,1.50,1.40,2.55,1,1,1,3.00,0,0
10,1.89,2.15,7.50,2.35,2.90,0.50,2.65,1.37,1.50,1.39,2.60,1,1,1,2.95,0,0
11,1.89,2.15,7.50,2.35,2.90,0.50,2.60,1.38,1.50,1.38,2.65,1,1,1,2.95,0,0
12,1.90,2.20,7.00,5.00,1.50,1.50,2.60,1.39,1.50,1.37,2.70,3.50,1.46,2.35,3.55,1,0
13,1.90,2.20,7.00,17.0,1.10,2.50,2.25,1.50,0.50,2.80,1.34,3.50,2.30,1.48,6.00,2,0
14,1.90,2.20,7.00,17.0,1.09,2.50,2.20,1.51,0.50,2.80,1.34,3.50,2.25,1.49,6.00,2,0
15,1.90,2.20,7.00,17.0,1.09,2.50,2.20,1.52,0.50,2.75,1.35,3.50,2.20,1.50,6.00,2,0
16,1.90,2.20,7.00,17.0,1.09,2.50,2.15,1.53,0.50,2.70,1.36,3.50,2.20,1.52,6.00,2,0
17,1.90,2.20,7.00,18.0,1.08,2.50,2.10,1.54,0.50,2.70,1.37,3.50,2.15,1.53,6.00,2,0
18,1.90,2.20,7.00,18.0,1.08,2.50,2.10,1.55,0.50,2.65,1.38,3.50,2.10,1.55,6.00,2,0
19,1.90,2.20,7.00,18.0,1.08,2.50,2.10,1.56,0.50,2.60,1.39,3.50,2.05,1.57,6.00,2,0
