min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.78,1.92,20.0,2.15,2.45,1.50,1.61,2.00,1.50,1.73,1.84,3.50,1.50,2.20,4.05,0,0
2,1.78,1.92,20.0,2.15,2.45,1.50,1.61,2.00,1.50,1.73,1.84,3.50,1.50,2.20,4.05,0,0
3,1.78,1.92,20.0,2.15,2.45,1.50,1.61,2.00,1.50,1.73,1.84,3.50,1.50,2.20,4.05,0,0
4,1.78,1.92,20.0,2.15,2.45,1.50,1.61,2.00,1.50,1.73,1.84,3.50,1.50,2.20,4.05,0,0
5,1.78,1.92,20.0,2.15,2.45,1.50,1.61,2.00,1.50,1.73,1.84,3.50,1.50,2.20,4.05,0,0
6,1.78,1.92,20.0,2.15,2.45,1.50,1.60,2.00,1.50,1.70,1.87,1,1,1,4.05,0,0
7,1.78,1.93,19.0,2.15,2.45,1.50,1.58,2.05,1.50,1.69,1.89,1,1,1,4.00,0,0
8,1.79,1.93,18.0,2.15,2.45,1.50,1.57,2.10,1.50,1.67,1.92,1,1,1,4.00,0,0
9,1.79,1.93,18.0,2.15,2.45,1.50,1.55,2.10,1.50,1.65,1.95,1,1,1,3.95,0,0
10,1.80,1.94,17.0,2.20,2.45,1.50,1.54,2.15,1.50,1.63,1.98,1,1,1,3.90,0,0
11,1.80,1.94,17.0,2.20,2.45,1.50,1.53,2.15,1.50,1.61,2.00,1,1,1,3.90,0,0
12,1.80,1.95,16.0,2.20,2.50,1.50,1.51,2.20,1.50,1.60,2.00,1,1,1,3.90,0,0
13,1.88,1.88,15.0,2.35,2.35,1.50,1.52,2.20,1.50,1.52,2.20,1,1,1,3.80,0,0
14,1.88,1.88,15.0,2.35,2.35,1.50,1.51,2.20,1.50,1.51,2.20,1,1,1,3.80,0,0
15,1.89,1.89,14.0,2.35,2.35,1.50,1.49,2.25,1.50,1.49,2.25,1,1,1,3.75,0,0
16,1.89,1.89,14.0,2.35,2.35,1.50,1.48,2.30,1.50,1.48,2.30,1,1,1,3.70,0,0
17,1.90,1.90,13.0,2.40,2.40,1.50,1.47,2.30,1.50,1.47,2.30,1,1,1,3.70,0,0
18,1.91,1.91,13.0,2.40,2.40,1.50,1.46,2.35,1.50,1.46,2.35,1,1,1,3.70,0,0
19,1.91,1.91,13.0,2.40,2.40,1.50,1.45,2.40,1.50,1.45,2.40,1,1,1,3.65,0,0
20,1.92,1.92,12.0,2.40,2.40,1.50,1.43,2.45,1.50,1.43,2.45,1,1,1,3.60,0,0
21,1.92,1.92,12.0,2.40,2.40,1.50,1.42,2.50,1.50,1.42,2.50,1,1,1,3.60,0,0
22,1.93,1.93,11.5,2.40,2.40,1.50,1.41,2.50,1.50,1.41,2.50,1,1,1,3.55,0,0
23,1.94,1.94,11.0,2.40,2.40,1.50,1.40,2.60,1.50,1.40,2.60,1,1,1,3.55,0,0
24,1.94,1.94,11.0,3.90,1.53,2.50,1.41,2.50,1.50,1.60,2.00,3.50,1.89,1.69,4.40,1,0
25,1.94,1.94,11.0,4.00,1.53,2.50,1.40,2.55,1.50,1.58,2.05,3.50,1.86,1.71,4.40,1,0
26,1.94,1.94,11.0,4.00,1.52,2.50,1.39,2.60,1.50,1.56,2.10,3.50,1.82,1.75,4.40,1,0
27,1.94,1.94,11.0,4.05,1.52,2.50,1.38,2.65,1.50,1.54,2.10,3.50,1.78,1.78,4.40,1,0
28,1.94,1.94,11.0,4.10,1.52,2.50,1.37,2.70,1.50,1.53,2.15,3.50,1.75,1.82,4.40,1,0
29,1.94,1.94,11.0,4.15,1.52,2.50,1.36,2.75,1.50,1.51,2.20,3.50,1.72,1.85,4.35,1,0
30,1.94,1.94,11.0,4.20,1.51,2.50,1.34,2.80,1.50,1.49,2.25,3.50,1.68,1.90,4.35,1,0
31,1.94,1.94,11.0,4.25,1.51,1.50,2.80,1.34,1.50,1.48,2.30,3.50,1.65,1.94,4.30,1,0
32,1.94,1.94,11.0,4.35,1.51,1.50,2.80,1.34,1.50,1.46,2.35,3.50,1.62,1.99,4.30,1,0
33,1.94,1.94,11.0,4.40,1.50,1.50,2.75,1.35,1.50,1.45,2.40,3.50,1.60,2.00,4.30,1,0
34,1.94,1.94,11.0,4.45,1.50,1.50,2.70,1.37,1.50,1.43,2.45,3.50,1.57,2.05,4.30,1,0
35,1.94,1.94,11.0,4.50,1.49,1.50,2.65,1.38,1.50,1.42,2.50,3.50,1.54,2.10,4.25,1,0
36,1.94,1.94,11.0,4.60,1.49,1.50,2.60,1.39,1.50,1.40,2.55,3.50,1.52,2.20,4.25,1,0
37,1.94,1.94,11.0,4.60,1.49,1.50,2.55,1.40,1.50,1.39,2.60,3.50,1.50,2.25,4.20,1,0
38,1.94,1.94,11.0,4.70,1.48,1.50,2.50,1.42,1.50,1.37,2.65,3.50,1.47,2.30,4.20,1,0
39,1.94,1.94,11.0,4.75,1.47,1.50,2.45,1.43,1.50,1.36,2.70,3.50,1.45,2.40,4.20,1,0
40,1.94,1.94,11.0,4.80,1.47,1.50,2.40,1.44,1.50,1.35,2.80,1,1,1,4.15,1,0
41,1.94,1.94,11.0,4.90,1.47,1.50,2.35,1.46,0.50,2.85,1.33,1,1,1,4.15,1,0
42,1.94,1.94,11.0,5.00,1.44,1.50,2.05,1.58,0.50,2.45,1.43,1,1,1,4.05,1,0
43,1.94,1.94,11.0,5.00,1.44,1.50,2.00,1.60,0.50,2.40,1.44,1,1,1,4.05,1,0
44,1.94,1.94,11.0,15.0,1.04,2.50,2.00,1.62,0.50,2.40,1.45,3.50,1.89,1.69,10.0,2,0
45,1.94,1.94,11.0,15.0,1.04,2.50,1.96,1.64,0.50,2.30,1.47,3.50,1.84,1.72,10.5,2,0
46,1.94,1.94,11.0,16.0,1.03,2.50,1.93,1.66,0.50,2.30,1.48,3.50,1.80,1.76,10.5,2,0
47,1.94,1.94,11.0,16.0,1.03,2.50,1.89,1.69,0.50,2.25,1.50,3.50,1.76,1.81,11.0,2,0
48,1.94,1.94,11.0,16.0,1.03,2.50,1.86,1.71,0.50,2.20,1.52,3.50,1.72,1.85,11.0,2,0
49,1.94,1.94,11.0,16.0,1.03,2.50,1.83,1.74,0.50,2.15,1.54,3.50,1.68,1.90,11.0,2,0
50,1.94,1.94,11.0,-,-,3.50,1.80,1.77,0.50,2.10,1.56,4.50,1.65,1.95,-,3,0
51,1.94,1.94,11.0,-,-,3.50,2.15,1.53,0.50,1.87,1.71,4.50,1.71,1.86,-,3,0
52,1.94,1.94,11.0,-,-,1,1,1,0.50,1.93,1.66,4.50,4.65,1.10,-,4,0
53,1.94,1.94,11.0,-,-,1,1,1,0.50,1.89,1.69,4.50,4.45,1.11,-,4,0
54,1.94,1.94,11.0,-,-,1,1,1,0.50,1.86,1.71,4.50,4.30,1.12,-,4,0
55,1.94,1.94,11.0,-,-,1,1,1,0.50,1.82,1.75,4.50,4.15,1.13,-,4,0
56,1.94,1.94,11.0,-,-,1,1,1,0.50,1.79,1.77,4.50,4.00,1.15,-,4,0
57,1.94,1.94,11.0,-,-,1,1,1,0.50,1.76,1.81,4.50,3.85,1.16,-,4,0
58,1.94,1.94,11.0,-,-,1,1,1,0.50,1.72,1.85,4.50,3.70,1.18,-,4,0
59,1.94,1.94,11.0,-,-,1,1,1,0.50,1.69,1.89,4.50,3.60,1.20,-,4,0
60,1.94,1.94,11.0,-,-,1,1,1,0.50,1.66,1.93,4.50,3.50,1.21,-,4,0
61,1.94,1.94,11.0,-,-,1,1,1,0.50,1.63,1.97,4.50,3.35,1.23,-,4,0
62,1.94,1.94,11.0,-,-,1,1,1,0.50,1.61,2.00,4.50,3.25,1.25,-,4,0
63,1.94,1.94,11.0,-,-,1,1,1,0.50,1.58,2.05,4.50,3.10,1.27,-,4,0
64,1.94,1.94,11.0,-,-,1,1,1,0.50,1.55,2.10,4.50,3.00,1.29,-,4,0
65,1.94,1.94,11.0,-,-,1,1,1,0.50,1.53,2.15,4.50,2.90,1.32,-,4,0
66,1.94,1.94,11.0,-,-,1,1,1,0.50,1.50,2.20,5.50,1.33,2.85,-,4,0
67,1.94,1.94,11.0,-,-,1,1,1,0.50,1.48,2.30,5.50,1.30,3.00,-,4,0
68,1.94,1.94,11.0,-,-,1,1,1,0.50,1.46,2.35,5.50,1.27,3.10,-,4,0
69,1.94,1.94,11.0,-,-,1,1,1,0.50,1.44,2.45,5.50,1.25,3.25,-,4,0
