min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,3.10,1.33,20.0,5.50,1.32,2.50,1.54,2.15,0.50,2.45,1.44,3.50,1.58,2.05,5.00,0,0
2,3.10,1.33,20.0,5.50,1.32,2.50,1.54,2.15,0.50,2.45,1.44,3.50,1.58,2.05,5.00,0,0
3,3.10,1.33,20.0,5.50,1.32,2.50,1.54,2.15,0.50,2.45,1.44,3.50,1.58,2.05,5.00,0,0
4,3.10,1.33,20.0,5.50,1.32,2.50,1.54,2.15,0.50,2.45,1.44,3.50,1.58,2.05,5.00,0,0
5,3.10,1.33,20.0,5.50,1.32,2.50,1.54,2.15,0.50,2.45,1.44,3.50,1.58,2.05,5.00,0,0
6,3.10,1.33,20.0,5.50,1.33,2.50,1.52,2.20,0.50,2.40,1.44,3.50,1.56,2.10,5.00,0,0
7,3.10,1.33,20.0,5.50,1.34,2.50,1.51,2.20,0.50,2.40,1.45,3.50,1.55,2.10,5.00,0,0
8,3.10,1.34,19.0,5.50,1.34,2.50,1.49,2.25,0.50,2.35,1.46,3.50,1.52,2.20,4.95,0,0
9,3.15,1.34,19.0,5.50,1.35,2.50,1.48,2.30,0.50,2.30,1.47,3.50,1.51,2.20,4.90,0,0
10,3.15,1.34,18.0,5.50,1.34,2.50,1.46,2.35,0.50,2.30,1.48,3.50,1.49,2.30,4.85,0,0
11,3.15,1.34,18.0,5.50,1.35,2.50,1.45,2.40,0.50,2.25,1.49,1,1,1,4.80,0,0
12,3.15,1.34,17.0,5.50,1.36,2.50,1.43,2.45,0.50,2.25,1.50,1,1,1,4.75,0,0
13,3.15,1.35,17.0,5.50,1.36,1.50,2.45,1.43,0.50,2.20,1.51,1,1,1,4.70,0,0
14,3.15,1.35,16.0,5.50,1.37,1.50,2.40,1.44,0.50,2.20,1.52,1,1,1,4.65,0,0
15,3.15,1.35,16.0,5.50,1.37,1.50,2.40,1.45,0.50,2.15,1.53,1,1,1,4.60,0,0
16,3.15,1.35,15.0,5.50,1.38,1.50,2.35,1.47,0.50,2.15,1.54,1,1,1,4.55,0,0
17,3.20,1.36,15.0,5.50,1.38,1.50,2.30,1.48,0.50,2.10,1.55,1,1,1,4.50,0,0
18,3.20,1.36,15.0,5.50,1.39,1.50,2.25,1.49,0.50,2.10,1.56,1,1,1,4.45,0,0
19,3.20,1.36,14.0,5.50,1.40,1.50,2.20,1.51,0.50,2.05,1.57,1,1,1,4.40,0,0
20,3.20,1.37,14.0,5.50,1.40,1.50,2.15,1.53,0.50,2.05,1.58,1,1,1,4.35,0,0
21,3.20,1.37,13.0,15.0,1.05,2.50,2.10,1.55,0.50,2.00,1.60,3.50,1.87,1.70,9.00,1,0
22,3.20,1.37,13.0,15.0,1.05,2.50,2.10,1.56,0.50,2.00,1.61,3.50,1.84,1.73,9.00,1,0
23,3.20,1.37,13.0,15.0,1.05,2.50,2.05,1.58,0.50,1.99,1.63,3.50,1.80,1.77,9.00,1,0
24,3.20,1.37,13.0,15.0,1.05,2.50,2.00,1.60,0.50,1.96,1.64,3.50,1.76,1.80,8.50,1,0
