min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.97,1.79,16.0,2.55,2.20,1.50,1.69,1.88,1.50,1.57,2.05,1,1,1,3.65,0,0
2,1.97,1.79,16.0,2.55,2.20,1.50,1.69,1.88,1.50,1.57,2.05,1,1,1,3.65,0,0
3,1.97,1.79,16.0,2.55,2.20,1.50,1.69,1.88,1.50,1.57,2.05,1,1,1,3.65,0,0
4,1.97,1.79,16.0,2.55,2.20,1.50,1.69,1.88,1.50,1.57,2.05,1,1,1,3.65,0,0
5,1.97,1.79,16.0,2.55,2.20,1.50,1.69,1.88,1.50,1.57,2.05,1,1,1,3.65,0,0
6,1.97,1.80,15.0,2.55,2.20,1.50,1.67,1.91,1.50,1.55,2.10,1,1,1,3.65,0,0
7,1.98,1.80,15.0,2.60,2.20,1.50,1.66,1.93,1.50,1.54,2.10,1,1,1,3.60,0,0
8,1.98,1.80,15.0,2.60,2.20,1.50,1.64,1.97,1.50,1.53,2.15,1,1,1,3.60,0,0
9,1.98,1.81,14.0,2.60,2.20,1.50,1.62,2.00,1.50,1.51,2.20,1,1,1,3.60,0,0
10,1.99,1.81,14.0,5.00,1.39,2.50,1.60,2.00,1.50,1.50,2.20,3.50,2.00,1.61,4.55,1,0
11,1.99,1.81,14.0,5.00,1.39,2.50,1.59,2.05,1.50,1.49,2.25,3.50,1.98,1.63,4.55,1,0
12,1.99,1.81,14.0,5.00,1.39,2.50,1.57,2.05,1.50,1.48,2.30,3.50,1.94,1.66,4.50,1,0
13,1.99,1.81,14.0,5.50,1.39,2.50,1.56,2.10,1.50,1.47,2.35,3.50,1.90,1.68,4.50,1,0
14,1.99,1.81,14.0,5.50,1.39,2.50,1.54,2.10,1.50,1.45,2.40,3.50,1.87,1.71,4.50,1,0
15,1.99,1.81,14.0,5.50,1.38,2.50,1.53,2.15,1.50,1.44,2.40,3.50,1.83,1.73,4.50,1,0
16,1.99,1.81,14.0,5.50,1.38,2.50,1.51,2.20,1.50,1.43,2.45,3.50,1.80,1.77,4.45,1,0
17,1.99,1.81,14.0,5.50,1.38,2.50,1.50,2.20,1.50,1.42,2.50,3.50,1.77,1.79,4.45,1,0
18,1.99,1.81,14.0,5.50,1.38,2.50,1.49,2.25,1.50,1.41,2.50,3.50,1.74,1.83,4.45,1,0
19,1.99,1.81,14.0,6.00,1.38,2.50,1.48,2.30,1.50,1.40,2.55,3.50,1.71,1.86,4.45,1,0
20,1.99,1.81,14.0,6.00,1.38,2.50,1.46,2.35,1.50,1.39,2.60,3.50,1.68,1.90,4.40,1,0
21,1.99,1.81,14.0,6.00,1.38,2.50,1.45,2.40,1.50,1.38,2.65,3.50,1.66,1.93,4.40,1,0
22,1.99,1.81,14.0,6.00,1.38,2.50,1.44,2.40,1.50,1.37,2.70,3.50,1.63,1.98,4.40,1,0
23,1.99,1.81,14.0,6.00,1.38,2.50,1.42,2.50,1.50,1.36,2.75,3.50,1.61,2.00,4.40,1,0
24,1.99,1.81,14.0,2.70,2.35,2.50,1.41,2.50,2.50,1.34,2.80,4.50,1.58,2.05,3.25,1,1
25,1.99,1.81,14.0,2.70,2.35,2.50,1.40,2.55,2.50,1.34,2.80,4.50,1.56,2.10,3.20,1,1
26,1.99,1.81,14.0,2.90,2.15,2.50,1.44,2.40,1.50,2.65,1.37,4.50,1.55,2.10,3.20,1,1
27,1.99,1.81,14.0,2.95,2.15,2.50,1.43,2.45,1.50,2.60,1.39,4.50,1.53,2.15,3.20,1,1
28,1.99,1.81,14.0,2.95,2.20,2.50,1.42,2.50,1.50,2.60,1.40,4.50,1.51,2.20,3.20,1,1
29,1.99,1.81,14.0,2.95,2.20,2.50,1.40,2.55,1.50,2.50,1.41,4.50,1.49,2.25,3.15,1,1
30,1.99,1.81,14.0,2.95,2.20,2.50,1.39,2.60,1.50,2.50,1.42,4.50,1.47,2.30,3.10,1,1
31,1.99,1.81,14.0,3.00,2.20,2.50,1.38,2.65,1.50,2.45,1.43,4.50,1.45,2.40,3.10,1,1
32,1.99,1.81,14.0,3.00,2.20,2.50,1.37,2.70,1.50,2.40,1.44,4.50,1.43,2.45,3.10,1,1
33,1.99,1.81,14.0,3.00,2.20,2.50,1.35,2.75,1.50,2.40,1.45,3.50,2.45,1.43,3.05,1,1
34,1.99,1.81,14.0,3.00,2.25,2.50,1.34,2.80,1.50,2.35,1.47,3.50,2.40,1.45,3.00,1,1
35,1.99,1.81,14.0,3.00,2.25,1.50,2.80,1.34,1.50,2.30,1.48,3.50,2.35,1.46,3.00,1,1
36,1.99,1.81,14.0,3.05,2.25,1.50,2.75,1.35,1.50,2.25,1.49,3.50,2.30,1.48,3.00,1,1
37,1.99,1.81,14.0,3.05,2.25,1.50,2.70,1.36,1.50,2.20,1.51,3.50,2.20,1.50,2.95,1,1
38,1.99,1.81,14.0,3.05,2.30,1.50,2.70,1.37,1.50,2.20,1.52,3.50,2.20,1.52,2.90,1,1
39,1.99,1.81,14.0,3.05,2.30,1.50,2.60,1.39,1.50,2.15,1.54,3.50,2.10,1.55,2.90,1,1
40,1.99,1.81,14.0,3.05,2.30,1.50,2.55,1.40,1.50,2.10,1.55,3.50,2.05,1.57,2.85,1,1
41,1.99,1.81,14.0,3.10,2.30,1.50,2.50,1.41,1.50,2.05,1.57,3.50,2.00,1.60,2.80,1,1
42,1.99,1.81,14.0,3.10,2.35,1.50,2.45,1.43,1.50,2.05,1.58,3.50,1.98,1.63,2.80,1,1
43,1,1,1,3.10,2.35,1.50,2.40,1.44,1.50,2.00,1.60,3.50,1.94,1.66,2.75,1,1
44,1.99,1.81,14.0,3.10,2.35,1.50,2.40,1.45,1.50,2.00,1.62,3.50,1.89,1.69,2.70,1,1
45,1.99,1.81,14.0,2.85,2.60,1.50,2.20,1.52,1.50,2.05,1.57,3.50,1.85,1.72,2.70,1,1
46,1.99,1.81,14.0,2.90,2.65,1.50,2.15,1.53,1.50,2.00,1.59,3.50,1.81,1.76,2.65,1,1
47,1.99,1.81,14.0,2.90,2.65,1.50,2.10,1.55,1.50,2.00,1.61,3.50,1.76,1.80,2.60,1,1
48,1.99,1.81,14.0,2.90,2.70,1.50,2.05,1.57,1.50,1.97,1.63,3.50,1.72,1.85,2.60,1,1
49,1.99,1.81,14.0,3.20,2.45,1.50,2.15,1.54,1.50,1.83,1.74,3.50,1.68,1.90,2.55,1,1
50,1.99,1.81,14.0,3.20,2.50,1.50,2.10,1.56,1.50,1.80,1.77,3.50,1.65,1.95,2.50,1,1
51,1.99,1.81,14.0,3.20,2.50,1.50,2.05,1.57,1.50,1.77,1.80,3.50,1.62,2.00,2.50,1,1
52,1.99,1.81,14.0,3.25,2.50,1.50,2.00,1.60,1.50,1.74,1.83,3.50,1.58,2.05,2.45,1,1
53,1.99,1.81,14.0,3.25,2.55,1.50,2.00,1.62,1.50,1.71,1.86,3.50,1.55,2.10,2.40,1,1
54,1.99,1.81,14.0,3.30,2.60,1.50,1.96,1.64,1.50,1.68,1.90,3.50,1.53,2.15,2.40,1,1
55,1.99,1.81,14.0,3.30,2.60,1.50,1.91,1.67,1.50,1.66,1.93,3.50,1.50,2.25,2.35,1,1
56,1.99,1.81,14.0,3.35,2.60,1.50,1.88,1.70,1.50,1.63,1.97,3.50,1.47,2.30,2.30,1,1
57,1.99,1.81,14.0,3.35,2.65,1.50,1.84,1.73,1.50,1.61,2.00,3.50,1.45,2.40,2.30,1,1
58,1.99,1.81,14.0,3.40,2.70,1.50,1.80,1.76,1.50,1.59,2.05,3.50,1.43,2.45,2.25,1,1
59,1.99,1.81,14.0,3.40,2.70,1.50,1.76,1.80,1.50,1.56,2.10,3.50,1.40,2.55,2.20,1,1
60,1.99,1.81,14.0,3.45,2.75,1.50,1.73,1.84,1.50,1.54,2.10,3.50,1.38,2.65,2.15,1,1
