min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.00,1.92,9.50,2.60,2.40,1.50,1.40,2.55,1.50,1.37,2.70,1,1,1,3.25,0,0
2,2.00,1.92,9.50,2.60,2.40,1.50,1.40,2.55,1.50,1.37,2.70,1,1,1,3.25,0,0
3,2.00,1.92,9.50,2.60,2.40,1.50,1.40,2.55,1.50,1.37,2.70,1,1,1,3.25,0,0
4,2.00,1.92,9.50,2.60,2.40,1.50,1.40,2.55,1.50,1.37,2.70,1,1,1,3.25,0,0
5,2.00,1.91,10.0,2.55,2.40,1.50,1.40,2.55,1.50,1.37,2.70,1,1,1,3.35,0,0
6,2.00,1.92,10.0,2.55,2.40,1.50,1.40,2.60,1.50,1.36,2.70,1,1,1,3.35,0,0
7,2.00,2.00,7.50,2.55,2.55,0.50,2.65,1.37,0.50,2.65,1.37,1,1,1,3.15,0,0
8,2.00,2.00,7.50,2.55,2.55,0.50,2.60,1.38,0.50,2.60,1.38,1.50,2.50,1.42,3.10,0,0
9,2.00,2.00,7.00,2.55,2.55,0.50,2.60,1.39,0.50,2.60,1.39,1.50,2.40,1.44,3.10,0,0
10,2.00,2.00,7.00,2.55,2.55,0.50,2.55,1.40,0.50,2.55,1.40,1.50,2.40,1.45,3.10,0,0
11,2.05,2.05,7.00,2.60,2.60,0.50,2.50,1.41,0.50,2.50,1.41,1.50,2.35,1.46,3.05,0,0
12,2.05,2.05,6.50,2.60,2.60,0.50,2.50,1.42,0.50,2.50,1.42,1.50,2.30,1.48,3.00,0,0
13,2.05,2.05,6.50,2.60,2.60,0.50,2.45,1.43,0.50,2.45,1.43,1.50,2.25,1.49,3.00,0,0
14,1.96,2.15,6.50,2.40,2.75,0.50,2.30,1.47,0.50,2.60,1.40,1.50,2.25,1.49,3.10,0,0
15,1.97,2.20,6.50,2.40,2.75,0.50,2.30,1.48,0.50,2.55,1.40,1.50,2.20,1.51,3.10,0,0
16,1.93,2.20,6.50,2.30,2.80,0.50,2.25,1.49,0.50,2.60,1.39,1.50,2.25,1.50,3.10,0,0
17,1.94,2.20,6.50,2.35,2.85,0.50,2.25,1.50,0.50,2.55,1.40,1.50,2.20,1.51,3.05,0,0
18,1.95,2.25,6.00,2.35,2.85,0.50,2.20,1.51,0.50,2.50,1.41,1.50,2.15,1.53,3.05,0,0
19,1.96,2.25,6.00,2.35,2.85,0.50,2.20,1.52,0.50,2.50,1.42,1.50,2.10,1.55,3.00,0,0
