min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.80,2.25,8.00,2.20,3.10,0.50,2.60,1.39,1.50,1.45,2.40,1,1,1,2.95,0,0
2,1.80,2.25,8.00,2.20,3.10,0.50,2.60,1.39,1.50,1.45,2.40,1,1,1,2.95,0,0
3,1.80,2.25,8.00,2.20,3.10,0.50,2.60,1.39,1.50,1.45,2.40,1,1,1,2.95,0,0
4,1.80,2.25,8.00,2.20,3.10,0.50,2.60,1.39,1.50,1.45,2.40,1,1,1,2.95,0,0
5,1.80,2.25,8.00,2.20,3.10,0.50,2.60,1.39,1.50,1.45,2.40,1,1,1,2.95,0,0
6,1.81,2.30,7.50,2.20,3.15,0.50,2.55,1.40,1.50,1.44,2.45,1,1,1,2.95,0,0
7,1.81,2.30,7.50,2.20,3.15,0.50,2.50,1.41,1.50,1.43,2.45,1,1,1,2.95,0,0
8,1.82,2.30,7.00,2.20,3.15,0.50,2.50,1.42,1.50,1.41,2.50,1,1,1,2.90,0,0
9,1.82,2.30,7.00,2.20,3.15,0.50,2.45,1.43,1.50,1.40,2.55,1,1,1,2.90,0,0
10,2.10,2.00,7.00,2.75,2.60,0.50,2.80,1.34,0.50,2.70,1.37,1,1,1,2.85,0,0
11,2.10,2.00,7.00,2.75,2.60,0.50,2.80,1.34,0.50,2.65,1.37,1,1,1,2.85,0,0
12,2.10,2.00,6.50,2.80,2.60,0.50,2.75,1.35,0.50,2.60,1.38,1,1,1,2.80,0,0
13,2.10,2.00,6.50,2.80,2.60,0.50,2.70,1.36,0.50,2.60,1.39,1.50,2.40,1.45,2.80,0,0
14,2.10,2.00,6.00,2.80,2.60,0.50,2.70,1.37,0.50,2.55,1.40,1.50,2.30,1.47,2.80,0,0
15,2.10,2.00,6.00,2.80,2.60,0.50,2.65,1.38,0.50,2.50,1.41,1.50,2.30,1.48,2.75,0,0
16,2.10,2.05,6.00,2.80,2.60,0.50,2.60,1.39,0.50,2.50,1.42,1.50,2.25,1.50,2.75,0,0
17,2.30,2.00,5.50,3.05,2.50,0.50,2.55,1.40,0.50,2.25,1.50,1.50,2.05,1.57,2.65,0,0
18,2.35,2.00,5.00,3.10,2.50,0.50,2.40,1.44,0.50,2.10,1.55,1.50,1.93,1.66,2.60,0,0
19,2.35,2.00,4.90,3.10,2.50,0.50,2.40,1.45,0.50,2.10,1.56,1.50,1.90,1.68,2.55,0,0
20,2.40,2.05,4.80,3.10,2.55,0.50,2.35,1.46,0.50,2.05,1.58,1.50,1.87,1.71,2.55,0,0
21,2.40,2.05,4.70,3.10,2.55,0.50,2.30,1.47,0.50,2.05,1.59,1.50,1.84,1.73,2.50,0,0
22,2.40,2.05,4.60,3.10,2.60,0.50,2.30,1.48,0.50,2.00,1.60,1.50,1.81,1.76,2.50,0,0
23,2.40,2.05,4.50,3.15,2.60,0.50,2.25,1.49,0.50,2.00,1.61,1.50,1.78,1.78,2.50,0,0
24,2.30,2.20,4.40,2.95,2.75,0.50,2.15,1.54,0.50,2.05,1.58,1.50,1.75,1.81,2.45,0,0
25,2.30,2.20,4.30,2.95,2.80,0.50,2.10,1.55,0.50,2.00,1.60,1.50,1.73,1.84,2.45,0,0
26,2.30,2.20,4.20,3.00,2.80,0.50,2.10,1.57,0.50,2.00,1.61,1.50,1.70,1.87,2.40,0,0
27,2.35,2.20,4.10,3.00,2.80,0.50,2.05,1.58,0.50,1.99,1.62,1.50,1.68,1.91,2.40,0,0
28,2.35,2.25,4.05,3.00,2.80,0.50,2.00,1.59,0.50,1.96,1.64,1.50,1.65,1.94,2.40,0,0
29,2.40,2.25,3.95,3.00,2.80,0.50,2.00,1.61,0.50,1.94,1.66,1.50,1.63,1.98,2.35,0,0
30,2.40,2.30,3.90,3.00,2.85,0.50,2.00,1.62,0.50,1.91,1.67,1.50,1.61,2.00,2.35,0,0
31,2.40,2.30,3.80,3.05,2.85,0.50,1.97,1.64,0.50,1.89,1.69,1.50,1.59,2.00,2.30,0,0
32,2.40,2.30,3.70,3.05,2.85,0.50,1.94,1.66,0.50,1.86,1.71,1.50,1.57,2.10,2.30,0,0
33,2.45,2.30,3.65,3.10,2.90,0.50,1.91,1.67,0.50,1.84,1.73,1.50,1.55,2.10,2.25,0,0
34,2.60,2.15,3.70,3.35,2.65,0.50,2.00,1.60,0.50,1.75,1.81,1.50,1.55,2.10,2.30,0,0
35,2.65,2.20,3.60,3.40,2.65,0.50,2.00,1.61,0.50,1.73,1.84,1.50,1.54,2.15,2.25,0,0
36,2.65,2.20,3.50,3.40,2.65,0.50,1.98,1.63,0.50,1.71,1.86,1.50,1.51,2.20,2.25,0,0
37,2.70,2.20,3.45,3.40,2.70,0.50,1.95,1.65,0.50,1.69,1.89,1.50,1.50,2.25,2.20,0,0
38,2.70,2.25,3.40,3.45,2.70,0.50,1.91,1.67,0.50,1.67,1.91,1.50,1.48,2.30,2.20,0,0
39,2.70,2.25,3.30,3.45,2.75,0.50,1.89,1.69,0.50,1.66,1.94,1.50,1.46,2.35,2.20,0,0
40,2.75,2.30,3.25,3.50,2.75,0.50,1.86,1.71,0.50,1.64,1.97,1.50,1.44,2.40,2.15,0,0
41,2.75,2.30,3.20,3.50,2.75,0.50,1.83,1.73,0.50,1.62,1.99,1.50,1.43,2.45,2.10,0,0
42,2.80,2.30,3.10,3.50,2.80,0.50,1.81,1.76,0.50,1.60,2.00,1.50,1.41,2.50,2.10,0,0
43,2.80,2.35,3.05,3.55,2.80,0.50,1.79,1.78,0.50,1.59,2.05,1.50,1.39,2.60,2.10,0,0
44,2.85,2.35,3.00,3.55,2.80,0.50,1.76,1.81,0.50,1.57,2.05,1.50,1.38,2.65,2.05,0,0
45,3.25,2.80,2.25,3.95,3.25,0.50,1.50,2.25,0.50,1.40,2.60,0.50,2.25,1.50,1.76,0,0
46,3.30,2.80,2.20,4.00,3.30,0.50,1.48,2.30,0.50,1.39,2.60,0.50,2.20,1.51,1.74,0,0
47,3.30,2.85,2.15,4.05,3.30,0.50,1.47,2.30,0.50,1.38,2.65,0.50,2.15,1.53,1.72,0,0
48,3.35,2.90,2.10,4.05,3.35,0.50,1.46,2.35,0.50,1.37,2.70,0.50,2.10,1.55,1.70,0,0
49,3.40,2.90,2.05,4.10,3.40,0.50,1.44,2.40,0.50,1.36,2.75,0.50,2.05,1.57,1.68,0,0
50,3.45,2.95,2.00,4.15,3.40,0.50,1.43,2.45,0.50,1.34,2.80,0.50,2.00,1.59,1.67,0,0
51,3.50,3.00,2.00,4.25,3.45,0.50,1.42,2.50,0.50,1.33,2.85,0.50,2.00,1.61,1.65,0,0
52,3.50,3.05,1.97,4.30,3.50,0.50,1.40,2.55,0.50,1.32,2.90,0.50,1.97,1.64,1.63,0,0
53,3.60,3.10,1.93,4.35,3.55,0.50,1.39,2.60,0.50,1.31,2.95,0.50,1.93,1.66,1.61,0,0
54,3.80,2.40,2.30,5.00,2.75,0.50,1.61,2.00,0.50,1.31,2.95,0.50,2.30,1.49,1.79,0,0
55,3.85,2.45,2.20,5.00,2.80,0.50,1.59,2.00,0.50,1.30,3.00,0.50,2.20,1.51,1.77,0,0
56,3.90,2.50,2.15,5.00,2.80,0.50,1.57,2.05,0.50,1.29,3.05,0.50,2.15,1.53,1.74,0,0
57,3.75,2.65,2.10,4.80,3.00,0.50,1.52,2.20,0.50,1.30,3.00,0.50,2.10,1.55,1.71,0,0
