min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.25,3.40,19.0,1.23,7.00,0.50,2.15,1.48,2.50,1.60,1.93,3.50,1.56,2.00,5.00,0,0
2,1.25,3.40,19.0,1.23,7.00,0.50,2.15,1.48,2.50,1.60,1.93,3.50,1.56,2.00,5.00,0,0
3,1.25,3.40,19.0,1.23,7.00,0.50,2.15,1.48,2.50,1.60,1.93,3.50,1.56,2.00,5.00,0,0
4,1.25,3.40,19.0,1.23,7.00,0.50,2.15,1.48,2.50,1.60,1.93,3.50,1.56,2.00,5.00,0,0
5,1.25,3.40,19.0,1.23,7.00,0.50,2.15,1.48,2.50,1.60,1.93,3.50,1.56,2.00,5.00,0,0
6,1.44,2.45,20.0,1.51,3.90,1.50,1.40,2.40,2.50,1.40,2.40,3.50,1.60,1.93,4.20,0,0
7,1.47,2.40,18.0,1.57,3.70,1.50,1.39,2.45,1.50,2.25,1.44,3.50,1.52,2.05,4.00,0,0
8,1.47,2.40,18.0,1.57,3.70,1.50,1.38,2.45,1.50,2.20,1.46,3.50,1.50,2.10,4.00,0,0
9,1.48,2.40,17.0,1.59,3.70,1.50,1.37,2.50,1.50,2.20,1.47,3.50,1.48,2.15,3.95,0,0
10,1.48,2.40,17.0,1.59,3.65,1.50,1.36,2.55,1.50,2.15,1.49,3.50,1.46,2.20,3.90,0,0
11,1.48,2.40,16.0,1.59,3.65,1.50,1.35,2.60,1.50,2.10,1.50,3.50,1.44,2.25,3.90,0,0
12,1.48,2.40,16.0,1.60,3.65,1.50,1.34,2.60,1.50,2.05,1.52,1,1,1,3.85,0,0
13,1.48,2.40,16.0,1.60,3.65,1.50,1.33,2.65,1.50,2.05,1.53,1,1,1,3.85,0,0
14,1.49,2.40,15.0,1.61,3.70,1.50,1.32,2.70,1.50,2.00,1.55,1,1,1,3.80,0,0
15,1.49,2.40,15.0,1.36,5.50,1.50,1.37,2.50,2.50,1.43,2.30,3.50,1.66,1.84,4.30,0,1
16,1.49,2.40,15.0,1.36,5.50,1.50,1.36,2.55,2.50,1.42,2.30,3.50,1.63,1.87,4.30,0,1
17,1.49,2.40,15.0,1.22,8.50,0.50,2.30,1.43,2.50,1.41,2.35,3.50,1.44,2.25,4.80,0,1
18,1.49,2.40,15.0,1.22,8.50,0.50,2.25,1.44,2.50,1.40,2.40,3.50,1.43,2.30,4.80,0,1
19,1.49,2.40,15.0,1.22,8.50,0.50,2.20,1.45,2.50,1.39,2.45,3.50,1.41,2.35,4.80,0,1
20,1.49,2.40,15.0,1.22,9.00,0.50,2.20,1.46,2.50,1.37,2.50,3.50,1.40,2.40,4.75,0,1
21,1.49,2.40,15.0,1.29,7.00,0.50,2.50,1.38,2.50,1.36,2.50,3.50,1.45,2.20,4.45,0,1
22,1.49,2.40,15.0,1.29,7.00,0.50,2.45,1.39,2.50,1.35,2.55,3.50,1.43,2.30,4.40,0,1
23,1.49,2.40,15.0,1.28,7.00,0.50,2.40,1.40,2.50,1.34,2.60,3.50,1.42,2.35,4.40,0,1
24,1.49,2.40,15.0,1.28,7.50,0.50,2.35,1.41,2.50,1.33,2.65,3.50,1.40,2.40,4.40,0,1
25,1.49,2.40,15.0,1.01,20.0,0.50,2.30,1.42,3.50,1.32,2.70,3.50,2.40,1.40,10.0,0,2
26,1.49,2.40,15.0,1.01,22.0,0.50,2.30,1.43,3.50,1.41,2.35,4.50,1.45,2.25,11.0,0,2
27,1.49,2.40,15.0,1.01,23.0,0.50,2.25,1.44,3.50,1.40,2.40,4.50,1.43,2.30,11.0,0,2
28,1.49,2.40,15.0,1.01,24.0,0.50,2.20,1.45,3.50,1.39,2.45,4.50,1.41,2.35,11.5,0,2
29,1.49,2.40,15.0,1.01,24.0,0.50,2.20,1.46,3.50,1.37,2.50,4.50,1.40,2.40,11.5,0,2
30,1.49,2.40,15.0,1.01,24.0,0.50,2.15,1.47,3.50,1.36,2.55,3.50,2.40,1.40,11.5,0,2
31,1.49,2.40,15.0,1.01,24.0,0.50,2.15,1.49,3.50,1.35,2.60,3.50,2.30,1.42,11.5,0,2
32,1.49,2.40,15.0,1.01,25.0,0.50,2.10,1.50,3.50,1.34,2.60,3.50,2.30,1.44,11.5,0,2
