min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.56,2.30,20.0,1.71,3.30,1.50,1.52,2.20,1.50,2.25,1.49,3.50,1.62,2.00,4.05,0,0
2,1.56,2.30,20.0,1.71,3.30,1.50,1.52,2.20,1.50,2.25,1.49,3.50,1.62,2.00,4.05,0,0
3,1.56,2.30,20.0,1.71,3.30,1.50,1.52,2.20,1.50,2.25,1.49,3.50,1.62,2.00,4.05,0,0
4,1.56,2.30,20.0,1.71,3.30,1.50,1.52,2.20,1.50,2.25,1.49,3.50,1.62,2.00,4.05,0,0
5,1.56,2.30,20.0,1.71,3.30,1.50,1.52,2.20,1.50,2.25,1.49,3.50,1.62,2.00,4.05,0,0
6,1.56,2.30,20.0,1.72,3.30,1.50,1.51,2.20,1.50,2.20,1.50,3.50,1.60,2.00,4.00,0,0
7,1.56,2.30,19.0,1.72,3.30,1.50,1.50,2.25,1.50,2.20,1.52,3.50,1.57,2.05,4.00,0,0
8,1.57,2.30,19.0,1.73,3.30,1.50,1.48,2.30,1.50,2.15,1.53,3.50,1.55,2.10,4.00,0,0
9,1.57,2.30,18.0,1.74,3.35,1.50,1.47,2.30,1.50,2.10,1.55,3.50,1.53,2.15,3.95,0,0
10,1.57,2.30,18.0,1.74,3.35,1.50,1.46,2.35,1.50,2.10,1.56,3.50,1.51,2.20,3.90,0,0
11,1.57,2.30,17.0,1.75,3.35,1.50,1.45,2.40,1.50,2.05,1.58,3.50,1.49,2.25,3.90,0,0
12,1.58,2.30,17.0,1.75,3.35,1.50,1.44,2.40,1.50,2.00,1.60,3.50,1.48,2.30,3.90,0,0
13,1.58,2.30,16.0,1.76,3.35,1.50,1.43,2.45,1.50,2.00,1.61,1,1,1,3.85,0,0
14,1.58,2.30,16.0,1.76,3.35,1.50,1.42,2.50,1.50,1.98,1.63,1,1,1,3.80,0,0
15,1.58,2.30,16.0,1.77,3.35,1.50,1.41,2.55,1.50,1.95,1.65,1,1,1,3.80,0,0
16,1.59,2.30,15.0,1.23,8.00,1.50,1.40,2.60,2.50,1.91,1.67,3.50,2.15,1.53,5.00,0,1
17,1.59,2.30,15.0,1.23,8.00,1.50,1.39,2.60,2.50,1.88,1.69,3.50,2.10,1.56,5.00,0,1
18,1.59,2.30,15.0,1.23,8.00,1.50,1.37,2.65,2.50,1.85,1.72,3.50,2.05,1.58,5.00,0,1
19,1.59,2.30,15.0,1.23,8.00,1.50,1.37,2.70,2.50,1.82,1.74,3.50,2.00,1.60,5.00,0,1
20,1.59,2.30,15.0,1.23,8.00,1.50,1.36,2.75,2.50,1.80,1.77,3.50,1.99,1.63,5.00,0,1
21,1.59,2.30,15.0,1.23,8.00,1.50,1.35,2.80,2.50,1.77,1.80,3.50,1.94,1.65,5.00,0,1
22,1.59,2.30,15.0,1.24,8.00,1.50,1.34,2.80,2.50,1.75,1.82,3.50,1.90,1.68,5.00,0,1
23,1.59,2.30,15.0,1.03,21.0,0.50,2.80,1.34,3.50,1.72,1.85,4.50,1.87,1.71,11.5,0,2
24,1.59,2.30,15.0,1.03,21.0,0.50,2.75,1.35,3.50,1.69,1.88,4.50,1.83,1.74,11.5,0,2
25,1.59,2.30,15.0,1.03,21.0,0.50,2.70,1.36,3.50,1.67,1.91,4.50,1.80,1.77,11.5,0,2
26,1.59,2.30,15.0,1.03,21.0,0.50,2.70,1.37,3.50,1.65,1.95,4.50,1.76,1.81,11.5,0,2
27,1.59,2.30,15.0,1.02,22.0,0.50,2.65,1.38,3.50,1.63,1.99,4.50,1.72,1.85,11.5,0,2
28,1.59,2.30,15.0,1.02,22.0,0.50,2.60,1.39,3.50,1.61,2.00,4.50,1.69,1.89,11.5,0,2
29,1.59,2.30,15.0,1.02,22.0,0.50,2.55,1.40,3.50,1.59,2.05,4.50,1.66,1.94,11.5,0,2
30,1.59,2.30,15.0,1.02,23.0,0.50,2.50,1.41,3.50,1.57,2.10,4.50,1.62,1.99,12.0,0,2
31,1.59,2.30,15.0,1.02,23.0,0.50,2.45,1.43,3.50,1.55,2.10,4.50,1.60,2.00,12.0,0,2
32,1.59,2.30,15.0,1.02,23.0,0.50,2.40,1.44,3.50,1.53,2.15,4.50,1.57,2.05,12.0,0,2
33,1.59,2.30,15.0,1.02,23.0,0.50,2.40,1.45,3.50,1.51,2.20,4.50,1.55,2.10,12.0,0,2
34,1.59,2.30,15.0,1.02,24.0,0.50,2.35,1.46,3.50,1.49,2.25,4.50,1.52,2.20,12.0,0,2
35,1.59,2.30,15.0,1.02,25.0,0.50,2.30,1.47,3.50,1.48,2.30,4.50,1.50,2.25,12.0,0,2
36,1.59,2.30,15.0,1.02,25.0,0.50,2.25,1.49,3.50,1.46,2.35,4.50,1.48,2.30,12.0,0,2
37,1.59,2.30,15.0,1.02,26.0,0.50,2.25,1.50,3.50,1.44,2.40,4.50,1.46,2.35,12.0,0,2
38,1.59,2.30,15.0,1.02,26.0,0.50,2.20,1.52,3.50,1.43,2.45,4.50,1.43,2.45,12.0,0,2
39,1.59,2.30,15.0,1.02,26.0,0.50,2.15,1.53,3.50,1.41,2.50,3.50,2.45,1.43,12.0,0,2
40,1.59,2.30,15.0,1.02,27.0,0.50,2.10,1.55,3.50,1.40,2.55,3.50,2.40,1.45,12.0,0,2
41,1.59,2.30,15.0,1.02,28.0,0.50,2.10,1.56,3.50,1.38,2.60,3.50,2.30,1.47,12.0,0,2
42,1.59,2.30,15.0,1.02,28.0,0.50,2.05,1.58,3.50,1.37,2.70,3.50,2.25,1.49,13.0,0,2
43,1.59,2.30,15.0,1.02,28.0,0.50,2.00,1.60,3.50,1.36,2.75,3.50,2.20,1.51,13.0,0,2
44,1.59,2.30,15.0,1.02,29.0,0.50,2.00,1.61,3.50,1.34,2.80,3.50,2.15,1.53,13.0,0,2
45,1.59,2.30,15.0,1.02,29.0,0.50,1.98,1.63,2.50,2.80,1.34,3.50,2.10,1.56,13.0,0,2
46,1.59,2.30,15.0,1.02,30.0,0.50,1.94,1.66,2.50,2.75,1.35,3.50,2.05,1.58,13.0,0,2
47,1.59,2.30,15.0,1.02,30.0,0.50,1.91,1.68,2.50,2.70,1.37,3.50,2.00,1.61,13.0,0,2
48,1.59,2.30,15.0,1.02,32.0,0.50,1.87,1.70,2.50,2.60,1.38,3.50,1.95,1.65,13.0,0,2
49,1.59,2.30,15.0,1.02,32.0,0.50,1.84,1.73,2.50,2.60,1.40,3.50,1.89,1.69,14.0,0,2
50,1.59,2.30,15.0,1.02,33.0,0.50,1.81,1.76,2.50,2.50,1.41,3.50,1.84,1.73,14.0,0,2
51,1.59,2.30,15.0,1.02,34.0,0.50,1.78,1.79,2.50,2.45,1.43,3.50,1.79,1.77,14.0,0,2
52,1.59,2.30,15.0,1.02,34.0,0.50,1.75,1.82,2.50,2.40,1.45,3.50,1.75,1.82,14.0,0,2
53,1.59,2.30,15.0,1.02,36.0,0.50,1.72,1.85,2.50,2.35,1.47,3.50,1.70,1.87,14.0,0,2
54,1.59,2.30,15.0,1.02,38.0,0.50,1.69,1.88,2.50,2.30,1.48,3.50,1.67,1.92,14.0,0,2
55,1.59,2.30,15.0,1.02,39.0,0.50,1.67,1.92,2.50,2.20,1.50,3.50,1.63,1.98,15.0,0,2
56,1.59,2.30,15.0,1.02,41.0,0.50,1.64,1.96,2.50,2.20,1.52,3.50,1.60,2.00,15.0,0,2
57,1.59,2.30,15.0,1.02,42.0,0.50,1.62,2.00,2.50,2.10,1.55,3.50,1.56,2.10,15.0,0,2
58,1.59,2.30,15.0,1.02,42.0,0.50,1.60,2.00,2.50,2.05,1.57,3.50,1.53,2.15,15.0,0,2
59,1.59,2.30,15.0,1.02,43.0,0.50,1.57,2.05,2.50,2.00,1.59,3.50,1.50,2.20,15.0,0,2
60,1.59,2.30,15.0,1.02,44.0,0.50,1.55,2.10,2.50,2.00,1.62,3.50,1.47,2.30,16.0,0,2
61,1.59,2.30,15.0,1.02,48.0,0.50,1.53,2.15,2.50,1.94,1.65,3.50,1.45,2.40,16.0,0,2
62,1.59,2.30,15.0,1.02,49.0,0.50,1.51,2.20,2.50,1.90,1.68,3.50,1.42,2.50,16.0,0,2
63,1.59,2.30,15.0,1.02,52.0,0.50,1.49,2.25,2.50,1.85,1.72,3.50,1.39,2.60,17.0,0,2
64,1.59,2.30,15.0,1.02,54.0,0.50,1.47,2.35,2.50,1.81,1.76,3.50,1.37,2.70,17.0,0,2
65,1.59,2.30,15.0,-,-,0.50,1.44,2.40,2.50,1.76,1.81,3.50,1.34,2.80,-,0,2
66,1.59,2.30,15.0,-,-,0.50,1.43,2.45,2.50,1.72,1.85,1,1,1,-,0,2
67,1.59,2.30,15.0,-,-,0.50,1.41,2.55,2.50,1.68,1.91,1,1,1,-,0,2
68,1.59,2.30,15.0,-,-,0.50,1.39,2.60,2.50,1.64,1.96,1,1,1,-,0,2
69,1.59,2.30,15.0,-,-,0.50,1.37,2.70,2.50,1.61,2.00,1,1,1,-,0,2
70,1.59,2.30,15.0,-,-,0.50,1.35,2.75,2.50,1.57,2.05,1,1,1,-,0,2
71,1.59,2.30,15.0,-,-,0.50,1.33,2.85,2.50,1.54,2.10,1,1,1,-,0,2
72,1,1,1,-,-,0.50,1.31,2.95,2.50,1.51,2.20,1,1,1,-,0,2
73,1.59,2.30,15.0,-,-,0.50,1.29,3.05,2.50,1.48,2.30,1,1,1,-,0,2
74,1.59,2.30,15.0,-,-,0.50,1.27,3.15,2.50,1.45,2.40,1,1,1,-,0,2
75,1.59,2.30,15.0,-,-,0.50,1.25,3.25,2.50,1.43,2.45,1,1,1,-,0,2
76,1.59,2.30,15.0,-,-,0.50,1.22,3.40,2.50,1.40,2.60,1,1,1,-,0,2
77,1.59,2.30,15.0,-,-,0.50,1.20,3.55,2.50,1.37,2.70,1,1,1,-,0,2
78,1.59,2.30,15.0,-,-,0.50,1.18,3.70,2.50,1.34,2.80,1,1,1,-,0,2
79,1.59,2.30,15.0,-,-,0.50,1.16,3.90,2.50,1.31,2.90,1,1,1,-,0,2
80,1.59,2.30,15.0,-,-,0.50,1.14,4.10,2.50,1.28,3.10,1,1,1,-,0,2
81,1.59,2.30,15.0,-,-,0.50,1.12,4.35,2.50,1.25,3.25,1,1,1,-,0,2
82,1.59,2.30,15.0,-,-,0.50,1.10,4.60,2.50,1.22,3.40,1,1,1,-,0,2
83,1.59,2.30,15.0,-,-,0.50,1.08,4.95,2.50,1.19,3.60,1,1,1,-,0,2
84,1.59,2.30,15.0,-,-,0.50,1.07,5.00,2.50,1.16,3.90,1,1,1,-,0,2
85,1.59,2.30,15.0,-,-,0.50,1.05,5.50,2.50,1.13,4.20,1,1,1,-,0,2
86,1.59,2.30,15.0,-,-,0.50,1.04,6.00,2.50,1.10,4.55,1,1,1,-,0,2
87,1.59,2.30,15.0,-,-,0.50,1.03,7.00,2.50,1.08,5.00,1,1,1,-,0,2
88,1.59,2.30,15.0,-,-,0.50,1.03,8.00,2.50,1.05,5.50,1,1,1,-,0,2
89,1.59,2.30,15.0,-,-,1,1,1,1,1,1,1,1,1,-,0,2
90,1.59,2.30,15.0,-,-,1,1,1,1,1,1,1,1,1,-,0,2
91,1.59,2.30,15.0,-,-,1,1,1,1,1,1,1,1,1,-,1,2
92,1.59,2.30,15.0,-,-,1,1,1,1,1,1,1,1,1,-,1,2
