min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
6,1,1,1,1,1,2.50,1.92,1.73,0.50,1.82,1.82,4.50,1.27,3.40,1,0,0
7,1,1,1,12.0,1.13,2.50,1.89,1.76,0.50,1.80,1.84,1,1,1,6.50,0,0
8,1,1,1,12.0,1.13,2.50,1.85,1.79,0.50,1.79,1.86,1,1,1,6.50,0,0
9,1,1,1,12.0,1.14,2.50,1.82,1.82,0.50,1.77,1.87,1,1,1,6.50,0,0
10,4.60,1.20,19.0,12.0,1.14,2.50,1.79,1.85,0.50,1.76,1.89,3.50,1.57,2.20,6.50,0,0
11,4.60,1.20,19.0,12.0,1.15,2.50,1.76,1.88,0.50,1.74,1.91,3.50,1.55,2.20,6.00,0,0
12,4.60,1.20,18.0,12.0,1.15,2.50,1.74,1.91,0.50,1.73,1.93,3.50,1.54,2.30,6.00,0,0
13,5.00,1.18,15.0,13.0,1.15,2.50,1.64,2.05,0.50,1.57,2.20,1,1,1,6.00,0,0
14,5.00,1.19,15.0,13.0,1.15,2.50,1.62,2.10,0.50,1.56,2.20,1,1,1,6.00,0,0
15,5.00,1.19,15.0,13.0,1.16,2.50,1.60,2.10,0.50,1.55,2.25,1,1,1,6.00,0,0
16,5.00,1.19,14.0,12.0,1.17,2.50,1.58,2.20,0.50,1.55,2.25,1,1,1,6.00,0,0
17,5.00,1.19,14.0,12.0,1.17,2.50,1.56,2.20,0.50,1.54,2.30,1,1,1,5.50,0,0
18,5.00,1.20,13.0,12.0,1.17,2.50,1.54,2.25,0.50,1.53,2.30,1,1,1,5.50,0,0
19,5.00,1.20,13.0,12.0,1.18,2.50,1.52,2.30,0.50,1.52,2.30,1,1,1,5.50,0,0
20,5.00,1.20,13.0,12.0,1.19,2.50,1.51,2.35,0.50,1.51,2.35,1,1,1,5.50,0,0
21,5.00,1.21,12.0,36.0,1.03,3.50,1.49,2.40,0.50,1.50,2.40,3.50,1.86,1.78,14.0,1,0
22,5.00,1.21,12.0,36.0,1.03,3.50,1.47,2.45,0.50,1.49,2.40,3.50,1.82,1.82,14.0,1,0
23,5.00,1.21,12.0,12.0,1.20,3.50,1.46,2.50,1.50,1.48,2.45,4.50,1.79,1.85,5.00,1,1
24,5.00,1.21,12.0,12.0,1.21,2.50,2.50,1.47,1.50,1.47,2.45,4.50,1.76,1.89,5.00,1,1
25,5.00,1.21,12.0,11.5,1.22,2.50,2.50,1.46,1.50,1.52,2.30,4.50,1.79,1.85,5.00,1,1
26,5.00,1.21,12.0,11.0,1.23,2.50,2.45,1.48,1.50,1.51,2.35,4.50,1.76,1.89,5.00,1,1
27,5.00,1.21,12.0,11.0,1.24,2.50,2.40,1.49,1.50,1.50,2.40,4.50,1.73,1.93,5.00,1,1
28,5.00,1.21,12.0,11.0,1.25,2.50,2.35,1.51,1.50,1.49,2.40,4.50,1.69,1.98,4.90,1,1
29,5.00,1.21,12.0,9.50,1.26,2.50,2.50,1.47,1.50,1.63,2.05,4.50,1.86,1.78,5.00,1,1
30,5.00,1.21,12.0,8.50,1.30,2.50,2.45,1.48,1.50,1.74,1.92,4.50,1.90,1.75,4.80,1,1
31,5.00,1.21,12.0,8.50,1.31,2.50,2.40,1.50,1.50,1.72,1.94,4.50,1.85,1.79,4.70,1,1
32,5.00,1.21,12.0,8.50,1.32,2.50,2.30,1.52,1.50,1.70,1.96,4.50,1.81,1.83,4.60,1,1
33,5.00,1.21,12.0,8.00,1.33,2.50,2.25,1.54,1.50,1.69,1.99,4.50,1.77,1.88,4.55,1,1
34,5.00,1.21,12.0,8.00,1.34,2.50,2.20,1.56,1.50,1.67,2.00,4.50,1.73,1.92,4.45,1,1
35,5.00,1.21,12.0,8.00,1.35,2.50,2.15,1.58,1.50,1.66,2.00,4.50,1.70,1.96,4.40,1,1
36,5.00,1.21,12.0,8.00,1.35,2.50,2.10,1.61,1.50,1.64,2.05,4.50,1.66,2.00,4.30,1,1
37,5.00,1.21,12.0,8.00,1.36,2.50,2.05,1.63,1.50,1.62,2.10,4.50,1.63,2.05,4.25,1,1
38,5.00,1.21,12.0,8.00,1.37,2.50,2.00,1.66,1.50,1.61,2.10,4.50,1.60,2.10,4.20,1,1
39,5.00,1.21,12.0,8.00,1.37,2.50,1.99,1.68,1.50,1.59,2.15,4.50,1.58,2.20,4.10,1,1
40,5.00,1.21,12.0,24.0,1.04,3.50,1.94,1.72,1.50,1.58,2.20,5.50,1.55,2.25,10.0,2,1
41,5.00,1.21,12.0,25.0,1.04,3.50,1.90,1.75,1.50,1.56,2.20,5.50,1.52,2.30,10.0,2,1
42,5.00,1.21,12.0,25.0,1.04,3.50,1.86,1.79,1.50,1.55,2.25,5.50,1.50,2.40,10.0,2,1
43,5.00,1.21,12.0,25.0,1.04,3.50,1.82,1.82,1.50,1.54,2.25,5.50,1.48,2.45,10.0,2,1
44,5.00,1.21,12.0,25.0,1.04,3.50,1.79,1.86,1.50,1.53,2.30,5.50,1.46,2.50,10.0,2,1
45,5.00,1.21,12.0,25.0,1.04,3.50,1.75,1.90,1.50,1.51,2.35,4.50,2.45,1.47,9.50,2,1
46,5.00,1.21,12.0,25.0,1.04,3.50,1.71,1.95,1.50,1.50,2.40,4.50,2.40,1.50,9.50,2,1
47,5.00,1.21,12.0,26.0,1.04,3.50,1.68,2.00,1.50,1.49,2.40,4.50,2.30,1.52,9.50,2,1
48,5.00,1.21,12.0,26.0,1.04,3.50,1.65,2.05,1.50,1.47,2.45,4.50,2.25,1.55,9.50,2,1
49,5.00,1.21,12.0,26.0,1.04,3.50,1.62,2.10,1.50,1.46,2.50,4.50,2.20,1.57,9.50,2,1
50,5.00,1.21,12.0,26.0,1.05,3.50,1.59,2.15,1.50,1.45,2.55,4.50,2.10,1.60,9.50,2,1
51,5.00,1.21,12.0,27.0,1.05,3.50,1.56,2.20,1.50,1.44,2.60,4.50,2.05,1.64,9.50,2,1
52,5.00,1.21,12.0,-,-,3.50,3.60,1.23,1.50,1.42,2.65,5.50,2.00,1.67,-,3,1
53,5.00,1.21,12.0,-,-,3.50,3.50,1.25,1.50,1.41,2.70,5.50,1.96,1.71,-,3,1
54,5.00,1.21,12.0,-,-,3.50,3.40,1.26,1.50,1.40,2.75,5.50,1.90,1.75,-,3,1
55,5.00,1.21,12.0,-,-,3.50,3.30,1.28,1.50,1.39,2.80,5.50,1.85,1.80,-,3,1
56,5.00,1.21,12.0,-,-,3.50,3.20,1.30,1.50,1.38,2.85,5.50,1.80,1.85,-,3,1
57,5.00,1.21,12.0,-,-,3.50,3.15,1.31,1.50,1.36,2.90,5.50,1.75,1.90,-,3,1
58,5.00,1.21,12.0,-,-,3.50,3.05,1.33,1.50,1.35,2.95,5.50,1.70,1.96,-,3,1
59,5.00,1.21,12.0,-,-,3.50,2.95,1.35,1.50,1.34,3.00,5.50,1.66,2.00,-,3,1
60,5.00,1.21,12.0,-,-,3.50,2.90,1.37,1.50,1.32,3.10,5.50,1.63,2.05,-,3,1
61,5.00,1.21,12.0,-,-,3.50,2.80,1.38,1.50,1.31,3.15,5.50,1.59,2.15,-,3,1
62,5.00,1.21,12.0,-,-,3.50,2.70,1.40,1.50,1.30,3.25,5.50,1.55,2.25,-,3,1
63,5.00,1.21,12.0,-,-,3.50,2.65,1.43,1.50,1.28,3.30,5.50,1.52,2.30,-,3,1
64,5.00,1.21,12.0,-,-,3.50,2.55,1.45,1.50,1.27,3.40,5.50,1.48,2.45,-,3,1
65,5.00,1.21,12.0,-,-,3.50,2.45,1.48,1.50,1.26,3.45,5.50,1.45,2.55,-,3,1
66,5.00,1.21,12.0,-,-,3.50,2.35,1.50,1.50,1.24,3.55,5.50,1.42,2.65,-,3,1
67,5.00,1.21,12.0,-,-,3.50,2.30,1.53,1.50,1.22,3.65,5.50,1.39,2.75,-,3,1
68,5.00,1.21,12.0,-,-,3.50,2.20,1.56,1.50,1.21,3.75,5.50,1.37,2.90,-,3,1
69,5.00,1.21,12.0,-,-,3.50,2.15,1.59,1.50,1.20,3.90,4.50,2.80,1.39,-,3,1
70,5.00,1.21,12.0,-,-,3.50,2.05,1.63,1.50,1.18,4.00,4.50,2.70,1.41,-,3,1
71,5.00,1.21,12.0,-,-,3.50,2.00,1.67,1.50,1.17,4.15,4.50,2.60,1.44,-,3,1
72,5.00,1.21,12.0,-,-,3.50,1.94,1.72,1.50,1.16,4.30,4.50,2.50,1.47,-,3,1
73,5.00,1.21,12.0,-,-,3.50,1.87,1.78,1.50,1.14,4.45,4.50,2.35,1.51,-,3,1
74,5.00,1.21,12.0,-,-,3.50,1.81,1.84,1.50,1.13,4.65,4.50,2.25,1.54,-,3,1
75,5.00,1.21,12.0,-,-,3.50,1.75,1.90,1.50,1.12,4.80,4.50,2.15,1.58,-,3,1
