min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
3,1.13,4.15,20.0,1.07,10.5,0.50,1.85,1.65,2.50,1.92,1.60,3.50,1.72,1.77,7.00,0,0
4,1.13,4.15,20.0,1.07,10.5,0.50,1.85,1.65,2.50,1.92,1.60,3.50,1.72,1.77,7.00,0,0
5,1.13,4.15,20.0,1.07,10.5,0.50,1.85,1.65,2.50,1.92,1.60,3.50,1.72,1.77,7.00,0,0
6,1.14,4.20,20.0,1.07,10.5,0.50,1.83,1.66,2.50,1.88,1.63,3.50,1.69,1.80,7.00,0,0
7,1.14,4.20,20.0,1.07,10.5,0.50,1.82,1.68,2.50,1.85,1.65,3.50,1.66,1.84,7.00,0,0
8,1.14,4.20,20.0,1.08,10.5,0.50,1.80,1.69,2.50,1.82,1.67,3.50,1.63,1.87,7.00,0,0
9,1.17,4.00,19.0,1.13,9.00,0.50,1.78,1.70,2.50,1.62,1.89,3.50,1.50,2.10,6.00,0,0
10,1.17,4.00,18.0,1.14,9.00,0.50,1.77,1.72,2.50,1.60,1.93,3.50,1.48,2.15,6.00,0,0
11,1.18,4.00,18.0,1.14,9.00,0.50,1.75,1.73,2.50,1.58,1.96,3.50,1.46,2.20,5.50,0,0
12,1.18,4.00,17.0,1.15,9.00,0.50,1.74,1.75,2.50,1.56,1.99,1,1,1,5.50,0,0
13,1.19,4.10,15.0,1.17,9.00,0.50,1.64,1.86,2.50,1.46,2.20,1,1,1,5.00,0,0
14,1.19,4.10,14.0,1.18,9.00,0.50,1.63,1.88,2.50,1.44,2.25,1,1,1,5.00,0,0
15,1.20,4.10,14.0,1.19,9.00,0.50,1.62,1.89,2.50,1.43,2.30,1,1,1,5.00,0,0
16,1.20,4.10,13.0,1.19,8.50,0.50,1.61,1.91,2.50,1.41,2.35,1,1,1,5.00,0,0
17,1.20,4.10,13.0,1.19,8.50,0.50,1.60,1.93,2.50,1.40,2.40,1,1,1,5.00,0,0
18,1.21,4.10,13.0,1.20,8.50,0.50,1.59,1.95,1.50,2.40,1.40,1,1,1,5.00,0,0
19,1.21,4.00,14.0,1.20,8.50,0.50,1.64,1.87,2.50,1.41,2.35,1,1,1,5.00,0,0
20,1.20,4.10,14.0,1.19,8.50,0.50,1.62,1.89,2.50,1.42,2.30,1,1,1,5.00,0,0
21,1.20,4.10,13.0,1.20,8.50,0.50,1.61,1.91,2.50,1.41,2.35,1,1,1,5.00,0,0
22,1.21,4.10,13.0,1.20,8.50,0.50,1.60,1.93,1.50,2.40,1.39,1,1,1,5.00,0,0
23,1.21,4.10,12.0,1.21,8.50,0.50,1.59,1.95,1.50,2.35,1.41,1,1,1,5.00,0,0
24,1.21,4.10,12.0,1.21,8.50,0.50,1.57,1.97,1.50,2.30,1.42,1,1,1,4.90,0,0
25,1.22,4.10,12.0,1.22,8.50,0.50,1.56,2.00,1.50,2.25,1.44,1,1,1,4.80,0,0
26,1.22,4.15,11.5,1.88,3.05,1.50,1.55,2.00,1.50,2.20,1.46,3.50,1.69,1.79,3.50,1,0
27,1.22,4.15,11.5,1.91,3.00,1.50,1.54,2.00,1.50,2.15,1.47,3.50,1.66,1.84,3.45,1,0
28,1.22,4.15,11.5,1.93,2.95,1.50,1.52,2.05,1.50,2.10,1.49,3.50,1.63,1.88,3.45,1,0
29,1.22,4.15,11.5,1.96,2.95,1.50,1.51,2.10,1.50,2.10,1.51,3.50,1.60,1.92,3.40,1,0
30,1.22,4.15,11.5,1.74,3.30,1.50,1.50,2.10,1.50,2.40,1.40,3.50,1.76,1.73,3.60,1,0
31,1.22,4.15,11.5,1.59,3.80,1.50,1.40,2.40,2.50,1.44,2.25,3.50,1.78,1.70,3.70,1,0
32,1.22,4.15,11.5,1.62,3.75,1.50,1.39,2.40,2.50,1.42,2.30,3.50,1.74,1.74,3.65,1,0
33,1.22,4.15,11.5,1.63,3.70,1.50,1.38,2.45,2.50,1.40,2.40,3.50,1.71,1.78,3.60,1,0
34,1.22,4.15,11.5,1.66,3.70,1.50,1.34,2.65,1.50,2.35,1.41,3.50,1.62,1.89,3.50,1,0
