min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.61,2.60,9.00,1.84,4.05,0.50,2.60,1.39,1.50,1.75,1.82,1,1,1,3.00,0,0
2,1.61,2.60,9.00,1.84,4.05,0.50,2.60,1.39,1.50,1.75,1.82,1,1,1,3.00,0,0
3,1.61,2.60,9.00,1.84,4.05,0.50,2.60,1.39,1.50,1.75,1.82,1,1,1,3.00,0,0
4,1.61,2.60,9.00,1.84,4.05,0.50,2.60,1.39,1.50,1.75,1.82,1,1,1,3.00,0,0
5,1.61,2.60,9.00,1.84,4.05,0.50,2.60,1.39,1.50,1.75,1.82,1,1,1,3.00,0,0
6,1.87,2.10,9.00,2.40,2.90,1.50,1.43,2.45,1.50,1.54,2.15,1,1,1,2.90,0,0
7,1.88,2.10,9.00,2.40,2.90,1.50,1.42,2.50,1.50,1.53,2.15,1,1,1,2.90,0,0
8,1.88,2.10,8.50,2.40,2.90,1.50,1.41,2.50,1.50,1.51,2.20,1,1,1,2.85,0,0
9,1.89,2.10,8.50,2.40,2.95,1.50,1.40,2.55,1.50,1.50,2.25,1,1,1,2.85,0,0
10,1.89,2.10,8.00,2.40,2.90,1.50,1.39,2.60,1.50,1.49,2.25,1,1,1,2.85,0,0
11,1.90,2.10,8.00,2.40,2.95,1.50,1.38,2.65,1.50,1.48,2.30,1,1,1,2.80,0,0
12,1.90,2.10,8.00,2.45,2.95,1.50,1.37,2.70,1.50,1.46,2.35,1,1,1,2.80,0,0
13,1.91,2.10,7.50,2.45,2.95,1.50,1.36,2.70,1.50,1.45,2.40,1,1,1,2.80,0,0
14,1.91,2.15,7.50,2.45,2.95,1.50,1.35,2.75,1.50,1.44,2.40,1,1,1,2.80,0,0
15,1.92,2.15,7.50,2.45,2.95,1.50,1.34,2.80,1.50,1.43,2.45,1,1,1,2.75,0,0
16,1.93,2.15,7.00,2.50,2.95,0.50,2.85,1.33,1.50,1.42,2.50,1,1,1,2.75,0,0
17,1.93,2.15,7.00,2.50,2.95,0.50,2.80,1.34,1.50,1.41,2.50,1,1,1,2.70,0,0
18,1.94,2.15,7.00,2.50,3.00,0.50,2.75,1.35,1.50,1.40,2.55,1,1,1,2.70,0,0
19,2.10,2.00,6.00,2.85,2.70,0.50,2.85,1.33,0.50,2.70,1.36,1,1,1,2.65,0,0
20,2.25,2.15,4.80,3.00,2.80,0.50,2.35,1.46,0.50,2.25,1.49,1.50,1.91,1.67,2.40,0,0
21,2.25,2.15,4.70,3.00,2.80,0.50,2.30,1.47,0.50,2.20,1.50,1.50,1.88,1.70,2.40,0,0
22,2.30,2.15,4.60,3.00,2.80,0.50,2.30,1.48,0.50,2.20,1.52,1.50,1.85,1.72,2.35,0,0
23,2.30,2.20,4.50,3.00,2.85,0.50,2.25,1.49,0.50,2.15,1.53,1.50,1.82,1.75,2.35,0,0
24,2.30,2.20,4.40,3.05,2.85,0.50,2.20,1.50,0.50,2.15,1.54,1.50,1.79,1.77,2.35,0,0
25,2.30,2.20,4.30,3.05,2.85,0.50,2.20,1.51,0.50,2.10,1.55,1.50,1.76,1.81,2.30,0,0
26,2.30,2.20,4.20,3.05,2.85,0.50,2.15,1.53,0.50,2.10,1.57,1.50,1.73,1.84,2.30,0,0
27,2.35,2.25,4.10,3.10,2.90,0.50,2.15,1.54,0.50,2.05,1.58,1.50,1.71,1.87,2.30,0,0
28,2.35,2.25,4.05,3.10,2.90,0.50,2.10,1.55,0.50,2.00,1.59,1.50,1.68,1.90,2.25,0,0
29,2.35,2.25,4.00,3.10,2.90,0.50,2.10,1.56,0.50,2.00,1.61,1.50,1.66,1.93,2.25,0,0
30,2.40,2.30,3.90,3.10,2.95,0.50,2.05,1.58,0.50,2.00,1.62,1.50,1.64,1.97,2.20,0,0
31,2.40,2.30,3.80,3.15,2.95,0.50,2.00,1.59,0.50,1.97,1.64,1.50,1.61,2.00,2.20,0,0
32,2.40,2.30,3.75,3.15,2.95,0.50,2.00,1.61,0.50,1.94,1.66,1.50,1.59,2.00,2.20,0,0
33,2.45,2.30,3.65,3.15,2.95,0.50,1.99,1.62,0.50,1.91,1.67,1.50,1.57,2.05,2.15,0,0
34,2.45,2.35,3.60,3.20,3.00,0.50,1.96,1.64,0.50,1.89,1.69,1.50,1.55,2.10,2.15,0,0
35,2.45,2.35,3.50,3.20,3.00,0.50,1.93,1.66,0.50,1.86,1.71,1.50,1.53,2.15,2.10,0,0
36,2.50,2.40,3.45,3.20,3.00,0.50,1.90,1.68,0.50,1.83,1.73,1.50,1.51,2.20,2.10,0,0
37,2.50,2.40,3.40,3.20,3.05,0.50,1.88,1.70,0.50,1.81,1.75,1.50,1.49,2.25,2.10,0,0
38,2.50,2.40,3.30,3.25,3.05,0.50,1.85,1.72,0.50,1.79,1.77,1.50,1.47,2.30,2.05,0,0
39,2.55,2.45,3.25,3.25,3.05,0.50,1.82,1.74,0.50,1.76,1.80,1.50,1.45,2.40,2.05,0,0
40,2.60,2.45,3.20,3.30,3.10,0.50,1.80,1.76,0.50,1.74,1.82,1.50,1.44,2.45,2.00,0,0
41,2.60,2.50,3.10,3.30,3.10,0.50,1.77,1.79,0.50,1.72,1.85,1.50,1.42,2.50,2.00,0,0
42,2.60,2.50,3.05,3.35,3.15,0.50,1.75,1.81,0.50,1.70,1.88,1.50,1.40,2.55,2.00,0,0
43,2.65,2.50,3.00,3.35,3.15,0.50,1.73,1.84,0.50,1.68,1.90,1.50,1.39,2.60,1.98,0,0
44,2.65,2.55,2.90,3.40,3.20,0.50,1.71,1.87,0.50,1.66,1.93,1.50,1.37,2.70,1.95,0,0
45,2.50,2.30,3.50,3.25,2.95,0.50,1.96,1.64,0.50,1.84,1.73,1.50,1.53,2.15,2.10,0,0
46,2.50,2.35,3.45,3.30,2.95,0.50,1.93,1.66,0.50,1.81,1.75,1.50,1.51,2.20,2.10,0,0
47,2.55,2.35,3.35,3.30,3.00,0.50,1.89,1.69,0.50,1.79,1.78,1.50,1.48,2.30,2.10,0,0
48,2.60,2.40,3.30,3.30,3.00,0.50,1.86,1.71,0.50,1.76,1.81,1.50,1.46,2.35,2.05,0,0
49,2.60,2.40,3.20,14.0,1.33,1.50,1.83,1.74,0.50,1.73,1.84,1,1,1,3.35,1,0
50,2.60,2.40,3.20,10.5,1.28,1.50,1.80,1.77,0.50,1.70,1.87,1,1,1,4.15,1,0
51,2.60,2.40,3.20,10.5,1.27,1.50,1.77,1.80,0.50,1.68,1.90,1,1,1,4.15,1,0
52,2.60,2.40,3.20,11.0,1.27,1.50,1.74,1.83,0.50,1.66,1.94,1,1,1,4.15,1,0
53,2.60,2.40,3.20,3.15,2.90,1.50,1.71,1.86,1.50,1.63,1.97,3.50,1.41,2.50,2.20,1,1
54,2.60,2.40,3.20,3.20,2.90,1.50,1.68,1.90,1.50,1.61,2.00,3.50,1.39,2.60,2.20,1,1
55,2.60,2.40,3.20,3.20,2.95,1.50,1.66,1.93,1.50,1.59,2.00,3.50,1.37,2.65,2.15,1,1
56,2.60,2.40,3.20,3.25,3.00,1.50,1.63,1.97,1.50,1.57,2.05,3.50,1.35,2.75,2.10,1,1
57,2.60,2.40,3.20,3.25,3.00,1.50,1.61,2.00,1.50,1.55,2.10,1,1,1,2.10,1,1
58,2.60,2.40,3.20,3.30,3.05,1.50,1.59,2.05,1.50,1.53,2.15,1,1,1,2.05,1,1
59,2.60,2.40,3.20,3.35,3.05,1.50,1.56,2.10,1.50,1.51,2.20,1,1,1,2.00,1,1
60,2.60,2.40,3.20,3.40,3.10,1.50,1.54,2.10,1.50,1.49,2.25,1,1,1,1.99,1,1
61,2.60,2.40,3.20,1.27,12.0,1.50,1.52,2.20,2.50,1.47,2.30,3.50,2.50,1.41,4.00,1,2
62,2.60,2.40,3.20,1.26,12.0,1.50,1.50,2.25,2.50,1.45,2.40,3.50,2.45,1.43,4.05,1,2
