min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.32,3.75,10.5,1.03,21.0,0.50,1.70,1.88,2.50,2.05,1.57,3.50,1.68,1.91,9.50,0,1
2,1.32,3.75,10.5,1.05,16.0,0.50,1.98,1.63,2.50,2.05,1.57,3.50,1.80,1.76,8.00,0,1
3,1.32,3.75,10.5,1.06,15.0,0.50,1.98,1.63,2.50,1.92,1.66,3.50,1.70,1.88,7.50,0,1
4,1.32,3.75,10.5,1.06,15.0,0.50,1.98,1.63,2.50,1.92,1.66,3.50,1.70,1.88,7.50,0,1
5,1.32,3.75,10.5,1.06,15.0,0.50,1.98,1.63,2.50,1.92,1.66,3.50,1.70,1.88,7.50,0,1
6,1.32,3.75,10.5,1.08,15.0,0.50,1.96,1.64,2.50,1.74,1.83,3.50,1.58,2.05,7.00,0,1
7,1.32,3.75,10.5,1.08,15.0,0.50,1.94,1.65,2.50,1.72,1.85,3.50,1.56,2.10,7.00,0,1
8,1.32,3.75,10.5,1.08,15.0,0.50,1.92,1.67,2.50,1.70,1.88,3.50,1.54,2.10,7.00,0,1
9,1.32,3.75,10.5,1.10,14.0,0.50,1.90,1.68,2.50,1.56,2.10,3.50,1.45,2.40,6.00,0,1
10,1.32,3.75,10.5,1.14,13.0,0.50,1.88,1.69,2.50,1.46,2.35,1,1,1,5.50,0,1
11,1.32,3.75,10.5,1.14,13.0,0.50,1.87,1.71,2.50,1.45,2.40,1,1,1,5.50,0,1
12,1.32,3.75,10.5,1.13,13.0,0.50,1.85,1.72,2.50,1.44,2.40,1,1,1,5.50,0,1
13,1.32,3.75,10.5,1.13,13.0,0.50,1.83,1.74,2.50,1.43,2.45,1,1,1,5.50,0,1
14,1.32,3.75,10.5,1.13,13.0,0.50,1.81,1.75,2.50,1.42,2.50,1,1,1,5.50,0,1
15,1.32,3.75,10.5,1.13,13.0,0.50,1.80,1.77,2.50,1.41,2.55,1,1,1,5.50,0,1
16,1.32,3.75,10.5,1.13,13.0,0.50,1.78,1.78,2.50,1.40,2.60,1,1,1,5.50,0,1
17,1.32,3.75,10.5,1.14,11.0,0.50,1.76,1.80,1.50,2.80,1.35,1,1,1,6.00,0,1
18,1.32,3.75,10.5,1.14,11.0,0.50,1.75,1.82,1.50,2.75,1.35,1,1,1,6.00,0,1
19,1.32,3.75,10.5,1.14,11.5,0.50,1.73,1.84,1.50,2.70,1.36,1,1,1,6.00,0,1
20,1.32,3.75,10.5,1.14,11.5,0.50,1.72,1.85,1.50,2.65,1.37,1,1,1,6.00,0,1
21,1.32,3.75,10.5,1.14,11.5,0.50,1.70,1.88,1.50,2.60,1.38,1,1,1,6.00,0,1
22,1.32,3.75,10.5,1.22,8.50,0.50,2.05,1.57,2.50,1.34,2.80,1,1,1,5.00,0,1
23,1.32,3.75,10.5,1.22,9.00,0.50,2.05,1.59,1.50,2.80,1.34,1,1,1,5.00,0,1
24,1.32,3.75,10.5,1.94,3.40,1.50,2.00,1.60,2.50,1.38,2.65,3.50,2.30,1.48,3.25,1,1
25,1.32,3.75,10.5,1.95,3.40,1.50,2.00,1.61,2.50,1.37,2.70,3.50,2.25,1.49,3.20,1,1
26,1.32,3.75,10.5,1.96,3.40,1.50,1.98,1.63,2.50,1.35,2.75,3.50,2.20,1.51,3.20,1,1
27,1.32,3.75,10.5,1.97,3.45,1.50,1.96,1.64,2.50,1.34,2.80,3.50,2.15,1.53,3.15,1,1
28,1.32,3.75,10.5,1.98,3.45,1.50,1.93,1.66,1.50,2.85,1.33,3.50,2.10,1.55,3.10,1,1
29,1.32,3.75,10.5,1.77,4.05,1.50,1.73,1.84,2.50,1.38,2.60,3.50,2.10,1.57,3.20,1,1
30,1.32,3.75,10.5,1.77,4.05,1.50,1.71,1.86,2.50,1.37,2.70,3.50,2.05,1.59,3.15,1,1
31,1.32,3.75,10.5,1.78,4.10,1.50,1.70,1.88,2.50,1.36,2.70,3.50,2.00,1.61,3.10,1,1
32,1.32,3.75,10.5,1.80,4.10,1.50,1.68,1.90,2.50,1.35,2.80,3.50,1.98,1.63,3.10,1,1
33,1.32,3.75,10.5,1.81,4.10,1.50,1.66,1.92,2.50,1.34,2.80,3.50,1.94,1.65,3.05,1,1
34,1.32,3.75,10.5,1.82,4.10,1.50,1.65,1.95,1.50,2.80,1.34,3.50,1.90,1.68,3.05,1,1
35,1.32,3.75,10.5,1.83,4.10,1.50,1.63,1.98,1.50,2.75,1.35,3.50,1.87,1.71,3.00,1,1
36,1.32,3.75,10.5,1.85,4.10,1.50,1.61,2.00,1.50,2.70,1.36,3.50,1.83,1.74,3.00,1,1
37,1.32,3.75,10.5,1.86,4.10,1.50,1.60,2.00,1.50,2.65,1.38,3.50,1.79,1.78,2.90,1,1
38,1.32,3.75,10.5,1.87,4.15,1.50,1.58,2.05,1.50,2.60,1.39,3.50,1.75,1.81,2.90,1,1
39,1.32,3.75,10.5,1.89,4.15,1.50,1.57,2.05,1.50,2.55,1.40,3.50,1.72,1.85,2.85,1,1
40,1.32,3.75,10.5,1.90,4.15,1.50,1.55,2.10,1.50,2.50,1.42,3.50,1.69,1.89,2.80,1,1
41,1.32,3.75,10.5,1.91,4.15,1.50,1.54,2.15,1.50,2.45,1.43,3.50,1.66,1.94,2.80,1,1
42,1.32,3.75,10.5,1.93,4.15,1.50,1.53,2.15,1.50,2.40,1.44,3.50,1.63,1.98,2.75,1,1
43,1.32,3.75,10.5,1.09,14.0,1.50,1.51,2.20,2.50,2.35,1.46,4.50,1.60,2.00,6.50,1,2
44,1.32,3.75,10.5,1.09,14.0,1.50,1.50,2.25,2.50,2.30,1.47,4.50,1.57,2.05,6.50,1,2
45,1.32,3.75,10.5,1.17,10.5,1.50,1.70,1.88,2.50,2.25,1.49,4.50,1.68,1.91,5.50,1,2
46,1.32,3.75,10.5,1.17,11.0,1.50,1.67,1.91,2.50,2.20,1.50,4.50,1.65,1.95,5.00,1,2
47,1.32,3.75,10.5,1.17,11.0,1.50,1.65,1.94,2.50,2.20,1.52,4.50,1.62,2.00,5.50,1,2
48,1.32,3.75,10.5,1.17,11.0,1.50,1.63,1.98,2.50,2.15,1.54,4.50,1.59,2.05,5.50,1,2
49,1.32,3.75,10.5,1.16,11.5,1.50,1.61,2.00,2.50,2.10,1.56,4.50,1.56,2.10,5.50,1,2
50,1.32,3.75,10.5,1.16,11.5,1.50,1.59,2.00,2.50,2.05,1.58,4.50,1.54,2.15,5.50,1,2
51,1.32,3.75,10.5,1.16,11.5,1.50,1.57,2.05,2.50,2.00,1.60,4.50,1.51,2.20,5.50,1,2
52,1.32,3.75,10.5,1.16,12.0,1.50,1.55,2.10,2.50,2.00,1.62,4.50,1.49,2.30,5.50,1,2
53,1.32,3.75,10.5,1.15,12.0,1.50,1.54,2.15,2.50,1.96,1.64,4.50,1.47,2.35,5.50,1,2
54,1.32,3.75,10.5,1.15,12.0,1.50,1.52,2.20,2.50,1.91,1.67,4.50,1.44,2.40,5.50,1,2
55,1.32,3.75,10.5,1.15,12.0,1.50,1.50,2.20,2.50,1.88,1.70,4.50,1.42,2.50,5.50,1,2
56,1.32,3.75,10.5,1.14,13.0,1.50,1.49,2.30,2.50,1.84,1.73,4.50,1.40,2.60,5.50,1,2
57,1.32,3.75,10.5,1.14,13.0,1.50,1.47,2.30,2.50,1.81,1.76,4.50,1.38,2.65,5.50,1,2
