min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
3,3.05,1.45,10.0,5.50,1.52,2.50,1.28,3.10,0.50,2.20,1.52,1,1,1,3.40,0,0
4,2.80,1.48,11.0,4.60,1.58,1.50,1.94,1.66,0.50,2.35,1.47,1,1,1,3.50,0,0
5,2.80,1.48,11.0,4.60,1.58,1.50,1.94,1.66,0.50,2.35,1.47,1,1,1,3.50,0,0
6,2.80,1.48,11.0,4.65,1.58,1.50,1.91,1.68,0.50,2.30,1.48,1,1,1,3.50,0,0
7,2.85,1.49,10.5,4.65,1.59,1.50,1.88,1.69,0.50,2.30,1.49,1,1,1,3.50,0,0
8,2.85,1.49,10.5,4.65,1.59,1.50,1.85,1.72,0.50,2.25,1.49,1,1,1,3.45,0,0
9,2.85,1.49,10.0,4.65,1.60,1.50,1.82,1.74,0.50,2.20,1.50,1,1,1,3.40,0,0
10,2.85,1.50,10.0,4.65,1.60,1.50,1.81,1.76,0.50,2.20,1.51,1,1,1,3.40,0,0
11,2.85,1.50,9.50,4.65,1.61,1.50,1.78,1.78,0.50,2.20,1.52,1,1,1,3.40,0,0
12,2.85,1.50,9.50,4.60,1.62,1.50,1.76,1.81,0.50,2.15,1.53,1,1,1,3.35,0,0
13,2.90,1.51,9.00,4.60,1.62,1.50,1.74,1.83,0.50,2.10,1.54,1,1,1,3.35,0,0
14,2.90,1.51,9.00,4.60,1.63,1.50,1.71,1.86,0.50,2.10,1.55,1,1,1,3.30,0,0
15,2.90,1.51,8.50,4.65,1.64,1.50,1.69,1.88,0.50,2.10,1.56,1,1,1,3.30,0,0
16,2.90,1.52,8.50,4.65,1.65,1.50,1.67,1.91,0.50,2.05,1.58,1,1,1,3.25,0,0
17,2.90,1.52,8.00,4.60,1.65,1.50,1.65,1.94,0.50,2.05,1.59,1,1,1,3.25,0,0
18,2.80,1.58,7.50,4.15,1.76,1.50,1.52,2.20,0.50,2.00,1.60,1,1,1,3.15,0,0
19,2.80,1.59,7.00,4.10,1.76,1.50,1.51,2.20,0.50,2.00,1.61,1,1,1,3.15,0,0
20,2.80,1.59,7.00,4.15,1.78,1.50,1.49,2.25,0.50,1.99,1.63,1,1,1,3.10,0,0
21,2.80,1.60,7.00,4.15,1.78,1.50,1.48,2.30,0.50,1.96,1.64,1.50,2.40,1.44,3.10,0,0
22,2.80,1.61,6.50,4.10,1.80,1.50,1.47,2.35,0.50,1.94,1.66,1.50,2.35,1.46,3.05,0,0
23,2.85,1.61,6.50,4.10,1.81,1.50,1.45,2.40,0.50,1.91,1.67,1.50,2.30,1.47,3.05,0,0
24,2.85,1.62,6.00,4.15,1.82,1.50,1.44,2.40,0.50,1.89,1.69,1.50,2.25,1.49,3.00,0,0
25,2.85,1.63,6.00,4.15,1.83,1.50,1.43,2.45,0.50,1.87,1.70,1.50,2.20,1.51,3.00,0,0
26,2.90,1.63,6.00,4.15,1.83,1.50,1.41,2.50,0.50,1.85,1.72,1.50,2.20,1.52,2.95,0,0
27,2.90,1.64,6.00,4.15,1.85,1.50,1.40,2.55,0.50,1.83,1.74,1.50,2.10,1.54,2.90,0,0
28,2.90,1.65,5.50,4.15,1.85,1.50,1.39,2.60,0.50,1.81,1.76,1.50,2.10,1.56,2.90,0,0
29,2.90,1.65,5.50,4.15,1.87,1.50,1.38,2.65,0.50,1.79,1.77,1.50,2.05,1.58,2.90,0,0
30,2.90,1.66,5.00,4.15,1.88,1.50,1.37,2.70,0.50,1.77,1.80,1.50,2.00,1.60,2.85,0,0
31,2.75,1.72,5.50,3.85,1.98,1.50,1.35,2.80,0.50,1.86,1.71,1.50,2.00,1.59,2.85,0,0
32,2.80,1.73,5.00,3.85,1.99,0.50,2.85,1.33,0.50,1.84,1.73,1.50,2.00,1.61,2.80,0,0
33,2.80,1.74,5.00,3.90,2.00,0.50,2.80,1.34,0.50,1.81,1.75,1.50,1.97,1.64,2.80,0,0
34,2.80,1.75,5.00,3.90,2.00,0.50,2.75,1.35,0.50,1.79,1.77,1.50,1.93,1.66,2.75,0,0
35,2.80,1.76,5.00,3.90,2.00,0.50,2.70,1.36,0.50,1.77,1.79,1.50,1.89,1.69,2.75,0,0
36,2.85,1.77,4.80,3.90,2.00,0.50,2.65,1.38,0.50,1.75,1.82,1.50,1.85,1.72,2.70,0,0
37,2.85,1.78,4.70,3.90,2.05,0.50,2.60,1.39,0.50,1.72,1.85,1.50,1.81,1.75,2.70,0,0
38,2.90,1.80,4.55,3.90,2.05,0.50,2.55,1.40,0.50,1.71,1.87,1.50,1.78,1.79,2.65,0,0
39,2.90,1.81,4.40,9.50,1.25,1.50,2.30,1.48,0.50,1.89,1.69,1,1,1,4.70,1,0
40,2.90,1.81,4.40,9.50,1.25,1.50,2.25,1.49,0.50,1.86,1.71,1,1,1,4.70,1,0
41,2.90,1.81,4.40,3.80,2.05,1.50,2.45,1.43,1.50,1.67,1.92,3.50,1.73,1.84,2.70,1,1
42,2.90,1.81,4.40,3.80,2.05,1.50,2.40,1.45,1.50,1.65,1.95,3.50,1.70,1.88,2.70,1,1
43,2.90,1.81,4.40,3.80,2.10,1.50,2.35,1.46,1.50,1.63,1.97,3.50,1.67,1.92,2.65,1,1
44,2.90,1.81,4.40,3.80,2.10,1.50,2.30,1.48,1.50,1.62,2.00,3.50,1.64,1.97,2.65,1,1
45,2.90,1.81,4.40,3.90,2.15,1.50,2.20,1.52,1.50,1.56,2.10,3.50,1.56,2.10,2.55,1,1
46,2.90,1.81,4.40,3.95,2.15,1.50,2.15,1.53,1.50,1.54,2.15,3.50,1.54,2.15,2.50,1,1
47,2.90,1.81,4.40,3.95,2.20,1.50,2.10,1.55,1.50,1.53,2.15,3.50,1.51,2.20,2.50,1,1
48,2.90,1.81,4.40,3.95,2.20,1.50,2.05,1.57,1.50,1.51,2.20,3.50,1.49,2.25,2.45,1,1
49,2.90,1.81,4.40,4.00,2.20,1.50,2.00,1.59,1.50,1.50,2.25,3.50,1.47,2.30,2.40,1,1
50,2.90,1.81,4.40,4.00,2.25,1.50,2.00,1.61,1.50,1.48,2.30,3.50,1.45,2.40,2.35,1,1
51,2.90,1.81,4.40,4.05,2.25,1.50,1.97,1.63,1.50,1.47,2.35,3.50,1.43,2.45,2.30,1,1
52,2.90,1.81,4.40,4.05,2.30,1.50,1.93,1.66,1.50,1.45,2.40,3.50,1.41,2.50,2.30,1,1
53,2.90,1.81,4.40,4.10,2.30,1.50,1.89,1.69,1.50,1.44,2.40,3.50,1.39,2.60,2.25,1,1
54,2.90,1.81,4.40,3.45,2.65,1.50,1.77,1.80,1.50,1.54,2.10,3.50,1.40,2.55,2.25,1,1
55,2.90,1.81,4.40,3.50,2.65,1.50,1.74,1.83,1.50,1.53,2.15,3.50,1.38,2.65,2.20,1,1
56,2.90,1.81,4.40,3.50,2.70,1.50,1.71,1.87,1.50,1.51,2.20,3.50,1.36,2.70,2.20,1,1
57,2.90,1.81,4.40,3.50,2.70,1.50,1.68,1.90,1.50,1.49,2.25,3.50,1.34,2.80,2.15,1,1
58,2.90,1.81,4.40,3.55,2.75,1.50,1.65,1.94,1.50,1.47,2.30,1,1,1,2.10,1,1
59,2.90,1.81,4.40,3.60,2.80,1.50,1.63,1.99,1.50,1.46,2.35,1,1,1,2.05,1,1
60,2.90,1.81,4.40,3.65,2.80,1.50,1.60,2.00,1.50,1.44,2.40,1,1,1,2.00,1,1
61,2.90,1.81,4.40,3.65,2.85,1.50,1.57,2.05,1.50,1.42,2.50,1,1,1,2.00,1,1
62,2.90,1.81,4.40,3.70,2.90,1.50,1.55,2.10,1.50,1.41,2.50,1,1,1,1.98,1,1
63,2.90,1.81,4.40,3.75,2.95,1.50,1.53,2.15,1.50,1.39,2.60,1,1,1,1.94,1,1
64,2.90,1.81,4.40,3.80,3.00,1.50,1.51,2.20,1.50,1.38,2.65,1,1,1,1.90,1,1
65,2.90,1.81,4.40,3.85,3.05,1.50,1.48,2.30,1.50,1.36,2.70,1,1,1,1.86,1,1
66,2.90,1.81,4.40,3.90,3.10,1.50,1.46,2.35,1.50,1.34,2.80,1,1,1,1.83,1,1
67,2.90,1.81,4.40,4.00,3.15,1.50,1.44,2.40,1.50,1.33,2.85,1,1,1,1.79,1,1
68,2.90,1.81,4.40,4.10,3.20,1.50,1.42,2.50,1.50,1.31,2.95,1,1,1,1.75,1,1
69,2.90,1.81,4.40,4.15,3.25,1.50,1.40,2.55,1.50,1.29,3.05,1,1,1,1.72,1,1
70,2.90,1.81,4.40,4.25,3.30,1.50,1.38,2.60,1.50,1.27,3.15,1,1,1,1.69,1,1
71,2.90,1.81,4.40,4.35,3.40,1.50,1.36,2.70,1.50,1.25,3.20,1,1,1,1.65,1,1
72,2.90,1.81,4.40,4.45,3.45,1.50,1.34,2.80,1.50,1.24,3.30,1,1,1,1.62,1,1
73,2.90,1.81,4.40,4.50,3.55,1.50,1.32,2.90,1.50,1.22,3.45,1,1,1,1.59,1,1
74,2.90,1.81,4.40,4.65,3.65,1.50,1.30,3.00,1.50,1.20,3.55,1,1,1,1.56,1,1
75,2.90,1.81,4.40,4.80,3.75,1.50,1.28,3.10,1.50,1.18,3.70,1,1,1,1.53,1,1
76,2.90,1.81,4.40,4.95,3.90,1.50,1.25,3.25,1.50,1.16,3.90,1,1,1,1.50,1,1
77,2.90,1.81,4.40,5.00,4.00,1.50,1.23,3.40,1.50,1.14,4.05,1,1,1,1.47,1,1
78,2.90,1.81,4.40,5.00,4.15,1.50,1.21,3.50,1.50,1.13,4.25,1,1,1,1.44,1,1
