min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
8,2.90,1.44,13.0,4.80,1.51,1.50,2.10,1.55,0.50,2.40,1.45,1,1,1,3.85,0,0
9,2.90,1.44,13.0,4.80,1.51,1.50,2.05,1.57,0.50,2.35,1.46,1,1,1,3.80,0,0
10,2.90,1.44,12.0,4.85,1.51,1.50,2.05,1.58,0.50,2.30,1.47,1,1,1,3.80,0,0
11,2.90,1.45,12.0,4.85,1.52,1.50,2.00,1.60,0.50,2.30,1.48,1,1,1,3.75,0,0
12,2.90,1.45,12.0,2.20,2.70,1.50,2.00,1.62,1.50,2.25,1.49,3.50,1.86,1.71,3.45,0,1
13,2.90,1.45,12.0,2.20,2.70,1.50,1.97,1.64,1.50,2.25,1.50,3.50,1.82,1.74,3.40,0,1
14,2.90,1.45,12.0,2.20,2.70,1.50,1.94,1.66,1.50,2.20,1.51,3.50,1.79,1.77,3.40,0,1
15,2.90,1.45,12.0,2.20,2.75,1.50,1.91,1.68,1.50,2.20,1.52,3.50,1.76,1.80,3.40,0,1
16,2.90,1.45,12.0,2.20,2.80,1.50,1.88,1.70,1.50,2.15,1.53,3.50,1.73,1.83,3.40,0,1
17,2.90,1.45,12.0,2.15,2.80,1.50,1.85,1.72,1.50,2.10,1.54,3.50,1.70,1.87,3.35,0,1
18,2.90,1.45,12.0,2.15,2.85,1.50,1.82,1.75,1.50,2.10,1.55,3.50,1.68,1.90,3.35,0,1
19,2.90,1.45,12.0,2.15,2.85,1.50,1.79,1.77,1.50,2.10,1.56,3.50,1.65,1.94,3.35,0,1
20,2.90,1.45,12.0,2.10,2.90,1.50,1.77,1.80,1.50,2.05,1.58,3.50,1.63,1.98,3.30,0,1
21,2.90,1.45,12.0,2.10,2.95,1.50,1.75,1.82,1.50,2.05,1.59,3.50,1.61,2.00,3.30,0,1
22,2.90,1.45,12.0,2.10,2.95,1.50,1.72,1.85,1.50,2.00,1.60,3.50,1.58,2.05,3.30,0,1
23,2.90,1.45,12.0,2.10,3.00,1.50,1.69,1.88,1.50,2.00,1.61,3.50,1.56,2.10,3.30,0,1
24,2.90,1.45,12.0,2.05,3.05,1.50,1.67,1.92,1.50,1.98,1.63,3.50,1.54,2.15,3.30,0,1
25,2.90,1.45,12.0,2.05,3.05,1.50,1.65,1.95,1.50,1.95,1.65,3.50,1.52,2.20,3.25,0,1
26,2.90,1.45,12.0,2.00,3.10,1.50,1.63,1.99,1.50,1.93,1.66,3.50,1.50,2.25,3.25,0,1
27,2.90,1.45,12.0,2.00,3.15,1.50,1.61,2.00,1.50,1.91,1.68,3.50,1.48,2.30,3.25,0,1
28,2.90,1.45,12.0,2.00,3.20,1.50,1.59,2.05,1.50,1.88,1.69,3.50,1.46,2.35,3.20,0,1
29,2.90,1.45,12.0,2.00,3.20,1.50,1.57,2.10,1.50,1.86,1.71,3.50,1.44,2.40,3.20,0,1
30,2.90,1.45,12.0,1.99,3.30,1.50,1.55,2.10,1.50,1.84,1.73,1,1,1,3.20,0,1
31,2.90,1.45,12.0,3.55,1.93,2.50,1.43,2.45,1.50,2.10,1.55,3.50,2.45,1.43,3.10,1,1
32,2.90,1.45,12.0,3.80,1.86,2.50,1.44,2.45,1.50,2.00,1.61,3.50,2.40,1.45,3.10,1,1
33,2.90,1.45,12.0,3.80,1.87,2.50,1.42,2.50,1.50,1.99,1.62,3.50,2.30,1.47,3.10,1,1
34,2.90,1.45,12.0,4.05,1.81,2.50,1.43,2.45,1.50,1.89,1.69,3.50,2.30,1.49,3.10,1,1
35,2.90,1.45,12.0,4.05,1.82,2.50,1.42,2.50,1.50,1.86,1.71,3.50,2.20,1.51,3.05,1,1
36,2.90,1.45,12.0,4.05,1.83,2.50,1.40,2.55,1.50,1.83,1.73,3.50,2.15,1.53,3.00,1,1
37,2.90,1.45,12.0,3.85,1.80,2.50,1.39,2.60,1.50,1.81,1.75,3.50,2.15,1.53,3.20,1,1
38,2.90,1.45,12.0,3.85,1.81,2.50,1.37,2.65,1.50,1.79,1.77,3.50,2.10,1.56,3.15,1,1
