min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
3,2.00,1.82,12.0,2.70,2.25,1.50,1.63,1.98,1.50,1.51,2.20,1,1,1,3.30,0,0
5,2.00,1.82,12.0,2.70,2.25,1.50,1.63,1.98,1.50,1.51,2.20,1,1,1,3.30,0,0
6,2.00,1.82,12.0,2.70,2.25,1.50,1.62,2.00,1.50,1.50,2.25,1,1,1,3.30,0,0
7,2.00,1.83,12.0,2.70,2.30,1.50,1.60,2.00,1.50,1.49,2.25,1,1,1,3.30,0,0
8,2.00,1.83,11.5,2.70,2.30,1.50,1.58,2.05,1.50,1.48,2.30,1,1,1,3.25,0,0
9,2.00,1.84,11.5,2.70,2.30,1.50,1.57,2.05,1.50,1.46,2.35,1,1,1,3.25,0,0
10,2.00,1.84,11.0,2.70,2.30,1.50,1.55,2.10,1.50,1.45,2.40,1,1,1,3.20,0,0
11,2.00,1.84,11.0,2.75,2.30,1.50,1.54,2.10,1.50,1.44,2.40,1,1,1,3.20,0,0
12,1.95,1.95,10.5,2.50,2.50,1.50,1.47,2.30,1.50,1.47,2.30,1,1,1,3.20,0,0
13,1.95,1.95,10.0,2.50,2.50,1.50,1.46,2.35,1.50,1.46,2.35,1,1,1,3.15,0,0
14,1.96,1.96,10.0,2.55,2.55,1.50,1.45,2.40,1.50,1.45,2.40,1,1,1,3.15,0,0
15,1.97,1.97,10.0,2.55,2.55,1.50,1.44,2.45,1.50,1.44,2.45,1,1,1,3.10,0,0
16,1.97,1.97,9.50,2.55,2.55,1.50,1.43,2.45,1.50,1.43,2.45,1,1,1,3.10,0,0
17,1.98,1.98,9.00,2.55,2.55,1.50,1.41,2.50,1.50,1.41,2.50,1,1,1,3.10,0,0
18,1,1,1,1.57,4.70,1.50,1.48,2.30,1.50,2.80,1.34,3.50,1.62,2.00,3.60,0,1
19,1.98,1.98,9.00,1.56,4.80,1.50,1.47,2.30,1.50,2.80,1.34,3.50,1.60,2.00,3.60,0,1
20,1,1,1,1.56,4.90,1.50,1.46,2.35,1.50,2.75,1.35,3.50,1.58,2.05,3.60,0,1
21,1.98,1.98,9.00,1.56,4.95,1.50,1.44,2.40,1.50,2.70,1.36,3.50,1.56,2.10,3.55,0,1
