min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
4,1.46,3.05,9.50,1.54,6.00,0.50,2.20,1.51,1.50,2.05,1.57,1,1,1,3.25,0,0
5,1.46,3.05,9.50,1.54,6.00,0.50,2.20,1.51,1.50,2.05,1.57,1,1,1,3.25,0,0
6,1.46,3.05,9.00,1.54,5.50,0.50,2.20,1.52,1.50,2.00,1.59,1,1,1,3.20,0,0
7,1.46,3.05,9.00,1.55,6.00,0.50,2.15,1.53,1.50,2.00,1.61,1,1,1,3.20,0,0
8,1.46,3.10,9.00,1.55,5.50,0.50,2.15,1.54,1.50,1.99,1.63,1,1,1,3.20,0,0
9,1.55,2.60,10.5,1.70,4.05,0.50,2.45,1.43,1.50,1.77,1.79,1,1,1,3.35,0,0
10,1.55,2.60,10.0,1.71,4.00,0.50,2.45,1.43,1.50,1.75,1.82,1,1,1,3.35,0,0
11,1.56,2.65,10.0,1.72,4.00,0.50,2.40,1.44,1.50,1.73,1.84,1,1,1,3.30,0,0
12,1.56,2.65,10.0,1.73,4.00,0.50,2.40,1.45,1.50,1.71,1.86,1,1,1,3.30,0,0
13,1.56,2.65,9.50,1.73,4.00,0.50,2.35,1.46,1.50,1.69,1.89,1,1,1,3.30,0,0
14,1.57,2.65,9.00,1.74,4.05,0.50,2.30,1.47,1.50,1.67,1.92,1,1,1,3.25,0,0
15,1.57,2.65,9.00,1.75,4.05,0.50,2.30,1.48,1.50,1.65,1.95,1,1,1,3.25,0,0
16,1.58,2.65,9.00,1.76,4.05,0.50,2.25,1.49,1.50,1.63,1.98,1,1,1,3.20,0,0
17,1.58,2.70,8.50,1.76,4.05,0.50,2.25,1.50,1.50,1.61,2.00,1,1,1,3.20,0,0
18,1.59,2.70,8.50,1.76,4.05,0.50,2.20,1.51,1.50,1.60,2.00,1,1,1,3.15,0,0
19,1.59,2.70,8.00,1.78,4.00,0.50,2.20,1.52,1.50,1.58,2.05,1,1,1,3.15,0,0
20,1.60,2.70,8.00,1.78,4.05,0.50,2.15,1.53,1.50,1.56,2.10,1,1,1,3.10,0,0
21,1.60,2.70,7.50,1.80,4.05,0.50,2.10,1.54,1.50,1.54,2.10,1,1,1,3.10,0,0
22,1.61,2.70,7.50,1.80,4.00,0.50,2.10,1.56,1.50,1.53,2.15,1,1,1,3.10,0,0
23,1.61,2.70,7.00,1.81,4.05,0.50,2.05,1.57,1.50,1.51,2.20,1,1,1,3.05,0,0
24,1.62,2.75,7.00,1.83,4.05,0.50,2.05,1.58,1.50,1.50,2.25,1,1,1,3.00,0,0
25,1.62,2.75,7.00,1.84,4.05,0.50,2.00,1.60,1.50,1.48,2.30,1,1,1,3.00,0,0
26,1.63,2.75,6.50,1.86,4.05,0.50,2.00,1.61,1.50,1.47,2.30,1.50,2.40,1.45,3.00,0,0
27,1.64,2.75,6.50,1.86,4.05,0.50,1.99,1.62,1.50,1.45,2.40,1.50,2.35,1.46,2.95,0,0
28,1.64,2.80,6.00,1.88,4.10,0.50,1.96,1.64,1.50,1.44,2.40,1.50,2.30,1.48,2.90,0,0
29,1.65,2.80,6.00,4.05,1.77,1.50,1.94,1.66,1.50,1.43,2.45,1,1,1,3.20,1,0
30,1.65,2.80,6.00,4.10,1.76,1.50,1.91,1.67,1.50,1.41,2.50,1,1,1,3.20,1,0
31,1.65,2.80,6.00,4.15,1.75,1.50,1.89,1.69,1.50,1.40,2.55,1,1,1,3.15,1,0
32,1.65,2.80,6.00,4.20,1.74,1.50,1.86,1.71,1.50,1.39,2.60,1,1,1,3.15,1,0
33,1.65,2.80,6.00,9.50,1.26,2.50,1.58,2.05,1.50,1.47,2.30,3.50,2.05,1.57,4.60,2,0
34,1.65,2.80,6.00,9.50,1.26,2.50,1.58,2.05,1.50,1.45,2.40,3.50,2.05,1.57,4.60,2,0
35,1.65,2.80,6.00,7.50,1.33,2.50,1.44,2.40,1.50,1.51,2.20,3.50,2.05,1.57,4.20,2,0
36,1.65,2.80,6.00,8.00,1.32,2.50,1.43,2.45,1.50,1.49,2.25,3.50,1.99,1.63,4.20,2,0
37,1.65,2.80,6.00,8.00,1.31,2.50,1.42,2.50,1.50,1.48,2.30,3.50,1.94,1.65,4.25,2,0
38,1.65,2.80,6.00,8.50,1.30,2.50,1.41,2.50,1.50,1.46,2.35,3.50,1.90,1.68,4.30,2,0
39,1.65,2.80,6.00,9.00,1.29,2.50,1.40,2.55,1.50,1.44,2.40,3.50,1.86,1.71,4.35,2,0
40,1.65,2.80,6.00,9.00,1.28,2.50,1.39,2.60,1.50,1.43,2.45,3.50,1.82,1.74,4.40,2,0
41,1.65,2.80,6.00,9.50,1.27,2.50,1.38,2.65,1.50,1.41,2.50,3.50,1.78,1.78,4.40,2,0
42,1.65,2.80,6.00,3.50,1.94,2.50,1.56,2.10,2.50,1.42,2.50,4.50,1.98,1.63,3.15,2,1
43,1.65,2.80,6.00,3.55,1.92,2.50,1.55,2.10,2.50,1.40,2.55,4.50,1.93,1.66,3.10,2,1
44,1.65,2.80,6.00,1.68,5.00,2.50,1.49,2.25,3.50,1.37,2.70,5.50,1.82,1.75,2.90,2,2
45,1.65,2.80,6.00,1.70,5.00,2.50,1.48,2.30,3.50,1.35,2.75,5.50,1.78,1.78,2.85,2,2
46,1.65,2.80,6.00,1.71,5.00,2.50,1.47,2.30,3.50,1.34,2.80,5.50,1.74,1.82,2.80,2,2
47,1.65,2.80,6.00,1.72,5.00,2.50,1.46,2.35,2.50,2.80,1.34,5.50,1.71,1.87,2.80,2,2
48,1.65,2.80,6.00,1.74,5.00,2.50,1.44,2.40,2.50,2.75,1.36,5.50,1.67,1.91,2.75,2,2
49,1.65,2.80,6.00,1.76,5.00,2.50,1.43,2.45,2.50,2.65,1.37,5.50,1.64,1.97,2.70,2,2
50,1.65,2.80,6.00,1.06,21.0,2.50,1.42,2.50,3.50,2.60,1.39,6.50,1.61,2.00,7.00,2,3
51,1.65,2.80,6.00,1.06,21.0,2.50,1.40,2.55,3.50,2.55,1.40,6.50,1.57,2.05,6.50,2,3
52,1.65,2.80,6.00,1.10,16.0,2.50,1.48,2.30,3.50,2.30,1.48,6.50,1.54,2.10,6.00,2,3
53,1.65,2.80,6.00,1.10,16.0,2.50,1.47,2.30,3.50,2.25,1.50,6.50,1.52,2.20,6.00,2,3
54,1.65,2.80,6.00,1.09,16.0,2.50,1.45,2.40,3.50,2.20,1.52,6.50,1.49,2.25,6.00,2,3
55,1.65,2.80,6.00,1.09,16.0,2.50,1.44,2.40,3.50,2.15,1.54,6.50,1.47,2.30,6.00,2,3
56,1.65,2.80,6.00,1.15,13.0,2.50,1.57,2.05,3.50,2.10,1.56,6.50,1.52,2.15,5.00,2,3
57,1.65,2.80,6.00,1.15,13.0,2.50,1.55,2.10,3.50,2.05,1.58,6.50,1.50,2.25,5.00,2,3
58,1.65,2.80,6.00,1.15,13.0,2.50,1.53,2.15,3.50,2.00,1.61,6.50,1.47,2.30,5.00,2,3
59,1.65,2.80,6.00,1.15,14.0,2.50,1.51,2.20,3.50,1.97,1.63,6.50,1.45,2.40,5.00,2,3
60,1.65,2.80,6.00,1.15,14.0,2.50,1.49,2.25,3.50,1.92,1.66,6.50,1.42,2.50,5.00,2,3
61,1.65,2.80,6.00,1.14,14.0,2.50,1.47,2.30,3.50,1.88,1.70,6.50,1.40,2.60,5.00,2,3
62,1.65,2.80,6.00,1.14,14.0,2.50,1.45,2.40,3.50,1.83,1.73,6.50,1.37,2.70,5.00,2,3
63,1.65,2.80,6.00,1.13,15.0,2.50,1.44,2.45,3.50,1.79,1.77,6.50,1.35,2.80,5.00,2,3
64,1.65,2.80,6.00,1.13,15.0,2.50,1.42,2.50,3.50,1.75,1.81,5.50,2.80,1.34,5.00,2,3
65,1.65,2.80,6.00,1.12,16.0,2.50,1.40,2.55,3.50,1.71,1.86,5.50,2.70,1.37,5.00,2,3
66,1.65,2.80,6.00,1.12,16.0,2.50,1.38,2.60,3.50,1.67,1.91,5.50,2.60,1.39,5.00,2,3
67,1.65,2.80,6.00,1.12,17.0,2.50,1.37,2.70,3.50,1.64,1.97,5.50,2.50,1.41,5.00,2,3
68,1.65,2.80,6.00,1.11,17.0,2.50,1.35,2.75,3.50,1.61,2.00,5.50,2.40,1.44,5.50,2,3
69,1.65,2.80,6.00,1.11,18.0,2.50,1.33,2.85,3.50,1.57,2.05,5.50,2.30,1.47,5.50,2,3
70,1.65,2.80,6.00,1.10,18.0,2.50,1.31,2.95,3.50,1.54,2.10,5.50,2.25,1.50,5.50,2,3
71,1.65,2.80,6.00,1.09,19.0,2.50,1.29,3.05,3.50,1.51,2.20,5.50,2.15,1.53,5.50,2,3
72,1.65,2.80,6.00,1.09,20.0,2.50,1.27,3.15,3.50,1.49,2.30,5.50,2.05,1.57,5.50,2,3
73,1.65,2.80,6.00,1.08,20.0,2.50,1.25,3.25,3.50,1.46,2.35,5.50,2.00,1.61,6.00,2,3
74,1.65,2.80,6.00,1.08,21.0,2.50,1.23,3.35,3.50,1.43,2.45,5.50,1.93,1.66,6.00,2,3
75,1.65,2.80,6.00,1.07,22.0,2.50,1.21,3.50,3.50,1.40,2.55,5.50,1.86,1.71,6.00,2,3
76,1.65,2.80,6.00,1.07,23.0,2.50,1.19,3.60,3.50,1.38,2.65,5.50,1.78,1.78,6.00,2,3
77,1.65,2.80,6.00,1.06,24.0,2.50,1.17,3.80,3.50,1.35,2.75,5.50,1.72,1.85,6.50,2,3
78,1.65,2.80,6.00,1.06,25.0,2.50,1.15,3.95,3.50,1.32,2.90,5.50,1.66,1.94,6.50,2,3
