min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.46,3.10,8.50,1.55,5.50,0.50,2.05,1.58,1.50,1.90,1.68,1,1,1,3.20,0,0
2,1.46,3.10,8.50,1.55,5.50,0.50,2.05,1.58,1.50,1.90,1.68,1,1,1,3.20,0,0
3,1.46,3.10,8.50,1.55,5.50,0.50,2.05,1.58,1.50,1.90,1.68,1,1,1,3.20,0,0
4,1.46,3.10,8.50,1.55,5.50,0.50,2.05,1.58,1.50,1.90,1.68,1,1,1,3.20,0,0
5,1.46,3.10,8.50,1.55,5.50,0.50,2.05,1.58,1.50,1.90,1.68,1,1,1,3.20,0,0
6,1.47,3.10,8.50,1.56,5.50,0.50,2.00,1.59,1.50,1.87,1.70,1,1,1,3.20,0,0
7,1.47,3.10,8.00,1.57,5.50,0.50,2.00,1.60,1.50,1.85,1.72,1,1,1,3.15,0,0
8,1.47,3.10,8.00,1.57,5.50,0.50,2.00,1.61,1.50,1.82,1.75,1,1,1,3.15,0,0
9,1.48,3.15,8.00,1.58,5.50,0.50,1.99,1.63,1.50,1.79,1.77,1,1,1,3.10,0,0
10,1.48,3.15,7.50,1.58,5.50,0.50,1.97,1.64,1.50,1.77,1.79,1,1,1,3.10,0,0
11,1.48,3.15,7.50,1.59,5.50,0.50,1.95,1.65,1.50,1.75,1.82,1,1,1,3.10,0,0
12,1.49,3.15,7.00,1.60,5.50,0.50,1.92,1.66,1.50,1.73,1.84,1,1,1,3.05,0,0
13,1.49,3.15,7.00,1.61,5.50,0.50,1.91,1.68,1.50,1.70,1.87,1,1,1,3.00,0,0
14,1.50,3.20,7.00,1.61,5.50,0.50,1.89,1.69,1.50,1.69,1.89,1,1,1,3.00,0,0
