min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
10,1.89,2.30,7.50,2.30,3.10,0.50,2.50,1.46,1.50,1.41,2.70,1,1,1,3.10,0,0
11,1.89,2.30,7.50,2.30,3.10,0.50,2.50,1.47,1.50,1.40,2.75,1,1,1,3.05,0,0
12,1.90,2.30,7.00,2.30,3.10,0.50,2.45,1.48,1.50,1.39,2.80,1.50,2.50,1.46,3.05,0,0
13,1.91,2.30,7.00,2.30,3.10,0.50,2.40,1.49,1.50,1.38,2.85,1.50,2.45,1.47,3.00,0,0
14,2.05,2.05,7.00,2.70,2.70,0.50,2.75,1.40,0.50,2.75,1.40,1,1,1,3.05,0,0
15,2.10,2.10,7.00,2.70,2.70,0.50,2.70,1.41,0.50,2.70,1.41,1.50,2.50,1.47,3.00,0,0
16,2.10,2.10,7.00,2.70,2.70,0.50,2.65,1.42,0.50,2.65,1.42,1.50,2.40,1.49,3.00,0,0
17,2.10,2.10,6.50,2.70,2.70,0.50,2.60,1.43,0.50,2.60,1.43,1.50,2.40,1.50,2.95,0,0
18,2.10,2.10,6.50,2.70,2.70,0.50,2.60,1.44,0.50,2.60,1.44,1.50,2.30,1.52,2.95,0,0
19,2.10,2.10,6.00,2.70,2.70,0.50,2.55,1.45,0.50,2.55,1.45,1.50,2.30,1.53,2.90,0,0
20,2.10,2.10,6.00,2.70,2.70,0.50,2.50,1.46,0.50,2.50,1.46,1.50,2.25,1.55,2.90,0,0
21,2.40,2.00,5.00,3.30,2.50,0.50,2.70,1.41,0.50,2.30,1.54,1.50,2.10,1.61,2.60,0,0
22,2.40,2.00,5.00,3.30,2.55,0.50,2.65,1.42,0.50,2.25,1.55,1.50,2.05,1.63,2.60,0,0
23,2.40,2.00,5.00,3.30,2.55,0.50,2.60,1.43,0.50,2.20,1.56,1.50,2.00,1.65,2.60,0,0
24,2.45,2.00,5.00,3.30,2.60,0.50,2.60,1.44,0.50,2.20,1.57,1.50,2.00,1.67,2.55,0,0
25,2.45,2.05,5.00,3.30,2.60,0.50,2.55,1.45,0.50,2.15,1.59,1.50,1.97,1.70,2.55,0,0
26,2.45,2.05,4.90,3.30,2.60,0.50,2.50,1.46,0.50,2.10,1.60,1.50,1.93,1.72,2.50,0,0
