min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,4.55,1.14,20.0,13.0,1.08,2.50,2.10,1.56,0.50,1.83,1.73,3.50,1.80,1.77,7.50,0,0
2,4.55,1.14,20.0,13.0,1.08,2.50,2.10,1.56,0.50,1.83,1.73,3.50,1.80,1.77,7.50,0,0
3,4.55,1.14,20.0,32.0,1.02,3.50,2.10,1.56,0.50,1.83,1.73,4.50,1.80,1.77,16.0,1,0
4,4.55,1.14,20.0,27.0,1.02,3.50,1.97,1.64,0.50,2.00,1.61,4.50,1.77,1.80,14.0,1,0
5,4.55,1.14,20.0,27.0,1.02,3.50,1.97,1.64,0.50,2.00,1.61,4.50,1.77,1.80,14.0,1,0
6,4.55,1.14,20.0,26.0,1.02,3.50,1.93,1.66,0.50,1.99,1.63,4.50,1.74,1.83,14.0,1,0
7,4.55,1.14,20.0,27.0,1.02,3.50,1.90,1.68,0.50,1.97,1.64,4.50,1.71,1.86,14.0,1,0
8,4.55,1.14,20.0,26.0,1.02,3.50,1.86,1.71,0.50,1.94,1.65,4.50,1.68,1.91,13.0,1,0
9,4.55,1.14,20.0,26.0,1.02,3.50,1.83,1.74,0.50,1.92,1.66,4.50,1.65,1.95,13.0,1,0
10,4.55,1.14,20.0,26.0,1.02,3.50,1.80,1.77,0.50,1.90,1.68,4.50,1.62,1.99,13.0,1,0
11,4.55,1.14,20.0,26.0,1.02,3.50,1.77,1.79,0.50,1.88,1.69,4.50,1.60,2.00,13.0,1,0
12,4.55,1.14,20.0,26.0,1.02,3.50,1.74,1.82,0.50,1.87,1.71,4.50,1.57,2.05,13.0,1,0
13,4.55,1.14,20.0,26.0,1.02,3.50,1.72,1.85,0.50,1.85,1.72,4.50,1.55,2.10,13.0,1,0
14,4.55,1.14,20.0,26.0,1.02,3.50,1.69,1.89,0.50,1.83,1.73,4.50,1.53,2.15,13.0,1,0
15,4.55,1.14,20.0,42.0,1.02,3.50,1.48,2.30,0.50,1.41,2.50,3.50,1.82,1.75,15.0,1,0
16,4.55,1.14,20.0,43.0,1.02,3.50,1.47,2.35,0.50,1.40,2.55,3.50,1.78,1.78,15.0,1,0
17,4.55,1.14,20.0,43.0,1.02,3.50,1.45,2.40,0.50,1.40,2.60,3.50,1.75,1.82,15.0,1,0
18,4.55,1.14,20.0,42.0,1.02,3.50,1.44,2.40,0.50,1.39,2.60,3.50,1.73,1.84,15.0,1,0
19,4.55,1.14,20.0,43.0,1.02,2.50,2.50,1.42,0.50,1.38,2.60,3.50,1.70,1.88,15.0,1,0
20,4.55,1.14,20.0,43.0,1.02,2.50,2.40,1.44,0.50,1.38,2.65,3.50,1.67,1.92,15.0,1,0
21,4.55,1.14,20.0,42.0,1.02,2.50,2.40,1.45,0.50,1.37,2.70,3.50,1.65,1.95,15.0,1,0
22,4.55,1.14,20.0,43.0,1.02,2.50,2.35,1.47,0.50,1.36,2.70,3.50,1.62,1.99,15.0,1,0
