min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
4,1.48,2.70,13.0,1.57,4.35,0.50,2.50,1.42,1.50,2.00,1.61,1,1,1,3.75,0,0
5,1.48,2.70,13.0,1.57,4.35,0.50,2.50,1.42,1.50,2.00,1.61,1,1,1,3.75,0,0
6,1.48,2.70,13.0,1.57,4.30,0.50,2.45,1.43,1.50,1.98,1.63,1,1,1,3.70,0,0
7,1.48,2.75,12.0,1.58,4.30,0.50,2.40,1.44,1.50,1.95,1.65,1,1,1,3.70,0,0
8,1.49,2.75,12.0,1.58,4.30,0.50,2.40,1.45,1.50,1.92,1.67,1,1,1,3.70,0,0
9,1.49,2.75,12.0,1.59,4.30,0.50,2.35,1.46,1.50,1.89,1.69,1,1,1,3.65,0,0
10,1.49,2.75,11.5,1.60,4.30,0.50,2.35,1.46,1.50,1.86,1.71,1,1,1,3.60,0,0
11,1.49,2.75,11.0,1.60,4.35,0.50,2.30,1.47,1.50,1.84,1.73,1,1,1,3.60,0,0
12,1.50,2.75,11.0,1.61,4.30,0.50,2.30,1.48,1.50,1.81,1.75,1,1,1,3.55,0,0
13,1.50,2.80,10.5,1.61,4.30,0.50,2.25,1.49,1.50,1.79,1.78,1,1,1,3.55,0,0
14,1.50,2.80,10.5,1.62,4.30,0.50,2.25,1.50,1.50,1.76,1.80,1,1,1,3.50,0,0
15,1.51,2.80,10.0,1.63,4.30,0.50,2.20,1.51,1.50,1.74,1.83,1,1,1,3.50,0,0
16,1.51,2.80,10.0,3.05,2.00,1.50,2.20,1.52,1.50,1.72,1.85,3.50,1.64,1.97,3.40,1,0
17,1.51,2.80,10.0,2.90,1.96,1.50,2.35,1.46,1.50,1.79,1.77,3.50,1.76,1.80,3.70,1,0
18,1.51,2.80,10.0,2.95,1.95,1.50,2.30,1.47,1.50,1.77,1.80,3.50,1.73,1.84,3.70,1,0
19,1.51,2.80,10.0,3.00,1.94,1.50,2.30,1.48,1.50,1.75,1.82,3.50,1.70,1.87,3.65,1,0
20,1.51,2.80,10.0,3.05,1.93,1.50,2.25,1.49,1.50,1.72,1.85,3.50,1.68,1.91,3.65,1,0
21,1.51,2.80,10.0,3.05,1.92,1.50,2.20,1.50,1.50,1.70,1.88,3.50,1.65,1.94,3.65,1,0
22,1.51,2.80,10.0,3.10,1.91,1.50,2.20,1.52,1.50,1.68,1.91,3.50,1.63,1.99,3.60,1,0
23,1.51,2.80,10.0,3.10,1.90,1.50,2.15,1.53,1.50,1.65,1.94,3.50,1.60,2.00,3.60,1,0
