min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
5,1.66,2.45,11.0,1.92,3.60,0.50,2.80,1.39,1,1,1,1,1,1,3.35,0,0
6,1.67,2.45,10.5,1.27,8.50,0.50,2.90,1.37,2.50,1.76,1.88,3.50,1.92,1.73,5.00,0,1
7,1.67,2.45,10.5,1.27,8.50,0.50,2.85,1.37,2.50,1.75,1.90,3.50,1.89,1.75,5.00,0,1
8,1.67,2.45,10.5,1.27,8.50,0.50,2.80,1.38,2.50,1.72,1.93,3.50,1.86,1.78,5.00,0,1
9,1.67,2.45,10.5,1.27,8.50,0.50,2.80,1.39,2.50,1.70,1.96,3.50,1.83,1.81,5.00,0,1
10,1.67,2.45,10.5,1.27,8.50,0.50,2.75,1.40,2.50,1.68,1.99,3.50,1.80,1.84,5.00,0,1
11,1.67,2.45,10.5,1.27,8.50,0.50,2.70,1.40,2.50,1.67,2.00,3.50,1.77,1.88,5.00,0,1
12,1.67,2.45,10.5,1.26,8.50,0.50,2.70,1.41,2.50,1.65,2.00,3.50,1.74,1.91,5.00,0,1
13,1.67,2.45,10.5,1.26,9.00,0.50,2.65,1.42,2.50,1.63,2.05,3.50,1.71,1.95,5.00,0,1
14,1.67,2.45,10.5,1.26,9.00,0.50,2.60,1.43,2.50,1.61,2.10,3.50,1.68,1.99,5.00,0,1
15,1.67,2.45,10.5,1.26,9.00,0.50,2.60,1.44,2.50,1.60,2.10,3.50,1.66,2.00,5.00,0,1
16,1.67,2.45,10.5,1.94,3.45,1.50,2.55,1.45,2.50,1.58,2.15,4.50,1.64,2.05,3.40,1,1
17,1.67,2.45,10.5,1.88,3.50,1.50,2.70,1.41,2.50,1.69,1.99,4.50,1.78,1.86,3.60,1,1
18,1.67,2.45,10.5,1.88,3.50,1.50,2.65,1.42,2.50,1.67,2.00,4.50,1.75,1.90,3.55,1,1
19,1.67,2.45,10.5,1.25,9.00,1.50,2.60,1.43,3.50,1.65,2.00,5.50,1.72,1.94,5.00,1,2
20,1.67,2.45,10.5,1.25,9.00,1.50,2.60,1.44,3.50,1.63,2.05,5.50,1.69,1.98,5.00,1,2
21,1.67,2.45,10.5,1.25,9.00,1.50,2.55,1.45,3.50,1.61,2.10,5.50,1.67,2.00,5.00,1,2
22,1.67,2.45,10.5,1.25,9.00,1.50,2.50,1.46,3.50,1.59,2.15,5.50,1.64,2.05,5.00,1,2
23,1.67,2.45,10.5,1.34,7.00,2.50,1.37,2.85,3.50,1.58,2.20,5.50,1.75,1.89,4.90,1,2
24,1.67,2.45,10.5,1.34,7.00,2.50,1.37,2.90,3.50,1.56,2.20,5.50,1.73,1.93,4.90,1,2
25,1.67,2.45,10.5,1.34,7.00,1.50,2.85,1.37,3.50,1.54,2.25,5.50,1.70,1.97,4.85,1,2
26,1.67,2.45,10.5,1.34,7.00,1.50,2.85,1.38,3.50,1.53,2.30,5.50,1.67,2.00,4.85,1,2
27,1.67,2.45,10.5,1.34,7.50,1.50,2.80,1.39,3.50,1.51,2.35,5.50,1.65,2.05,4.80,1,2
28,1.67,2.45,10.5,1.34,7.50,1.50,2.75,1.40,3.50,1.50,2.40,5.50,1.62,2.10,4.80,1,2
29,1.67,2.45,10.5,1.33,7.50,1.50,2.70,1.41,3.50,1.49,2.40,5.50,1.59,2.15,4.80,1,2
30,1.67,2.45,10.5,1.33,7.50,1.50,2.65,1.42,3.50,1.47,2.50,5.50,1.57,2.20,4.80,1,2
31,1.67,2.45,10.5,1.33,7.50,1.50,2.60,1.44,3.50,1.46,2.50,5.50,1.54,2.25,4.75,1,2
32,1.67,2.45,10.5,1.33,8.00,1.50,2.55,1.45,3.50,1.44,2.60,5.50,1.52,2.30,4.75,1,2
33,1.67,2.45,10.5,1.33,8.00,1.50,2.50,1.46,3.50,1.43,2.60,5.50,1.50,2.40,4.75,1,2
34,1.67,2.45,10.5,1.33,8.00,1.50,2.50,1.47,3.50,1.42,2.70,5.50,1.48,2.45,4.70,1,2
35,1.67,2.45,10.5,1.32,8.00,1.50,2.45,1.48,3.50,1.40,2.70,5.50,1.46,2.50,4.70,1,2
