min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
2,1.47,2.65,20.0,1.50,4.45,1.50,1.47,2.50,2.50,1.57,2.20,3.50,1.81,1.84,4.65,0,0
3,1.47,2.65,20.0,1.50,4.45,1.50,1.47,2.50,2.50,1.57,2.20,3.50,1.81,1.84,4.65,0,0
4,1.47,2.65,20.0,1.50,4.45,1.50,1.47,2.50,2.50,1.57,2.20,3.50,1.81,1.84,4.65,0,0
5,1.47,2.65,20.0,1.50,4.45,1.50,1.47,2.50,2.50,1.57,2.20,3.50,1.81,1.84,4.65,0,0
6,1.75,2.00,20.0,2.05,2.70,1.50,1.82,1.82,1.50,2.15,1.59,3.50,1.77,1.88,4.10,0,0
7,1.75,2.00,20.0,2.10,2.70,1.50,1.80,1.84,1.50,2.10,1.60,3.50,1.74,1.91,4.05,0,0
8,1.75,2.00,20.0,2.10,2.70,1.50,1.78,1.87,1.50,2.10,1.62,3.50,1.71,1.95,4.05,0,0
9,1.75,2.00,20.0,3.95,1.57,2.50,1.87,1.78,1.50,2.05,1.64,4.50,1.74,1.91,4.60,1,0
10,1.75,2.00,20.0,3.95,1.56,2.50,1.84,1.80,1.50,2.00,1.65,4.50,1.72,1.94,4.60,1,0
11,1.75,2.00,20.0,4.00,1.56,2.50,1.82,1.82,1.50,2.00,1.67,4.50,1.69,1.98,4.55,1,0
12,1.75,2.00,20.0,4.95,1.44,2.50,1.98,1.69,1.50,1.79,1.85,4.50,1.66,2.00,4.90,1,0
13,1.75,2.00,20.0,5.50,1.37,2.50,2.30,1.53,1.50,1.78,1.87,4.50,1.80,1.84,5.00,1,0
14,1.75,2.00,20.0,5.50,1.37,2.50,2.25,1.55,1.50,1.75,1.90,4.50,1.76,1.89,5.00,1,0
15,1.75,2.00,20.0,5.50,1.37,2.50,2.20,1.57,1.50,1.73,1.93,4.50,1.73,1.93,5.00,1,0
16,1.75,2.00,20.0,5.50,1.37,2.50,2.15,1.58,1.50,1.71,1.95,4.50,1.70,1.97,5.00,1,0
17,1.75,2.00,20.0,5.50,1.37,2.50,2.10,1.60,1.50,1.69,1.99,4.50,1.67,2.00,5.00,1,0
18,1.75,2.00,20.0,5.50,1.37,2.50,2.10,1.62,1.50,1.67,2.00,4.50,1.64,2.05,5.00,1,0
19,1.75,2.00,20.0,5.50,1.38,2.50,1.83,1.81,1.50,1.57,2.20,3.50,2.35,1.52,5.00,1,0
20,1.75,2.00,20.0,5.50,1.38,2.50,1.81,1.84,1.50,1.56,2.20,3.50,2.30,1.54,4.95,1,0
21,1.75,2.00,20.0,6.00,1.37,2.50,1.69,1.98,1.50,1.48,2.45,3.50,2.00,1.65,4.90,1,0
22,1.75,2.00,20.0,6.00,1.37,2.50,1.67,2.00,1.50,1.47,2.50,3.50,2.00,1.68,4.90,1,0
23,1.75,2.00,20.0,7.00,1.33,2.50,1.65,2.05,1.50,1.40,2.75,3.50,1.87,1.78,5.00,1,0
24,1.75,2.00,20.0,7.00,1.33,2.50,1.63,2.05,1.50,1.39,2.80,3.50,1.83,1.81,5.00,1,0
25,1.75,2.00,20.0,7.00,1.33,2.50,1.61,2.10,1.50,1.38,2.85,3.50,1.80,1.85,5.00,1,0
26,1.75,2.00,20.0,7.00,1.33,2.50,1.59,2.15,1.50,1.37,2.85,3.50,1.77,1.88,5.00,1,0
27,1.75,2.00,20.0,8.50,1.27,2.50,1.60,2.10,0.50,2.70,1.42,3.50,1.70,1.97,5.00,1,0
28,1.75,2.00,20.0,8.50,1.27,2.50,1.59,2.15,0.50,2.65,1.43,3.50,1.67,2.00,5.00,1,0
29,1.75,2.00,20.0,8.50,1.27,2.50,1.57,2.20,0.50,2.60,1.44,3.50,1.64,2.05,5.00,1,0
30,1.75,2.00,20.0,8.50,1.27,2.50,1.55,2.25,0.50,2.55,1.45,3.50,1.61,2.10,5.00,1,0
31,1.75,2.00,20.0,8.50,1.29,2.50,1.46,2.50,0.50,2.40,1.49,3.50,1.50,2.40,4.95,1,0
32,1.75,2.00,20.0,9.00,1.29,2.50,1.44,2.60,0.50,2.40,1.50,3.50,1.48,2.45,4.90,1,0
33,1.75,2.00,20.0,9.00,1.29,2.50,1.43,2.60,0.50,2.35,1.51,3.50,1.46,2.50,4.90,1,0
34,1.75,2.00,20.0,9.00,1.29,2.50,1.42,2.70,0.50,2.30,1.53,1,1,1,4.90,1,0
35,1.75,2.00,20.0,9.00,1.29,2.50,1.40,2.70,0.50,2.25,1.54,1,1,1,4.90,1,0
36,1.75,2.00,20.0,9.00,1.28,2.50,1.39,2.80,0.50,2.20,1.56,1,1,1,4.90,1,0
37,1.75,2.00,20.0,9.50,1.28,2.50,1.38,2.85,0.50,2.20,1.57,1,1,1,4.90,1,0
38,1.75,2.00,20.0,9.50,1.28,1.50,2.90,1.36,0.50,2.15,1.59,1,1,1,4.85,1,0
39,1.75,2.00,20.0,10.0,1.28,1.50,2.85,1.37,0.50,2.10,1.60,1,1,1,4.85,1,0
40,1.75,2.00,20.0,8.50,1.33,1.50,2.80,1.39,0.50,2.30,1.54,1,1,1,4.60,1,0
41,1.75,2.00,20.0,8.50,1.32,1.50,2.75,1.40,0.50,2.25,1.55,1,1,1,4.60,1,0
42,1.75,2.00,20.0,9.00,1.32,1.50,2.70,1.41,0.50,2.20,1.57,1,1,1,4.60,1,0
43,1.75,2.00,20.0,9.00,1.32,1.50,2.65,1.43,0.50,2.15,1.58,1,1,1,4.60,1,0
44,1.75,2.00,20.0,9.00,1.32,1.50,2.60,1.44,0.50,2.10,1.60,1,1,1,4.55,1,0
45,1.75,2.00,20.0,9.50,1.31,1.50,2.60,1.44,0.50,2.10,1.62,1,1,1,4.60,1,0
46,1.75,2.00,20.0,27.0,1.04,2.50,2.50,1.45,0.50,2.05,1.64,3.50,2.00,1.68,12.0,2,0
47,1.75,2.00,20.0,28.0,1.04,2.50,2.55,1.45,0.50,2.00,1.66,3.50,2.00,1.68,12.0,2,0
48,1.75,2.00,20.0,29.0,1.04,2.50,2.50,1.46,0.50,1.99,1.68,3.50,1.94,1.72,12.0,2,0
