min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.21,4.85,14.0,1.16,16.0,0.50,1.74,1.92,2.50,1.85,1.79,3.50,1.52,2.30,5.00,0,0
2,1.21,4.85,14.0,1.16,16.0,0.50,1.74,1.92,2.50,1.85,1.79,3.50,1.52,2.30,5.00,0,0
3,1.21,4.85,14.0,1.16,16.0,0.50,1.74,1.92,2.50,1.85,1.79,3.50,1.52,2.30,5.00,0,0
4,1.21,4.85,14.0,1.16,16.0,0.50,1.74,1.92,2.50,1.85,1.79,3.50,1.52,2.30,5.00,0,0
6,1.26,4.25,14.0,1.21,13.0,0.50,1.92,1.74,2.50,1.77,1.87,3.50,1.53,2.30,4.85,0,0
7,1.26,4.25,14.0,1.22,13.0,0.50,1.90,1.75,2.50,1.75,1.90,3.50,1.51,2.35,4.80,0,0
8,1.26,4.30,14.0,1.23,13.0,0.50,1.88,1.76,2.50,1.72,1.94,3.50,1.49,2.40,4.75,0,0
9,1.27,4.30,14.0,1.24,13.0,0.50,1.87,1.78,2.50,1.69,1.98,3.50,1.47,2.45,4.70,0,0
10,1.27,4.30,13.0,1.24,13.0,0.50,1.85,1.79,2.50,1.67,2.00,1,1,1,4.65,0,0
11,1.27,4.30,13.0,1.24,12.0,0.50,1.83,1.81,2.50,1.65,2.00,1,1,1,4.60,0,0
12,1.27,4.30,13.0,1.25,12.0,0.50,1.82,1.82,2.50,1.63,2.05,1,1,1,4.55,0,0
13,1.28,4.30,12.0,1.25,12.0,0.50,1.80,1.84,2.50,1.61,2.10,1,1,1,4.50,0,0
14,1.22,5.00,13.0,1.18,16.0,0.50,1.63,2.05,2.50,1.68,1.99,1,1,1,4.95,0,0
15,1.22,5.00,12.0,1.19,16.0,0.50,1.62,2.10,2.50,1.66,2.00,1,1,1,4.90,0,0
16,1.22,5.00,12.0,1.20,16.0,0.50,1.61,2.10,2.50,1.64,2.05,1,1,1,4.80,0,0
17,1.23,5.00,12.0,1.20,16.0,0.50,1.60,2.10,2.50,1.62,2.10,1,1,1,4.75,0,0
18,1.23,5.00,11.5,1.20,16.0,0.50,1.59,2.15,2.50,1.60,2.10,1,1,1,4.70,0,0
19,1.23,5.00,11.5,1.21,16.0,0.50,1.58,2.20,2.50,1.58,2.20,1,1,1,4.65,0,0
20,1.24,5.00,11.0,1.22,16.0,0.50,1.56,2.20,2.50,1.56,2.20,1,1,1,4.60,0,0
21,1.24,5.00,11.0,1.22,15.0,0.50,1.56,2.20,2.50,1.54,2.30,1,1,1,4.50,0,0
22,1.27,4.60,11.5,1.25,13.0,0.50,1.67,2.00,2.50,1.54,2.25,1,1,1,4.40,0,0
23,1.19,5.00,14.0,1.16,13.0,0.50,1.54,2.30,2.50,1.57,2.20,1,1,1,5.50,0,0
24,1.20,5.00,14.0,1.17,12.0,0.50,1.53,2.30,2.50,1.55,2.25,1,1,1,5.50,0,0
25,1.20,5.00,13.0,1.18,12.0,0.50,1.52,2.30,2.50,1.53,2.30,1,1,1,5.50,0,0
26,1.20,5.00,13.0,1.19,12.0,0.50,1.51,2.35,2.50,1.51,2.35,1,1,1,5.50,0,0
