min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.43,3.50,9.00,1.49,6.00,0.50,1.79,1.85,1.50,1.84,1.80,1,1,1,3.70,0,0
2,1.43,3.50,9.00,1.49,6.00,0.50,1.79,1.85,1.50,1.84,1.80,1,1,1,3.70,0,0
3,1.43,3.50,9.00,1.49,6.00,0.50,1.79,1.85,1.50,1.84,1.80,1,1,1,3.70,0,0
4,1.43,3.50,9.00,1.49,6.00,0.50,1.79,1.85,1.50,1.84,1.80,1,1,1,3.70,0,0
5,1.43,3.50,9.00,1.49,6.00,0.50,1.79,1.85,1.50,1.84,1.80,1,1,1,3.70,0,0
6,1.44,3.50,8.50,1.50,6.00,0.50,1.78,1.87,1.50,1.82,1.82,1,1,1,3.65,0,0
7,1.44,3.50,8.50,1.50,6.00,0.50,1.76,1.88,1.50,1.80,1.84,1,1,1,3.60,0,0
8,1.45,3.55,8.00,1.51,6.00,0.50,1.75,1.90,1.50,1.78,1.87,1,1,1,3.60,0,0
9,1.45,3.55,8.00,1.52,6.00,0.50,1.74,1.92,1.50,1.75,1.89,1,1,1,3.55,0,0
10,1.45,3.55,8.00,1.52,6.00,0.50,1.72,1.93,1.50,1.74,1.92,1,1,1,3.50,0,0
11,1.46,3.55,7.50,1.53,6.00,0.50,1.71,1.95,1.50,1.71,1.95,1,1,1,3.50,0,0
12,1.46,3.60,7.50,1.53,6.00,0.50,1.70,1.97,1.50,1.69,1.98,1,1,1,3.45,0,0
13,1.47,3.60,7.00,1.54,6.00,0.50,1.68,1.99,1.50,1.68,2.00,1,1,1,3.45,0,0
14,1.47,3.60,7.00,1.54,6.00,0.50,1.67,2.00,1.50,1.66,2.00,1.50,2.50,1.47,3.40,0,0
15,1.47,3.60,7.00,1.55,6.00,0.50,1.66,2.00,1.50,1.64,2.05,1.50,2.40,1.49,3.40,0,0
16,1.48,3.60,6.50,1.56,6.00,0.50,1.65,2.00,1.50,1.62,2.10,1.50,2.40,1.50,3.35,0,0
17,1.48,3.60,6.50,1.56,6.00,0.50,1.64,2.05,1.50,1.60,2.10,1.50,2.35,1.51,3.30,0,0
18,1.49,3.65,6.50,1.57,6.00,0.50,1.63,2.05,1.50,1.59,2.15,1.50,2.30,1.53,3.30,0,0
19,1.49,3.65,6.00,1.58,6.00,0.50,1.61,2.10,1.50,1.57,2.20,1.50,2.25,1.54,3.25,0,0
20,1.50,3.70,6.00,1.58,6.00,0.50,1.60,2.10,1.50,1.56,2.20,1.50,2.20,1.56,3.25,0,0
21,1.50,3.70,6.00,1.59,6.00,0.50,1.59,2.15,1.50,1.54,2.25,1.50,2.15,1.58,3.20,0,0
