min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.82,2.10,12.0,2.20,2.85,1.50,1.51,2.35,1.50,1.68,2.00,1,1,1,3.40,0,0
2,1.82,2.10,12.0,2.20,2.85,1.50,1.51,2.35,1.50,1.68,2.00,1,1,1,3.40,0,0
3,1.82,2.10,12.0,2.20,2.85,1.50,1.51,2.35,1.50,1.68,2.00,1,1,1,3.40,0,0
4,1.82,2.10,12.0,2.20,2.85,1.50,1.51,2.35,1.50,1.68,2.00,1,1,1,3.40,0,0
5,1.82,2.10,12.0,2.20,2.85,1.50,1.51,2.35,1.50,1.68,2.00,1,1,1,3.40,0,0
6,1.83,2.10,12.0,2.25,2.90,1.50,1.49,2.40,1.50,1.66,2.00,1,1,1,3.40,0,0
7,1.83,2.10,12.0,2.25,2.90,1.50,1.48,2.45,1.50,1.64,2.05,1,1,1,3.35,0,0
8,1.83,2.10,12.0,2.25,2.90,1.50,1.47,2.50,1.50,1.63,2.05,1,1,1,3.35,0,0
9,1.84,2.10,11.5,2.25,2.90,1.50,1.46,2.50,1.50,1.61,2.10,1,1,1,3.30,0,0
10,1.84,2.10,11.0,2.25,2.90,1.50,1.45,2.55,1.50,1.59,2.15,1,1,1,3.30,0,0
11,1.85,2.10,11.0,2.30,2.90,1.50,1.44,2.60,1.50,1.58,2.15,1,1,1,3.30,0,0
12,1.85,2.15,11.0,2.30,2.90,1.50,1.43,2.60,1.50,1.57,2.20,1,1,1,3.30,0,0
13,1.93,2.05,10.5,2.40,2.70,1.50,1.45,2.55,1.50,1.52,2.30,1,1,1,3.25,0,0
14,1.93,2.05,10.0,2.40,2.75,1.50,1.44,2.60,1.50,1.50,2.35,1,1,1,3.20,0,0
15,1.94,2.05,10.0,2.45,2.75,1.50,1.43,2.60,1.50,1.49,2.40,1,1,1,3.20,0,0
16,1.94,2.10,9.50,2.45,2.75,1.50,1.42,2.65,1.50,1.48,2.45,1,1,1,3.20,0,0
17,1.95,2.10,9.50,2.45,2.75,1.50,1.41,2.70,1.50,1.47,2.50,1,1,1,3.15,0,0
18,1.95,2.10,9.00,2.50,2.80,1.50,1.40,2.75,1.50,1.46,2.50,1,1,1,3.15,0,0
19,1.96,2.10,9.00,2.50,2.80,1.50,1.39,2.80,1.50,1.45,2.55,1,1,1,3.15,0,0
20,1.97,2.10,9.00,1.43,6.50,1.50,1.38,2.80,2.50,1.44,2.60,3.50,1.60,2.10,4.05,0,1
21,1.97,2.10,9.00,1.43,6.50,1.50,1.37,2.85,2.50,1.42,2.65,3.50,1.58,2.15,4.05,0,1
22,1.97,2.10,9.00,1.43,6.50,1.50,1.39,2.80,2.50,1.44,2.60,3.50,1.61,2.10,4.05,0,1
23,1.97,2.10,9.00,1.43,6.50,1.50,1.37,2.85,2.50,1.43,2.65,3.50,1.59,2.15,4.00,0,1
24,1.97,2.10,9.00,1.43,6.50,1.50,1.37,2.90,2.50,1.42,2.70,3.50,1.57,2.20,4.00,0,1
25,1.97,2.10,9.00,1.43,7.00,0.50,2.85,1.37,2.50,1.40,2.70,3.50,1.55,2.25,4.00,0,1
26,1.97,2.10,9.00,1.43,7.00,0.50,2.85,1.38,2.50,1.39,2.75,3.50,1.53,2.30,4.00,0,1
27,1.97,2.10,9.00,1.43,7.00,0.50,2.80,1.39,2.50,1.38,2.80,3.50,1.51,2.35,4.00,0,1
28,1.97,2.10,9.00,1.43,7.00,0.50,2.75,1.40,2.50,1.37,2.85,3.50,1.49,2.40,4.00,0,1
29,1.97,2.10,9.00,1.42,7.00,0.50,2.70,1.41,1.50,2.90,1.37,3.50,1.47,2.45,4.00,0,1
30,1.97,2.10,9.00,1.42,7.50,0.50,2.65,1.42,1.50,2.85,1.37,3.50,1.46,2.50,4.00,0,1
31,1.97,2.10,9.00,1.42,7.50,0.50,2.60,1.44,1.50,2.80,1.38,1,1,1,4.00,0,1
32,1.97,2.10,9.00,1.41,7.50,0.50,2.55,1.45,1.50,2.75,1.40,1,1,1,3.95,0,1
33,1.97,2.10,9.00,1.41,7.50,0.50,2.50,1.46,1.50,2.70,1.41,1,1,1,3.95,0,1
34,1.97,2.10,9.00,1.40,8.00,0.50,2.50,1.47,1.50,2.65,1.42,1,1,1,3.95,0,1
35,1.97,2.10,9.00,1.40,8.00,0.50,2.45,1.48,1.50,2.60,1.43,1,1,1,3.90,0,1
36,1.97,2.10,9.00,1.40,8.00,0.50,2.40,1.50,1.50,2.55,1.45,1,1,1,3.90,0,1
37,1.97,2.10,9.00,1.40,8.00,0.50,2.35,1.51,1.50,2.50,1.46,1,1,1,3.90,0,1
38,1.97,2.10,9.00,1.39,8.50,0.50,2.30,1.52,1.50,2.45,1.47,1,1,1,3.90,0,1
39,1.97,2.10,9.00,1.43,7.00,0.50,2.50,1.46,1.50,2.50,1.46,1,1,1,3.80,0,1
40,1.97,2.10,9.00,1.43,7.00,0.50,2.45,1.47,1.50,2.45,1.47,1,1,1,3.80,0,1
41,1,1,1,1.43,7.50,0.50,2.40,1.49,1.50,2.40,1.49,1,1,1,3.80,0,1
42,1.97,2.10,9.00,1.43,7.50,0.50,2.35,1.50,1.50,2.35,1.50,1,1,1,3.80,0,1
43,1.97,2.10,9.00,1.42,8.00,0.50,2.30,1.52,1.50,2.30,1.52,1,1,1,3.80,0,1
44,1.97,2.10,9.00,1.42,8.00,0.50,2.30,1.53,1.50,2.30,1.53,1,1,1,3.80,0,1
45,1.97,2.10,9.00,1.42,8.00,0.50,2.25,1.55,1.50,2.25,1.55,1,1,1,3.80,0,1
47,1.97,2.10,9.00,1.44,8.00,0.50,2.25,1.54,1.50,2.15,1.59,1,1,1,3.70,0,1
48,1.97,2.10,9.00,1.45,7.50,0.50,2.30,1.53,1.50,2.10,1.62,1,1,1,3.65,0,1
49,1.97,2.10,9.00,1.45,7.50,0.50,2.25,1.55,1.50,2.05,1.64,1,1,1,3.60,0,1
50,1.97,2.10,9.00,1.44,8.00,0.50,2.20,1.57,1.50,2.00,1.66,1,1,1,3.60,0,1
51,1.97,2.10,9.00,1.44,8.00,0.50,2.15,1.59,1.50,1.99,1.68,1,1,1,3.60,0,1
52,1.97,2.10,9.00,1.43,8.50,0.50,2.10,1.61,1.50,1.95,1.71,1,1,1,3.60,0,1
53,1.97,2.10,9.00,1.43,8.50,0.50,2.05,1.63,1.50,1.92,1.74,1,1,1,3.60,0,1
54,1.97,2.10,9.00,1.42,9.00,0.50,2.00,1.66,1.50,1.88,1.77,1,1,1,3.60,0,1
55,1.97,2.10,9.00,1.41,9.00,0.50,1.99,1.69,1.50,1.84,1.80,1,1,1,3.60,0,1
56,1.97,2.10,9.00,1.41,9.00,0.50,1.94,1.72,1.50,1.81,1.83,1,1,1,3.60,0,1
57,1.97,2.10,9.00,1.40,9.50,0.50,1.90,1.75,1.50,1.78,1.87,1,1,1,3.60,0,1
58,1.97,2.10,9.00,1.40,10.0,0.50,1.87,1.78,1.50,1.74,1.91,1,1,1,3.60,0,1
59,1.97,2.10,9.00,1.39,10.0,0.50,1.83,1.81,1.50,1.71,1.95,1,1,1,3.65,0,1
60,1.97,2.10,9.00,1.38,10.5,0.50,1.79,1.85,1.50,1.68,1.99,1,1,1,3.65,0,1
61,1.97,2.10,9.00,1.38,11.0,0.50,1.75,1.89,1.50,1.66,2.00,1,1,1,3.65,0,1
62,1.97,2.10,9.00,1.37,11.5,0.50,1.72,1.94,1.50,1.63,2.05,1,1,1,3.65,0,1
63,1.97,2.10,9.00,1.36,12.0,0.50,1.69,1.99,1.50,1.60,2.10,1,1,1,3.70,0,1
64,1.97,2.10,9.00,1.35,12.0,0.50,1.66,2.00,1.50,1.58,2.20,1,1,1,3.70,0,1
65,1.97,2.10,9.00,1.34,12.0,0.50,1.62,2.10,1.50,1.55,2.25,1.50,2.80,1.39,3.70,0,1
66,1.97,2.10,9.00,1.33,13.0,0.50,1.59,2.15,1.50,1.53,2.30,1.50,2.70,1.41,3.75,0,1
67,1.97,2.10,9.00,1.32,14.0,0.50,1.57,2.20,1.50,1.51,2.35,1.50,2.60,1.43,3.75,0,1
68,1.97,2.10,9.00,1.31,14.0,0.50,1.54,2.25,1.50,1.48,2.45,1.50,2.50,1.46,3.80,0,1
69,1.97,2.10,9.00,1.31,15.0,0.50,1.52,2.30,1.50,1.46,2.50,1.50,2.40,1.49,3.80,0,1
70,1.97,2.10,9.00,1.29,15.0,0.50,1.49,2.40,1.50,1.44,2.60,1.50,2.35,1.52,3.85,0,1
71,1.97,2.10,9.00,1.28,16.0,0.50,1.47,2.50,1.50,1.42,2.65,1.50,2.25,1.55,3.90,0,1
72,1.97,2.10,9.00,1.27,17.0,0.50,1.44,2.60,1.50,1.40,2.75,1.50,2.15,1.58,3.90,0,1
73,1.97,2.10,9.00,1.26,18.0,0.50,1.42,2.65,1.50,1.37,2.85,1.50,2.05,1.63,4.00,0,1
74,1.97,2.10,9.00,1.25,19.0,0.50,1.40,2.75,1.50,1.35,2.95,1.50,2.00,1.67,4.00,0,1
75,1.97,2.10,9.00,1.24,20.0,0.50,1.37,2.85,1.50,1.33,3.05,1.50,1.93,1.72,4.10,0,1
76,1.97,2.10,9.00,1.22,22.0,0.50,1.35,3.00,1.50,1.30,3.20,1.50,1.85,1.80,4.20,0,1
77,1.97,2.10,9.00,1.21,23.0,0.50,1.32,3.10,1.50,1.28,3.30,1.50,1.78,1.87,4.25,0,1
78,1.97,2.10,9.00,1.19,26.0,0.50,1.30,3.25,1.50,1.26,3.45,1.50,1.71,1.95,4.35,0,1
79,1.97,2.10,9.00,1.18,27.0,0.50,1.27,3.40,1.50,1.23,3.60,1.50,1.65,2.00,4.45,0,1
80,1.97,2.10,9.00,1.17,31.0,0.50,1.24,3.55,1.50,1.21,3.80,1.50,1.60,2.15,4.55,0,1
81,1.97,2.10,9.00,-,-,0.50,1.22,3.75,2.50,1.18,4.05,1,1,1,-,0,2
82,1.97,2.10,9.00,-,-,0.50,1.19,3.95,2.50,1.16,4.30,1,1,1,-,0,2
83,1.97,2.10,9.00,-,-,0.50,1.16,4.25,2.50,1.13,4.60,1,1,1,-,0,2
84,1.97,2.10,9.00,-,-,0.50,1.14,4.55,2.50,1.11,4.90,1,1,1,-,0,2
85,1.97,2.10,9.00,-,-,0.50,1.11,4.90,2.50,1.09,5.00,1,1,1,-,0,2
86,1.97,2.10,9.00,-,-,0.50,1.09,5.00,2.50,1.07,5.50,1,1,1,-,0,2
87,1.97,2.10,9.00,-,-,0.50,1.07,6.00,2.50,1.06,6.50,1,1,1,-,0,2
88,1.97,2.10,9.00,-,-,0.50,1.06,6.50,2.50,1.05,7.00,1,1,1,-,0,2
89,1.97,2.10,9.00,-,-,1,1,1,1,1,1,1,1,1,-,0,2
90,1.97,2.10,9.00,-,-,1,1,1,1,1,1,1,1,1,-,0,2
91,1.97,2.10,9.00,-,-,1,1,1,1,1,1,1,1,1,-,0,2
92,1.97,2.10,9.00,-,-,1,1,1,1,1,1,1,1,1,-,0,2
93,1.97,2.10,9.00,-,-,1,1,1,1,1,1,1,1,1,-,0,2
94,1.97,2.10,9.00,-,-,1,1,1,1,1,1,1,1,1,-,0,2
