min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.58,2.90,6.50,1.76,4.50,0.50,1.94,1.66,1.50,1.51,2.20,1.50,2.40,1.44,2.95,0,0
2,1.58,2.90,6.50,1.76,4.50,0.50,1.94,1.66,1.50,1.51,2.20,1.50,2.40,1.44,2.95,0,0
3,1.58,2.90,6.50,1.76,4.50,0.50,1.94,1.66,1.50,1.51,2.20,1.50,2.40,1.44,2.95,0,0
4,1.58,2.90,6.50,1.76,4.50,0.50,1.94,1.66,1.50,1.51,2.20,1.50,2.40,1.44,2.95,0,0
5,1.58,2.90,6.50,1.76,4.50,0.50,1.94,1.66,1.50,1.51,2.20,1.50,2.40,1.44,2.95,0,0
6,1.59,2.90,6.50,1.77,4.50,0.50,1.92,1.67,1.50,1.50,2.25,1.50,2.35,1.46,2.95,0,0
7,1.59,2.90,6.00,1.77,4.50,0.50,1.90,1.68,1.50,1.49,2.25,1.50,2.30,1.47,2.90,0,0
8,1.60,2.95,6.00,1.78,4.50,0.50,1.88,1.70,1.50,1.48,2.30,1.50,2.30,1.48,2.90,0,0
9,1.60,2.95,6.00,1.80,4.50,0.50,1.86,1.71,1.50,1.46,2.35,1.50,2.25,1.50,2.90,0,0
10,1.61,2.95,6.00,1.80,4.50,0.50,1.85,1.72,1.50,1.45,2.40,1.50,2.20,1.51,2.85,0,0
11,1.62,2.95,5.50,1.82,4.50,0.50,1.83,1.74,1.50,1.44,2.40,1.50,2.20,1.52,2.85,0,0
12,1.62,3.00,5.50,1.82,4.50,0.50,1.81,1.75,1.50,1.43,2.45,1.50,2.10,1.54,2.80,0,0
13,1.63,3.00,5.50,1.83,4.55,0.50,1.80,1.77,1.50,1.42,2.50,1.50,2.10,1.56,2.80,0,0
14,1.63,3.00,5.00,1.84,4.55,0.50,1.78,1.79,1.50,1.41,2.50,1.50,2.05,1.57,2.80,0,0
15,1.64,3.00,5.00,1.85,4.50,0.50,1.76,1.80,1.50,1.40,2.55,1.50,2.00,1.59,2.75,0,0
16,1.65,3.00,5.00,1.86,4.55,0.50,1.75,1.82,1.50,1.39,2.60,1.50,2.00,1.61,2.75,0,0
17,1.65,3.00,5.00,1.87,4.55,0.50,1.73,1.84,1.50,1.38,2.65,1.50,1.98,1.63,2.70,0,0
18,1.66,3.05,5.00,1.88,4.55,0.50,1.72,1.85,1.50,1.37,2.70,1.50,1.96,1.64,2.70,0,0
19,1.67,3.05,5.00,1.89,4.55,0.50,1.70,1.88,1.50,1.36,2.70,1.50,1.92,1.67,2.70,0,0
20,1.68,3.05,4.90,4.35,1.79,1.50,1.69,1.89,1.50,1.35,2.75,1,1,1,3.00,1,0
21,1.68,3.05,4.90,4.45,1.78,1.50,1.67,1.91,1.50,1.34,2.80,1,1,1,3.00,1,0
22,1.68,3.05,4.90,4.50,1.77,1.50,1.66,1.93,0.50,2.80,1.34,1,1,1,3.00,1,0
23,1.68,3.05,4.90,4.60,1.76,1.50,1.64,1.96,0.50,2.80,1.34,1,1,1,3.00,1,0
24,1.68,3.05,4.90,4.65,1.75,1.50,1.63,1.98,0.50,2.75,1.35,1,1,1,3.00,1,0
25,1.68,3.05,4.90,4.70,1.74,1.50,1.62,2.00,0.50,2.70,1.36,1,1,1,2.95,1,0
26,1.68,3.05,4.90,4.80,1.73,1.50,1.61,2.00,0.50,2.65,1.37,1,1,1,2.95,1,0
27,1.68,3.05,4.90,4.85,1.72,1.50,1.59,2.00,0.50,2.60,1.39,1,1,1,2.95,1,0
28,1.68,3.05,4.90,5.00,1.71,1.50,1.58,2.05,0.50,2.60,1.40,1,1,1,2.95,1,0
29,1.68,3.05,4.90,5.00,1.69,1.50,1.57,2.10,0.50,2.50,1.41,1,1,1,2.95,1,0
30,1.68,3.05,4.90,5.00,1.61,1.50,1.77,1.80,0.50,2.60,1.39,1,1,1,3.10,1,0
31,1.68,3.05,4.90,2.15,3.90,1.50,1.75,1.82,1.50,2.55,1.40,3.50,1.79,1.78,2.50,1,1
32,1.68,3.05,4.90,2.20,3.75,1.50,1.79,1.77,1.50,2.50,1.42,3.50,1.79,1.77,2.50,1,1
33,1.68,3.05,4.90,2.20,3.75,1.50,1.77,1.79,1.50,2.45,1.43,3.50,1.76,1.80,2.50,1,1
34,1.68,3.05,4.90,2.25,3.80,1.50,1.75,1.81,1.50,2.40,1.44,3.50,1.73,1.84,2.45,1,1
35,1.68,3.05,4.90,2.25,3.80,1.50,1.73,1.84,1.50,2.40,1.45,3.50,1.70,1.87,2.45,1,1
36,1.68,3.05,4.90,2.25,3.80,1.50,1.71,1.86,1.50,2.35,1.47,3.50,1.67,1.92,2.40,1,1
37,1.68,3.05,4.90,2.30,3.85,1.50,1.69,1.89,1.50,2.30,1.48,3.50,1.64,1.96,2.40,1,1
38,1.68,3.05,4.90,2.30,3.85,1.50,1.67,1.91,1.50,2.25,1.49,3.50,1.62,1.99,2.35,1,1
39,1.68,3.05,4.90,2.30,3.90,1.50,1.66,1.94,1.50,2.20,1.51,3.50,1.59,2.00,2.35,1,1
40,1.68,3.05,4.90,2.35,3.90,1.50,1.64,1.97,1.50,2.20,1.52,3.50,1.57,2.05,2.30,1,1
41,1.68,3.05,4.90,2.15,4.20,1.50,1.62,1.99,1.50,2.35,1.46,3.50,1.63,1.98,2.40,1,1
42,1.68,3.05,4.90,2.20,4.20,1.50,1.60,2.00,1.50,2.30,1.47,3.50,1.60,2.00,2.35,1,1
43,1.68,3.05,4.90,2.20,4.20,1.50,1.59,2.05,1.50,2.30,1.49,3.50,1.58,2.05,2.35,1,1
44,1.68,3.05,4.90,2.20,4.20,1.50,1.57,2.05,1.50,2.25,1.50,3.50,1.55,2.10,2.30,1,1
45,1.68,3.05,4.90,1.17,14.0,1.50,1.60,2.00,2.50,2.20,1.52,4.50,1.58,2.05,5.00,1,2
46,1.68,3.05,4.90,1.17,14.0,1.50,1.58,2.05,2.50,2.15,1.53,4.50,1.55,2.10,5.00,1,2
