min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.27,3.90,13.0,1.27,9.00,0.50,1.79,1.77,2.50,1.46,2.35,1,1,1,4.50,0,0
2,1.27,3.90,13.0,1.27,9.00,0.50,1.79,1.77,2.50,1.46,2.35,1,1,1,4.50,0,0
3,1.27,3.90,13.0,1.80,3.45,1.50,1.70,1.88,2.50,1.47,2.30,3.50,1.99,1.62,3.45,1,0
4,1.27,3.90,13.0,1.81,3.50,1.50,1.62,2.00,2.50,1.45,2.40,3.50,1.89,1.69,3.40,1,0
5,1.27,3.90,13.0,1.81,3.50,1.50,1.62,2.00,2.50,1.45,2.40,3.50,1.89,1.69,3.40,1,0
6,1.27,3.90,13.0,1.83,3.50,1.50,1.61,2.00,2.50,1.43,2.45,3.50,1.86,1.72,3.40,1,0
7,1.27,3.90,13.0,1.84,3.45,1.50,1.60,2.00,1.50,2.50,1.42,3.50,1.83,1.74,3.35,1,0
8,1.27,3.90,13.0,1.87,3.40,1.50,1.59,2.05,1.50,2.40,1.44,3.50,1.79,1.77,3.35,1,0
9,1.27,3.90,13.0,1.89,3.40,1.50,1.58,2.05,1.50,2.40,1.45,3.50,1.76,1.80,3.30,1,0
10,1.27,3.90,13.0,1.92,3.35,1.50,1.57,2.05,1.50,2.35,1.46,3.50,1.74,1.83,3.30,1,0
11,1.27,3.90,13.0,1.93,3.30,1.50,1.56,2.10,1.50,2.30,1.48,3.50,1.71,1.86,3.30,1,0
12,1.27,3.90,13.0,1.96,3.30,1.50,1.55,2.10,1.50,2.25,1.49,3.50,1.69,1.89,3.25,1,0
13,1.27,3.90,13.0,1.99,3.25,1.50,1.54,2.15,1.50,2.20,1.50,3.50,1.66,1.93,3.25,1,0
14,1.27,3.90,13.0,2.00,3.20,1.50,1.53,2.15,1.50,2.20,1.52,3.50,1.63,1.97,3.20,1,0
15,1.27,3.90,13.0,2.00,3.20,1.50,1.52,2.20,1.50,2.15,1.54,3.50,1.61,2.00,3.20,1,0
16,1.27,3.90,13.0,1.28,9.00,1.50,1.51,2.20,2.50,2.10,1.55,4.50,1.61,2.00,4.40,1,1
17,1.27,3.90,13.0,1.29,9.00,1.50,1.50,2.20,2.50,2.05,1.57,4.50,1.58,2.05,4.35,1,1
18,1.27,3.90,13.0,1.29,9.00,1.50,1.50,2.25,2.50,2.05,1.59,4.50,1.56,2.10,4.25,1,1
19,1.27,3.90,13.0,1.30,9.00,1.50,1.49,2.25,2.50,2.00,1.61,4.50,1.54,2.10,4.20,1,1
20,1.27,3.90,13.0,1.30,9.00,1.50,1.48,2.30,2.50,1.99,1.63,4.50,1.52,2.20,4.15,1,1
21,1.27,3.90,13.0,1.31,9.00,1.50,1.47,2.30,2.50,1.95,1.65,4.50,1.50,2.20,4.10,1,1
22,1.27,3.90,13.0,1.31,9.00,1.50,1.46,2.35,2.50,1.92,1.67,4.50,1.49,2.30,4.05,1,1
23,1.27,3.90,13.0,1.32,9.00,1.50,1.45,2.40,2.50,1.88,1.69,4.50,1.47,2.30,4.00,1,1
24,1.27,3.90,13.0,1.33,9.00,1.50,1.44,2.40,2.50,1.85,1.72,4.50,1.45,2.40,3.95,1,1
