min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
3,2.70,1.62,9.00,3.95,1.81,1.50,1.63,2.05,0.50,2.30,1.52,1,1,1,3.35,0,0
4,2.70,1.62,9.00,3.95,1.81,1.50,1.63,2.05,0.50,2.30,1.52,1,1,1,3.35,0,0
5,2.70,1.62,9.00,3.95,1.81,1.50,1.63,2.05,0.50,2.30,1.52,1,1,1,3.35,0,0
6,2.70,1.62,9.00,3.95,1.81,1.50,1.61,2.10,0.50,2.30,1.53,1,1,1,3.30,0,0
7,2.70,1.63,9.00,3.95,1.82,1.50,1.60,2.10,0.50,2.25,1.54,1,1,1,3.30,0,0
8,2.70,1.63,8.50,3.95,1.83,1.50,1.58,2.15,0.50,2.25,1.55,1,1,1,3.30,0,0
9,2.70,1.64,8.00,3.95,1.84,1.50,1.57,2.20,0.50,2.20,1.56,1,1,1,3.25,0,0
10,2.70,1.64,8.00,3.95,1.85,1.50,1.56,2.20,0.50,2.20,1.57,1,1,1,3.25,0,0
11,2.75,1.65,8.00,3.95,1.85,1.50,1.54,2.25,0.50,2.15,1.58,1,1,1,3.20,0,0
12,2.95,1.59,7.50,4.40,1.75,1.50,1.57,2.20,0.50,2.00,1.67,1,1,1,3.25,0,0
13,2.95,1.60,7.50,4.45,1.76,1.50,1.55,2.25,0.50,1.99,1.68,1,1,1,3.20,0,0
14,2.95,1.60,7.00,4.40,1.77,1.50,1.54,2.25,0.50,1.97,1.70,1,1,1,3.20,0,0
15,2.95,1.61,7.00,4.40,1.78,1.50,1.53,2.30,0.50,1.95,1.71,1.50,2.45,1.48,3.20,0,0
16,3.00,1.61,7.00,4.45,1.78,1.50,1.51,2.35,0.50,1.93,1.73,1.50,2.40,1.49,3.15,0,0
17,3.00,1.62,6.50,4.40,1.80,1.50,1.50,2.40,0.50,1.91,1.74,1.50,2.35,1.50,3.10,0,0
18,3.00,1.63,6.50,4.40,1.81,1.50,1.49,2.40,0.50,1.89,1.76,1.50,2.30,1.52,3.10,0,0
19,3.00,1.63,6.00,4.45,1.82,1.50,1.48,2.45,0.50,1.87,1.78,1.50,2.30,1.53,3.10,0,0
20,3.00,1.64,6.00,4.45,1.82,1.50,1.46,2.50,0.50,1.85,1.79,1.50,2.25,1.55,3.05,0,0
21,3.05,1.64,6.00,4.45,1.83,1.50,1.45,2.55,0.50,1.83,1.81,1.50,2.20,1.57,3.00,0,0
22,3.05,1.65,6.00,4.45,1.84,1.50,1.44,2.60,0.50,1.81,1.83,1.50,2.15,1.59,3.00,0,0
23,3.05,1.66,5.50,4.45,1.86,1.50,1.43,2.65,0.50,1.79,1.85,1.50,2.10,1.61,3.00,0,0
24,3.05,1.67,5.50,4.45,1.87,1.50,1.42,2.70,0.50,1.78,1.87,1.50,2.05,1.63,2.95,0,0
25,3.10,1.67,5.50,4.50,1.87,1.50,1.40,2.70,0.50,1.76,1.89,1.50,2.00,1.65,2.90,0,0
26,3.10,1.68,5.00,4.50,1.88,1.50,1.39,2.75,0.50,1.74,1.91,1.50,2.00,1.67,2.90,0,0
27,3.10,1.69,5.00,4.50,1.91,1.50,1.38,2.80,0.50,1.72,1.93,1.50,1.98,1.69,2.90,0,0
28,3.10,1.70,5.00,4.50,1.91,1.50,1.37,2.85,0.50,1.71,1.96,1.50,1.95,1.71,2.85,0,0
29,3.15,1.71,5.00,4.55,1.92,0.50,2.90,1.37,0.50,1.69,1.98,1.50,1.91,1.74,2.85,0,0
30,3.15,1.72,4.90,4.55,1.94,0.50,2.85,1.37,0.50,1.68,2.00,1.50,1.88,1.77,2.80,0,0
31,3.15,1.72,4.80,4.60,1.95,0.50,2.80,1.38,0.50,1.66,2.00,1.50,1.85,1.79,2.80,0,0
32,3.15,1.72,4.80,17.0,1.16,1.50,2.75,1.40,0.50,1.65,2.00,1,1,1,5.00,1,0
33,3.15,1.72,4.80,15.0,1.18,1.50,2.90,1.37,0.50,1.75,1.90,1,1,1,5.00,1,0
34,3.15,1.72,4.80,15.0,1.17,1.50,2.85,1.37,0.50,1.73,1.93,1,1,1,5.00,1,0
35,3.15,1.72,4.80,15.0,1.18,1.50,2.80,1.38,0.50,1.71,1.95,1,1,1,5.00,1,0
36,3.15,1.72,4.80,16.0,1.17,1.50,2.75,1.40,0.50,1.69,1.98,1,1,1,5.00,1,0
37,3.15,1.72,4.80,16.0,1.17,1.50,2.70,1.41,0.50,1.68,2.00,1,1,1,5.00,1,0
38,3.15,1.72,4.80,16.0,1.17,1.50,2.65,1.42,0.50,1.66,2.00,1,1,1,5.00,1,0
39,3.15,1.72,4.80,16.0,1.17,1.50,2.60,1.44,0.50,1.64,2.05,1,1,1,5.00,1,0
40,3.15,1.72,4.80,16.0,1.17,1.50,2.55,1.45,0.50,1.62,2.10,1,1,1,5.00,1,0
41,3.15,1.72,4.80,17.0,1.16,1.50,2.50,1.46,0.50,1.61,2.10,1,1,1,5.00,1,0
42,3.15,1.72,4.80,17.0,1.16,1.50,2.45,1.48,0.50,1.59,2.15,1,1,1,5.00,1,0
43,3.15,1.72,4.80,17.0,1.16,1.50,2.40,1.49,0.50,1.58,2.15,1,1,1,5.00,1,0
44,3.15,1.72,4.80,17.0,1.16,1.50,2.35,1.51,0.50,1.56,2.20,1,1,1,5.00,1,0
