min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
6,1.66,2.40,12.0,1.91,3.50,1.50,1.39,2.80,1.50,1.82,1.82,1,1,1,3.45,0,0
7,1.67,2.40,12.0,1.91,3.50,1.50,1.38,2.80,1.50,1.80,1.84,1,1,1,3.40,0,0
8,1.67,2.40,12.0,1.93,3.50,1.50,1.37,2.85,1.50,1.78,1.87,1,1,1,3.40,0,0
9,1.67,2.40,11.5,1.94,3.50,1.50,1.37,2.90,1.50,1.75,1.89,1,1,1,3.40,0,0
10,1.68,2.40,11.0,1.95,3.50,0.50,2.90,1.37,1.50,1.74,1.92,1,1,1,3.40,0,0
11,1.68,2.40,11.0,1.96,3.50,0.50,2.85,1.37,1.50,1.71,1.95,1,1,1,3.35,0,0
12,1.68,2.40,11.0,1.29,9.50,0.50,2.80,1.38,2.50,1.69,1.98,3.50,1.80,1.84,4.75,0,1
13,1.68,2.40,11.0,1.30,9.50,0.50,2.80,1.39,2.50,1.68,2.00,3.50,1.77,1.87,4.75,0,1
14,1.68,2.40,11.0,1.29,9.50,0.50,2.75,1.40,2.50,1.66,2.00,3.50,1.74,1.91,4.70,0,1
15,1.68,2.40,11.0,1.29,9.50,0.50,2.70,1.41,2.50,1.64,2.05,3.50,1.71,1.95,4.70,0,1
16,1.68,2.40,11.0,1.29,9.50,0.50,2.65,1.42,2.50,1.62,2.10,3.50,1.69,1.99,4.70,0,1
17,1.68,2.40,11.0,1.29,10.0,0.50,2.60,1.43,2.50,1.60,2.10,3.50,1.66,2.00,4.70,0,1
18,1.68,2.40,11.0,1.29,10.0,0.50,2.60,1.44,2.50,1.59,2.15,3.50,1.64,2.05,4.65,0,1
19,1.68,2.40,11.0,1.29,10.0,0.50,2.55,1.45,2.50,1.57,2.20,3.50,1.62,2.10,4.65,0,1
20,1.68,2.40,11.0,1.28,10.0,0.50,2.50,1.46,2.50,1.56,2.20,3.50,1.59,2.15,4.65,0,1
21,1.68,2.40,11.0,1.28,10.0,0.50,2.50,1.47,2.50,1.54,2.25,3.50,1.57,2.20,4.60,0,1
22,1.68,2.40,11.0,1.28,10.0,0.50,2.45,1.48,2.50,1.53,2.30,3.50,1.55,2.25,4.60,0,1
23,1.68,2.40,11.0,1.28,10.5,0.50,2.40,1.49,2.50,1.51,2.35,3.50,1.53,2.30,4.60,0,1
24,1.68,2.40,11.0,1.29,10.5,0.50,2.40,1.50,2.50,1.50,2.40,3.50,1.51,2.35,4.60,0,1
25,1.68,2.40,11.0,1.28,11.0,0.50,2.35,1.51,2.50,1.49,2.40,3.50,1.49,2.40,4.60,0,1
26,1.68,2.40,11.0,1.28,11.0,0.50,2.30,1.52,2.50,1.47,2.50,3.50,1.48,2.45,4.55,0,1
27,1.68,2.40,11.0,1.28,11.0,0.50,2.30,1.53,2.50,1.46,2.50,3.50,1.46,2.50,4.55,0,1
28,1.68,2.40,11.0,1.28,11.0,0.50,2.25,1.55,2.50,1.45,2.55,1,1,1,4.55,0,1
31,1.68,2.40,11.0,1.28,11.5,0.50,2.15,1.59,2.50,1.41,2.70,1,1,1,4.50,0,1
32,1.68,2.40,11.0,1.27,11.5,0.50,2.10,1.60,2.50,1.40,2.75,1,1,1,4.50,0,1
33,1.68,2.40,11.0,1.28,12.0,0.50,2.10,1.62,2.50,1.38,2.80,1,1,1,4.50,0,1
34,1.68,2.40,11.0,1.28,12.0,0.50,2.05,1.63,2.50,1.37,2.85,1,1,1,4.50,0,1
35,1.68,2.40,11.0,1.27,12.0,0.50,2.05,1.65,1.50,2.90,1.37,1,1,1,4.50,0,1
36,1.68,2.40,11.0,1.27,12.0,0.50,2.00,1.67,1.50,2.85,1.38,1,1,1,4.50,0,1
37,1.68,2.40,11.0,1.27,12.0,0.50,1.99,1.68,1.50,2.80,1.39,1,1,1,4.50,0,1
38,1.68,2.40,11.0,1.27,12.0,0.50,1.96,1.71,1.50,2.75,1.40,1,1,1,4.45,0,1
39,1.68,2.40,11.0,1.26,13.0,0.50,1.93,1.73,1.50,2.70,1.42,1,1,1,4.45,0,1
40,1.68,2.40,11.0,1.26,13.0,0.50,1.90,1.75,1.50,2.60,1.43,1,1,1,4.45,0,1
41,1.68,2.40,11.0,1.26,13.0,0.50,1.87,1.77,1.50,2.60,1.44,1,1,1,4.40,0,1
42,1.68,2.40,11.0,1.26,13.0,0.50,1.85,1.79,1.50,2.50,1.46,1,1,1,4.40,0,1
43,1.68,2.40,11.0,1.26,13.0,0.50,1.82,1.82,1.50,2.50,1.47,1,1,1,4.40,0,1
44,1.68,2.40,11.0,1.25,13.0,0.50,1.80,1.84,1.50,2.40,1.49,1,1,1,4.40,0,1
45,1.68,2.40,11.0,1.25,14.0,0.50,1.77,1.87,1.50,2.40,1.50,1,1,1,4.40,0,1
46,1.68,2.40,11.0,1.25,14.0,0.50,1.75,1.90,1.50,2.35,1.51,1,1,1,4.40,0,1
47,1.68,2.40,11.0,1.25,14.0,0.50,1.72,1.93,1.50,2.30,1.53,1,1,1,4.40,0,1
48,1.68,2.40,11.0,1.24,15.0,0.50,1.70,1.97,1.50,2.25,1.55,1,1,1,4.40,0,1
49,1.68,2.40,11.0,1.24,15.0,0.50,1.68,2.00,1.50,2.20,1.57,1,1,1,4.40,0,1
50,1.68,2.40,11.0,1.24,15.0,0.50,1.66,2.00,1.50,2.15,1.59,1,1,1,4.40,0,1
51,1.68,2.40,11.0,1.24,16.0,0.50,1.64,2.05,1.50,2.10,1.61,1,1,1,4.40,0,1
52,1.68,2.40,11.0,1.24,16.0,0.50,1.62,2.10,1.50,2.05,1.63,1,1,1,4.40,0,1
53,1.68,2.40,11.0,2.10,4.60,1.50,1.59,2.15,1.50,2.50,1.47,3.50,1.65,2.00,2.50,1,1
54,1.68,2.40,11.0,2.10,4.60,1.50,1.58,2.20,1.50,2.40,1.49,3.50,1.62,2.10,2.45,1,1
55,1.68,2.40,11.0,2.15,4.60,1.50,1.56,2.20,1.50,2.35,1.51,3.50,1.59,2.15,2.40,1,1
56,1.68,2.40,11.0,1.16,20.0,1.50,1.54,2.25,2.50,2.30,1.53,4.50,1.56,2.20,5.00,1,2
57,1.68,2.40,11.0,1.16,20.0,1.50,1.52,2.30,2.50,2.25,1.55,4.50,1.54,2.30,5.00,1,2
58,1.68,2.40,11.0,1.16,21.0,1.50,1.51,2.35,2.50,2.20,1.57,4.50,1.51,2.35,5.00,1,2
59,1.68,2.40,11.0,1.16,21.0,1.50,1.49,2.40,2.50,2.10,1.60,4.50,1.48,2.45,5.00,1,2
60,1.68,2.40,11.0,1.15,22.0,1.50,1.47,2.50,2.50,2.10,1.62,4.50,1.46,2.50,5.00,1,2
61,1.68,2.40,11.0,1.15,22.0,1.50,1.45,2.50,2.50,2.00,1.65,4.50,1.43,2.60,5.00,1,2
62,1.68,2.40,11.0,1.15,23.0,1.50,1.44,2.60,2.50,2.00,1.68,4.50,1.41,2.70,5.00,1,2
63,1.68,2.40,11.0,1.15,24.0,1.50,1.42,2.65,2.50,1.94,1.72,4.50,1.38,2.80,5.00,1,2
64,1.68,2.40,11.0,1.14,25.0,1.50,1.41,2.70,2.50,1.89,1.75,3.50,2.90,1.36,5.00,1,2
65,1.68,2.40,11.0,1.14,26.0,1.50,1.39,2.80,2.50,1.84,1.80,3.50,2.80,1.39,5.00,1,2
66,1.68,2.40,11.0,1.13,26.0,1.50,1.37,2.85,2.50,1.80,1.84,3.50,2.70,1.41,5.00,1,2
67,1.68,2.40,11.0,1.13,28.0,1.50,1.36,2.95,2.50,1.75,1.89,3.50,2.60,1.43,5.00,1,2
68,1.68,2.40,11.0,1.13,30.0,1.50,1.34,3.00,2.50,1.71,1.95,3.50,2.50,1.46,5.00,1,2
69,1.68,2.40,11.0,1.12,31.0,1.50,1.32,3.10,2.50,1.68,2.00,3.50,2.40,1.49,5.00,1,2
70,1.68,2.40,11.0,1.12,34.0,1.50,1.30,3.20,2.50,1.64,2.05,3.50,2.30,1.52,5.00,1,2
71,1.68,2.40,11.0,1.12,36.0,1.50,1.28,3.30,2.50,1.60,2.10,3.50,2.25,1.55,5.00,1,2
72,1.68,2.40,11.0,1.11,40.0,1.50,1.27,3.40,2.50,1.57,2.20,3.50,2.15,1.59,5.00,1,2
73,1.68,2.40,11.0,-,-,1.50,1.25,3.50,3.50,1.54,2.30,4.50,2.05,1.63,-,1,3
74,1.68,2.40,11.0,-,-,1.50,1.23,3.65,3.50,1.51,2.35,4.50,2.00,1.67,-,1,3
75,1.68,2.40,11.0,-,-,1.50,1.21,3.80,3.50,1.48,2.45,4.50,1.92,1.73,-,1,3
76,1.68,2.40,11.0,-,-,1.50,1.19,3.95,3.50,1.45,2.55,4.50,1.84,1.80,-,1,3
77,1.68,2.40,11.0,-,-,1.50,1.17,4.15,3.50,1.42,2.65,4.50,1.77,1.87,-,1,3
78,1.68,2.40,11.0,-,-,1.50,1.15,4.35,3.50,1.39,2.80,4.50,1.71,1.95,-,1,3
79,1.68,2.40,11.0,-,-,1.50,1.13,4.60,3.50,1.36,2.90,4.50,1.65,2.00,-,1,3
80,1.68,2.40,11.0,-,-,1.50,1.12,4.80,3.50,1.33,3.05,4.50,1.59,2.15,-,1,3
81,1.68,2.40,11.0,-,-,1.50,1.10,5.00,3.50,1.30,3.20,4.50,1.54,2.25,-,1,3
82,1.68,2.40,11.0,-,-,1.50,1.09,5.00,3.50,1.27,3.40,4.50,1.50,2.40,-,1,3
83,1.68,2.40,11.0,-,-,1.50,1.07,5.50,3.50,1.23,3.60,4.50,1.45,2.55,-,1,3
84,1.68,2.40,11.0,-,-,1.50,1.06,6.00,3.50,1.20,3.90,4.50,1.40,2.75,-,1,3
85,1.68,2.40,11.0,-,-,1.50,1.05,7.00,3.50,1.17,4.20,4.50,1.36,2.95,-,1,3
86,1.68,2.40,11.0,-,-,1.50,1.05,7.50,3.50,1.14,4.55,4.50,1.31,3.20,-,1,3
87,1.68,2.40,11.0,-,-,1.50,1.04,8.00,3.50,1.11,5.00,4.50,1.26,3.45,-,1,3
88,1.68,2.40,11.0,-,-,1.50,1.04,9.00,3.50,1.08,5.50,4.50,1.21,3.80,-,1,3
89,1.68,2.40,11.0,-,-,1,1,1,1,1,1,1,1,1,-,1,3
90,1.68,2.40,11.0,-,-,1,1,1,1,1,1,1,1,1,-,1,3
91,1.68,2.40,11.0,-,-,1,1,1,1,1,1,1,1,1,-,1,3
92,1.68,2.40,11.0,-,-,1,1,1,1,1,1,1,1,1,-,1,3
93,1.68,2.40,11.0,-,-,1,1,1,1,1,1,1,1,1,-,1,3
