min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.48,2.55,18.0,1.57,4.05,1.50,1.38,2.60,1.50,2.35,1.46,3.50,1.53,2.15,4.05,0,0
2,1.48,2.55,18.0,1.57,4.05,1.50,1.38,2.60,1.50,2.35,1.46,3.50,1.53,2.15,4.05,0,0
3,1.48,2.55,18.0,1.57,4.05,1.50,1.38,2.60,1.50,2.35,1.46,3.50,1.53,2.15,4.05,0,0
4,1.48,2.55,18.0,1.57,4.05,1.50,1.38,2.60,1.50,2.35,1.46,3.50,1.53,2.15,4.05,0,0
5,1.48,2.55,18.0,1.57,4.05,1.50,1.38,2.60,1.50,2.35,1.46,3.50,1.53,2.15,4.05,0,0
6,1.48,2.55,17.0,1.57,4.05,1.50,1.37,2.65,1.50,2.30,1.47,3.50,1.51,2.20,4.00,0,0
7,1.49,2.55,17.0,1.58,4.00,1.50,1.37,2.70,1.50,2.25,1.49,3.50,1.49,2.25,4.00,0,0
8,1.49,2.55,17.0,2.70,2.05,2.50,1.36,2.70,1.50,2.20,1.50,4.50,1.48,2.30,3.75,1,0
9,1.49,2.55,17.0,2.70,2.05,2.50,1.35,2.75,1.50,2.20,1.52,3.50,2.30,1.47,3.75,1,0
10,1.49,2.55,17.0,2.75,2.05,2.50,1.34,2.80,1.50,2.15,1.53,3.50,2.25,1.49,3.70,1,0
11,1.49,2.55,17.0,2.80,2.05,1.50,2.80,1.34,1.50,2.10,1.55,3.50,2.20,1.51,3.70,1,0
12,1.49,2.55,17.0,2.80,2.05,1.50,2.80,1.34,1.50,2.10,1.56,3.50,2.15,1.53,3.70,1,0
13,1.49,2.55,17.0,2.80,2.00,1.50,2.75,1.35,1.50,2.05,1.58,3.50,2.10,1.54,3.70,1,0
14,1.49,2.55,17.0,2.85,2.00,1.50,2.70,1.36,1.50,2.00,1.60,3.50,2.10,1.56,3.65,1,0
15,1.49,2.55,17.0,6.00,1.34,2.50,2.70,1.37,1.50,2.00,1.61,4.50,2.05,1.58,5.00,2,0
16,1.49,2.55,17.0,5.00,1.41,2.50,2.40,1.45,1.50,2.10,1.55,4.50,2.00,1.61,4.60,2,0
17,1.49,2.55,17.0,5.00,1.40,2.50,2.35,1.46,1.50,2.05,1.57,4.50,1.97,1.64,4.60,2,0
18,1.49,2.55,17.0,5.00,1.40,2.50,2.30,1.47,1.50,2.05,1.59,4.50,1.92,1.66,4.60,2,0
19,1.49,2.55,17.0,5.00,1.39,2.50,2.30,1.48,1.50,2.00,1.61,4.50,1.89,1.69,4.60,2,0
20,1.49,2.55,17.0,5.00,1.38,2.50,2.25,1.49,1.50,1.99,1.63,4.50,1.85,1.72,4.65,2,0
21,1.49,2.55,17.0,5.50,1.38,2.50,2.20,1.50,1.50,1.95,1.65,4.50,1.82,1.75,4.65,2,0
22,1.49,2.55,17.0,5.50,1.37,2.50,2.20,1.52,1.50,1.92,1.67,4.50,1.78,1.78,4.65,2,0
23,1.49,2.55,17.0,5.50,1.36,2.50,2.15,1.53,1.50,1.88,1.69,4.50,1.75,1.82,4.70,2,0
24,1.49,2.55,17.0,6.00,1.35,2.50,2.15,1.54,1.50,1.85,1.72,4.50,1.71,1.86,4.70,2,0
25,1.49,2.55,17.0,6.00,1.34,2.50,2.10,1.55,1.50,1.82,1.75,4.50,1.68,1.90,4.70,2,0
26,1.49,2.55,17.0,6.00,1.34,2.50,2.10,1.57,1.50,1.79,1.77,4.50,1.65,1.94,4.75,2,0
27,1.49,2.55,17.0,6.00,1.33,2.50,2.05,1.58,1.50,1.76,1.80,4.50,1.63,1.98,4.75,2,0
28,1.49,2.55,17.0,6.00,1.32,2.50,2.00,1.59,1.50,1.73,1.83,4.50,1.60,2.00,4.80,2,0
29,1.49,2.55,17.0,6.50,1.32,2.50,2.00,1.61,1.50,1.71,1.86,4.50,1.58,2.05,4.80,2,0
30,1.49,2.55,17.0,6.50,1.31,2.50,2.00,1.62,1.50,1.68,1.90,4.50,1.56,2.10,4.85,2,0
31,1.49,2.55,17.0,7.00,1.30,2.50,1.97,1.64,1.50,1.66,1.93,4.50,1.53,2.15,4.90,2,0
32,1.49,2.55,17.0,7.00,1.29,2.50,1.94,1.66,1.50,1.63,1.97,4.50,1.51,2.20,4.90,2,0
33,1.49,2.55,17.0,7.00,1.28,2.50,1.91,1.67,1.50,1.61,2.00,4.50,1.49,2.25,4.95,2,0
34,1.49,2.55,17.0,7.50,1.28,2.50,1.89,1.69,1.50,1.59,2.00,4.50,1.47,2.30,5.00,2,0
35,1.49,2.55,17.0,7.50,1.27,2.50,1.86,1.71,1.50,1.57,2.05,4.50,1.45,2.40,5.00,2,0
36,1.49,2.55,17.0,8.00,1.26,2.50,1.83,1.73,1.50,1.54,2.10,3.50,2.50,1.42,5.00,2,0
37,1.49,2.55,17.0,8.00,1.25,2.50,1.81,1.75,1.50,1.53,2.15,3.50,2.40,1.44,5.00,2,0
38,1.49,2.55,17.0,8.50,1.24,2.50,1.79,1.77,1.50,1.51,2.20,3.50,2.35,1.46,5.00,2,0
39,1.49,2.55,17.0,6.00,1.36,2.50,1.76,1.80,1.50,1.71,1.86,4.50,1.50,2.20,4.50,2,0
40,1.49,2.55,17.0,2.80,2.25,2.50,1.74,1.82,2.50,1.68,1.90,5.50,1.48,2.30,3.20,2,1
41,1,1,1,2.85,2.20,2.50,1.72,1.85,2.50,1.66,1.94,5.50,1.46,2.35,3.20,2,1
42,1.49,2.55,17.0,2.90,2.20,2.50,1.70,1.88,2.50,1.63,1.99,5.50,1.43,2.45,3.20,2,1
43,1.49,2.55,17.0,2.95,2.20,2.50,1.68,1.90,2.50,1.60,2.00,4.50,2.45,1.43,3.15,2,1
44,1.49,2.55,17.0,3.00,2.15,2.50,1.66,1.93,2.50,1.58,2.05,4.50,2.40,1.45,3.15,2,1
45,1.49,2.55,17.0,3.00,2.10,2.50,1.64,1.96,2.50,1.55,2.10,4.50,2.30,1.47,3.20,2,1
46,1.49,2.55,17.0,3.05,2.10,2.50,1.62,1.99,2.50,1.53,2.15,4.50,2.25,1.49,3.20,2,1
47,1.49,2.55,17.0,3.10,2.05,2.50,1.60,2.00,2.50,1.50,2.20,4.50,2.20,1.52,3.15,2,1
48,1.49,2.55,17.0,3.20,2.00,2.50,1.58,2.05,2.50,1.48,2.30,4.50,2.10,1.55,3.15,2,1
49,1.49,2.55,17.0,3.30,2.00,2.50,1.56,2.10,2.50,1.46,2.35,4.50,2.05,1.58,3.15,2,1
50,1.49,2.55,17.0,3.35,2.00,2.50,1.55,2.10,2.50,1.44,2.40,4.50,2.00,1.61,3.10,2,1
51,1.49,2.55,17.0,3.40,1.98,2.50,1.53,2.15,2.50,1.42,2.50,4.50,1.96,1.64,3.10,2,1
52,1.49,2.55,17.0,1.64,5.00,2.50,1.51,2.20,3.50,1.40,2.55,5.50,1.90,1.68,3.00,2,2
53,1.49,2.55,17.0,1.66,5.00,2.50,1.50,2.25,3.50,1.38,2.60,5.50,1.85,1.72,2.95,2,2
54,1.49,2.55,17.0,1.67,5.00,2.50,1.48,2.30,3.50,1.37,2.70,5.50,1.80,1.76,2.90,2,2
55,1.49,2.55,17.0,1.69,5.00,2.50,1.47,2.30,3.50,1.35,2.80,5.50,1.76,1.81,2.85,2,2
56,1.49,2.55,17.0,1.71,5.00,2.50,1.45,2.40,2.50,2.80,1.34,5.50,1.71,1.86,2.80,2,2
57,1.49,2.55,17.0,1.73,5.50,2.50,1.44,2.40,2.50,2.75,1.35,5.50,1.67,1.91,2.75,2,2
58,1.49,2.55,17.0,1.75,5.50,2.50,1.42,2.50,2.50,2.65,1.37,5.50,1.63,1.98,2.70,2,2
59,1.49,2.55,17.0,1.78,5.50,2.50,1.41,2.55,2.50,2.60,1.39,5.50,1.59,2.00,2.65,2,2
60,1.49,2.55,17.0,1.80,5.50,2.50,1.39,2.60,2.50,2.50,1.41,5.50,1.55,2.10,2.60,2,2
61,1.49,2.55,17.0,1.82,5.50,2.50,1.38,2.65,2.50,2.45,1.44,5.50,1.52,2.20,2.55,2,2
62,1.49,2.55,17.0,1.85,5.50,2.50,1.36,2.70,2.50,2.35,1.46,5.50,1.49,2.25,2.50,2,2
63,1.49,2.55,17.0,1.88,5.50,2.50,1.35,2.75,2.50,2.30,1.48,5.50,1.46,2.35,2.40,2,2
64,1.49,2.55,17.0,1.91,5.50,2.50,1.33,2.85,2.50,2.20,1.50,5.50,1.43,2.45,2.40,2,2
65,1.49,2.55,17.0,1.95,5.50,2.50,1.31,2.90,2.50,2.15,1.53,5.50,1.40,2.55,2.30,2,2
66,1.49,2.55,17.0,1.99,5.50,2.50,1.30,3.00,2.50,2.10,1.56,5.50,1.37,2.65,2.25,2,2
67,1.49,2.55,17.0,2.00,5.50,2.50,1.28,3.10,2.50,2.00,1.60,5.50,1.34,2.80,2.20,2,2
