min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
5,1.88,1.88,20.0,4.35,1.54,2.50,2.20,1.57,1,1,1,1,1,1,4.40,1,0
6,1.88,1.88,20.0,4.40,1.54,2.50,2.15,1.59,1.50,2.15,1.59,4.50,1.93,1.72,4.40,1,0
7,1.88,1.88,20.0,4.40,1.54,2.50,2.10,1.60,1.50,2.10,1.60,4.50,1.89,1.75,4.35,1,0
8,1.88,1.88,20.0,4.45,1.53,2.50,2.10,1.62,1.50,2.10,1.62,4.50,1.86,1.79,4.35,1,0
9,1.88,1.88,20.0,4.50,1.53,2.50,2.05,1.64,1.50,2.05,1.64,4.50,1.82,1.82,4.30,1,0
10,1.88,1.88,20.0,10.5,1.17,3.50,2.00,1.65,1.50,2.00,1.65,5.50,1.81,1.83,6.00,2,0
11,1.88,1.88,20.0,11.0,1.17,3.50,2.00,1.67,1.50,2.00,1.67,5.50,1.78,1.87,6.00,2,0
12,1.88,1.88,20.0,11.0,1.17,3.50,1.98,1.69,1.50,1.98,1.69,5.50,1.75,1.90,6.00,2,0
13,1.88,1.88,20.0,11.0,1.17,3.50,1.95,1.71,1.50,1.95,1.71,5.50,1.71,1.95,6.00,2,0
14,1.88,1.88,20.0,11.0,1.16,3.50,1.92,1.74,1.50,1.92,1.74,5.50,1.68,1.99,6.00,2,0
15,1.88,1.88,20.0,11.5,1.16,3.50,1.89,1.76,1.50,1.89,1.76,5.50,1.65,2.00,6.00,2,0
16,1.88,1.88,20.0,11.5,1.16,3.50,1.86,1.78,1.50,1.86,1.78,5.50,1.63,2.05,6.00,2,0
17,1.88,1.88,20.0,11.5,1.15,3.50,1.83,1.81,1.50,1.83,1.81,5.50,1.60,2.10,6.00,2,0
18,1.88,1.88,20.0,12.0,1.15,3.50,1.81,1.84,1.50,1.81,1.84,5.50,1.58,2.15,6.00,2,0
19,1.88,1.88,20.0,12.0,1.15,3.50,1.78,1.86,1.50,1.78,1.86,5.50,1.56,2.20,6.00,2,0
20,1.88,1.88,20.0,12.0,1.15,3.50,1.76,1.89,1.50,1.76,1.89,5.50,1.53,2.30,6.00,2,0
21,1.88,1.88,20.0,12.0,1.15,3.50,1.74,1.92,1.50,1.74,1.92,5.50,1.52,2.30,6.50,2,0
22,1.88,1.88,20.0,13.0,1.14,3.50,1.71,1.95,1.50,1.71,1.95,4.50,2.35,1.51,6.50,2,0
23,1.88,1.88,20.0,13.0,1.14,3.50,1.69,1.99,1.50,1.69,1.99,4.50,2.30,1.53,6.50,2,0
24,1.88,1.88,20.0,13.0,1.14,3.50,1.67,2.00,1.50,1.67,2.00,4.50,2.25,1.55,6.50,2,0
25,1.88,1.88,20.0,13.0,1.13,3.50,1.65,2.05,1.50,1.65,2.05,4.50,2.20,1.57,6.50,2,0
26,1.88,1.88,20.0,13.0,1.13,3.50,1.63,2.05,1.50,1.63,2.05,4.50,2.15,1.60,6.50,2,0
27,1.88,1.88,20.0,14.0,1.12,3.50,1.60,2.10,1.50,1.60,2.10,4.50,2.10,1.62,6.50,2,0
28,1.88,1.88,20.0,14.0,1.12,3.50,1.59,2.15,1.50,1.59,2.15,4.50,2.00,1.65,6.50,2,0
29,1.88,1.88,20.0,14.0,1.12,3.50,1.57,2.20,1.50,1.57,2.20,4.50,2.00,1.68,6.50,2,0
30,1.88,1.88,20.0,15.0,1.12,3.50,1.55,2.25,1.50,1.55,2.25,4.50,1.95,1.71,6.50,2,0
31,1.88,1.88,20.0,13.0,1.10,3.50,1.53,2.30,1.50,1.53,2.30,4.50,1.92,1.73,8.00,2,0
32,1.88,1.88,20.0,13.0,1.09,3.50,1.52,2.30,1.50,1.52,2.30,4.50,1.87,1.77,8.00,2,0
33,1.88,1.88,20.0,5.00,1.47,3.50,1.50,2.40,2.50,1.50,2.40,5.50,1.84,1.81,4.40,2,1
34,1.88,1.88,20.0,5.00,1.46,3.50,1.49,2.40,2.50,1.49,2.40,5.50,1.79,1.85,4.35,2,1
35,1.88,1.88,20.0,5.00,1.46,3.50,1.47,2.50,2.50,1.47,2.50,5.50,1.76,1.89,4.35,2,1
36,1.88,1.88,20.0,5.00,1.46,3.50,1.45,2.50,2.50,1.45,2.50,5.50,1.72,1.94,4.35,2,1
37,1.88,1.88,20.0,5.50,1.45,3.50,1.44,2.60,2.50,1.44,2.60,5.50,1.68,2.00,4.30,2,1
38,1.88,1.88,20.0,5.50,1.45,3.50,1.43,2.65,2.50,1.43,2.65,5.50,1.65,2.00,4.30,2,1
39,1.88,1.88,20.0,5.50,1.45,3.50,1.41,2.70,2.50,1.41,2.70,5.50,1.62,2.10,4.30,2,1
40,1.88,1.88,20.0,5.50,1.45,3.50,1.40,2.75,2.50,1.40,2.75,5.50,1.59,2.15,4.25,2,1
41,1.88,1.88,20.0,6.00,1.45,3.50,1.38,2.80,2.50,1.38,2.80,5.50,1.57,2.20,4.25,2,1
42,1.88,1.88,20.0,6.00,1.45,3.50,1.37,2.85,2.50,1.37,2.85,5.50,1.55,2.25,4.25,2,1
43,1.88,1.88,20.0,6.00,1.44,2.50,2.90,1.37,1.50,2.90,1.37,5.50,1.52,2.30,4.25,2,1
44,1.88,1.88,20.0,6.00,1.44,2.50,2.80,1.38,1.50,2.80,1.38,5.50,1.50,2.40,4.20,2,1
45,1.88,1.88,20.0,6.00,1.44,2.50,2.75,1.40,1.50,2.75,1.40,5.50,1.47,2.45,4.20,2,1
46,1.88,1.88,20.0,6.00,1.43,2.50,2.70,1.41,1.50,2.70,1.41,4.50,2.50,1.46,4.20,2,1
47,1.88,1.88,20.0,6.50,1.43,2.50,2.65,1.43,1.50,2.65,1.43,4.50,2.40,1.48,4.20,2,1
48,1.88,1.88,20.0,6.50,1.42,2.50,2.60,1.44,1.50,2.60,1.44,4.50,2.35,1.51,4.15,2,1
49,1.88,1.88,20.0,6.50,1.42,2.50,2.50,1.46,1.50,2.50,1.46,4.50,2.25,1.54,4.15,2,1
50,1.88,1.88,20.0,7.00,1.41,2.50,2.45,1.47,1.50,2.45,1.47,4.50,2.20,1.57,4.10,2,1
51,1.88,1.88,20.0,20.0,1.05,3.50,2.40,1.49,1.50,2.40,1.49,5.50,2.10,1.60,9.50,3,1
52,1.88,1.88,20.0,21.0,1.05,3.50,2.35,1.51,1.50,2.35,1.51,5.50,2.05,1.63,9.50,3,1
53,1.88,1.88,20.0,21.0,1.05,3.50,2.30,1.53,1.50,2.30,1.53,5.50,2.00,1.66,10.0,3,1
54,1.88,1.88,20.0,22.0,1.05,3.50,2.25,1.55,1.50,2.25,1.55,5.50,1.96,1.71,10.0,3,1
55,1.88,1.88,20.0,22.0,1.05,3.50,2.20,1.57,1.50,2.20,1.57,5.50,1.90,1.75,10.0,3,1
56,1.88,1.88,20.0,22.0,1.04,3.50,2.15,1.59,1.50,2.15,1.59,5.50,1.84,1.80,10.0,3,1
57,1.88,1.88,20.0,24.0,1.04,3.50,2.10,1.62,1.50,2.10,1.62,5.50,1.80,1.85,10.5,3,1
58,1.88,1.88,20.0,25.0,1.04,3.50,2.05,1.64,1.50,2.05,1.64,5.50,1.75,1.90,10.5,3,1
59,1.88,1.88,20.0,25.0,1.04,3.50,2.00,1.67,1.50,2.00,1.67,5.50,1.70,1.96,11.0,3,1
60,1.88,1.88,20.0,26.0,1.04,3.50,1.97,1.70,1.50,1.97,1.70,5.50,1.66,2.00,11.0,3,1
61,1.88,1.88,20.0,27.0,1.04,3.50,1.92,1.73,1.50,1.92,1.73,5.50,1.62,2.10,11.5,3,1
62,1.88,1.88,20.0,28.0,1.04,3.50,1.87,1.77,1.50,1.87,1.77,5.50,1.58,2.20,11.5,3,1
63,1.88,1.88,20.0,29.0,1.04,3.50,1.83,1.81,1.50,1.83,1.81,5.50,1.54,2.25,12.0,3,1
