min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.80,2.40,7.00,2.15,3.35,0.50,2.40,1.45,1.50,1.42,2.50,1,1,1,2.80,0,0
2,1.80,2.40,7.00,2.15,3.35,0.50,2.40,1.45,1.50,1.42,2.50,1,1,1,2.80,0,0
3,1.80,2.40,7.00,2.15,3.35,0.50,2.40,1.45,1.50,1.42,2.50,1,1,1,2.80,0,0
4,1.80,2.40,7.00,2.15,3.35,0.50,2.40,1.45,1.50,1.42,2.50,1,1,1,2.80,0,0
5,1.80,2.40,7.00,2.15,3.35,0.50,2.40,1.45,1.50,1.42,2.50,1,1,1,2.80,0,0
6,1.80,2.40,6.50,2.20,3.35,0.50,2.35,1.46,1.50,1.41,2.50,1,1,1,2.80,0,0
7,1.81,2.40,6.50,2.20,3.35,0.50,2.30,1.47,1.50,1.40,2.55,1,1,1,2.80,0,0
8,1.81,2.40,6.50,5.00,1.61,1.50,2.30,1.48,1.50,1.39,2.60,1,1,1,3.25,1,0
9,1.81,2.40,6.50,5.00,1.60,1.50,2.25,1.49,1.50,1.38,2.65,1,1,1,3.25,1,0
10,1.81,2.40,6.50,5.00,1.60,1.50,2.25,1.50,1.50,1.37,2.70,1,1,1,3.25,1,0
11,1.81,2.40,6.50,5.00,1.60,1.50,2.20,1.50,1.50,1.36,2.70,1,1,1,3.20,1,0
12,1.81,2.40,6.50,5.00,1.59,1.50,2.20,1.51,1.50,1.35,2.75,1,1,1,3.20,1,0
13,1.81,2.40,6.50,5.00,1.59,1.50,2.15,1.53,1.50,1.34,2.80,1,1,1,3.20,1,0
14,1.81,2.40,6.50,5.00,1.59,1.50,2.15,1.53,0.50,2.85,1.33,1,1,1,3.20,1,0
15,1.81,2.40,6.50,5.00,1.58,1.50,2.10,1.55,0.50,2.80,1.34,1,1,1,3.20,1,0
16,1.81,2.40,6.50,5.50,1.58,1.50,2.10,1.56,0.50,2.75,1.35,1,1,1,3.20,1,0
17,1.81,2.40,6.50,5.50,1.57,1.50,2.05,1.57,0.50,2.75,1.36,1,1,1,3.20,1,0
18,1.81,2.40,6.50,2.30,3.45,1.50,2.05,1.58,1.50,2.70,1.37,3.50,2.05,1.58,2.60,1,1
19,1.81,2.40,6.50,2.30,3.45,1.50,2.00,1.59,1.50,2.65,1.37,3.50,2.00,1.60,2.60,1,1
20,1.81,2.40,6.50,2.30,3.45,1.50,2.00,1.60,1.50,2.60,1.39,3.50,1.99,1.62,2.55,1,1
21,1.81,2.40,6.50,2.30,3.40,1.50,2.05,1.59,1.50,2.65,1.38,3.50,2.00,1.60,2.60,1,1
22,1.81,2.40,6.50,2.30,3.45,1.50,2.00,1.60,1.50,2.60,1.39,3.50,1.99,1.62,2.55,1,1
23,1.81,2.40,6.50,2.35,3.45,1.50,2.00,1.61,1.50,2.55,1.40,3.50,1.95,1.65,2.55,1,1
24,1.81,2.40,6.50,2.35,3.45,1.50,1.98,1.63,1.50,2.50,1.41,3.50,1.92,1.67,2.50,1,1
25,1.81,2.40,6.50,2.35,3.45,1.50,1.95,1.65,1.50,2.50,1.42,3.50,1.87,1.70,2.50,1,1
26,1.81,2.40,6.50,2.40,3.45,1.50,1.93,1.66,1.50,2.45,1.43,3.50,1.84,1.72,2.50,1,1
27,1.81,2.40,6.50,2.40,3.50,1.50,1.91,1.68,1.50,2.40,1.44,3.50,1.81,1.75,2.45,1,1
28,1.81,2.40,6.50,2.40,3.50,1.50,1.88,1.69,1.50,2.40,1.45,3.50,1.78,1.78,2.45,1,1
29,1.81,2.40,6.50,2.40,3.50,1.50,1.86,1.71,1.50,2.35,1.46,3.50,1.75,1.82,2.40,1,1
30,1.81,2.40,6.50,2.40,3.50,1.50,1.84,1.73,1.50,2.30,1.47,3.50,1.72,1.85,2.40,1,1
31,1.81,2.40,6.50,2.45,3.50,1.50,1.82,1.75,1.50,2.25,1.49,3.50,1.70,1.88,2.40,1,1
32,1.81,2.40,6.50,2.45,3.55,1.50,1.79,1.77,1.50,2.25,1.50,3.50,1.67,1.92,2.35,1,1
33,1.81,2.40,6.50,2.50,3.55,1.50,1.77,1.79,1.50,2.20,1.51,3.50,1.65,1.95,2.30,1,1
34,1.81,2.40,6.50,2.50,3.55,1.50,1.75,1.81,1.50,2.15,1.53,3.50,1.62,1.99,2.30,1,1
35,1.81,2.40,6.50,2.50,3.60,1.50,1.73,1.84,1.50,2.15,1.54,3.50,1.60,2.00,2.30,1,1
36,1.81,2.40,6.50,2.50,3.60,1.50,1.71,1.86,1.50,2.10,1.56,3.50,1.57,2.05,2.25,1,1
37,1.81,2.40,6.50,2.45,4.00,1.50,1.59,2.00,1.50,2.05,1.57,3.50,1.50,2.20,2.20,1,1
38,1.81,2.40,6.50,2.45,4.00,1.50,1.57,2.05,1.50,2.05,1.59,3.50,1.48,2.30,2.15,1,1
39,1.81,2.40,6.50,2.50,4.00,1.50,1.56,2.10,1.50,2.00,1.60,3.50,1.47,2.35,2.15,1,1
40,1.81,2.40,6.50,2.50,4.05,1.50,1.54,2.10,1.50,2.00,1.62,3.50,1.45,2.40,2.10,1,1
41,1.81,2.40,6.50,2.50,4.10,1.50,1.53,2.15,1.50,1.96,1.64,3.50,1.43,2.45,2.10,1,1
42,1.81,2.40,6.50,2.55,4.10,1.50,1.52,2.20,1.50,1.93,1.66,3.50,1.42,2.50,2.10,1,1
43,1.81,2.40,6.50,2.55,4.10,1.50,1.51,2.20,1.50,1.90,1.68,3.50,1.40,2.55,2.05,1,1
44,1.81,2.40,6.50,2.60,4.15,1.50,1.49,2.25,1.50,1.87,1.70,3.50,1.38,2.60,2.00,1,1
45,1.81,2.40,6.50,2.60,4.15,1.50,1.48,2.30,1.50,1.84,1.73,3.50,1.37,2.70,2.00,1,1
46,1.81,2.40,6.50,2.65,4.20,1.50,1.47,2.30,1.50,1.81,1.75,3.50,1.35,2.75,2.00,1,1
47,1.81,2.40,6.50,2.65,4.25,1.50,1.46,2.35,1.50,1.79,1.78,3.50,1.33,2.85,1.97,1,1
48,1.81,2.40,6.50,2.70,4.25,1.50,1.44,2.40,1.50,1.76,1.81,1,1,1,1.95,1,1
49,1.81,2.40,6.50,2.70,4.30,1.50,1.43,2.45,1.50,1.73,1.84,1,1,1,1.92,1,1
50,1.81,2.40,6.50,2.75,4.35,1.50,1.42,2.50,1.50,1.70,1.87,1,1,1,1.90,1,1
51,1.81,2.40,6.50,2.80,4.40,1.50,1.40,2.55,1.50,1.68,1.90,1,1,1,1.87,1,1
52,1.81,2.40,6.50,2.80,4.45,1.50,1.39,2.60,1.50,1.66,1.94,1,1,1,1.85,1,1
53,1.81,2.40,6.50,2.85,4.50,1.50,1.38,2.60,1.50,1.63,1.97,1,1,1,1.82,1,1
54,1.81,2.40,6.50,2.85,4.50,1.50,1.37,2.70,1.50,1.61,2.00,1,1,1,1.80,1,1
55,1.81,2.40,6.50,2.90,4.55,1.50,1.36,2.70,1.50,1.59,2.00,1,1,1,1.77,1,1
56,1.81,2.40,6.50,2.95,4.65,1.50,1.35,2.80,1.50,1.57,2.05,1,1,1,1.75,1,1
57,1.81,2.40,6.50,3.00,4.70,1.50,1.33,2.85,1.50,1.55,2.10,1,1,1,1.73,1,1
58,1.81,2.40,6.50,3.00,4.80,1.50,1.32,2.90,1.50,1.53,2.15,1,1,1,1.70,1,1
59,1.81,2.40,6.50,3.10,4.85,1.50,1.31,2.95,1.50,1.51,2.20,1,1,1,1.68,1,1
60,1.81,2.40,6.50,3.10,4.95,1.50,1.29,3.00,1.50,1.49,2.25,1,1,1,1.66,1,1
61,1.81,2.40,6.50,3.15,5.00,1.50,1.28,3.10,1.50,1.47,2.30,1,1,1,1.63,1,1
62,1.81,2.40,6.50,3.20,5.00,1.50,1.27,3.15,1.50,1.45,2.40,1,1,1,1.61,1,1
63,1.81,2.40,6.50,3.25,5.00,1.50,1.25,3.25,1.50,1.44,2.45,1,1,1,1.59,1,1
64,1.81,2.40,6.50,3.30,5.00,1.50,1.24,3.30,1.50,1.42,2.50,1,1,1,1.57,1,1
65,1.81,2.40,6.50,3.40,5.00,1.50,1.23,3.40,1.50,1.40,2.55,1,1,1,1.54,1,1
66,1.81,2.40,6.50,3.45,5.00,1.50,1.21,3.50,1.50,1.38,2.60,1,1,1,1.52,1,1
70,1.81,2.40,6.50,3.80,6.00,1.50,1.15,3.90,1.50,1.31,2.95,1,1,1,1.44,1,1
71,1.81,2.40,6.50,3.90,6.00,1.50,1.14,4.05,1.50,1.29,3.05,1,1,1,1.42,1,1
72,1.81,2.40,6.50,4.00,6.00,1.50,1.13,4.20,1.50,1.27,3.15,1,1,1,1.40,1,1
