min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.50,2.40,20.0,1.58,3.60,1.50,1.47,2.30,1.50,2.45,1.43,3.50,1.68,1.91,4.40,0,0
2,1.50,2.40,20.0,1.58,3.60,1.50,1.47,2.30,1.50,2.45,1.43,3.50,1.68,1.91,4.40,0,0
3,1.50,2.40,20.0,1.58,3.60,1.50,1.47,2.30,1.50,2.45,1.43,3.50,1.68,1.91,4.40,0,0
4,1.50,2.40,20.0,1.58,3.60,1.50,1.47,2.30,1.50,2.45,1.43,3.50,1.68,1.91,4.40,0,0
5,1.50,2.40,20.0,1.58,3.60,1.50,1.47,2.30,1.50,2.45,1.43,3.50,1.68,1.91,4.40,0,0
6,1.50,2.40,20.0,1.58,3.65,1.50,1.46,2.35,1.50,2.40,1.44,3.50,1.66,1.94,4.40,0,0
7,1.50,2.40,20.0,1.59,3.65,1.50,1.45,2.40,1.50,2.40,1.45,3.50,1.63,1.98,4.35,0,0
8,1.50,2.40,20.0,1.60,3.65,1.50,1.44,2.40,1.50,2.35,1.46,3.50,1.61,2.00,4.30,0,0
9,1.50,2.40,20.0,1.60,3.65,1.50,1.43,2.45,1.50,2.30,1.48,3.50,1.58,2.05,4.30,0,0
10,1.51,2.40,20.0,1.60,3.65,1.50,1.42,2.50,1.50,2.25,1.49,3.50,1.56,2.10,4.25,0,0
11,1.51,2.40,20.0,1.61,3.60,1.50,1.41,2.50,1.50,2.20,1.50,3.50,1.54,2.15,4.20,0,0
12,1.51,2.40,19.0,1.62,3.60,1.50,1.40,2.55,1.50,2.20,1.52,3.50,1.52,2.20,4.20,0,0
13,1.51,2.45,19.0,1.62,3.60,1.50,1.39,2.60,1.50,2.15,1.53,3.50,1.50,2.25,4.15,0,0
14,1.51,2.45,18.0,1.63,3.60,1.50,1.38,2.65,1.50,2.10,1.55,3.50,1.48,2.30,4.10,0,0
15,1.52,2.45,18.0,1.63,3.60,1.50,1.37,2.70,1.50,2.10,1.57,1,1,1,4.10,0,0
16,1.52,2.45,17.0,1.64,3.60,1.50,1.36,2.70,1.50,2.05,1.58,1,1,1,4.05,0,0
17,1.52,2.45,17.0,1.65,3.65,1.50,1.35,2.75,1.50,2.00,1.60,1,1,1,4.05,0,0
18,1.52,2.45,16.0,1.65,3.60,1.50,1.34,2.80,1.50,2.00,1.62,1,1,1,4.00,0,0
19,1.53,2.45,16.0,1.66,3.60,0.50,2.85,1.33,1.50,1.96,1.64,1,1,1,3.95,0,0
20,1.53,2.45,15.0,1.67,3.60,0.50,2.80,1.34,1.50,1.93,1.66,1,1,1,3.95,0,0
21,1.53,2.50,15.0,1.67,3.60,0.50,2.75,1.35,1.50,1.90,1.68,1,1,1,3.90,0,0
22,1.54,2.50,14.0,1.68,3.60,0.50,2.70,1.36,1.50,1.86,1.71,1,1,1,3.85,0,0
23,1.54,2.50,14.0,1.68,3.60,0.50,2.70,1.37,1.50,1.83,1.73,1,1,1,3.85,0,0
24,1.54,2.50,13.0,1.69,3.60,0.50,2.65,1.38,1.50,1.80,1.76,1,1,1,3.80,0,0
25,1.55,2.50,13.0,1.69,3.60,0.50,2.60,1.39,1.50,1.77,1.79,1,1,1,3.75,0,0
26,1.55,2.50,12.0,1.71,3.60,0.50,2.55,1.40,1.50,1.75,1.82,1,1,1,3.70,0,0
27,1.55,2.50,12.0,1.71,3.60,0.50,2.50,1.41,1.50,1.72,1.85,1,1,1,3.70,0,0
28,1.56,2.50,12.0,1.72,3.60,0.50,2.50,1.42,1.50,1.69,1.88,1,1,1,3.65,0,0
29,1.56,2.50,11.5,1.73,3.60,0.50,2.45,1.44,1.50,1.67,1.92,1,1,1,3.60,0,0
30,1.57,2.55,11.0,1.73,3.60,0.50,2.40,1.45,1.50,1.65,1.95,1,1,1,3.60,0,0
31,1.57,2.55,10.5,1.74,3.60,0.50,2.35,1.46,1.50,1.62,1.99,1,1,1,3.55,0,0
32,1.58,2.55,10.0,1.75,3.65,0.50,2.30,1.47,1.50,1.60,2.00,1,1,1,3.50,0,0
33,1.58,2.55,10.0,1.75,3.65,0.50,2.30,1.48,1.50,1.58,2.05,1,1,1,3.50,0,0
34,1.59,2.60,9.50,1.76,3.65,0.50,2.25,1.50,1.50,1.56,2.10,1,1,1,3.45,0,0
35,1.60,2.60,9.00,1.78,3.65,0.50,2.20,1.51,1.50,1.54,2.10,1,1,1,3.40,0,0
36,1.60,2.60,9.00,1.79,3.65,0.50,2.20,1.52,1.50,1.52,2.20,1,1,1,3.40,0,0
37,1.61,2.60,8.50,1.80,3.65,0.50,2.15,1.54,1.50,1.50,2.20,1,1,1,3.35,0,0
38,1.62,2.60,8.00,1.81,3.65,0.50,2.10,1.55,1.50,1.48,2.30,1,1,1,3.30,0,0
39,1.62,2.65,8.00,1.83,3.65,0.50,2.05,1.57,1.50,1.47,2.35,1,1,1,3.30,0,0
40,1.63,2.65,7.50,1.84,3.65,0.50,2.05,1.58,1.50,1.45,2.40,1.50,2.50,1.42,3.25,0,0
41,1.64,2.65,7.00,1.85,3.70,0.50,2.00,1.60,1.50,1.43,2.45,1.50,2.40,1.44,3.20,0,0
42,1.65,2.70,7.00,1.87,3.65,0.50,2.00,1.62,1.50,1.42,2.50,1.50,2.35,1.46,3.15,0,0
43,1.66,2.70,6.50,1.88,3.70,0.50,1.97,1.64,1.50,1.40,2.55,1.50,2.30,1.48,3.15,0,0
44,1.67,2.70,6.50,1.90,3.70,0.50,1.93,1.66,1.50,1.39,2.60,1.50,2.25,1.50,3.10,0,0
45,1.72,3.00,4.75,1.93,4.05,0.50,1.64,1.96,0.50,2.60,1.38,1.50,1.80,1.76,2.80,0,0
46,1.73,3.00,4.60,1.96,4.10,0.50,1.62,1.99,0.50,2.55,1.40,1.50,1.76,1.80,2.80,0,0
