min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.82,1.80,19.0,2.30,2.25,1.50,1.89,1.62,1.50,1.86,1.64,3.50,1.64,1.86,3.70,0,0
2,1.82,1.80,19.0,2.30,2.25,1.50,1.89,1.62,1.50,1.86,1.64,3.50,1.64,1.86,3.70,0,0
3,1.82,1.80,19.0,2.30,2.25,1.50,1.89,1.62,1.50,1.86,1.64,3.50,1.64,1.86,3.70,0,0
4,1.82,1.80,19.0,2.30,2.25,1.50,1.89,1.62,1.50,1.86,1.64,3.50,1.64,1.86,3.70,0,0
5,1.82,1.80,19.0,2.30,2.25,1.50,1.89,1.62,1.50,1.86,1.64,3.50,1.64,1.86,3.70,0,0
6,1.82,1.80,19.0,2.30,2.25,1.50,1.86,1.64,1.50,1.84,1.66,3.50,1.62,1.89,3.70,0,0
7,1.82,1.80,18.0,2.30,2.25,1.50,1.84,1.66,1.50,1.81,1.68,3.50,1.59,1.93,3.70,0,0
8,1.82,1.80,18.0,2.30,2.30,1.50,1.81,1.68,1.50,1.79,1.70,3.50,1.57,1.98,3.65,0,0
9,1.83,1.81,18.0,2.30,2.30,1.50,1.78,1.70,1.50,1.76,1.72,3.50,1.54,2.00,3.60,0,0
10,1.83,1.81,17.0,4.45,1.43,2.50,1.76,1.72,1.50,1.74,1.74,4.50,1.53,2.00,4.25,1,0
11,1.83,1.81,17.0,4.50,1.43,2.50,1.74,1.74,1.50,1.72,1.76,4.50,1.51,2.05,4.25,1,0
12,1.83,1.81,17.0,4.55,1.43,2.50,1.72,1.77,1.50,1.70,1.79,4.50,1.49,2.10,4.25,1,0
13,1.83,1.81,17.0,4.60,1.43,2.50,1.70,1.79,1.50,1.68,1.81,4.50,1.48,2.15,4.25,1,0
14,1.83,1.81,17.0,2.35,2.30,2.50,1.68,1.82,2.50,1.66,1.84,5.50,1.46,2.20,3.55,1,1
15,1.83,1.81,17.0,2.35,2.30,2.50,1.66,1.84,2.50,1.64,1.87,4.50,2.25,1.44,3.50,1,1
16,1.83,1.81,17.0,2.35,2.30,2.50,1.64,1.87,2.50,1.62,1.89,4.50,2.20,1.45,3.50,1,1
17,1.83,1.81,17.0,2.40,2.30,2.50,1.62,1.90,2.50,1.60,1.93,4.50,2.15,1.47,3.45,1,1
18,1.83,1.81,17.0,2.40,2.30,2.50,1.60,1.93,2.50,1.58,1.95,4.50,2.10,1.49,3.45,1,1
19,1.83,1.81,17.0,2.40,2.35,2.50,1.58,1.96,2.50,1.56,1.99,4.50,2.05,1.51,3.40,1,1
20,1.83,1.81,17.0,2.40,2.35,2.50,1.56,1.99,2.50,1.55,2.00,4.50,2.00,1.54,3.40,1,1
21,1.83,1.81,17.0,2.40,2.35,2.50,1.55,2.00,2.50,1.53,2.05,4.50,2.00,1.56,3.40,1,1
22,1.83,1.81,17.0,2.40,2.35,2.50,1.53,2.05,2.50,1.52,2.05,4.50,1.96,1.58,3.35,1,1
23,1.83,1.81,17.0,2.25,2.50,2.50,1.48,2.15,2.50,1.54,2.00,4.50,1.93,1.60,3.35,1,1
24,1.83,1.81,17.0,2.25,2.50,2.50,1.46,2.20,2.50,1.53,2.05,4.50,1.88,1.63,3.30,1,1
25,1.83,1.81,17.0,2.30,2.50,2.50,1.45,2.20,2.50,1.51,2.10,4.50,1.84,1.66,3.30,1,1
26,1.83,1.81,17.0,2.30,2.55,2.50,1.44,2.30,2.50,1.49,2.10,4.50,1.80,1.69,3.30,1,1
27,1.83,1.81,17.0,2.30,2.55,2.50,1.42,2.30,2.50,1.48,2.15,4.50,1.77,1.72,3.25,1,1
28,1.83,1.81,17.0,2.30,2.55,2.50,1.41,2.35,2.50,1.46,2.20,4.50,1.73,1.76,3.20,1,1
29,1.83,1.81,17.0,2.30,2.55,2.50,1.40,2.40,2.50,1.45,2.25,4.50,1.70,1.79,3.20,1,1
30,1.83,1.81,17.0,2.30,2.55,2.50,1.38,2.45,2.50,1.43,2.30,4.50,1.66,1.83,3.20,1,1
