min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
5,1.50,2.65,19.0,1.55,4.40,1.50,1.50,2.35,2.50,1.57,2.20,3.50,1.78,1.87,4.15,0,0
6,1.50,2.65,19.0,1.56,4.45,1.50,1.49,2.40,2.50,1.55,2.25,3.50,1.74,1.91,4.10,0,0
7,1.50,2.65,19.0,1.56,4.45,1.50,1.48,2.45,2.50,1.53,2.30,3.50,1.72,1.94,4.10,0,0
8,1.50,2.65,18.0,1.57,4.45,1.50,1.47,2.50,2.50,1.52,2.30,3.50,1.69,1.99,4.10,0,0
9,1.50,2.65,18.0,1.57,4.45,1.50,1.46,2.50,2.50,1.50,2.40,3.50,1.66,2.00,4.05,0,0
10,1.51,2.65,18.0,1.58,4.45,1.50,1.45,2.55,2.50,1.49,2.40,3.50,1.63,2.05,4.00,0,0
11,1.51,2.65,17.0,1.18,11.5,1.50,1.44,2.60,3.50,1.47,2.45,4.50,1.63,2.05,5.50,0,1
12,1.51,2.65,17.0,1.18,11.5,1.50,1.43,2.60,3.50,1.46,2.50,4.50,1.61,2.10,5.50,0,1
13,1.51,2.65,17.0,1.18,11.5,1.50,1.42,2.65,2.50,2.50,1.46,4.50,1.58,2.15,5.50,0,1
14,1.51,2.65,17.0,1.19,11.5,1.50,1.41,2.70,2.50,2.45,1.47,4.50,1.56,2.20,5.50,0,1
15,1.51,2.65,17.0,1.18,12.0,1.50,1.40,2.75,2.50,2.40,1.49,4.50,1.54,2.25,5.50,0,1
16,1.51,2.65,17.0,1.19,12.0,1.50,1.39,2.80,2.50,2.40,1.50,4.50,1.52,2.30,5.50,0,1
17,1.51,2.65,17.0,1.19,12.0,1.50,1.38,2.80,2.50,2.30,1.52,4.50,1.50,2.40,5.50,0,1
18,1.51,2.65,17.0,1.19,12.0,1.50,1.37,2.85,2.50,2.30,1.53,3.50,2.35,1.51,5.50,0,1
19,1.51,2.65,17.0,1.19,12.0,0.50,2.90,1.36,2.50,2.25,1.55,3.50,2.30,1.53,5.50,0,1
20,1.51,2.65,17.0,1.20,12.0,0.50,2.85,1.37,2.50,2.20,1.56,3.50,2.25,1.55,5.50,0,1
21,1.51,2.65,17.0,1.20,12.0,0.50,2.80,1.38,2.50,2.15,1.58,3.50,2.20,1.57,5.50,0,1
22,1.51,2.65,17.0,1.20,12.0,0.50,2.80,1.39,2.50,2.10,1.60,3.50,2.15,1.59,5.50,0,1
23,1.51,2.65,17.0,1.19,12.0,0.50,2.75,1.40,2.50,2.10,1.62,3.50,2.10,1.62,5.50,0,1
24,1.51,2.65,17.0,1.19,12.0,0.50,2.70,1.41,2.50,2.05,1.64,3.50,2.05,1.64,5.50,0,1
25,1.51,2.65,17.0,1.19,12.0,0.50,2.65,1.42,2.50,2.00,1.67,3.50,2.00,1.67,5.50,0,1
26,1.51,2.65,17.0,1.19,12.0,0.50,2.60,1.43,2.50,1.98,1.69,3.50,1.96,1.70,5.00,0,1
27,1.51,2.65,17.0,1.19,12.0,0.50,2.60,1.44,2.50,1.95,1.71,3.50,1.92,1.74,5.00,0,1
28,1.51,2.65,17.0,1.19,12.0,0.50,2.50,1.45,2.50,1.91,1.74,3.50,1.87,1.77,5.00,0,1
29,1.51,2.65,17.0,1.19,12.0,0.50,2.50,1.47,2.50,1.87,1.77,3.50,1.83,1.81,5.00,0,1
30,1.51,2.65,17.0,1.19,13.0,0.50,2.45,1.48,2.50,1.84,1.80,3.50,1.79,1.85,5.00,0,1
31,1.51,2.65,17.0,1.19,13.0,0.50,2.40,1.49,2.50,1.81,1.83,3.50,1.76,1.89,5.00,0,1
32,1.51,2.65,17.0,1.19,13.0,0.50,2.40,1.50,2.50,1.78,1.86,3.50,1.72,1.94,5.00,0,1
33,1.51,2.65,17.0,1.19,13.0,0.50,2.35,1.51,2.50,1.75,1.89,3.50,1.69,1.98,5.00,0,1
34,1.51,2.65,17.0,1.19,13.0,0.50,2.30,1.53,2.50,1.72,1.93,3.50,1.66,2.00,5.00,0,1
35,1.51,2.65,17.0,1.19,13.0,0.50,2.25,1.54,2.50,1.70,1.97,3.50,1.63,2.05,5.00,0,1
36,1.51,2.65,17.0,1.19,13.0,0.50,2.20,1.56,2.50,1.67,2.00,3.50,1.60,2.10,5.00,0,1
37,1.51,2.65,17.0,1.19,13.0,0.50,2.20,1.57,2.50,1.64,2.05,3.50,1.57,2.20,5.00,0,1
38,1.51,2.65,17.0,1.19,14.0,0.50,2.15,1.59,2.50,1.62,2.10,3.50,1.55,2.25,5.00,0,1
39,1.51,2.65,17.0,1.19,14.0,0.50,2.10,1.60,2.50,1.59,2.15,3.50,1.52,2.30,5.00,0,1
40,1.51,2.65,17.0,1.19,14.0,0.50,2.10,1.62,2.50,1.57,2.20,3.50,1.50,2.40,5.00,0,1
41,1.51,2.65,17.0,1.19,14.0,0.50,2.05,1.63,2.50,1.55,2.25,3.50,1.48,2.45,5.00,0,1
42,1.51,2.65,17.0,1.04,60.0,0.50,2.00,1.65,3.50,1.53,2.30,4.50,1.46,2.50,11.5,0,2
43,1.51,2.65,17.0,1.04,60.0,0.50,2.00,1.67,3.50,1.51,2.35,3.50,2.50,1.46,11.5,0,2
44,1.51,2.65,17.0,1.04,60.0,0.50,1.98,1.69,3.50,1.50,2.40,3.50,2.45,1.48,11.5,0,2
45,1.51,2.65,17.0,1.04,60.0,0.50,1.94,1.72,3.50,1.48,2.45,3.50,2.40,1.50,12.0,0,2
46,1.51,2.65,17.0,1.04,60.0,0.50,1.91,1.74,3.50,1.46,2.50,3.50,2.30,1.53,12.0,0,2
47,1.51,2.65,17.0,1.03,60.0,0.50,1.88,1.77,3.50,1.44,2.60,3.50,2.25,1.55,12.0,0,2
48,1.51,2.65,17.0,1.03,60.0,0.50,1.85,1.79,3.50,1.42,2.65,3.50,2.15,1.58,12.0,0,2
49,1.51,2.65,17.0,1.03,60.0,0.50,1.82,1.82,3.50,1.40,2.70,3.50,2.10,1.61,12.0,0,2
