min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
6,1,1,1,1,1,0.50,2.75,1.40,2.50,1.65,2.00,1.50,6.50,1.06,1,0,0
7,1,1,1,1.38,5.50,0.50,2.70,1.40,2.50,1.63,2.05,1,1,1,5.00,0,0
8,1,1,1,1.38,5.50,0.50,2.70,1.41,2.50,1.61,2.10,1,1,1,5.00,0,0
9,1.35,3.25,20.0,1.32,6.50,0.50,2.65,1.42,2.50,1.73,1.92,3.50,1.79,1.86,5.00,0,0
10,1.35,3.25,20.0,1.33,6.50,0.50,2.60,1.43,2.50,1.71,1.95,3.50,1.76,1.89,5.00,0,0
11,1.35,3.25,20.0,1.33,6.50,0.50,2.60,1.44,2.50,1.68,1.99,3.50,1.73,1.93,5.00,0,0
12,1.35,3.25,20.0,1.34,6.50,0.50,2.55,1.45,2.50,1.66,2.00,3.50,1.70,1.97,5.00,0,0
13,1.35,3.25,20.0,1.34,6.50,0.50,2.50,1.46,2.50,1.64,2.05,3.50,1.67,2.00,5.00,0,0
14,1.35,3.25,20.0,1.34,6.00,0.50,2.50,1.47,2.50,1.62,2.10,3.50,1.64,2.05,5.00,0,0
15,1.36,3.25,20.0,1.35,6.00,0.50,2.45,1.48,2.50,1.60,2.10,3.50,1.61,2.10,5.00,0,0
16,1.36,3.25,19.0,1.35,6.00,0.50,2.40,1.49,2.50,1.58,2.20,3.50,1.59,2.15,5.00,0,0
17,1.36,3.25,19.0,1.36,6.00,0.50,2.40,1.50,2.50,1.56,2.20,3.50,1.57,2.20,4.95,0,0
18,1.36,3.30,18.0,1.36,6.00,0.50,2.35,1.51,2.50,1.54,2.25,3.50,1.54,2.25,4.90,0,0
