min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.00,2.00,9.00,2.65,2.65,1.50,1.43,2.60,1.50,1.43,2.60,1,1,1,3.00,0,0
2,2.00,2.00,9.00,2.65,2.65,1.50,1.43,2.60,1.50,1.43,2.60,1,1,1,3.00,0,0
3,2.00,2.00,9.00,2.65,2.65,1.50,1.43,2.60,1.50,1.43,2.60,1,1,1,3.00,0,0
4,2.00,2.00,9.00,2.65,2.65,1.50,1.43,2.60,1.50,1.43,2.60,1,1,1,3.00,0,0
5,2.00,2.00,9.00,2.65,2.65,1.50,1.43,2.60,1.50,1.43,2.60,1,1,1,3.00,0,0
6,2.00,2.00,8.50,2.65,2.65,1.50,1.43,2.65,1.50,1.43,2.65,1,1,1,3.00,0,0
7,2.00,2.00,8.50,2.70,2.70,1.50,1.42,2.70,1.50,1.42,2.70,1,1,1,3.00,0,0
8,2.05,2.05,8.00,2.70,2.70,1.50,1.41,2.70,1.50,1.41,2.70,1,1,1,3.00,0,0
9,2.05,2.05,8.00,2.70,2.70,1.50,1.40,2.75,1.50,1.40,2.75,1,1,1,3.00,0,0
10,2.05,2.05,8.00,2.70,2.70,1.50,1.39,2.80,1.50,1.39,2.80,1,1,1,2.95,0,0
11,2.05,2.05,7.50,2.70,2.70,1.50,1.38,2.85,1.50,1.38,2.85,1,1,1,2.95,0,0
12,2.05,2.05,7.50,2.70,2.70,1.50,1.37,2.85,1.50,1.37,2.85,1,1,1,2.90,0,0
13,2.05,2.05,7.50,2.75,2.75,0.50,2.90,1.37,0.50,2.90,1.37,1,1,1,2.90,0,0
14,2.10,2.10,7.00,2.75,2.75,0.50,2.85,1.37,0.50,2.85,1.37,1,1,1,2.90,0,0
15,2.10,2.10,7.00,2.75,2.75,0.50,2.80,1.38,0.50,2.80,1.38,1,1,1,2.90,0,0
16,2.10,2.10,7.00,2.75,2.75,0.50,2.80,1.39,0.50,2.80,1.39,1,1,1,2.85,0,0
17,2.10,2.10,6.50,2.80,2.80,0.50,2.75,1.40,0.50,2.75,1.40,1.50,2.45,1.47,2.85,0,0
18,2.10,2.10,6.50,2.75,2.75,0.50,2.70,1.41,0.50,2.70,1.41,1.50,2.40,1.49,2.80,0,0
19,2.10,2.10,6.00,2.80,2.80,0.50,2.65,1.42,0.50,2.65,1.42,1.50,2.35,1.51,2.80,0,0
20,2.10,2.10,6.00,2.80,2.80,0.50,2.65,1.43,0.50,2.65,1.43,1.50,2.30,1.52,2.80,0,0
21,2.15,2.15,6.00,2.80,2.80,0.50,2.60,1.44,0.50,2.60,1.44,1.50,2.25,1.54,2.75,0,0
22,2.15,2.15,6.00,2.80,2.80,0.50,2.55,1.45,0.50,2.55,1.45,1.50,2.20,1.56,2.75,0,0
23,2.15,2.15,5.50,2.80,2.80,0.50,2.50,1.46,0.50,2.50,1.46,1.50,2.15,1.58,2.70,0,0
24,2.20,2.20,5.50,2.80,2.80,0.50,2.50,1.47,0.50,2.50,1.47,1.50,2.10,1.60,2.70,0,0
25,2.20,2.20,5.00,2.80,2.80,0.50,2.45,1.48,0.50,2.45,1.48,1.50,2.10,1.62,2.65,0,0
26,2.20,2.20,5.00,2.85,2.85,0.50,2.40,1.49,0.50,2.40,1.49,1.50,2.05,1.64,2.65,0,0
27,2.20,2.20,5.00,2.85,2.85,0.50,2.40,1.50,0.50,2.40,1.50,1.50,2.00,1.66,2.60,0,0
28,2.20,2.20,5.00,2.85,2.85,0.50,2.35,1.51,0.50,2.35,1.51,1.50,1.98,1.69,2.60,0,0
