min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.63,2.50,12.0,1.83,3.60,0.50,2.80,1.39,1.50,1.78,1.86,1,1,1,3.60,0,0
2,1.63,2.50,12.0,1.83,3.60,0.50,2.80,1.39,1.50,1.78,1.86,1,1,1,3.60,0,0
3,1.63,2.50,12.0,1.83,3.60,0.50,2.80,1.39,1.50,1.78,1.86,1,1,1,3.60,0,0
4,1.63,2.50,12.0,1.83,3.60,0.50,2.80,1.39,1.50,1.78,1.86,1,1,1,3.60,0,0
5,1.63,2.50,12.0,1.83,3.60,0.50,2.80,1.39,1.50,1.78,1.86,1,1,1,3.60,0,0
6,1.63,2.50,12.0,1.84,3.60,0.50,2.75,1.40,1.50,1.76,1.88,1,1,1,3.55,0,0
7,1.61,2.50,12.0,1.79,3.70,0.50,2.70,1.40,1.50,1.80,1.84,1,1,1,3.60,0,0
8,1.61,2.55,12.0,1.81,3.70,0.50,2.70,1.41,1.50,1.78,1.87,1,1,1,3.55,0,0
9,1.62,2.55,11.5,1.81,3.70,0.50,2.65,1.42,1.50,1.75,1.89,1,1,1,3.55,0,0
10,1.62,2.55,11.0,1.82,3.70,0.50,2.60,1.43,1.50,1.74,1.92,1,1,1,3.50,0,0
11,1.54,2.80,11.0,1.66,4.35,0.50,2.35,1.51,1.50,1.82,1.82,1,1,1,3.60,0,0
12,1.55,2.80,10.5,1.67,4.35,0.50,2.30,1.52,1.50,1.79,1.85,1,1,1,3.60,0,0
13,1.55,2.80,10.5,1.68,4.40,0.50,2.30,1.53,1.50,1.78,1.87,1,1,1,3.55,0,0
14,1.55,2.80,10.0,1.68,4.35,0.50,2.25,1.54,1.50,1.75,1.90,1,1,1,3.50,0,0
15,1.56,2.85,10.0,1.69,4.35,0.50,2.25,1.55,1.50,1.73,1.93,1,1,1,3.50,0,0
16,1.56,2.85,9.50,1.70,4.35,0.50,2.20,1.56,1.50,1.71,1.95,1,1,1,3.50,0,0
17,1.56,2.85,9.50,1.70,4.35,0.50,2.20,1.57,1.50,1.69,1.99,1,1,1,3.45,0,0
18,1.57,2.85,9.00,1.71,4.35,0.50,2.15,1.58,1.50,1.67,2.00,1,1,1,3.40,0,0
19,1.57,2.85,9.00,1.72,4.35,0.50,2.10,1.60,1.50,1.65,2.00,1,1,1,3.40,0,0
20,1.58,2.90,8.50,1.16,13.0,0.50,2.10,1.61,2.50,1.63,2.05,3.50,1.55,2.25,5.50,0,1
21,1.58,2.90,8.50,1.16,13.0,0.50,2.10,1.62,2.50,1.61,2.10,3.50,1.53,2.30,5.50,0,1
22,1.58,2.90,8.50,1.16,13.0,0.50,2.05,1.63,2.50,1.59,2.15,3.50,1.51,2.35,5.50,0,1
23,1.58,2.90,8.50,1.17,13.0,0.50,2.00,1.65,2.50,1.58,2.20,3.50,1.50,2.40,5.50,0,1
24,1.58,2.90,8.50,1.15,14.0,0.50,2.10,1.62,2.50,1.67,2.00,3.50,1.57,2.20,6.00,0,1
25,1.58,2.90,8.50,1.15,14.0,0.50,2.05,1.63,2.50,1.65,2.05,3.50,1.55,2.25,6.00,0,1
26,1.58,2.90,8.50,1.15,14.0,0.50,2.05,1.64,2.50,1.63,2.05,3.50,1.53,2.30,6.00,0,1
27,1.58,2.90,8.50,1.15,14.0,0.50,2.00,1.66,2.50,1.60,2.10,3.50,1.51,2.35,6.00,0,1
28,1.58,2.90,8.50,1.15,14.0,0.50,2.00,1.68,2.50,1.59,2.15,3.50,1.49,2.40,6.00,0,1
29,1.58,2.90,8.50,1.15,14.0,0.50,1.98,1.69,2.50,1.57,2.20,3.50,1.47,2.45,5.50,0,1
30,1.58,2.90,8.50,1.15,14.0,0.50,1.95,1.71,2.50,1.55,2.25,1,1,1,5.50,0,1
31,1.58,2.90,8.50,1.15,14.0,0.50,1.93,1.73,2.50,1.53,2.30,1,1,1,5.50,0,1
32,1.58,2.90,8.50,1.15,14.0,0.50,1.90,1.75,2.50,1.52,2.30,1,1,1,5.50,0,1
33,1.58,2.90,8.50,1.16,15.0,0.50,1.88,1.76,2.50,1.50,2.40,1,1,1,5.50,0,1
34,1.58,2.90,8.50,1.15,15.0,0.50,1.86,1.79,2.50,1.49,2.40,1,1,1,5.50,0,1
35,1.58,2.90,8.50,1.03,55.0,0.50,1.84,1.81,3.50,1.47,2.50,3.50,2.30,1.54,15.0,0,2
36,1.58,2.90,8.50,1.03,56.0,0.50,1.81,1.83,3.50,1.45,2.50,3.50,2.20,1.56,15.0,0,2
37,1.58,2.90,8.50,1.03,56.0,0.50,1.79,1.86,3.50,1.44,2.60,3.50,2.15,1.58,15.0,0,2
38,1.58,2.90,8.50,1.03,60.0,0.50,1.76,1.88,3.50,1.43,2.65,3.50,2.10,1.61,15.0,0,2
39,1.58,2.90,8.50,1.03,60.0,0.50,1.74,1.91,3.50,1.41,2.70,3.50,2.05,1.63,15.0,0,2
40,1.58,2.90,8.50,1.03,60.0,0.50,1.72,1.93,3.50,1.40,2.75,3.50,2.00,1.66,15.0,0,2
41,1.58,2.90,8.50,1.03,60.0,0.50,1.70,1.96,3.50,1.38,2.80,3.50,1.99,1.69,15.0,0,2
42,1.58,2.90,8.50,1.03,60.0,0.50,1.68,1.99,3.50,1.37,2.85,3.50,1.95,1.71,16.0,0,2
43,1.58,2.90,8.50,1.03,60.0,0.50,1.67,2.00,2.50,2.90,1.37,3.50,1.91,1.74,16.0,0,2
44,1.58,2.90,8.50,-,-,0.50,1.45,2.55,3.50,1.44,2.60,3.50,1.86,1.78,-,0,2
45,1.58,2.90,8.50,-,-,0.50,1.44,2.60,3.50,1.42,2.65,3.50,1.82,1.83,-,0,2
46,1.58,2.90,8.50,-,-,0.50,1.43,2.60,3.50,1.40,2.70,3.50,1.78,1.87,-,0,2
47,1.58,2.90,8.50,-,-,0.50,1.42,2.65,3.50,1.39,2.80,3.50,1.74,1.91,-,0,2
48,1.58,2.90,8.50,-,-,0.50,1.41,2.70,3.50,1.37,2.85,3.50,1.70,1.96,-,0,2
49,1.58,2.90,8.50,-,-,0.50,1.40,2.75,2.50,2.85,1.37,3.50,1.67,2.00,-,0,2
50,1.58,2.90,8.50,-,-,0.50,1.39,2.80,2.50,2.80,1.38,3.50,1.64,2.05,-,0,2
51,1.58,2.90,8.50,-,-,0.50,1.38,2.85,2.50,2.75,1.40,3.50,1.61,2.10,-,0,2
52,1.58,2.90,8.50,-,-,0.50,1.37,2.90,2.50,2.65,1.42,3.50,1.58,2.15,-,0,2
53,1.58,2.90,8.50,-,-,0.50,1.35,2.95,2.50,2.60,1.44,3.50,1.55,2.25,-,0,2
54,1.58,2.90,8.50,-,-,0.50,1.34,3.00,2.50,2.55,1.45,3.50,1.52,2.30,-,0,2
55,1.58,2.90,8.50,-,-,0.50,1.33,3.05,2.50,2.50,1.47,3.50,1.50,2.40,-,0,2
56,1.58,2.90,8.50,-,-,0.50,1.32,3.10,2.50,2.40,1.49,3.50,1.48,2.45,-,0,2
57,1.58,2.90,8.50,-,-,0.50,1.30,3.20,2.50,2.35,1.51,3.50,1.45,2.55,-,0,2
58,1.58,2.90,8.50,-,-,0.50,1.29,3.25,2.50,2.30,1.53,3.50,1.43,2.65,-,0,2
59,1.58,2.90,8.50,-,-,0.50,1.28,3.30,2.50,2.20,1.56,3.50,1.41,2.70,-,0,2
60,1.58,2.90,8.50,-,-,0.50,1.27,3.40,2.50,2.15,1.58,3.50,1.38,2.80,-,0,2
61,1.58,2.90,8.50,-,-,0.50,1.26,3.45,2.50,2.10,1.60,1,1,1,-,0,2
62,1.58,2.90,8.50,-,-,0.50,1.25,3.50,2.50,2.05,1.63,1,1,1,-,0,2
63,1.58,2.90,8.50,-,-,0.50,1.23,3.60,2.50,2.00,1.66,1,1,1,-,0,2
64,1.58,2.90,8.50,-,-,0.50,1.22,3.70,2.50,1.97,1.70,1,1,1,-,0,2
65,1.58,2.90,8.50,-,-,0.50,1.21,3.80,2.50,1.91,1.74,1,1,1,-,0,2
66,1.58,2.90,8.50,-,-,0.50,1.19,3.90,2.50,1.86,1.78,1,1,1,-,0,2
67,1.58,2.90,8.50,-,-,0.50,1.18,4.05,2.50,1.81,1.83,1,1,1,-,0,2
68,1.58,2.90,8.50,-,-,0.50,1.17,4.15,2.50,1.77,1.88,1,1,1,-,0,2
69,1.58,2.90,8.50,1.05,48.0,1.50,1.16,4.30,2.50,1.72,1.93,3.50,2.20,1.57,8.00,1,2
70,1.58,2.90,8.50,1.05,55.0,1.50,1.14,4.45,2.50,1.68,2.00,3.50,2.10,1.60,8.00,1,2
71,1.58,2.90,8.50,1.05,57.0,1.50,1.13,4.60,2.50,1.65,2.05,3.50,2.05,1.64,8.00,1,2
72,1.58,2.90,8.50,1.05,60.0,1.50,1.12,4.75,2.50,1.60,2.10,3.50,1.99,1.68,8.00,1,2
73,1.58,2.90,8.50,-,-,1.50,1.11,4.90,3.50,1.57,2.20,4.50,1.92,1.73,-,1,3
74,1.58,2.90,8.50,-,-,1.50,1.10,5.00,3.50,1.54,2.30,4.50,1.85,1.79,-,1,3
75,1.58,2.90,8.50,-,-,1.50,1.09,5.00,3.50,1.51,2.35,4.50,1.79,1.86,-,1,3
76,1.58,2.90,8.50,-,-,1.50,1.08,5.50,3.50,1.47,2.45,4.50,1.72,1.94,-,1,3
77,1.58,2.90,8.50,-,-,1.50,1.07,6.00,3.50,1.44,2.60,4.50,1.67,2.00,-,1,3
78,1.58,2.90,8.50,-,-,1.50,1.07,6.00,3.50,1.41,2.70,4.50,1.61,2.10,-,1,3
79,1.58,2.90,8.50,-,-,1.50,1.06,6.50,3.50,1.40,2.70,4.50,1.59,2.15,-,1,3
80,1.58,2.90,8.50,-,-,1.50,1.05,7.00,3.50,1.37,2.85,4.50,1.55,2.25,-,1,3
81,1.58,2.90,8.50,-,-,1.50,1.05,7.50,3.50,1.34,3.00,4.50,1.50,2.40,-,1,3
82,1.58,2.90,8.50,-,-,1.50,1.04,8.00,3.50,1.31,3.20,4.50,1.46,2.50,-,1,3
83,1.58,2.90,8.50,-,-,1.50,1.04,8.50,3.50,1.27,3.35,4.50,1.41,2.70,-,1,3
