min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.85,1.97,18.0,2.30,2.60,1.50,1.84,1.80,1.50,1.98,1.69,3.50,1.64,2.05,3.65,0,0
2,1.85,1.97,18.0,2.30,2.60,1.50,1.84,1.80,1.50,1.98,1.69,3.50,1.64,2.05,3.65,0,0
3,1.85,1.97,18.0,2.30,2.60,1.50,1.84,1.80,1.50,1.98,1.69,3.50,1.64,2.05,3.65,0,0
4,1.85,1.97,18.0,2.30,2.60,1.50,1.84,1.80,1.50,1.98,1.69,3.50,1.64,2.05,3.65,0,0
5,1.38,3.25,17.0,1.38,6.50,0.50,2.50,1.46,2.50,1.60,2.10,3.50,1.58,2.15,4.45,0,0
6,1.38,3.25,16.0,1.38,6.50,0.50,2.50,1.47,2.50,1.58,2.15,3.50,1.56,2.20,4.45,0,0
7,1.38,3.25,16.0,1.39,6.50,0.50,2.45,1.48,2.50,1.56,2.20,3.50,1.54,2.25,4.40,0,0
8,1.38,3.25,16.0,1.39,6.50,0.50,2.40,1.49,2.50,1.55,2.25,3.50,1.52,2.30,4.35,0,0
9,1.38,3.25,15.0,1.39,6.50,0.50,2.40,1.50,2.50,1.53,2.30,3.50,1.50,2.35,4.30,0,0
10,1.39,3.25,15.0,1.40,6.50,0.50,2.35,1.50,2.50,1.51,2.35,3.50,1.49,2.40,4.30,0,0
11,1.39,3.30,15.0,1.40,6.50,0.50,2.35,1.51,2.50,1.50,2.40,1,1,1,4.25,0,0
12,1.39,3.30,14.0,1.41,6.50,0.50,2.30,1.52,2.50,1.48,2.45,1,1,1,4.20,0,0
13,1.39,3.30,14.0,1.41,6.50,0.50,2.30,1.53,2.50,1.47,2.50,1,1,1,4.20,0,0
14,1.40,3.30,14.0,1.42,6.50,0.50,2.25,1.54,2.50,1.46,2.50,1,1,1,4.15,0,0
15,1.40,3.30,13.0,1.42,6.50,0.50,2.25,1.55,1.50,2.50,1.46,1,1,1,4.10,0,0
16,1.40,3.30,13.0,1.43,6.50,0.50,2.20,1.56,1.50,2.45,1.48,1,1,1,4.10,0,0
17,1.40,3.30,13.0,1.44,6.50,0.50,2.20,1.57,1.50,2.40,1.49,1,1,1,4.05,0,0
18,1.41,3.30,12.0,1.44,6.50,0.50,2.15,1.58,1.50,2.35,1.51,1,1,1,4.00,0,0
19,1.41,3.30,12.0,1.44,6.50,0.50,2.10,1.60,1.50,2.30,1.52,1,1,1,3.95,0,0
20,1.41,3.30,12.0,1.46,6.00,0.50,2.10,1.61,1.50,2.25,1.54,1,1,1,3.90,0,0
21,1.41,3.35,11.5,1.46,6.00,0.50,2.10,1.62,1.50,2.20,1.56,1,1,1,3.90,0,0
22,1.42,3.35,11.5,1.47,6.00,0.50,2.05,1.63,1.50,2.20,1.57,1,1,1,3.85,0,0
23,1.42,3.35,11.0,1.47,6.00,0.50,2.00,1.65,1.50,2.15,1.59,1,1,1,3.80,0,0
24,1.42,3.35,11.0,1.48,6.00,0.50,2.00,1.66,1.50,2.10,1.61,1,1,1,3.75,0,0
