min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.00,1.90,10.0,2.65,2.40,1.50,1.47,2.35,0.50,3.15,1.27,1,1,1,3.10,0,0
2,2.00,1.90,10.0,2.65,2.40,1.50,1.47,2.35,0.50,3.15,1.27,1,1,1,3.10,0,0
3,2.00,1.90,10.0,2.65,2.40,1.50,1.47,2.35,0.50,3.15,1.27,1,1,1,3.10,0,0
4,2.00,1.97,9.00,2.60,2.50,1.50,1.40,2.55,1.50,1.39,2.60,1,1,1,3.05,0,0
5,2.00,1.97,9.00,2.60,2.50,1.50,1.40,2.55,1.50,1.39,2.60,1,1,1,3.05,0,0
6,2.00,1.98,8.50,2.60,2.55,1.50,1.40,2.60,1.50,1.38,2.60,1,1,1,3.05,0,0
7,2.00,1.98,8.50,2.60,2.55,1.50,1.39,2.60,1.50,1.37,2.65,1,1,1,3.00,0,0
8,2.00,1.99,8.00,2.60,2.55,1.50,1.38,2.65,1.50,1.36,2.70,1,1,1,3.00,0,0
9,2.00,1.99,8.00,2.65,2.55,1.50,1.37,2.70,1.50,1.36,2.75,1,1,1,3.00,0,0
10,2.00,2.00,8.00,2.65,2.60,1.50,1.36,2.70,1.50,1.35,2.80,1,1,1,3.00,0,0
11,2.00,2.00,8.00,2.65,2.60,1.50,1.35,2.75,1.50,1.34,2.80,1,1,1,2.95,0,0
12,2.00,2.00,7.50,2.65,2.60,1.50,1.34,2.80,0.50,2.80,1.34,1,1,1,2.95,0,0
13,2.00,2.00,7.50,2.70,2.60,0.50,2.80,1.34,0.50,2.80,1.34,1,1,1,2.90,0,0
14,2.05,2.00,7.00,2.70,2.60,0.50,2.80,1.34,0.50,2.75,1.35,1,1,1,2.90,0,0
15,2.05,2.00,7.00,2.70,2.60,0.50,2.75,1.35,0.50,2.70,1.36,1,1,1,2.90,0,0
16,2.05,2.00,7.00,2.70,2.60,0.50,2.70,1.36,0.50,2.70,1.37,1,1,1,2.90,0,0
17,2.05,2.05,6.00,2.70,2.70,0.50,2.55,1.40,0.50,2.55,1.40,1.50,2.30,1.48,2.80,0,0
18,2.10,2.10,6.00,2.70,2.70,0.50,2.50,1.41,0.50,2.50,1.41,1.50,2.25,1.50,2.80,0,0
19,2.10,2.10,6.00,2.70,2.70,0.50,2.50,1.42,0.50,2.50,1.42,1.50,2.20,1.52,2.75,0,0
20,2.10,2.10,5.50,2.70,2.70,0.50,2.45,1.43,0.50,2.45,1.43,1.50,2.15,1.53,2.75,0,0
21,2.10,2.10,5.50,2.70,2.70,0.50,2.40,1.44,0.50,2.40,1.44,1.50,2.10,1.55,2.70,0,0
22,2.10,2.10,5.50,2.70,2.70,0.50,2.40,1.45,0.50,2.40,1.45,1.50,2.10,1.57,2.70,0,0
23,2.10,2.10,5.00,2.75,2.75,0.50,2.35,1.46,0.50,2.35,1.46,1.50,2.00,1.59,2.70,0,0
24,2.15,2.15,5.00,2.75,2.75,0.50,2.30,1.47,0.50,2.30,1.47,1.50,2.00,1.61,2.65,0,0
25,2.15,2.15,5.00,7.50,1.40,1.50,2.30,1.48,0.50,2.30,1.48,1,1,1,3.65,1,0
26,2.15,2.15,5.00,8.00,1.39,1.50,2.25,1.49,0.50,2.25,1.49,1,1,1,3.65,1,0
27,2.15,2.15,5.00,8.00,1.39,1.50,2.20,1.50,0.50,2.20,1.50,1,1,1,3.65,1,0
28,2.15,2.15,5.00,8.00,1.38,1.50,2.20,1.52,0.50,2.20,1.52,1,1,1,3.65,1,0
29,2.15,2.15,5.00,8.00,1.38,1.50,2.15,1.53,0.50,2.15,1.53,1,1,1,3.65,1,0
30,2.15,2.15,5.00,8.00,1.38,1.50,2.10,1.54,0.50,2.10,1.54,1,1,1,3.65,1,0
31,2.15,2.15,5.00,30.0,1.03,2.50,2.10,1.55,0.50,2.10,1.55,3.50,1.82,1.75,8.00,2,0
32,2.15,2.15,5.00,32.0,1.03,2.50,2.05,1.57,0.50,2.05,1.57,3.50,1.78,1.78,8.00,2,0
33,2.15,2.15,5.00,33.0,1.03,2.50,2.05,1.58,0.50,2.05,1.58,3.50,1.76,1.81,8.00,2,0
34,2.15,2.15,5.00,35.0,1.03,2.50,2.00,1.60,0.50,2.00,1.60,3.50,1.73,1.84,8.00,2,0
35,2.15,2.15,5.00,36.0,1.03,2.50,2.00,1.61,0.50,2.00,1.61,3.50,1.70,1.87,8.50,2,0
36,2.15,2.15,5.00,36.0,1.03,2.50,1.98,1.63,0.50,1.98,1.63,3.50,1.67,1.92,8.50,2,0
37,2.15,2.15,5.00,32.0,1.03,2.50,1.99,1.62,0.50,2.05,1.58,3.50,1.72,1.85,8.00,2,0
38,2.15,2.15,5.00,34.0,1.03,2.50,1.96,1.64,0.50,2.00,1.60,3.50,1.69,1.89,8.00,2,0
39,2.15,2.15,5.00,35.0,1.03,2.50,1.93,1.66,0.50,2.00,1.62,3.50,1.66,1.93,8.00,2,0
40,2.15,2.15,5.00,36.0,1.03,2.50,1.90,1.68,0.50,1.97,1.64,3.50,1.63,1.98,8.00,2,0
41,2.15,2.15,5.00,38.0,1.03,2.50,1.87,1.70,0.50,1.93,1.66,3.50,1.60,2.00,8.50,2,0
42,2.15,2.15,5.00,36.0,1.03,2.50,2.00,1.62,0.50,2.00,1.62,3.50,1.69,1.89,8.50,2,0
43,2.15,2.15,5.00,39.0,1.03,2.50,1.97,1.64,0.50,1.97,1.64,3.50,1.66,1.93,8.50,2,0
44,2.15,2.15,5.00,39.0,1.03,2.50,1.93,1.66,0.50,1.93,1.66,3.50,1.63,1.97,8.50,2,0
45,2.15,2.15,5.00,41.0,1.03,2.50,1.90,1.68,0.50,1.90,1.68,3.50,1.60,2.00,8.50,2,0
48,2.15,2.15,5.00,60.0,1.02,2.50,1.91,1.67,0.50,1.76,1.81,3.50,1.54,2.10,9.50,2,0
49,2.15,2.15,5.00,60.0,1.02,2.50,1.88,1.70,0.50,1.73,1.84,3.50,1.52,2.20,10.0,2,0
50,2.15,2.15,5.00,60.0,1.02,2.50,1.85,1.72,0.50,1.70,1.87,3.50,1.49,2.25,10.0,2,0
51,2.15,2.15,5.00,60.0,1.02,2.50,1.82,1.75,0.50,1.68,1.90,3.50,1.47,2.30,10.0,2,0
52,2.15,2.15,5.00,60.0,1.02,2.50,1.79,1.78,0.50,1.66,1.94,3.50,1.45,2.40,10.0,2,0
53,2.15,2.15,5.00,60.0,1.02,2.50,1.76,1.81,0.50,1.63,1.97,3.50,1.43,2.45,10.0,2,0
54,2.15,2.15,5.00,60.0,1.02,2.50,1.72,1.85,0.50,1.61,2.00,3.50,1.41,2.50,10.5,2,0
55,2.15,2.15,5.00,60.0,1.02,2.50,1.70,1.88,0.50,1.59,2.00,3.50,1.39,2.60,10.5,2,0
56,2.15,2.15,5.00,60.0,1.02,2.50,1.67,1.91,0.50,1.57,2.05,3.50,1.37,2.70,11.0,2,0
57,2.15,2.15,5.00,60.0,1.02,2.50,1.64,1.96,0.50,1.55,2.10,3.50,1.35,2.80,11.0,2,0
