min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.42,3.30,9.00,1.48,5.50,0.50,1.85,1.72,1.50,1.83,1.73,1,1,1,3.55,0,0
2,1.38,3.55,9.00,1.42,6.00,0.50,1.70,1.88,1.50,1.83,1.73,1,1,1,3.80,0,0
3,1.38,3.55,9.00,1.42,6.00,0.50,1.70,1.88,1.50,1.83,1.73,1,1,1,3.80,0,0
4,1.38,3.55,9.00,1.42,6.00,0.50,1.70,1.88,1.50,1.83,1.73,1,1,1,3.80,0,0
5,1.38,3.55,9.00,1.42,6.00,0.50,1.70,1.88,1.50,1.83,1.73,1,1,1,3.80,0,0
6,1.38,3.55,9.00,1.43,6.00,0.50,1.69,1.89,1.50,1.81,1.76,1,1,1,3.75,0,0
7,1.39,3.55,8.50,1.44,6.00,0.50,1.68,1.91,1.50,1.79,1.78,1,1,1,3.70,0,0
8,1.39,3.55,8.50,1.44,6.00,0.50,1.66,1.92,1.50,1.76,1.81,1,1,1,3.70,0,0
9,1.39,3.60,8.00,1.45,6.00,0.50,1.65,1.94,1.50,1.74,1.83,1,1,1,3.65,0,0
10,1.39,3.60,8.00,1.44,6.00,0.50,1.64,1.96,1.50,1.75,1.82,1,1,1,3.65,0,0
11,1.39,3.60,8.00,1.45,6.00,0.50,1.63,1.98,1.50,1.73,1.84,1,1,1,3.65,0,0
12,1.39,3.65,8.00,1.45,6.00,0.50,1.62,2.00,1.50,1.71,1.86,1,1,1,3.60,0,0
13,1.40,3.65,7.50,1.45,6.00,0.50,1.61,2.00,1.50,1.69,1.89,1,1,1,3.60,0,0
14,1.40,3.65,7.00,1.46,6.00,0.50,1.60,2.00,1.50,1.67,1.92,1,1,1,3.55,0,0
15,1.41,3.70,7.00,1.47,6.00,0.50,1.58,2.05,1.50,1.65,1.95,1.50,2.45,1.43,3.50,0,0
16,1.41,3.70,7.00,1.47,6.00,0.50,1.57,2.05,1.50,1.63,1.98,1.50,2.40,1.45,3.50,0,0
17,1.42,3.70,7.00,1.48,6.00,0.50,1.56,2.10,1.50,1.61,2.00,1.50,2.35,1.46,3.45,0,0
18,1.42,3.70,6.50,1.48,6.00,0.50,1.55,2.10,1.50,1.60,2.00,1.50,2.30,1.48,3.40,0,0
19,1.43,3.70,6.50,1.49,6.00,0.50,1.54,2.10,1.50,1.58,2.05,1.50,2.25,1.49,3.40,0,0
20,1.43,3.75,6.00,1.49,6.00,0.50,1.53,2.15,1.50,1.56,2.10,1.50,2.20,1.51,3.35,0,0
21,1.44,3.75,6.00,1.50,6.00,0.50,1.52,2.20,1.50,1.54,2.10,1.50,2.20,1.52,3.30,0,0
22,1.44,3.75,6.00,1.51,6.00,0.50,1.51,2.20,1.50,1.53,2.15,1.50,2.10,1.54,3.30,0,0
23,1.45,3.80,5.50,1.52,6.00,0.50,1.50,2.20,1.50,1.51,2.20,1.50,2.10,1.56,3.25,0,0
24,1.45,3.80,5.50,1.53,6.00,0.50,1.49,2.25,1.50,1.50,2.25,1.50,2.05,1.58,3.20,0,0
25,1.46,3.80,5.50,1.54,6.00,0.50,1.49,2.30,1.50,1.48,2.30,1.50,2.00,1.60,3.20,0,0
26,1.47,3.85,5.00,1.04,21.0,0.50,1.48,2.30,2.50,1.47,2.30,1,1,1,8.00,0,1
27,1.47,3.85,5.00,1.04,22.0,0.50,1.47,2.30,2.50,1.45,2.40,1,1,1,8.00,0,1
28,1.47,3.85,5.00,1.04,22.0,0.50,1.46,2.35,2.50,1.44,2.40,1,1,1,7.50,0,1
29,1.47,3.85,5.00,1.57,6.00,1.50,1.50,2.25,2.50,1.45,2.40,3.50,1.99,1.63,3.10,1,1
30,1.47,3.85,5.00,1.58,6.00,1.50,1.49,2.25,2.50,1.44,2.40,3.50,1.95,1.65,3.05,1,1
31,1.47,3.85,5.00,1.59,6.00,1.50,1.48,2.30,2.50,1.43,2.45,3.50,1.91,1.67,3.05,1,1
32,1.47,3.85,5.00,1.60,6.00,1.50,1.47,2.35,2.50,1.41,2.50,3.50,1.87,1.70,3.00,1,1
33,1.47,3.85,5.00,1.61,6.00,1.50,1.46,2.35,2.50,1.40,2.55,3.50,1.84,1.73,3.00,1,1
34,1.47,3.85,5.00,1.62,6.00,1.50,1.45,2.40,2.50,1.39,2.60,3.50,1.80,1.76,2.95,1,1
35,1.47,3.85,5.00,1.63,6.00,1.50,1.44,2.40,2.50,1.37,2.65,3.50,1.77,1.79,2.90,1,1
36,1,1,1,1.64,6.00,1.50,1.43,2.45,2.50,1.36,2.70,3.50,1.74,1.83,2.85,1,1
37,1.47,3.85,5.00,1.65,6.00,1.50,1.42,2.50,2.50,1.35,2.80,3.50,1.71,1.86,2.85,1,1
38,1.47,3.85,5.00,1.67,6.00,1.50,1.41,2.50,1.50,2.85,1.33,3.50,1.68,1.90,2.80,1,1
39,1.47,3.85,5.00,1.68,6.00,1.50,1.40,2.55,1.50,2.80,1.34,3.50,1.66,1.94,2.80,1,1
40,1.47,3.85,5.00,1.70,6.00,1.50,1.39,2.60,1.50,2.75,1.36,3.50,1.63,1.98,2.75,1,1
41,1.47,3.85,5.00,1.71,6.00,1.50,1.38,2.65,1.50,2.70,1.37,3.50,1.60,2.00,2.70,1,1
42,1.47,3.85,5.00,1.72,6.00,1.50,1.37,2.70,1.50,2.60,1.38,3.50,1.58,2.05,2.65,1,1
43,1.47,3.85,5.00,1.74,6.00,1.50,1.36,2.70,1.50,2.60,1.40,3.50,1.56,2.10,2.65,1,1
44,1.47,3.85,5.00,1.76,6.00,1.50,1.35,2.75,1.50,2.50,1.41,3.50,1.53,2.15,2.60,1,1
45,1.47,3.85,5.00,1.04,24.0,1.50,1.34,2.80,2.50,2.50,1.42,4.50,1.51,2.20,7.00,1,2
46,1.47,3.85,5.00,1.05,24.0,1.50,1.33,2.85,2.50,2.40,1.44,4.50,1.49,2.30,7.00,1,2
47,1.47,3.85,5.00,1.06,22.0,1.50,1.36,2.70,2.50,2.30,1.48,4.50,1.47,2.35,6.50,1,2
48,1.47,3.85,5.00,1.06,22.0,1.50,1.35,2.80,2.50,2.25,1.49,4.50,1.45,2.40,6.50,1,2
49,1.47,3.85,5.00,1.05,23.0,1.50,1.34,2.80,2.50,2.20,1.51,4.50,1.42,2.45,6.50,1,2
50,1.47,3.85,5.00,1.06,23.0,1.50,1.32,2.90,2.50,2.15,1.53,4.50,1.41,2.55,6.50,1,2
51,1.47,3.85,5.00,1.06,22.0,1.50,1.35,2.80,2.50,2.10,1.55,4.50,1.41,2.55,6.50,1,2
52,1.47,3.85,5.00,1.07,22.0,1.50,1.34,2.80,2.50,2.05,1.57,4.50,1.39,2.60,6.50,1,2
53,1.47,3.85,5.00,1.06,23.0,1.50,1.32,2.90,2.50,2.00,1.59,4.50,1.37,2.70,6.50,1,2
54,1.47,3.85,5.00,1.06,23.0,1.50,1.31,2.95,2.50,2.00,1.61,4.50,1.35,2.75,6.50,1,2
55,1.47,3.85,5.00,1.06,24.0,1.50,1.30,3.00,2.50,1.96,1.64,3.50,2.80,1.34,6.50,1,2
56,1.47,3.85,5.00,1.06,24.0,1.50,1.29,3.05,2.50,1.92,1.67,3.50,2.75,1.36,6.50,1,2
57,1.47,3.85,5.00,1.06,25.0,1.50,1.28,3.10,2.50,1.88,1.70,3.50,2.65,1.37,6.50,1,2
58,1.47,3.85,5.00,1.06,25.0,1.50,1.26,3.20,2.50,1.84,1.73,3.50,2.60,1.39,6.50,1,2
59,1.47,3.85,5.00,1.05,26.0,1.50,1.25,3.25,2.50,1.81,1.76,3.50,2.50,1.41,6.50,1,2
60,1.47,3.85,5.00,1.05,26.0,1.50,1.24,3.30,2.50,1.77,1.80,3.50,2.45,1.43,6.50,1,2
61,1.47,3.85,5.00,1.05,28.0,1.50,1.23,3.40,2.50,1.73,1.84,3.50,2.40,1.45,6.50,1,2
62,1.47,3.85,5.00,1.05,28.0,1.50,1.22,3.45,2.50,1.70,1.88,3.50,2.30,1.47,6.50,1,2
63,1.47,3.85,5.00,1.05,28.0,1.50,1.20,3.55,2.50,1.66,1.92,3.50,2.25,1.50,6.50,1,2
64,1.47,3.85,5.00,1.05,29.0,1.50,1.19,3.60,2.50,1.63,1.97,3.50,2.20,1.52,7.00,1,2
65,1.47,3.85,5.00,1.04,30.0,1.50,1.18,3.70,2.50,1.60,2.00,3.50,2.10,1.55,7.00,1,2
66,1.47,3.85,5.00,1.04,31.0,1.50,1.17,3.85,2.50,1.57,2.05,3.50,2.05,1.58,7.00,1,2
67,1.47,3.85,5.00,1.04,32.0,1.50,1.15,3.95,2.50,1.54,2.10,3.50,2.00,1.62,7.00,1,2
68,1.47,3.85,5.00,1.04,33.0,1.50,1.14,4.05,2.50,1.52,2.20,3.50,1.94,1.66,7.00,1,2
69,1.47,3.85,5.00,1.04,33.0,1.50,1.13,4.20,2.50,1.49,2.25,3.50,1.88,1.70,7.00,1,2
70,1.47,3.85,5.00,1.04,36.0,1.50,1.12,4.35,2.50,1.47,2.30,3.50,1.82,1.74,7.50,1,2
