min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
6,2.90,1.46,14.0,4.40,1.53,1.50,1.95,1.71,0.50,2.25,1.55,1,1,1,4.40,0,0
7,2.90,1.46,14.0,4.45,1.53,1.50,1.93,1.73,0.50,2.20,1.56,1,1,1,4.40,0,0
8,2.95,1.47,14.0,4.40,1.53,1.50,1.89,1.75,0.50,2.20,1.57,1,1,1,4.30,0,0
9,2.95,1.47,13.0,4.40,1.54,1.50,1.87,1.78,0.50,2.15,1.58,1,1,1,4.30,0,0
10,2.95,1.47,13.0,4.45,1.55,1.50,1.84,1.80,0.50,2.15,1.59,1,1,1,4.25,0,0
11,2.95,1.48,12.0,4.45,1.55,1.50,1.82,1.82,0.50,2.10,1.60,1,1,1,4.20,0,0
12,2.95,1.48,12.0,4.40,1.56,1.50,1.79,1.85,0.50,2.10,1.61,1,1,1,4.20,0,0
13,3.00,1.48,12.0,4.40,1.56,1.50,1.78,1.87,0.50,2.05,1.63,1,1,1,4.15,0,0
14,3.00,1.49,11.5,4.40,1.57,1.50,1.75,1.90,0.50,2.05,1.64,1,1,1,4.10,0,0
15,3.00,1.49,11.0,4.40,1.58,1.50,1.73,1.93,0.50,2.00,1.65,1,1,1,4.05,0,0
16,3.00,1.49,11.0,4.40,1.58,1.50,1.71,1.95,0.50,2.00,1.66,1,1,1,4.00,0,0
17,3.00,1.50,10.5,4.40,1.59,1.50,1.69,1.99,0.50,2.00,1.68,1,1,1,4.00,0,0
18,3.00,1.50,10.0,4.40,1.59,1.50,1.67,2.00,0.50,1.98,1.69,1,1,1,3.95,0,0
19,3.00,1.51,10.0,4.40,1.60,1.50,1.65,2.00,0.50,1.96,1.71,1,1,1,3.90,0,0
20,3.05,1.51,9.50,4.40,1.60,1.50,1.63,2.05,0.50,1.93,1.72,1,1,1,3.85,0,0
21,3.05,1.52,9.00,4.40,1.61,1.50,1.61,2.10,0.50,1.92,1.74,1,1,1,3.80,0,0
22,3.05,1.52,9.00,4.40,1.62,1.50,1.59,2.15,0.50,1.89,1.75,1,1,1,3.80,0,0
23,3.05,1.53,8.50,4.40,1.63,1.50,1.58,2.20,0.50,1.87,1.77,1,1,1,3.75,0,0
24,3.10,1.53,8.50,4.40,1.63,1.50,1.56,2.20,0.50,1.85,1.79,1,1,1,3.70,0,0
25,3.10,1.54,8.00,4.40,1.64,1.50,1.54,2.25,0.50,1.83,1.81,1.50,2.55,1.45,3.65,0,0
26,3.10,1.54,8.00,4.40,1.65,1.50,1.53,2.30,0.50,1.81,1.83,1.50,2.50,1.47,3.60,0,0
27,3.10,1.55,7.50,4.40,1.66,1.50,1.51,2.35,0.50,1.79,1.85,1.50,2.40,1.48,3.60,0,0
28,3.10,1.55,7.00,4.40,1.67,1.50,1.50,2.40,0.50,1.78,1.87,1.50,2.40,1.50,3.55,0,0
29,3.15,1.56,7.00,4.40,1.68,1.50,1.49,2.40,0.50,1.76,1.89,1.50,2.30,1.52,3.50,0,0
30,3.15,1.57,7.00,4.40,1.69,1.50,1.47,2.50,0.50,1.74,1.92,1.50,2.25,1.54,3.45,0,0
31,3.15,1.58,6.50,4.40,1.69,1.50,1.46,2.50,0.50,1.72,1.94,1.50,2.20,1.56,3.45,0,0
32,3.20,1.58,6.00,4.40,1.71,1.50,1.44,2.60,0.50,1.70,1.96,1.50,2.20,1.58,3.40,0,0
33,3.20,1.59,6.00,13.0,1.10,2.50,1.43,2.60,0.50,1.69,1.99,1,1,1,8.00,1,0
34,3.20,1.59,6.00,16.0,1.07,1.50,2.75,1.40,0.50,1.48,2.45,1,1,1,9.00,1,0
35,3.20,1.59,6.00,16.0,1.07,1.50,2.70,1.41,0.50,1.47,2.50,1,1,1,9.00,1,0
36,3.20,1.59,6.00,16.0,1.07,1.50,2.65,1.42,0.50,1.46,2.50,1,1,1,9.00,1,0
37,3.20,1.59,6.00,16.0,1.07,1.50,2.60,1.44,0.50,1.45,2.55,1,1,1,9.00,1,0
38,3.20,1.59,6.00,16.0,1.07,1.50,2.55,1.45,0.50,1.44,2.60,1,1,1,9.00,1,0
