min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.24,3.85,17.0,1.21,9.50,0.50,1.96,1.64,2.50,1.65,1.95,3.50,1.52,2.20,5.00,0,0
2,1.24,3.85,17.0,1.21,9.50,0.50,1.96,1.64,2.50,1.65,1.95,3.50,1.52,2.20,5.00,0,0
3,1.24,3.85,17.0,1.21,9.50,0.50,1.96,1.64,2.50,1.65,1.95,3.50,1.52,2.20,5.00,0,0
4,1.24,3.85,17.0,1.21,9.50,0.50,1.96,1.64,2.50,1.65,1.95,3.50,1.52,2.20,5.00,0,0
5,1.24,3.85,17.0,1.21,9.50,0.50,1.96,1.64,2.50,1.65,1.95,3.50,1.52,2.20,5.00,0,0
6,1.24,3.85,17.0,1.21,9.50,0.50,1.94,1.66,2.50,1.63,1.98,3.50,1.50,2.25,5.00,0,0
7,1.24,3.85,16.0,1.21,9.00,0.50,1.92,1.67,2.50,1.61,2.00,3.50,1.48,2.30,5.00,0,0
8,1.25,3.90,16.0,1.22,9.00,0.50,1.90,1.68,2.50,1.58,2.05,1,1,1,5.00,0,0
9,1.25,3.90,15.0,1.23,9.00,0.50,1.88,1.69,2.50,1.57,2.05,1,1,1,5.00,0,0
10,1.25,3.90,15.0,1.23,9.00,0.50,1.86,1.71,2.50,1.55,2.10,1,1,1,5.00,0,0
11,1.25,3.90,15.0,1.23,9.00,0.50,1.85,1.72,2.50,1.53,2.15,1,1,1,4.95,0,0
12,1.26,3.90,14.0,1.24,9.00,0.50,1.83,1.74,2.50,1.52,2.20,1,1,1,4.90,0,0
13,1.26,3.90,14.0,1.24,9.00,0.50,1.81,1.75,2.50,1.50,2.25,1,1,1,4.80,0,0
14,1.26,3.90,14.0,1.25,9.00,0.50,1.80,1.77,2.50,1.48,2.30,1,1,1,4.75,0,0
15,1.26,3.90,13.0,1.26,9.00,0.50,1.78,1.78,2.50,1.47,2.35,1,1,1,4.70,0,0
16,1.27,3.90,13.0,1.26,9.00,0.50,1.76,1.80,2.50,1.45,2.40,1,1,1,4.65,0,0
17,1.27,3.95,13.0,1.27,8.50,0.50,1.75,1.82,2.50,1.44,2.40,1,1,1,4.60,0,0
18,1.27,3.95,12.0,1.27,8.50,0.50,1.73,1.84,1.50,2.50,1.42,1,1,1,4.50,0,0
19,1.28,3.95,12.0,1.28,8.50,0.50,1.72,1.85,1.50,2.45,1.44,1,1,1,4.50,0,0
20,1.28,3.95,12.0,1.03,27.0,0.50,1.70,1.88,2.50,2.40,1.45,3.50,1.84,1.73,9.50,0,1
21,1.28,3.95,12.0,1.03,27.0,0.50,1.69,1.89,2.50,2.35,1.46,3.50,1.81,1.75,9.50,0,1
22,1.28,3.95,12.0,1.03,27.0,0.50,1.67,1.91,2.50,2.30,1.48,3.50,1.77,1.79,9.50,0,1
23,1.28,3.95,12.0,1.03,28.0,0.50,1.66,1.94,2.50,2.25,1.50,3.50,1.74,1.83,9.50,0,1
24,1.28,3.95,12.0,1.03,28.0,0.50,1.64,1.96,2.50,2.20,1.52,3.50,1.70,1.87,9.50,0,1
25,1.28,3.95,12.0,1.03,28.0,0.50,1.63,1.98,2.50,2.15,1.53,3.50,1.68,1.90,9.00,0,1
26,1.28,3.95,12.0,1.03,28.0,0.50,1.62,2.00,2.50,2.10,1.55,3.50,1.65,1.95,9.00,0,1
27,1.28,3.95,12.0,1.03,28.0,0.50,1.60,2.00,2.50,2.05,1.57,3.50,1.62,1.99,9.00,0,1
28,1.28,3.95,12.0,1.03,28.0,0.50,1.59,2.00,2.50,2.00,1.59,3.50,1.60,2.00,9.00,0,1
29,1.28,3.95,12.0,1.03,28.0,0.50,1.58,2.05,2.50,2.00,1.61,3.50,1.57,2.05,9.00,0,1
30,1.28,3.95,12.0,1.03,28.0,0.50,1.56,2.10,2.50,1.97,1.64,3.50,1.55,2.10,9.00,0,1
31,1.28,3.95,12.0,1.03,28.0,0.50,1.55,2.10,2.50,1.93,1.66,3.50,1.52,2.20,9.00,0,1
32,1.28,3.95,12.0,1.03,29.0,0.50,1.54,2.15,2.50,1.89,1.69,3.50,1.50,2.20,9.00,0,1
33,1.28,3.95,12.0,1.03,28.0,0.50,1.53,2.15,2.50,1.85,1.72,3.50,1.48,2.30,9.00,0,1
34,1.28,3.95,12.0,1.03,29.0,0.50,1.52,2.20,2.50,1.82,1.75,3.50,1.46,2.35,9.00,0,1
35,1.28,3.95,12.0,1.03,29.0,0.50,1.50,2.20,2.50,1.79,1.78,3.50,1.44,2.40,9.00,0,1
36,1.28,3.95,12.0,1.03,29.0,0.50,1.49,2.25,2.50,1.75,1.82,1,1,1,8.50,0,1
37,1.28,3.95,12.0,1.03,29.0,0.50,1.48,2.30,2.50,1.72,1.85,1,1,1,8.50,0,1
38,1.28,3.95,12.0,1.03,29.0,0.50,1.47,2.30,2.50,1.69,1.88,1,1,1,8.50,0,1
39,1.28,3.95,12.0,1.03,29.0,0.50,1.46,2.35,2.50,1.66,1.93,1,1,1,8.50,0,1
40,1.28,3.95,12.0,1.03,29.0,0.50,1.45,2.40,2.50,1.63,1.97,1,1,1,8.50,0,1
41,1.28,3.95,12.0,1.03,30.0,0.50,1.44,2.40,2.50,1.61,2.00,1,1,1,8.50,0,1
42,1.28,3.95,12.0,1.03,30.0,0.50,1.43,2.45,2.50,1.58,2.05,1,1,1,8.50,0,1
43,1.28,3.95,12.0,1.03,30.0,0.50,1.42,2.50,2.50,1.56,2.10,1,1,1,8.50,0,1
44,1.28,3.95,12.0,1.03,31.0,0.50,1.41,2.50,2.50,1.54,2.15,1,1,1,8.00,0,1
45,1.28,3.95,12.0,1.03,31.0,0.50,1.40,2.60,2.50,1.52,2.20,1,1,1,8.00,0,1
46,1.28,3.95,12.0,1.03,31.0,0.50,1.39,2.60,2.50,1.49,2.25,1,1,1,8.00,0,1
47,1.28,3.95,12.0,1.03,32.0,0.50,1.38,2.65,2.50,1.47,2.30,1,1,1,8.00,0,1
48,1.28,3.95,12.0,1.03,32.0,0.50,1.37,2.70,2.50,1.45,2.40,1,1,1,8.00,0,1
49,1.28,3.95,12.0,1.03,33.0,0.50,1.36,2.75,2.50,1.43,2.45,1,1,1,8.00,0,1
50,1.28,3.95,12.0,1.03,33.0,0.50,1.34,2.80,2.50,1.41,2.50,1,1,1,8.00,0,1
51,1.28,3.95,12.0,1.03,34.0,0.50,1.33,2.85,2.50,1.40,2.60,1,1,1,8.00,0,1
52,1.28,3.95,12.0,1.03,36.0,0.50,1.32,2.90,2.50,1.38,2.65,1,1,1,8.00,0,1
53,1.28,3.95,12.0,1.03,36.0,0.50,1.31,2.95,2.50,1.36,2.70,1,1,1,8.00,0,1
54,1.28,3.95,12.0,1.03,38.0,0.50,1.30,3.00,2.50,1.34,2.80,1,1,1,8.00,0,1
55,1.28,3.95,12.0,1.03,38.0,0.50,1.29,3.05,1.50,2.80,1.34,1,1,1,8.00,0,1
56,1.28,3.95,12.0,1.03,39.0,0.50,1.28,3.10,1.50,2.75,1.36,1,1,1,8.00,0,1
57,1.28,3.95,12.0,1.03,40.0,0.50,1.26,3.20,1.50,2.65,1.38,1,1,1,8.00,0,1
58,1.28,3.95,12.0,1.03,41.0,0.50,1.25,3.25,1.50,2.60,1.40,1,1,1,8.00,0,1
59,1.28,3.95,12.0,1.03,41.0,0.50,1.24,3.30,1.50,2.50,1.42,1,1,1,8.00,0,1
60,1.28,3.95,12.0,1.03,44.0,0.50,1.23,3.35,1.50,2.40,1.44,1,1,1,8.00,0,1
61,1.28,3.95,12.0,1.03,44.0,0.50,1.22,3.45,1.50,2.35,1.46,1,1,1,8.00,0,1
62,1.28,3.95,12.0,1.03,46.0,0.50,1.21,3.50,1.50,2.30,1.48,1,1,1,8.00,0,1
63,1.28,3.95,12.0,1.03,46.0,0.50,1.19,3.60,1.50,2.20,1.50,1,1,1,8.00,0,1
64,1.28,3.95,12.0,1.03,51.0,0.50,1.18,3.70,1.50,2.15,1.53,1,1,1,8.00,0,1
65,1.28,3.95,12.0,1.03,51.0,0.50,1.17,3.80,1.50,2.10,1.56,1.50,2.75,1.36,8.00,0,1
66,1.28,3.95,12.0,1.03,54.0,0.50,1.16,3.90,1.50,2.00,1.59,1.50,2.65,1.38,8.00,0,1
67,1.28,3.95,12.0,1.03,55.0,0.50,1.14,4.00,1.50,1.99,1.63,1.50,2.55,1.40,8.00,0,1
68,1.28,3.95,12.0,1.03,58.0,0.50,1.13,4.15,1.50,1.92,1.66,1.50,2.45,1.43,8.00,0,1
69,1.28,3.95,12.0,1.03,59.0,0.50,1.12,4.30,1.50,1.86,1.71,1.50,2.35,1.46,8.00,0,1
70,1.28,3.95,12.0,1.03,60.0,0.50,1.11,4.40,1.50,1.81,1.76,1.50,2.30,1.49,8.00,0,1
71,1.28,3.95,12.0,1.03,60.0,0.50,1.10,4.60,1.50,1.76,1.81,1.50,2.20,1.52,8.00,0,1
72,1.28,3.95,12.0,1.03,60.0,0.50,1.09,4.75,1.50,1.70,1.87,1.50,2.10,1.56,8.00,0,1
73,1.28,3.95,12.0,1.03,60.0,0.50,1.08,4.95,1.50,1.66,1.93,1.50,2.00,1.60,8.50,0,1
74,1.28,3.95,12.0,1.03,60.0,0.50,1.07,5.00,1.50,1.61,2.00,1.50,1.96,1.64,8.50,0,1
75,1.28,3.95,12.0,1.02,60.0,0.50,1.06,5.00,1.50,1.57,2.05,1.50,1.88,1.70,8.50,0,1
76,1.28,3.95,12.0,1.02,60.0,0.50,1.06,5.50,1.50,1.53,2.15,1.50,1.80,1.76,9.00,0,1
77,1.28,3.95,12.0,1.02,60.0,0.50,1.05,6.00,1.50,1.49,2.25,1.50,1.73,1.83,9.00,0,1
78,1.28,3.95,12.0,1.02,60.0,0.50,1.04,6.00,1.50,1.46,2.35,1.50,1.67,1.91,9.00,0,1
79,1.28,3.95,12.0,1.02,60.0,0.50,1.04,6.50,1.50,1.42,2.50,1.50,1.61,2.00,9.50,0,1
80,1.28,3.95,12.0,1.02,60.0,0.50,1.03,7.00,1.50,1.39,2.60,1.50,1.56,2.10,9.50,0,1
81,1.28,3.95,12.0,1.02,60.0,0.50,1.03,7.00,1.50,1.36,2.75,1.50,1.51,2.20,10.0,0,1
82,1.28,3.95,12.0,1.02,60.0,0.50,1.03,8.00,1.50,1.32,2.90,1.50,1.46,2.35,10.0,0,1
83,1.28,3.95,12.0,1.02,60.0,0.50,1.02,8.50,1.50,1.28,3.10,1.50,1.42,2.50,10.5,0,1
84,1.28,3.95,12.0,1.02,60.0,0.50,1.02,9.00,1.50,1.25,3.30,1.50,1.37,2.65,11.0,0,1
85,1.28,3.95,12.0,1.02,60.0,0.50,1.02,10.0,1.50,1.21,3.50,1.50,1.33,2.85,11.5,0,1
86,1.28,3.95,12.0,1.02,60.0,1,1,1,1.50,1.17,3.80,1.50,1.28,3.10,12.0,0,1
87,1.28,3.95,12.0,1.02,60.0,1,1,1,1.50,1.13,4.20,1.50,1.23,3.35,12.0,0,1
88,1.28,3.95,12.0,1.02,60.0,1,1,1,1.50,1.10,4.65,1.50,1.18,3.70,13.0,0,1
89,1.28,3.95,12.0,1.02,60.0,1,1,1,1,1,1,1,1,1,14.0,0,1
90,1.28,3.95,12.0,1.02,60.0,1,1,1,1,1,1,1,1,1,14.0,0,1
91,1.28,3.95,12.0,1.02,60.0,1,1,1,1,1,1,1,1,1,14.0,0,1
92,1.28,3.95,12.0,1.02,60.0,1,1,1,1,1,1,1,1,1,14.0,0,1
93,1.28,3.95,12.0,1.02,60.0,1,1,1,1,1,1,1,1,1,14.0,0,1
