min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.50,2.90,9.50,1.60,4.60,0.50,2.10,1.55,1.50,1.75,1.82,1,1,1,3.40,0,0
2,1.50,2.90,9.50,1.60,4.60,0.50,2.10,1.55,1.50,1.75,1.82,1,1,1,3.40,0,0
3,1.50,2.90,9.50,1.60,4.60,0.50,2.10,1.55,1.50,1.75,1.82,1,1,1,3.40,0,0
4,1.50,2.90,9.50,1.60,4.60,0.50,2.10,1.55,1.50,1.75,1.82,1,1,1,3.40,0,0
5,1.50,2.90,9.50,1.60,4.60,0.50,2.10,1.55,1.50,1.75,1.82,1,1,1,3.40,0,0
6,1.50,2.90,9.00,1.61,4.60,0.50,2.10,1.56,1.50,1.73,1.84,1,1,1,3.40,0,0
7,1.50,2.90,9.00,1.62,4.65,0.50,2.05,1.57,1.50,1.71,1.86,1,1,1,3.35,0,0
8,1.51,2.90,9.00,1.62,4.65,0.50,2.05,1.58,1.50,1.69,1.89,1,1,1,3.35,0,0
9,1.51,2.90,8.50,1.63,4.65,0.50,2.00,1.59,1.50,1.67,1.92,1,1,1,3.30,0,0
10,1.51,2.90,8.50,1.64,4.65,0.50,2.00,1.60,1.50,1.65,1.95,1,1,1,3.30,0,0
11,1.52,2.90,8.00,1.65,4.65,0.50,2.00,1.61,1.50,1.63,1.98,1,1,1,3.25,0,0
12,1.52,2.95,8.00,1.65,4.60,0.50,1.99,1.62,1.50,1.61,2.00,1,1,1,3.25,0,0
13,1.53,2.95,8.00,1.66,4.60,0.50,1.97,1.64,1.50,1.60,2.00,1,1,1,3.20,0,0
14,1.53,2.95,7.50,1.66,4.60,0.50,1.95,1.65,1.50,1.58,2.05,1,1,1,3.20,0,0
15,1.54,2.95,7.50,1.67,4.60,0.50,1.92,1.66,1.50,1.57,2.10,1,1,1,3.20,0,0
16,1.54,3.00,7.00,1.68,4.60,0.50,1.90,1.68,1.50,1.55,2.10,1,1,1,3.15,0,0
17,1.55,3.00,7.00,1.69,4.60,0.50,1.88,1.69,1.50,1.53,2.15,1,1,1,3.10,0,0
18,1.55,3.00,7.00,1.69,4.60,0.50,1.86,1.71,1.50,1.52,2.20,1.50,2.40,1.44,3.10,0,0
