min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.53,2.80,9.00,1.66,4.25,0.50,2.15,1.54,1.50,1.66,1.93,1,1,1,3.35,0,0
2,1.53,2.80,9.00,1.66,4.25,0.50,2.15,1.54,1.50,1.66,1.93,1,1,1,3.35,0,0
3,1.53,2.80,9.00,1.66,4.25,0.50,2.15,1.54,1.50,1.66,1.93,1,1,1,3.35,0,0
4,1.53,2.80,9.00,1.66,4.25,0.50,2.15,1.54,1.50,1.66,1.93,1,1,1,3.35,0,0
5,1.53,2.80,9.00,1.66,4.25,0.50,2.15,1.54,1.50,1.66,1.93,1,1,1,3.35,0,0
6,1.53,2.80,9.00,1.67,4.25,0.50,2.10,1.55,1.50,1.64,1.96,1,1,1,3.35,0,0
7,1.54,2.80,8.50,1.68,4.25,0.50,2.10,1.56,1.50,1.63,1.99,1,1,1,3.30,0,0
8,1.54,2.80,8.50,1.69,4.30,0.50,2.05,1.57,1.50,1.61,2.00,1,1,1,3.30,0,0
9,1.55,2.80,8.00,1.69,4.30,0.50,2.05,1.58,1.50,1.60,2.00,1,1,1,3.30,0,0
10,1.55,2.80,8.00,1.70,4.30,0.50,2.00,1.59,1.50,1.58,2.05,1,1,1,3.25,0,0
11,1.55,2.85,8.00,1.71,4.30,0.50,2.00,1.60,1.50,1.56,2.10,1,1,1,3.20,0,0
12,1.56,2.85,7.50,1.72,4.30,0.50,2.00,1.61,1.50,1.55,2.10,1,1,1,3.20,0,0
13,1.56,2.85,7.50,1.72,4.30,0.50,1.99,1.63,1.50,1.53,2.15,1,1,1,3.20,0,0
14,1.57,2.85,7.00,1.73,4.30,0.50,1.97,1.64,1.50,1.52,2.20,1,1,1,3.15,0,0
15,1.57,2.85,7.00,1.74,4.30,0.50,1.94,1.65,1.50,1.51,2.20,1,1,1,3.15,0,0
16,1.58,2.90,7.00,1.75,4.30,0.50,1.92,1.66,1.50,1.49,2.25,1.50,2.40,1.44,3.10,0,0
17,1.58,2.90,6.50,1.75,4.30,0.50,1.90,1.68,1.50,1.48,2.30,1.50,2.40,1.45,3.10,0,0
18,1.59,2.90,6.50,1.77,4.30,0.50,1.88,1.70,1.50,1.47,2.30,1.50,2.30,1.47,3.05,0,0
19,1.60,2.90,6.50,1.78,4.30,0.50,1.86,1.71,1.50,1.46,2.35,1.50,2.30,1.48,3.05,0,0
20,1.60,2.90,6.00,1.78,4.30,0.50,1.84,1.73,1.50,1.44,2.40,1.50,2.25,1.50,3.00,0,0
21,1.61,2.90,6.00,1.79,4.30,0.50,1.82,1.74,1.50,1.43,2.45,1.50,2.20,1.51,3.00,0,0
22,1.61,2.95,6.00,1.80,4.30,0.50,1.81,1.76,1.50,1.42,2.50,1.50,2.15,1.53,2.95,0,0
23,1.62,2.95,5.50,1.82,4.30,0.50,1.79,1.78,1.50,1.41,2.50,1.50,2.10,1.55,2.95,0,0
24,1.63,2.95,5.50,1.83,4.30,0.50,1.77,1.80,1.50,1.40,2.60,1.50,2.05,1.57,2.90,0,0
25,1.64,3.00,5.50,1.83,4.30,0.50,1.75,1.82,1.50,1.39,2.60,1.50,2.00,1.59,2.90,0,0
26,1.64,3.00,5.00,1.84,4.35,0.50,1.73,1.84,1.50,1.37,2.65,1.50,2.00,1.61,2.85,0,0
27,1.65,3.00,5.00,1.85,4.35,0.50,1.71,1.86,1.50,1.36,2.70,1.50,1.98,1.63,2.85,0,0
28,1.66,3.00,5.00,1.87,4.35,0.50,1.70,1.88,1.50,1.35,2.75,1.50,1.94,1.65,2.80,0,0
29,1.67,3.05,5.00,1.88,4.40,0.50,1.68,1.90,1.50,1.34,2.80,1.50,1.91,1.68,2.80,0,0
30,1.68,3.05,4.90,1.89,4.40,0.50,1.66,1.92,0.50,2.80,1.34,1.50,1.87,1.70,2.75,0,0
31,1.69,3.05,4.80,1.91,4.40,0.50,1.65,1.95,0.50,2.80,1.35,1.50,1.84,1.73,2.75,0,0
32,1.69,3.10,4.70,1.13,16.0,0.50,1.63,1.97,1.50,2.75,1.36,1,1,1,5.00,0,1
33,1.69,3.10,4.70,1.13,16.0,0.50,1.62,2.00,1.50,2.70,1.37,1,1,1,5.00,0,1
34,1.69,3.10,4.70,1.13,16.0,0.50,1.61,2.00,1.50,2.65,1.38,1,1,1,5.00,0,1
35,1.69,3.10,4.70,1.13,16.0,0.50,1.59,2.00,1.50,2.60,1.39,1,1,1,5.00,0,1
36,1.69,3.10,4.70,1.13,16.0,0.50,1.57,2.05,1.50,2.55,1.41,1,1,1,5.00,0,1
37,1.69,3.10,4.70,1.12,17.0,0.50,1.56,2.10,1.50,2.50,1.42,1,1,1,5.00,0,1
38,1.69,3.10,4.70,1.12,17.0,0.50,1.55,2.10,1.50,2.45,1.43,1,1,1,5.00,0,1
39,1.69,3.10,4.70,1.12,17.0,0.50,1.53,2.15,1.50,2.40,1.45,1,1,1,5.00,0,1
40,1.69,3.10,4.70,1.12,18.0,0.50,1.52,2.20,1.50,2.35,1.46,1,1,1,5.00,0,1
41,1.69,3.10,4.70,1.12,18.0,0.50,1.51,2.20,1.50,2.30,1.47,1,1,1,5.00,0,1
42,1.69,3.10,4.70,1.12,18.0,0.50,1.50,2.25,1.50,2.25,1.49,1,1,1,5.00,0,1
43,1.69,3.10,4.70,1.12,18.0,0.50,1.49,2.30,1.50,2.25,1.50,1,1,1,5.00,0,1
44,1.69,3.10,4.70,1.12,18.0,0.50,1.47,2.30,1.50,2.20,1.52,1,1,1,5.00,0,1
45,1.69,3.10,4.70,1.12,19.0,0.50,1.46,2.35,1.50,2.15,1.53,1,1,1,5.00,0,1
46,1.69,3.10,4.70,1.11,19.0,0.50,1.45,2.40,1.50,2.10,1.55,1,1,1,5.00,0,1
47,1.69,3.10,4.70,1.11,19.0,0.50,1.44,2.45,1.50,2.05,1.57,1,1,1,5.00,0,1
48,1.69,3.10,4.70,1.11,20.0,0.50,1.42,2.50,1.50,2.05,1.59,1,1,1,5.00,0,1
49,1.69,3.10,4.70,1.11,20.0,0.50,1.41,2.50,1.50,2.00,1.61,1,1,1,5.00,0,1
50,1.69,3.10,4.70,1.11,21.0,0.50,1.40,2.55,1.50,1.98,1.63,1,1,1,5.00,0,1
51,1.69,3.10,4.70,1.10,21.0,0.50,1.39,2.60,1.50,1.94,1.66,1,1,1,5.00,0,1
52,1.69,3.10,4.70,1.10,21.0,0.50,1.38,2.65,1.50,1.90,1.68,1,1,1,5.00,0,1
53,1.69,3.10,4.70,1.10,22.0,0.50,1.37,2.70,1.50,1.86,1.71,1.50,2.80,1.34,5.00,0,1
54,1.69,3.10,4.70,1.10,22.0,0.50,1.35,2.75,1.50,1.83,1.74,1.50,2.75,1.35,5.00,0,1
55,1.69,3.10,4.70,1.10,22.0,0.50,1.34,2.80,1.50,1.80,1.77,1.50,2.70,1.37,5.00,0,1
56,1.69,3.10,4.70,1.09,23.0,0.50,1.33,2.85,1.50,1.76,1.80,1.50,2.60,1.39,5.00,0,1
57,1.69,3.10,4.70,1.09,24.0,0.50,1.32,2.90,1.50,1.73,1.84,1.50,2.55,1.40,5.00,0,1
58,1.69,3.10,4.70,1.09,25.0,0.50,1.30,3.00,1.50,1.70,1.88,1.50,2.50,1.42,5.00,0,1
59,1.69,3.10,4.70,1.09,25.0,0.50,1.29,3.05,1.50,1.67,1.91,1.50,2.40,1.44,5.50,0,1
60,1.69,3.10,4.70,1.08,26.0,0.50,1.28,3.10,1.50,1.64,1.96,1.50,2.35,1.46,5.50,0,1
61,1.69,3.10,4.70,1.08,27.0,0.50,1.26,3.20,1.50,1.62,2.00,1.50,2.30,1.48,5.50,0,1
62,1.69,3.10,4.70,1.08,28.0,0.50,1.25,3.25,1.50,1.59,2.00,1.50,2.20,1.51,5.50,0,1
63,1.69,3.10,4.70,1.07,29.0,0.50,1.24,3.30,1.50,1.56,2.10,1.50,2.15,1.53,5.50,0,1
64,1.69,3.10,4.70,1.07,30.0,0.50,1.23,3.40,1.50,1.54,2.15,1.50,2.10,1.56,5.50,0,1
65,1.69,3.10,4.70,1.07,31.0,0.50,1.21,3.50,1.50,1.51,2.20,1.50,2.00,1.59,5.50,0,1
66,1.69,3.10,4.70,1.07,32.0,0.50,1.20,3.60,1.50,1.49,2.25,1.50,1.98,1.63,5.50,0,1
67,1.69,3.10,4.70,1.06,35.0,0.50,1.18,3.70,1.50,1.47,2.30,1.50,1.93,1.66,6.00,0,1
68,1.69,3.10,4.70,1.06,36.0,0.50,1.17,3.80,1.50,1.45,2.40,1.50,1.87,1.70,6.00,0,1
69,1.69,3.10,4.70,1.06,37.0,0.50,1.16,3.90,1.50,1.43,2.45,1.50,1.81,1.75,6.00,0,1
70,1.69,3.10,4.70,1.06,38.0,0.50,1.14,4.00,1.50,1.40,2.55,1.50,1.76,1.80,6.00,0,1
71,1.69,3.10,4.70,1.05,41.0,0.50,1.13,4.20,1.50,1.38,2.60,1.50,1.71,1.86,6.00,0,1
72,1.69,3.10,4.70,1.05,44.0,0.50,1.12,4.30,1.50,1.36,2.70,1.50,1.67,1.92,6.00,0,1
73,1.69,3.10,4.70,1.04,48.0,0.50,1.11,4.50,1.50,1.34,2.80,1.50,1.63,1.99,6.50,0,1
74,1.69,3.10,4.70,1.04,54.0,0.50,1.10,4.65,1.50,1.32,2.90,1.50,1.59,2.05,6.50,0,1
75,1.69,3.10,4.70,1.04,56.0,0.50,1.09,4.85,1.50,1.30,3.00,1.50,1.55,2.10,6.50,0,1
76,1.69,3.10,4.70,1.04,60.0,0.50,1.07,5.00,1.50,1.27,3.15,1.50,1.51,2.20,7.00,0,1
77,1.69,3.10,4.70,1.03,60.0,0.50,1.06,5.00,1.50,1.25,3.25,1.50,1.47,2.30,7.00,0,1
