min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.58,2.60,10.0,1.76,3.90,0.50,2.45,1.43,1.50,1.70,1.87,1,1,1,3.30,0,0
2,1.58,2.60,10.0,1.76,3.90,0.50,2.45,1.43,1.50,1.70,1.87,1,1,1,3.30,0,0
3,1.58,2.60,10.0,1.76,3.90,0.50,2.45,1.43,1.50,1.70,1.87,1,1,1,3.30,0,0
4,1.58,2.60,10.0,1.76,3.90,0.50,2.45,1.43,1.50,1.70,1.87,1,1,1,3.30,0,0
5,1.58,2.60,10.0,1.76,3.90,0.50,2.45,1.43,1.50,1.70,1.87,1,1,1,3.30,0,0
6,1.58,2.60,10.0,1.77,3.85,0.50,2.45,1.44,1.50,1.68,1.90,1,1,1,3.30,0,0
7,1.58,2.60,9.50,1.77,3.90,0.50,2.40,1.45,1.50,1.67,1.92,1,1,1,3.25,0,0
8,1.59,2.60,9.00,1.78,3.85,0.50,2.40,1.45,1.50,1.65,1.95,1,1,1,3.25,0,0
9,1.59,2.60,9.00,1.78,3.90,0.50,2.35,1.46,1.50,1.63,1.98,1,1,1,3.20,0,0
10,1.60,2.60,9.00,1.79,3.90,0.50,2.30,1.47,1.50,1.61,2.00,1,1,1,3.20,0,0
11,1.60,2.60,8.50,1.80,3.90,0.50,2.30,1.48,1.50,1.60,2.00,1,1,1,3.20,0,0
12,1.60,2.60,8.50,1.80,3.90,0.50,2.25,1.49,1.50,1.58,2.05,1,1,1,3.15,0,0
13,1.61,2.65,8.00,1.81,3.90,0.50,2.25,1.50,1.50,1.57,2.10,1,1,1,3.15,0,0
14,1.61,2.65,8.00,1.83,3.90,0.50,2.20,1.51,1.50,1.55,2.10,1,1,1,3.10,0,0
15,1.62,2.65,8.00,1.83,3.90,0.50,2.20,1.52,1.50,1.54,2.15,1,1,1,3.10,0,0
16,1.62,2.65,7.50,1.84,3.90,0.50,2.15,1.53,1.50,1.52,2.20,1,1,1,3.05,0,0
17,1.63,2.65,7.50,1.84,3.90,0.50,2.10,1.54,1.50,1.51,2.20,1,1,1,3.05,0,0
18,1.63,2.70,7.00,1.86,3.90,0.50,2.10,1.55,1.50,1.49,2.25,1,1,1,3.00,0,0
19,1.64,2.70,7.00,1.86,3.95,0.50,2.10,1.56,1.50,1.48,2.30,1,1,1,3.00,0,0
20,1.65,2.70,7.00,1.88,3.90,0.50,2.05,1.58,1.50,1.47,2.30,1,1,1,3.00,0,0
21,1.65,2.70,6.50,1.89,3.90,0.50,2.05,1.59,1.50,1.46,2.35,1.50,2.40,1.45,2.95,0,0
22,1.66,2.70,6.50,1.90,3.95,0.50,2.00,1.60,1.50,1.44,2.40,1.50,2.35,1.46,2.95,0,0
23,1.66,2.70,6.00,1.92,3.95,0.50,2.00,1.61,1.50,1.43,2.45,1.50,2.30,1.48,2.90,0,0
24,1.67,2.75,6.00,1.93,3.95,0.50,1.98,1.63,1.50,1.42,2.50,1.50,2.25,1.49,2.90,0,0
25,1.68,2.75,6.00,1.19,13.0,0.50,1.95,1.65,2.50,1.41,2.55,1,1,1,4.80,0,1
26,1.68,2.75,6.00,1.19,13.0,0.50,1.93,1.66,2.50,1.39,2.60,1,1,1,4.80,0,1
27,1.68,2.75,6.00,1.19,13.0,0.50,1.91,1.68,2.50,1.38,2.60,1,1,1,4.80,0,1
28,1.68,2.75,6.00,1.19,13.0,0.50,1.88,1.69,2.50,1.37,2.70,1,1,1,4.75,0,1
29,1.68,2.75,6.00,1.19,14.0,0.50,1.86,1.71,2.50,1.36,2.70,1,1,1,4.80,0,1
30,1.68,2.75,6.00,1.19,14.0,0.50,1.84,1.73,2.50,1.35,2.75,1,1,1,4.75,0,1
31,1.68,2.75,6.00,1.19,14.0,0.50,1.82,1.75,2.50,1.34,2.80,1,1,1,4.75,0,1
32,1.68,2.75,6.00,1.18,14.0,0.50,1.79,1.77,1.50,2.80,1.34,1,1,1,4.75,0,1
33,1.68,2.75,6.00,1.19,14.0,0.50,1.77,1.79,1.50,2.75,1.35,1,1,1,4.75,0,1
34,1.68,2.75,6.00,1.18,14.0,0.50,1.75,1.81,1.50,2.70,1.36,1,1,1,4.75,0,1
35,1.68,2.75,6.00,1.18,15.0,0.50,1.73,1.84,1.50,2.65,1.37,1,1,1,4.70,0,1
36,1.68,2.75,6.00,1.18,15.0,0.50,1.71,1.86,1.50,2.60,1.39,1,1,1,4.70,0,1
37,1.68,2.75,6.00,1.18,15.0,0.50,1.69,1.89,1.50,2.55,1.40,1,1,1,4.70,0,1
38,1.68,2.75,6.00,1.18,15.0,0.50,1.67,1.91,1.50,2.50,1.41,1,1,1,4.70,0,1
39,1.68,2.75,6.00,1.17,16.0,0.50,1.66,1.94,1.50,2.45,1.43,1,1,1,4.70,0,1
40,1.68,2.75,6.00,1.17,16.0,0.50,1.64,1.97,1.50,2.40,1.44,1,1,1,4.70,0,1
41,1.68,2.75,6.00,1.17,16.0,0.50,1.62,1.99,1.50,2.40,1.45,1,1,1,4.70,0,1
42,1.68,2.75,6.00,1.17,16.0,0.50,1.60,2.00,1.50,2.30,1.47,1,1,1,4.65,0,1
43,1.68,2.75,6.00,1.17,16.0,0.50,1.59,2.05,1.50,2.30,1.48,1,1,1,4.65,0,1
44,1.68,2.75,6.00,1.17,16.0,0.50,1.57,2.05,1.50,2.25,1.50,1,1,1,4.65,0,1
45,1,1,1,1.30,11.0,0.50,1.84,1.73,1.50,2.05,1.57,1,1,1,3.90,0,1
