min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.57,2.40,15.0,1.73,3.55,1.50,1.41,2.50,1.50,2.05,1.58,1,1,1,3.65,0,0
2,1.57,2.40,15.0,1.73,3.55,1.50,1.41,2.50,1.50,2.05,1.58,1,1,1,3.65,0,0
3,1.49,2.60,15.0,1.60,4.10,1.50,1.34,2.80,1.50,2.20,1.51,1,1,1,3.80,0,0
4,1.49,2.60,15.0,1.60,4.10,1.50,1.34,2.80,1.50,2.20,1.51,1,1,1,3.80,0,0
5,1.49,2.60,15.0,1.60,4.10,1.50,1.34,2.80,1.50,2.20,1.51,1,1,1,3.80,0,0
6,1.50,2.60,15.0,1.61,4.10,1.50,1.34,2.80,1.50,2.15,1.53,1,1,1,3.75,0,0
7,1.50,2.60,14.0,1.61,4.15,0.50,2.80,1.34,1.50,2.10,1.54,1,1,1,3.75,0,0
8,1.50,2.60,14.0,1.62,4.15,0.50,2.80,1.34,1.50,2.10,1.56,1,1,1,3.70,0,0
9,1.50,2.60,14.0,1.62,4.15,0.50,2.75,1.35,1.50,2.05,1.57,1,1,1,3.70,0,0
10,1.51,2.60,13.0,1.62,4.10,0.50,2.70,1.36,1.50,2.00,1.59,1,1,1,3.65,0,0
11,1.51,2.60,13.0,1.63,4.10,0.50,2.70,1.37,1.50,2.00,1.61,1,1,1,3.65,0,0
12,1.51,2.60,13.0,1.63,4.10,0.50,2.65,1.38,1.50,1.99,1.63,1,1,1,3.60,0,0
13,1.51,2.60,12.0,1.64,4.10,0.50,2.60,1.39,1.50,1.96,1.64,1,1,1,3.60,0,0
14,1.52,2.65,12.0,1.64,4.10,0.50,2.60,1.40,1.50,1.92,1.66,1,1,1,3.55,0,0
15,1.52,2.65,12.0,1.65,4.10,0.50,2.55,1.40,1.50,1.89,1.69,1,1,1,3.55,0,0
16,1.52,2.65,11.5,1.65,4.10,0.50,2.50,1.41,1.50,1.86,1.71,1,1,1,3.50,0,0
17,1.53,2.65,11.0,1.66,4.10,0.50,2.50,1.42,1.50,1.84,1.73,1,1,1,3.50,0,0
