min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.40,1.63,10.5,3.40,1.87,1.50,1.61,2.00,0.50,2.60,1.39,1,1,1,3.40,0,0
2,2.40,1.63,10.5,3.40,1.87,1.50,1.61,2.00,0.50,2.60,1.39,1,1,1,3.40,0,0
3,2.40,1.63,10.5,3.40,1.87,1.50,1.61,2.00,0.50,2.60,1.39,1,1,1,3.40,0,0
4,2.40,1.63,10.5,3.40,1.87,1.50,1.61,2.00,0.50,2.60,1.39,1,1,1,3.40,0,0
5,2.40,1.63,10.5,3.40,1.87,1.50,1.61,2.00,0.50,2.60,1.39,1,1,1,3.40,0,0
6,2.40,1.64,10.0,3.40,1.88,1.50,1.60,2.00,0.50,2.55,1.40,1,1,1,3.35,0,0
7,2.40,1.64,10.0,3.40,1.88,1.50,1.58,2.05,0.50,2.50,1.41,1,1,1,3.35,0,0
8,2.40,1.65,9.50,3.40,1.89,1.50,1.57,2.10,0.50,2.50,1.42,1,1,1,3.30,0,0
9,2.40,1.65,9.50,3.40,1.89,1.50,1.55,2.10,0.50,2.45,1.43,1,1,1,3.30,0,0
10,2.45,1.65,9.00,3.40,1.90,1.50,1.54,2.15,0.50,2.45,1.43,1,1,1,3.25,0,0
11,2.45,1.66,9.00,3.40,1.91,1.50,1.53,2.15,0.50,2.40,1.44,1,1,1,3.25,0,0
12,2.45,1.66,9.00,3.40,1.92,1.50,1.51,2.20,0.50,2.40,1.45,1,1,1,3.20,0,0
13,2.45,1.67,8.50,3.40,1.92,1.50,1.50,2.25,0.50,2.35,1.46,1,1,1,3.20,0,0
14,2.45,1.67,8.00,3.45,1.93,1.50,1.49,2.25,0.50,2.30,1.47,1,1,1,3.20,0,0
15,2.50,1.68,8.00,3.45,1.93,1.50,1.47,2.30,0.50,2.30,1.48,1,1,1,3.15,0,0
16,2.50,1.68,8.00,3.45,1.96,1.50,1.46,2.35,0.50,2.25,1.49,1,1,1,3.15,0,0
17,2.50,1.69,7.50,3.45,1.97,1.50,1.45,2.40,0.50,2.25,1.50,1,1,1,3.10,0,0
18,2.50,1.70,7.50,3.45,1.97,1.50,1.44,2.40,0.50,2.20,1.51,1,1,1,3.10,0,0
19,2.50,1.70,7.00,3.45,1.98,1.50,1.43,2.45,0.50,2.20,1.52,1,1,1,3.10,0,0
20,2.50,1.71,7.00,3.50,1.99,1.50,1.42,2.50,0.50,2.15,1.53,1.50,2.45,1.43,3.05,0,0
21,2.50,1.72,7.00,3.50,2.00,1.50,1.40,2.55,0.50,2.10,1.54,1.50,2.40,1.45,3.05,0,0
22,2.55,1.72,6.50,3.50,2.00,1.50,1.39,2.60,0.50,2.10,1.56,1.50,2.35,1.46,3.00,0,0
23,2.55,1.73,6.50,3.50,2.00,1.50,1.38,2.65,0.50,2.05,1.57,1.50,2.30,1.48,3.00,0,0
24,2.55,1.74,6.00,3.50,2.00,1.50,1.37,2.70,0.50,2.05,1.58,1.50,2.25,1.49,2.95,0,0
25,2.55,1.75,6.00,3.50,2.00,1.50,1.36,2.70,0.50,2.00,1.60,1.50,2.20,1.51,2.95,0,0
26,2.60,1.75,6.00,3.50,2.00,1.50,1.35,2.75,0.50,2.00,1.61,1.50,2.15,1.53,2.90,0,0
27,2.60,1.76,6.00,3.50,2.05,1.50,1.34,2.80,0.50,1.99,1.62,1.50,2.10,1.55,2.90,0,0
28,2.60,1.77,5.50,3.55,2.05,0.50,2.80,1.34,0.50,1.96,1.64,1.50,2.10,1.57,2.85,0,0
29,2.60,1.78,5.50,3.55,2.05,0.50,2.80,1.35,0.50,1.94,1.66,1.50,2.05,1.58,2.85,0,0
30,2.60,1.79,5.00,3.55,2.10,0.50,2.75,1.36,0.50,1.91,1.67,1.50,2.00,1.61,2.80,0,0
31,2.65,1.80,5.00,3.60,2.10,0.50,2.70,1.37,0.50,1.89,1.69,1.50,1.98,1.63,2.80,0,0
32,2.65,1.81,5.00,3.55,2.10,0.50,2.65,1.38,0.50,1.86,1.71,1.50,1.93,1.66,2.75,0,0
33,2.70,1.82,5.00,3.60,2.10,0.50,2.60,1.39,0.50,1.84,1.73,1.50,1.90,1.68,2.75,0,0
34,2.70,1.83,4.90,3.60,2.15,0.50,2.55,1.40,0.50,1.82,1.75,1.50,1.85,1.72,2.70,0,0
35,2.70,1.85,4.75,3.60,2.15,0.50,2.50,1.42,0.50,1.80,1.77,1.50,1.82,1.75,2.70,0,0
36,2.70,1.86,4.60,3.60,2.15,0.50,2.45,1.43,0.50,1.77,1.79,1.50,1.78,1.79,2.65,0,0
37,2.75,1.88,4.50,3.60,2.20,0.50,2.40,1.44,0.50,1.75,1.82,1.50,1.74,1.82,2.60,0,0
38,2.75,1.89,4.35,3.65,2.20,0.50,2.35,1.46,0.50,1.73,1.84,1.50,1.72,1.86,2.60,0,0
39,2.80,1.91,4.25,3.65,2.20,0.50,2.30,1.47,0.50,1.71,1.87,1.50,1.68,1.90,2.55,0,0
40,2.80,1.92,4.10,3.65,2.20,0.50,2.30,1.48,0.50,1.69,1.89,1.50,1.66,1.94,2.55,0,0
41,2.80,1.94,4.00,3.70,2.25,0.50,2.25,1.50,0.50,1.67,1.92,1.50,1.63,1.98,2.50,0,0
42,2.85,1.95,3.90,3.70,2.25,0.50,2.20,1.51,0.50,1.65,1.95,1.50,1.60,2.00,2.50,0,0
43,2.85,1.97,3.80,3.70,2.30,0.50,2.15,1.53,0.50,1.63,1.97,1.50,1.58,2.05,2.45,0,0
44,2.90,1.99,3.75,3.70,2.30,0.50,2.10,1.54,0.50,1.62,2.00,1.50,1.56,2.10,2.40,0,0
45,2.70,2.05,3.80,3.40,2.40,0.50,2.05,1.57,0.50,1.69,1.89,1.50,1.58,2.05,2.45,0,0
46,2.70,2.05,3.70,3.45,2.45,0.50,2.00,1.59,0.50,1.66,1.92,1.50,1.55,2.10,2.40,0,0
47,2.75,2.10,3.65,3.45,2.45,0.50,2.00,1.61,0.50,1.65,1.95,1.50,1.53,2.15,2.40,0,0
48,2.80,2.10,3.50,3.50,2.50,0.50,1.97,1.63,0.50,1.62,1.99,1.50,1.50,2.20,2.35,0,0
49,2.80,2.15,3.40,3.50,2.50,0.50,1.93,1.66,0.50,1.60,2.00,1.50,1.48,2.30,2.30,0,0
50,2.80,2.15,3.35,3.50,2.50,0.50,1.90,1.68,0.50,1.58,2.05,1.50,1.46,2.35,2.30,0,0
51,2.85,2.20,3.25,3.55,2.55,0.50,1.87,1.71,0.50,1.56,2.10,1.50,1.44,2.40,2.25,0,0
52,2.90,2.20,3.20,3.55,2.60,0.50,1.83,1.73,0.50,1.55,2.10,1.50,1.42,2.50,2.20,0,0
53,2.90,2.25,3.10,3.60,2.60,0.50,1.80,1.76,0.50,1.53,2.15,1.50,1.40,2.55,2.20,0,0
54,2.95,2.25,3.00,3.60,2.60,0.50,1.77,1.80,0.50,1.51,2.20,1.50,1.38,2.65,2.15,0,0
55,3.00,2.30,2.95,3.65,2.65,0.50,1.74,1.83,0.50,1.50,2.25,1.50,1.36,2.70,2.10,0,0
56,3.00,2.35,2.85,3.70,2.70,0.50,1.71,1.87,0.50,1.48,2.30,1.50,1.34,2.80,2.10,0,0
57,3.05,2.35,2.80,3.70,2.70,0.50,1.68,1.91,0.50,1.46,2.35,0.50,2.80,1.35,2.05,0,0
58,3.10,2.40,2.70,3.75,2.75,0.50,1.65,1.94,0.50,1.45,2.40,0.50,2.70,1.36,2.00,0,0
59,3.15,2.45,2.60,3.80,2.80,0.50,1.63,1.99,0.50,1.43,2.45,0.50,2.60,1.38,2.00,0,0
60,3.20,2.50,2.55,3.80,2.85,0.50,1.60,2.00,0.50,1.42,2.50,0.50,2.55,1.40,1.98,0,0
61,3.25,2.50,2.50,3.90,2.85,0.50,1.57,2.05,0.50,1.40,2.55,0.50,2.50,1.42,1.94,0,0
62,3.30,2.55,2.40,1.31,11.0,0.50,1.55,2.10,1.50,1.39,2.60,1.50,2.40,1.44,3.75,0,1
63,3.30,2.55,2.40,1.31,11.0,0.50,1.53,2.15,1.50,1.37,2.70,1.50,2.35,1.47,3.80,0,1
64,3.30,2.55,2.40,1.30,11.5,0.50,1.51,2.20,1.50,1.36,2.75,1.50,2.25,1.49,3.80,0,1
65,3.30,2.55,2.40,1.29,12.0,0.50,1.48,2.30,1.50,1.34,2.80,1.50,2.20,1.52,3.85,0,1
66,3.30,2.55,2.40,1.28,12.0,0.50,1.46,2.35,1.50,1.32,2.90,1.50,2.10,1.55,3.90,0,1
67,3.30,2.55,2.40,1.27,13.0,0.50,1.44,2.40,1.50,1.30,3.00,1.50,2.05,1.58,3.90,0,1
68,3.30,2.55,2.40,1.26,13.0,0.50,1.42,2.50,1.50,1.29,3.05,1.50,2.00,1.62,3.95,0,1
69,3.30,2.55,2.40,1.25,14.0,0.50,1.40,2.55,1.50,1.27,3.15,1.50,1.94,1.65,4.00,0,1
70,3.30,2.55,2.40,1.23,15.0,0.50,1.38,2.60,1.50,1.25,3.25,1.50,1.88,1.70,4.05,0,1
71,3.30,2.55,2.40,1.22,15.0,0.50,1.36,2.70,1.50,1.24,3.35,1.50,1.82,1.74,4.10,0,1
72,3.30,2.55,2.40,1.21,16.0,0.50,1.34,2.80,1.50,1.22,3.45,1.50,1.77,1.80,4.20,0,1
73,3.30,2.55,2.40,1.20,17.0,0.50,1.32,2.90,1.50,1.20,3.55,1.50,1.71,1.86,4.30,0,1
74,3.30,2.55,2.40,1.19,18.0,0.50,1.30,3.00,1.50,1.18,3.70,1.50,1.66,1.93,4.40,0,1
75,3.30,2.55,2.40,1.17,19.0,0.50,1.28,3.10,1.50,1.17,3.85,1.50,1.62,2.00,4.50,0,1
76,3.30,2.55,2.40,1.16,20.0,0.50,1.25,3.25,1.50,1.15,4.00,1.50,1.57,2.10,4.60,0,1
77,3.30,2.55,2.40,1.14,21.0,0.50,1.23,3.40,1.50,1.13,4.20,1.50,1.53,2.15,4.70,0,1
78,3.30,2.55,2.40,1.13,22.0,0.50,1.21,3.50,1.50,1.11,4.40,1.50,1.49,2.25,4.85,0,1
79,3.30,2.55,2.40,1.11,24.0,0.50,1.18,3.70,1.50,1.10,4.65,1.50,1.45,2.40,5.00,0,1
80,3.30,2.55,2.40,1.10,26.0,0.50,1.16,3.90,1.50,1.08,4.90,1.50,1.42,2.50,5.00,0,1
81,3.30,2.55,2.40,1.09,27.0,0.50,1.14,4.10,1.50,1.07,5.00,1.50,1.38,2.65,5.00,0,1
82,3.30,2.55,2.40,1.08,30.0,0.50,1.11,4.40,1.50,1.06,5.50,1.50,1.34,2.80,5.50,0,1
83,3.30,2.55,2.40,1.06,33.0,0.50,1.09,4.70,1.50,1.05,6.00,1.50,1.30,2.95,6.00,0,1
84,3.30,2.55,2.40,1.05,35.0,0.50,1.08,5.00,1.50,1.04,6.00,1.50,1.27,3.15,6.00,0,1
85,3.30,2.55,2.40,1.04,40.0,0.50,1.06,5.00,1.50,1.03,7.00,1.50,1.23,3.40,6.50,0,1
86,3.30,2.55,2.40,1.04,45.0,0.50,1.05,6.00,1.50,1.03,7.50,1.50,1.19,3.65,7.00,0,1
87,3.30,2.55,2.40,1.03,52.0,0.50,1.04,6.50,1.50,1.02,8.50,1.50,1.15,4.00,8.00,0,1
88,3.30,2.55,2.40,1.03,56.0,0.50,1.03,7.50,1.50,1.02,9.50,1.50,1.11,4.45,8.50,0,1
89,3.30,2.55,2.40,1.02,60.0,1,1,1,1,1,1,1,1,1,9.50,0,1
90,3.30,2.55,2.40,1.02,60.0,1,1,1,1,1,1,1,1,1,9.50,0,2
91,3.30,2.55,2.40,1.02,60.0,1,1,1,1,1,1,1,1,1,9.50,0,2
92,3.30,2.55,2.40,1.02,60.0,1,1,1,1,1,1,1,1,1,9.50,0,2
