min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.79,2.20,11.5,2.20,3.00,1.50,1.45,2.55,1.50,1.66,2.00,1,1,1,3.35,0,0
2,1.79,2.20,11.5,2.20,3.00,1.50,1.45,2.55,1.50,1.66,2.00,1,1,1,3.35,0,0
3,1.79,2.20,11.5,2.20,3.00,1.50,1.45,2.55,1.50,1.66,2.00,1,1,1,3.35,0,0
4,1.79,2.20,11.5,2.20,3.00,1.50,1.45,2.55,1.50,1.66,2.00,1,1,1,3.35,0,0
5,1.79,2.20,11.5,2.20,3.00,1.50,1.45,2.55,1.50,1.66,2.00,1,1,1,3.35,0,0
6,1.80,2.20,11.5,2.15,3.05,1.50,1.44,2.60,1.50,1.64,2.05,1,1,1,3.30,0,0
7,1.86,2.20,9.50,2.30,2.95,1.50,1.38,2.80,1.50,1.52,2.30,1,1,1,3.20,0,0
8,1.86,2.20,9.50,2.30,3.00,1.50,1.37,2.85,1.50,1.51,2.35,1,1,1,3.20,0,0
9,1.87,2.20,9.00,2.30,3.00,1.50,1.37,2.90,1.50,1.50,2.40,1,1,1,3.15,0,0
10,1.87,2.20,9.00,2.30,3.00,0.50,2.90,1.37,1.50,1.49,2.40,1,1,1,3.15,0,0
11,1.88,2.20,9.00,2.35,3.00,0.50,2.85,1.37,1.50,1.47,2.45,1,1,1,3.15,0,0
12,1.88,2.20,8.50,2.35,3.00,0.50,2.80,1.38,1.50,1.46,2.50,1,1,1,3.10,0,0
13,1.89,2.20,8.50,2.35,3.00,0.50,2.80,1.39,1.50,1.45,2.55,1,1,1,3.10,0,0
14,1.90,2.20,8.00,2.35,3.00,0.50,2.75,1.40,1.50,1.44,2.60,1,1,1,3.10,0,0
15,1.90,2.25,8.00,2.35,3.00,0.50,2.70,1.41,1.50,1.43,2.60,1,1,1,3.05,0,0
16,1.91,2.25,8.00,2.35,3.00,0.50,2.65,1.42,1.50,1.42,2.65,1,1,1,3.05,0,0
17,1.92,2.25,7.50,2.40,3.05,0.50,2.60,1.43,1.50,1.41,2.70,1,1,1,3.00,0,0
18,1.93,2.25,7.50,2.40,3.05,0.50,2.60,1.44,1.50,1.40,2.75,1,1,1,3.00,0,0
19,1.93,2.25,7.00,2.40,3.05,0.50,2.55,1.45,1.50,1.39,2.80,1,1,1,3.00,0,0
20,1.94,2.30,7.00,2.40,3.05,0.50,2.50,1.46,1.50,1.38,2.80,1.50,2.50,1.47,2.95,0,0
21,1.95,2.30,7.00,2.40,3.05,0.50,2.50,1.47,1.50,1.37,2.85,1.50,2.45,1.48,2.95,0,0
22,1.96,2.30,6.50,2.40,3.10,0.50,2.45,1.48,0.50,2.90,1.37,1.50,2.40,1.49,2.90,0,0
23,1.97,2.30,6.50,2.45,3.10,0.50,2.40,1.49,0.50,2.85,1.37,1.50,2.35,1.51,2.90,0,0
24,1.98,2.30,6.00,2.45,3.10,0.50,2.40,1.50,0.50,2.80,1.38,1.50,2.30,1.53,2.85,0,0
25,1.98,2.30,6.00,2.45,3.10,0.50,2.35,1.51,0.50,2.75,1.39,1.50,2.25,1.54,2.85,0,0
26,2.00,2.35,6.00,2.45,3.10,0.50,2.30,1.52,0.50,2.70,1.40,1.50,2.20,1.56,2.80,0,0
27,2.00,2.35,5.50,2.45,3.10,0.50,2.30,1.53,0.50,2.70,1.42,1.50,2.15,1.58,2.80,0,0
28,1.87,2.60,5.50,2.20,3.55,0.50,2.05,1.63,0.50,2.85,1.38,1.50,2.10,1.60,2.80,0,0
29,1.88,2.60,5.50,2.25,3.55,0.50,2.05,1.64,0.50,2.80,1.39,1.50,2.10,1.62,2.80,0,0
30,1.89,2.60,5.00,2.25,3.55,0.50,2.00,1.65,0.50,2.75,1.40,1.50,2.05,1.64,2.80,0,0
31,1.90,2.60,5.00,2.25,3.60,0.50,2.00,1.67,0.50,2.70,1.41,1.50,2.00,1.67,2.75,0,0
32,1.91,2.65,5.00,2.25,3.60,0.50,1.98,1.69,0.50,2.65,1.42,1.50,1.97,1.70,2.70,0,0
33,1.93,2.65,5.00,2.30,3.60,0.50,1.95,1.71,0.50,2.60,1.43,1.50,1.93,1.73,2.70,0,0
34,1.94,2.70,4.90,2.30,3.60,0.50,1.93,1.73,0.50,2.55,1.45,1.50,1.89,1.76,2.65,0,0
35,1.95,2.70,4.75,2.30,3.60,0.50,1.90,1.75,0.50,2.50,1.46,1.50,1.85,1.79,2.65,0,0
36,1.97,2.70,4.60,2.35,3.60,0.50,1.87,1.77,0.50,2.50,1.47,1.50,1.81,1.83,2.60,0,0
37,1.98,2.70,4.50,2.35,3.60,0.50,1.85,1.79,0.50,2.40,1.49,1.50,1.78,1.86,2.60,0,0
38,2.00,2.75,4.40,2.35,3.65,0.50,1.83,1.81,0.50,2.40,1.50,1.50,1.75,1.90,2.55,0,0
39,2.00,2.75,4.25,2.40,3.65,0.50,1.80,1.84,0.50,2.35,1.51,1.50,1.71,1.95,2.50,0,0
40,2.00,2.80,4.15,2.40,3.65,0.50,1.78,1.87,0.50,2.30,1.53,1.50,1.69,1.99,2.50,0,0
41,2.00,2.80,4.05,2.40,3.70,0.50,1.76,1.89,0.50,2.25,1.54,1.50,1.66,2.00,2.45,0,0
42,2.05,2.80,3.95,2.45,3.70,0.50,1.73,1.92,0.50,2.20,1.56,1.50,1.63,2.05,2.45,0,0
43,2.05,2.85,3.85,2.45,3.70,0.50,1.72,1.94,0.50,2.20,1.57,1.50,1.61,2.10,2.40,0,0
44,2.10,2.85,3.75,2.50,3.75,0.50,1.69,1.98,0.50,2.15,1.59,1.50,1.58,2.15,2.40,0,0
45,2.10,2.90,3.70,2.50,3.80,0.50,1.68,2.00,0.50,2.10,1.60,1.50,1.56,2.20,2.35,0,0
46,2.10,2.90,3.60,2.50,3.80,0.50,1.66,2.00,0.50,2.10,1.62,1.50,1.54,2.25,2.35,0,0
47,2.15,2.95,3.50,2.55,3.80,0.50,1.64,2.05,0.50,2.05,1.64,1.50,1.52,2.30,2.30,0,0
48,2.15,2.95,3.40,2.55,3.80,0.50,1.62,2.10,0.50,2.00,1.67,1.50,1.49,2.40,2.25,0,0
49,2.20,3.00,3.30,2.60,3.85,0.50,1.60,2.10,0.50,1.98,1.69,1.50,1.47,2.50,2.25,0,0
50,2.20,3.00,3.25,2.60,3.85,0.50,1.58,2.15,0.50,1.94,1.72,1.50,1.45,2.55,2.20,0,0
51,2.25,3.05,3.15,2.65,3.90,0.50,1.56,2.20,0.50,1.91,1.74,1.50,1.43,2.60,2.20,0,0
52,2.30,3.10,3.10,2.65,3.95,0.50,1.55,2.25,0.50,1.87,1.77,1.50,1.41,2.70,2.15,0,0
53,2.30,3.10,3.00,2.70,3.95,0.50,1.53,2.30,0.50,1.84,1.80,1.50,1.39,2.75,2.10,0,0
54,2.35,3.15,2.90,2.70,4.00,0.50,1.51,2.35,0.50,1.81,1.84,1.50,1.37,2.85,2.10,0,0
55,2.35,3.20,2.85,2.75,4.00,0.50,1.50,2.40,0.50,1.78,1.87,0.50,2.85,1.37,2.05,0,0
56,2.40,3.25,2.80,2.80,4.05,0.50,1.48,2.45,0.50,1.74,1.91,0.50,2.80,1.39,2.00,0,0
57,2.45,3.30,2.70,2.80,4.10,0.50,1.47,2.50,0.50,1.71,1.95,0.50,2.70,1.41,2.00,0,0
58,2.50,3.30,2.65,2.85,4.15,0.50,1.45,2.55,0.50,1.69,1.99,0.50,2.65,1.43,1.97,0,0
59,2.50,3.35,2.55,2.90,4.20,0.50,1.44,2.60,0.50,1.66,2.00,0.50,2.55,1.45,1.94,0,0
60,2.55,3.40,2.50,2.95,4.25,0.50,1.42,2.65,0.50,1.63,2.05,0.50,2.50,1.47,1.91,0,0
61,2.60,3.45,2.40,3.00,4.30,0.50,1.41,2.70,0.50,1.61,2.10,0.50,2.40,1.49,1.88,0,0
62,2.65,3.50,2.35,3.00,4.40,0.50,1.39,2.75,0.50,1.58,2.15,0.50,2.35,1.51,1.85,0,0
63,2.70,3.60,2.30,3.10,4.40,0.50,1.38,2.85,0.50,1.56,2.20,0.50,2.30,1.54,1.81,0,0
64,2.75,3.65,2.20,3.10,4.50,0.50,1.36,2.90,0.50,1.54,2.25,0.50,2.20,1.56,1.78,0,0
65,2.80,3.70,2.15,3.20,4.60,0.50,1.34,3.00,0.50,1.51,2.35,0.50,2.15,1.59,1.75,0,0
66,2.85,3.80,2.05,3.25,4.70,0.50,1.33,3.05,0.50,1.49,2.40,0.50,2.05,1.63,1.72,0,0
67,2.90,3.85,2.00,3.30,4.75,0.50,1.31,3.15,0.50,1.47,2.45,0.50,2.00,1.66,1.69,0,0
68,3.00,3.95,1.97,3.35,4.90,0.50,1.30,3.20,0.50,1.45,2.55,0.50,1.97,1.70,1.66,0,0
69,3.05,4.05,1.91,3.45,5.00,0.50,1.28,3.30,0.50,1.43,2.60,0.50,1.91,1.74,1.63,0,0
70,3.10,4.15,1.85,3.50,5.00,0.50,1.26,3.40,0.50,1.41,2.70,0.50,1.85,1.79,1.61,0,0
71,3.20,4.25,1.80,3.60,5.00,0.50,1.25,3.50,0.50,1.39,2.80,0.50,1.80,1.84,1.58,0,0
72,3.30,4.40,1.75,3.65,5.00,0.50,1.23,3.65,0.50,1.37,2.85,0.50,1.75,1.91,1.55,0,0
73,5.00,3.10,1.72,6.00,3.40,0.50,1.40,2.75,0.50,1.18,4.10,0.50,1.72,1.94,1.54,0,0
74,5.00,3.20,1.67,6.00,3.50,0.50,1.37,2.85,0.50,1.16,4.25,0.50,1.67,2.00,1.52,0,0
75,5.00,3.30,1.62,6.50,3.65,0.50,1.35,2.95,0.50,1.15,4.40,0.50,1.62,2.10,1.49,0,0
76,5.50,3.45,1.58,6.50,3.80,0.50,1.32,3.10,0.50,1.13,4.60,0.50,1.58,2.20,1.46,0,0
77,5.50,3.60,1.54,7.00,3.90,0.50,1.30,3.20,0.50,1.12,4.85,0.50,1.54,2.30,1.43,0,0
78,6.00,3.70,1.50,7.00,4.05,0.50,1.27,3.35,0.50,1.10,5.00,0.50,1.50,2.40,1.41,0,0
79,6.00,3.90,1.46,7.50,4.25,0.50,1.25,3.50,0.50,1.09,5.00,0.50,1.46,2.50,1.38,0,0
80,6.50,4.10,1.43,8.00,4.40,0.50,1.22,3.70,0.50,1.08,5.50,0.50,1.43,2.65,1.35,0,0
81,7.00,4.30,1.39,8.50,4.70,0.50,1.20,3.90,0.50,1.07,6.00,0.50,1.39,2.80,1.32,0,0
82,7.50,4.55,1.35,9.00,4.90,0.50,1.17,4.15,0.50,1.06,6.50,0.50,1.35,2.95,1.29,0,0
83,8.00,4.85,1.32,9.50,5.00,0.50,1.15,4.40,0.50,1.05,7.00,0.50,1.32,3.15,1.26,0,0
84,8.50,5.00,1.28,10.0,5.50,0.50,1.12,4.75,0.50,1.05,7.50,0.50,1.28,3.35,1.22,0,0
85,9.00,5.50,1.24,10.5,6.00,0.50,1.10,5.00,0.50,1.04,8.00,0.50,1.24,3.60,1.19,0,0
86,10.0,6.00,1.20,11.5,6.50,0.50,1.08,5.50,0.50,1.04,9.00,0.50,1.20,3.90,1.15,0,0
87,11.0,6.50,1.16,12.0,7.00,0.50,1.07,6.00,0.50,1.04,9.50,0.50,1.16,4.30,1.12,0,0
88,12.0,7.50,1.12,13.0,8.00,0.50,1.05,7.00,1,1,1,0.50,1.12,4.85,1.09,0,0
89,12.0,8.50,1.09,15.0,9.00,1,1,1,1,1,1,1,1,1,1.07,0,0
90,12.0,10.0,1.06,15.0,9.00,1,1,1,1,1,1,1,1,1,1.07,0,0
91,12.0,10.0,1.06,15.0,9.00,1,1,1,1,1,1,1,1,1,1.07,0,0
92,12.0,10.0,1.06,15.0,9.00,1,1,1,1,1,1,1,1,1,1.07,0,0
