min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
3,1.92,2.10,9.00,2.40,2.85,1.50,1.40,2.75,1.50,1.48,2.45,1,1,1,3.15,0,0
4,1.92,2.10,9.00,2.40,2.85,1.50,1.40,2.75,1.50,1.48,2.45,1,1,1,3.15,0,0
5,1.86,2.05,10.0,2.30,2.70,1.50,1.37,2.70,1.50,1.45,2.40,1,1,1,3.30,0,0
6,1.86,2.05,10.0,2.30,2.70,1.50,1.36,2.75,1.50,1.44,2.45,1,1,1,3.30,0,0
7,1.87,2.05,9.50,2.30,2.70,1.50,1.35,2.75,1.50,1.43,2.45,1,1,1,3.25,0,0
8,1.87,2.05,9.50,2.30,2.70,1.50,1.34,2.80,1.50,1.41,2.50,1,1,1,3.25,0,0
9,1.88,2.05,9.00,2.30,2.70,0.50,2.80,1.34,1.50,1.40,2.55,1,1,1,3.20,0,0
10,1.88,2.10,9.00,2.35,2.70,0.50,2.80,1.34,1.50,1.40,2.60,1,1,1,3.20,0,0
11,1.89,2.10,9.00,2.35,2.70,0.50,2.75,1.35,1.50,1.39,2.60,1,1,1,3.20,0,0
12,1.90,2.10,8.50,2.35,2.70,0.50,2.70,1.36,1.50,1.38,2.65,1,1,1,3.15,0,0
13,1.90,2.10,8.00,2.35,2.75,0.50,2.70,1.37,1.50,1.37,2.70,1,1,1,3.15,0,0
14,1.91,2.10,8.00,2.35,2.75,0.50,2.65,1.38,1.50,1.36,2.70,1,1,1,3.10,0,0
15,1.92,2.10,8.00,2.40,2.75,0.50,2.60,1.39,1.50,1.35,2.75,1,1,1,3.10,0,0
16,1.92,2.10,7.50,2.40,2.80,0.50,2.60,1.40,1.50,1.34,2.80,1,1,1,3.10,0,0
17,1.93,2.10,7.50,2.40,2.80,0.50,2.55,1.40,0.50,2.80,1.34,1,1,1,3.05,0,0
18,1.94,2.15,7.00,2.40,2.80,0.50,2.50,1.41,0.50,2.80,1.34,1.50,2.45,1.43,3.05,0,0
19,1.95,2.15,7.00,2.40,2.80,0.50,2.50,1.42,0.50,2.75,1.35,1.50,2.40,1.44,3.00,0,0
20,1.96,2.15,7.00,2.40,2.80,0.50,2.45,1.43,0.50,2.70,1.36,1.50,2.35,1.46,3.00,0,0
21,1.96,2.15,6.50,2.40,2.80,0.50,2.40,1.44,0.50,2.70,1.37,1.50,2.30,1.47,3.00,0,0
22,1.97,2.20,6.50,2.40,2.80,0.50,2.40,1.45,0.50,2.60,1.38,1.50,2.25,1.49,2.95,0,0
23,1.99,2.20,6.00,2.45,2.80,0.50,2.35,1.47,0.50,2.60,1.39,1.50,2.20,1.51,2.90,0,0
24,1.99,2.20,6.00,2.45,2.85,0.50,2.30,1.48,0.50,2.55,1.40,1.50,2.20,1.52,2.90,0,0
25,2.00,2.20,6.00,2.45,2.85,0.50,2.25,1.49,0.50,2.50,1.41,1.50,2.10,1.54,2.90,0,0
26,2.00,2.20,5.50,2.45,2.85,0.50,2.25,1.50,0.50,2.50,1.42,1.50,2.10,1.56,2.85,0,0
27,2.00,2.20,5.50,2.50,2.85,0.50,2.20,1.51,0.50,2.45,1.44,1.50,2.05,1.58,2.80,0,0
28,2.00,2.25,5.50,2.50,2.85,0.50,2.20,1.52,0.50,2.40,1.45,1.50,2.00,1.60,2.80,0,0
29,2.00,2.25,5.00,2.50,2.90,0.50,2.15,1.53,0.50,2.35,1.46,1.50,1.99,1.63,2.80,0,0
30,2.05,2.25,5.00,2.50,2.90,0.50,2.10,1.55,0.50,2.30,1.47,1.50,1.94,1.65,2.75,0,0
31,2.00,2.20,6.00,2.50,2.80,0.50,2.30,1.48,0.50,2.50,1.41,1.50,2.15,1.54,2.90,0,0
32,2.00,2.20,5.50,2.50,2.85,0.50,2.25,1.49,0.50,2.45,1.43,1.50,2.10,1.56,2.85,0,0
33,2.00,2.20,5.50,2.50,2.85,0.50,2.20,1.50,0.50,2.40,1.44,1.50,2.05,1.58,2.80,0,0
34,2.00,2.20,5.50,2.50,2.85,0.50,2.20,1.52,0.50,2.40,1.45,1.50,2.00,1.60,2.80,0,0
35,2.05,2.25,5.00,2.50,2.85,0.50,2.15,1.53,0.50,2.35,1.46,1.50,1.98,1.63,2.80,0,0
36,2.05,2.25,5.00,2.55,2.85,0.50,2.10,1.55,0.50,2.30,1.48,1.50,1.93,1.66,2.75,0,0
37,2.05,2.30,5.00,2.55,2.90,0.50,2.10,1.56,0.50,2.25,1.49,1.50,1.89,1.69,2.70,0,0
38,2.10,2.30,4.90,2.60,2.90,0.50,2.05,1.58,0.50,2.20,1.50,1.50,1.86,1.72,2.70,0,0
39,2.10,2.30,4.75,2.60,2.90,0.50,2.00,1.60,0.50,2.20,1.52,1.50,1.82,1.75,2.65,0,0
40,2.10,2.30,4.65,2.60,2.90,0.50,2.00,1.61,0.50,2.15,1.53,1.50,1.78,1.78,2.65,0,0
41,2.10,2.35,4.50,2.60,2.95,0.50,1.98,1.63,0.50,2.10,1.55,1.50,1.75,1.82,2.60,0,0
42,2.15,2.35,4.35,2.65,2.95,0.50,1.94,1.65,0.50,2.10,1.57,1.50,1.71,1.86,2.60,0,0
43,2.25,2.50,3.70,2.70,3.05,0.50,1.77,1.79,0.50,1.91,1.67,1.50,1.55,2.10,2.40,0,0
44,2.25,2.50,3.60,2.70,3.10,0.50,1.75,1.82,0.50,1.88,1.69,1.50,1.53,2.15,2.40,0,0
45,2.30,2.55,3.55,2.75,3.10,0.50,1.72,1.85,0.50,1.85,1.72,1.50,1.51,2.20,2.35,0,0
46,2.30,2.55,3.45,2.75,3.10,0.50,1.70,1.88,0.50,1.82,1.74,1.50,1.48,2.30,2.30,0,0
47,2.35,2.60,3.40,2.80,3.15,0.50,1.68,1.90,0.50,1.80,1.77,1.50,1.47,2.35,2.30,0,0
48,2.35,2.60,3.30,2.80,3.20,0.50,1.66,1.94,0.50,1.77,1.80,1.50,1.44,2.40,2.25,0,0
49,2.40,2.65,3.20,2.85,3.20,0.50,1.63,1.97,0.50,1.74,1.83,1.50,1.42,2.50,2.20,0,0
50,2.40,2.65,3.10,2.85,3.20,0.50,1.61,2.00,0.50,1.71,1.86,1.50,1.41,2.55,2.20,0,0
51,2.45,2.70,3.05,2.90,3.25,0.50,1.60,2.00,0.50,1.69,1.89,1.50,1.39,2.60,2.15,0,0
52,2.50,2.70,2.95,2.90,3.25,0.50,1.57,2.05,0.50,1.66,1.92,1.50,1.37,2.70,2.15,0,0
53,2.50,2.75,2.90,2.95,3.30,0.50,1.56,2.10,0.50,1.64,1.96,1.50,1.35,2.75,2.10,0,0
54,2.55,2.80,2.80,2.95,3.35,0.50,1.54,2.15,0.50,1.62,2.00,0.50,2.80,1.34,2.10,0,0
55,2.55,2.80,2.75,3.00,3.35,0.50,1.52,2.20,0.50,1.60,2.00,0.50,2.75,1.35,2.05,0,0
56,2.60,2.85,2.70,3.00,3.40,0.50,1.50,2.20,0.50,1.57,2.05,0.50,2.70,1.37,2.00,0,0
57,2.65,2.90,2.60,3.05,3.40,0.50,1.49,2.30,0.50,1.55,2.10,0.50,2.60,1.39,2.00,0,0
58,2.90,3.20,2.15,3.25,3.70,0.50,1.37,2.70,0.50,1.43,2.45,0.50,2.15,1.53,1.81,0,0
59,2.70,3.70,2.10,2.95,4.40,0.50,1.28,3.05,0.50,1.47,2.30,0.50,2.10,1.56,1.79,0,0
60,2.70,3.80,2.05,1.09,20.0,0.50,1.27,3.15,1.50,1.46,2.35,1.50,2.00,1.60,5.50,0,1
61,2.70,3.80,2.05,1.14,16.0,0.50,1.37,2.65,1.50,1.55,2.10,1.50,2.40,1.45,5.00,0,1
62,2.70,3.80,2.05,1.13,16.0,0.50,1.36,2.70,1.50,1.53,2.15,1.50,2.30,1.47,5.00,0,1
63,2.70,3.80,2.05,1.13,17.0,0.50,1.34,2.80,1.50,1.51,2.20,1.50,2.25,1.50,5.00,0,1
64,2.70,3.80,2.05,1.12,17.0,0.50,1.33,2.85,1.50,1.49,2.25,1.50,2.20,1.52,5.00,0,1
65,2.70,3.80,2.05,1.12,18.0,0.50,1.31,2.95,1.50,1.47,2.35,1.50,2.10,1.55,5.00,0,1
66,2.70,3.80,2.05,3.10,4.25,1.50,1.30,3.00,1.50,1.45,2.40,1,1,1,1.77,1,1
67,2.70,3.80,2.05,3.10,4.30,1.50,1.28,3.10,1.50,1.43,2.45,1,1,1,1.74,1,1
68,2.70,3.80,2.05,3.20,4.40,1.50,1.26,3.20,1.50,1.41,2.55,1,1,1,1.70,1,1
69,2.70,3.80,2.05,3.25,4.50,1.50,1.25,3.25,1.50,1.39,2.60,1,1,1,1.67,1,1
70,2.70,3.80,2.05,1.09,21.0,1.50,1.23,3.35,2.50,1.37,2.70,3.50,1.82,1.74,5.50,1,2
71,2.70,3.80,2.05,1.08,21.0,1.50,1.21,3.45,2.50,1.35,2.75,3.50,1.77,1.79,5.50,1,2
72,2.70,3.80,2.05,1.09,29.0,1.50,1.20,3.60,2.50,1.33,2.85,3.50,1.72,1.85,5.00,1,2
73,2.70,3.80,2.05,1.09,31.0,1.50,1.18,3.70,2.50,1.31,2.95,3.50,1.67,1.92,5.00,1,2
74,2.70,3.80,2.05,1.08,33.0,1.50,1.16,3.85,2.50,1.28,3.05,3.50,1.62,1.99,5.00,1,2
75,2.70,3.80,2.05,1.07,35.0,1.50,1.15,4.00,2.50,1.26,3.20,3.50,1.58,2.05,5.50,1,2
76,2.70,3.80,2.05,1.07,37.0,1.50,1.13,4.20,2.50,1.24,3.30,3.50,1.54,2.15,5.50,1,2
77,2.70,3.80,2.05,1.06,42.0,1.50,1.11,4.40,2.50,1.22,3.45,3.50,1.50,2.25,6.00,1,2
78,2.70,3.80,2.05,1.05,46.0,1.50,1.10,4.60,2.50,1.19,3.60,3.50,1.46,2.35,6.00,1,2
79,2.70,3.80,2.05,1.05,51.0,1.50,1.09,4.85,2.50,1.17,3.80,3.50,1.43,2.45,6.00,1,2
80,2.70,3.80,2.05,1.04,58.0,1.50,1.07,5.00,2.50,1.15,4.00,3.50,1.39,2.60,6.50,1,2
81,2.70,3.80,2.05,1.04,60.0,1.50,1.06,5.00,2.50,1.13,4.20,3.50,1.36,2.70,6.50,1,2
82,2.70,3.80,2.05,1.04,60.0,1.50,1.05,5.50,2.50,1.11,4.45,3.50,1.32,2.90,7.00,1,2
83,2.70,3.80,2.05,1.03,60.0,1.50,1.04,6.00,2.50,1.09,4.80,3.50,1.29,3.05,7.00,1,2
84,2.70,3.80,2.05,1.03,60.0,1.50,1.03,6.50,2.50,1.07,5.00,3.50,1.25,3.25,7.50,1,2
85,2.70,3.80,2.05,1.03,60.0,1.50,1.03,7.00,2.50,1.06,5.50,3.50,1.21,3.50,8.00,1,2
86,2.70,3.80,2.05,1.02,60.0,1.50,1.03,8.00,2.50,1.04,6.00,3.50,1.17,3.80,8.50,1,2
87,2.70,3.80,2.05,1.02,60.0,1.50,1.02,9.00,2.50,1.03,6.50,3.50,1.13,4.15,9.50,1,2
88,2.70,3.80,2.05,1.02,60.0,1.50,1.02,10.0,2.50,1.03,7.50,3.50,1.10,4.60,10.0,1,2
89,2.70,3.80,2.05,1.02,60.0,1,1,1,1,1,1,1,1,1,11.0,1,3
90,2.70,3.80,2.05,1.02,60.0,1,1,1,1,1,1,1,1,1,11.0,1,3
91,2.70,3.80,2.05,1.02,60.0,1,1,1,1,1,1,1,1,1,11.0,1,3
92,2.70,3.80,2.05,1.02,60.0,1,1,1,1,1,1,1,1,1,11.0,1,3
93,2.70,3.80,2.05,1.02,60.0,1,1,1,1,1,1,1,1,1,11.0,1,3
