min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,3.00,1.35,20.0,5.50,1.34,2.50,1.63,1.97,0.50,2.75,1.36,3.50,1.73,1.83,5.00,0,0
2,3.00,1.35,20.0,5.50,1.34,2.50,1.63,1.97,0.50,2.75,1.36,3.50,1.73,1.83,5.00,0,0
3,3.00,1.35,20.0,5.50,1.34,2.50,1.63,1.97,0.50,2.75,1.36,3.50,1.73,1.83,5.00,0,0
4,3.00,1.35,20.0,5.50,1.34,2.50,1.63,1.97,0.50,2.75,1.36,3.50,1.73,1.83,5.00,0,0
5,3.20,1.32,20.0,6.00,1.31,2.50,1.60,2.00,0.50,2.45,1.43,3.50,1.62,1.99,5.00,0,0
6,3.20,1.32,20.0,6.00,1.31,2.50,1.58,2.05,0.50,2.45,1.44,3.50,1.60,2.00,5.00,0,0
7,3.20,1.33,19.0,6.00,1.31,2.50,1.56,2.10,0.50,2.40,1.45,3.50,1.58,2.05,4.90,0,0
8,3.20,1.33,19.0,6.00,1.33,2.50,1.54,2.10,0.50,2.40,1.45,3.50,1.56,2.10,4.90,0,0
9,3.15,1.36,16.0,5.50,1.38,1.50,2.45,1.43,0.50,2.20,1.50,1,1,1,4.45,0,0
10,3.15,1.36,15.0,5.50,1.38,1.50,2.40,1.44,0.50,2.20,1.51,1,1,1,4.40,0,0
11,3.20,1.35,15.0,6.00,1.37,1.50,2.45,1.43,0.50,2.20,1.52,1,1,1,4.50,0,0
12,3.25,1.34,15.0,6.00,1.35,2.50,1.43,2.45,0.50,2.15,1.53,1,1,1,4.50,0,0
13,3.25,1.34,15.0,6.00,1.36,1.50,2.45,1.43,0.50,2.10,1.54,1,1,1,4.50,0,0
14,3.25,1.34,15.0,6.00,1.36,1.50,2.40,1.44,0.50,2.10,1.55,1,1,1,4.45,0,0
15,3.25,1.35,14.0,6.00,1.37,1.50,2.35,1.46,0.50,2.10,1.56,1,1,1,4.40,0,0
16,3.25,1.35,14.0,6.00,1.37,1.50,2.30,1.47,0.50,2.05,1.58,1,1,1,4.35,0,0
17,3.30,1.35,13.0,6.00,1.38,1.50,2.30,1.49,0.50,2.05,1.59,1,1,1,4.30,0,0
18,3.45,1.33,13.0,6.50,1.35,1.50,2.30,1.47,0.50,1.94,1.66,1,1,1,4.40,0,0
19,3.45,1.33,13.0,6.50,1.35,1.50,2.25,1.49,0.50,1.91,1.67,1,1,1,4.35,0,0
20,3.45,1.34,12.0,6.50,1.36,1.50,2.20,1.51,0.50,1.89,1.69,1,1,1,4.30,0,0
21,3.45,1.34,12.0,6.50,1.37,1.50,2.20,1.52,0.50,1.88,1.70,1,1,1,4.25,0,0
22,3.50,1.34,12.0,6.50,1.38,1.50,2.10,1.54,0.50,1.85,1.72,1,1,1,4.20,0,0
23,3.50,1.35,11.5,6.50,1.38,1.50,2.10,1.56,0.50,1.83,1.73,1,1,1,4.15,0,0
24,3.50,1.35,11.0,6.50,1.38,1.50,2.05,1.58,0.50,1.81,1.75,1,1,1,4.10,0,0
25,3.50,1.35,11.0,6.00,1.39,1.50,2.00,1.60,0.50,1.79,1.77,1,1,1,4.05,0,0
26,3.50,1.36,10.5,6.00,1.39,1.50,2.00,1.62,0.50,1.77,1.79,1,1,1,4.00,0,0
27,3.50,1.36,10.0,6.00,1.40,1.50,1.96,1.64,0.50,1.76,1.81,1,1,1,3.95,0,0
28,3.50,1.36,10.0,6.00,1.40,1.50,1.92,1.67,0.50,1.74,1.83,1,1,1,3.90,0,0
29,3.55,1.37,9.50,6.00,1.41,1.50,1.88,1.69,0.50,1.72,1.85,1,1,1,3.85,0,0
30,3.55,1.37,9.00,6.00,1.42,1.50,1.85,1.72,0.50,1.70,1.88,1,1,1,3.80,0,0
31,3.55,1.38,9.00,6.00,1.42,1.50,1.82,1.75,0.50,1.68,1.90,1,1,1,3.75,0,0
32,3.60,1.38,8.50,6.00,1.43,1.50,1.79,1.78,0.50,1.67,1.92,1,1,1,3.70,0,0
33,3.60,1.39,8.00,6.00,1.44,1.50,1.76,1.81,0.50,1.65,1.94,1,1,1,3.70,0,0
34,3.60,1.39,8.00,6.00,1.45,1.50,1.73,1.84,0.50,1.64,1.97,1,1,1,3.65,0,0
35,3.60,1.40,7.50,6.00,1.46,1.50,1.70,1.88,0.50,1.62,1.99,1,1,1,3.60,0,0
36,3.65,1.41,7.50,6.00,1.46,1.50,1.67,1.92,0.50,1.60,2.00,1,1,1,3.55,0,0
37,3.65,1.41,7.00,6.00,1.47,1.50,1.64,1.96,0.50,1.59,2.00,1.50,2.40,1.44,3.50,0,0
38,3.65,1.42,7.00,6.00,1.48,1.50,1.62,2.00,0.50,1.57,2.05,1.50,2.35,1.45,3.45,0,0
39,3.70,1.42,6.50,6.00,1.49,1.50,1.59,2.00,0.50,1.56,2.10,1.50,2.30,1.48,3.40,0,0
42,3.70,1.46,5.50,6.00,1.54,1.50,1.50,2.25,0.50,1.52,2.20,1.50,2.10,1.56,3.20,0,0
43,3.75,1.47,5.50,20.0,1.05,2.50,1.42,2.50,0.50,1.51,2.20,1,1,1,7.00,1,0
44,3.75,1.47,5.50,16.0,1.08,2.50,1.46,2.35,0.50,1.66,1.93,1,1,1,6.50,1,0
45,3.75,1.47,5.50,18.0,1.06,2.50,1.45,2.40,0.50,1.56,2.10,1,1,1,7.00,1,0
46,3.75,1.47,5.50,18.0,1.07,2.50,1.39,2.60,0.50,1.54,2.15,1,1,1,6.50,1,0
47,3.75,1.47,5.50,18.0,1.07,2.50,1.37,2.65,0.50,1.53,2.15,1,1,1,6.50,1,0
48,3.75,1.47,5.50,19.0,1.06,2.50,1.38,2.60,0.50,1.51,2.20,1,1,1,7.00,1,0
49,3.75,1.47,5.50,19.0,1.06,2.50,1.37,2.70,0.50,1.50,2.25,1,1,1,7.00,1,0
50,3.75,1.47,5.50,19.0,1.06,2.50,1.35,2.75,0.50,1.48,2.30,1,1,1,7.00,1,0
51,3.75,1.47,5.50,20.0,1.06,1.50,2.80,1.34,0.50,1.47,2.35,1,1,1,6.50,1,0
52,3.75,1.47,5.50,20.0,1.06,1.50,2.75,1.35,0.50,1.45,2.40,1,1,1,6.50,1,0
53,3.75,1.47,5.50,21.0,1.05,2.50,1.34,2.80,0.50,1.44,2.40,1,1,1,7.00,1,0
54,3.75,1.47,5.50,21.0,1.05,2.50,1.34,2.80,0.50,1.43,2.45,1,1,1,7.00,1,0
55,3.75,1.47,5.50,21.0,1.06,1.50,2.60,1.39,0.50,1.41,2.50,1,1,1,7.00,1,0
56,3.75,1.47,5.50,22.0,1.05,1.50,2.70,1.36,0.50,1.40,2.55,1,1,1,7.00,1,0
57,3.75,1.47,5.50,22.0,1.05,1.50,2.60,1.38,0.50,1.39,2.60,1,1,1,7.00,1,0
58,3.75,1.47,5.50,23.0,1.05,1.50,2.55,1.40,0.50,1.37,2.65,1,1,1,7.00,1,0
59,3.75,1.47,5.50,23.0,1.05,1.50,2.50,1.42,0.50,1.36,2.70,1,1,1,7.00,1,0
60,3.75,1.47,5.50,23.0,1.05,1.50,2.40,1.44,0.50,1.34,2.80,1,1,1,7.00,1,0
61,3.75,1.47,5.50,24.0,1.05,1.50,2.35,1.47,0.50,1.33,2.85,1,1,1,7.00,1,0
62,3.75,1.47,5.50,29.0,1.04,1.50,2.25,1.49,0.50,1.27,3.15,1,1,1,7.50,1,0
63,3.75,1.47,5.50,29.0,1.04,1.50,2.20,1.51,0.50,1.25,3.25,1,1,1,7.50,1,0
64,3.75,1.47,5.50,29.0,1.03,1.50,2.15,1.54,0.50,1.24,3.30,1,1,1,7.50,1,0
65,3.75,1.47,5.50,31.0,1.04,1.50,2.05,1.57,0.50,1.23,3.40,1.50,2.80,1.34,8.00,1,0
66,3.75,1.47,5.50,31.0,1.03,1.50,2.00,1.60,0.50,1.21,3.50,1.50,2.70,1.36,8.00,1,0
67,3.75,1.47,5.50,32.0,1.03,1.50,1.97,1.63,0.50,1.20,3.60,1.50,2.60,1.38,8.00,1,0
68,3.75,1.47,5.50,34.0,1.03,1.50,1.91,1.67,0.50,1.18,3.70,1.50,2.55,1.41,8.00,1,0
69,3.75,1.47,5.50,38.0,1.03,1.50,1.82,1.75,0.50,1.13,4.20,1.50,2.30,1.47,8.50,1,0
70,3.75,1.47,5.50,41.0,1.03,1.50,1.77,1.80,0.50,1.12,4.35,1.50,2.25,1.50,8.50,1,0
71,3.75,1.47,5.50,42.0,1.03,1.50,1.72,1.85,0.50,1.11,4.50,1.50,2.15,1.53,9.00,1,0
72,3.75,1.47,5.50,41.0,1.03,1.50,1.67,1.91,0.50,1.11,4.45,1.50,2.10,1.56,8.50,1,0
73,3.75,1.47,5.50,44.0,1.03,1.50,1.63,1.98,0.50,1.10,4.65,1.50,2.00,1.60,8.50,1,0
74,3.75,1.47,5.50,45.0,1.03,1.50,1.58,2.05,0.50,1.09,4.80,1.50,1.95,1.65,8.50,1,0
75,3.75,1.47,5.50,46.0,1.03,1.50,1.55,2.10,0.50,1.08,5.00,1.50,1.87,1.70,9.00,1,0
76,3.75,1.47,5.50,47.0,1.02,1.50,1.51,2.20,0.50,1.07,5.00,1.50,1.80,1.77,9.00,1,0
77,3.75,1.47,5.50,52.0,1.02,1.50,1.47,2.30,0.50,1.06,5.00,1.50,1.73,1.84,9.00,1,0
78,3.75,1.47,5.50,55.0,1.02,1.50,1.44,2.40,0.50,1.05,5.50,1.50,1.66,1.92,9.50,1,0
79,3.75,1.47,5.50,57.0,1.02,1.50,1.40,2.55,0.50,1.04,6.00,1.50,1.61,2.00,9.50,1,0
80,3.75,1.47,5.50,50.0,1.03,1.50,1.39,2.60,0.50,1.06,5.50,1.50,1.61,2.00,9.00,1,0
