min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.47,3.00,12.0,1.55,5.00,0.50,2.45,1.48,1.50,2.25,1.55,1,1,1,3.65,0,0
2,1.47,3.00,12.0,1.55,5.00,0.50,2.45,1.48,1.50,2.25,1.55,1,1,1,3.65,0,0
3,1.47,3.00,12.0,1.55,5.00,0.50,2.45,1.48,1.50,2.25,1.55,1,1,1,3.65,0,0
4,1.47,3.00,12.0,1.55,5.00,0.50,2.45,1.48,1.50,2.25,1.55,1,1,1,3.65,0,0
5,1.47,3.00,12.0,1.55,5.00,0.50,2.45,1.48,1.50,2.25,1.55,1,1,1,3.65,0,0
6,1.48,3.00,12.0,1.55,5.00,0.50,2.40,1.49,1.50,2.20,1.56,1,1,1,3.60,0,0
7,1.48,3.00,11.5,1.56,5.00,0.50,2.40,1.50,1.50,2.15,1.58,1,1,1,3.60,0,0
8,1.48,3.00,11.0,1.56,5.00,0.50,2.35,1.51,1.50,2.10,1.60,1,1,1,3.55,0,0
9,1.48,3.00,11.0,1.56,5.00,0.50,2.30,1.52,1.50,2.10,1.61,1,1,1,3.55,0,0
10,1.49,3.05,11.0,1.57,5.00,0.50,2.30,1.53,1.50,2.05,1.63,1,1,1,3.50,0,0
11,1.49,3.05,10.5,1.58,5.00,0.50,2.30,1.54,1.50,2.00,1.65,1,1,1,3.50,0,0
12,1.49,3.05,10.0,1.58,5.00,0.50,2.25,1.55,1.50,2.00,1.67,1,1,1,3.45,0,0
13,1.50,3.05,10.0,1.59,5.00,0.50,2.20,1.56,1.50,1.99,1.68,1,1,1,3.45,0,0
14,1.50,3.05,10.0,1.59,5.00,0.50,2.20,1.57,1.50,1.96,1.71,1,1,1,3.40,0,0
15,1.50,3.05,9.50,1.60,5.00,0.50,2.15,1.58,1.50,1.93,1.73,1,1,1,3.40,0,0
16,1.51,3.10,9.50,1.60,5.00,0.50,2.15,1.59,1.50,1.89,1.75,1,1,1,3.35,0,0
17,1.51,3.10,9.00,1.61,5.00,0.50,2.10,1.60,1.50,1.87,1.78,1,1,1,3.35,0,0
18,1.51,3.10,9.00,1.62,5.00,0.50,2.10,1.61,1.50,1.84,1.81,1,1,1,3.30,0,0
19,1.52,3.10,8.50,1.62,5.00,0.50,2.05,1.63,1.50,1.81,1.83,1,1,1,3.30,0,0
20,1.52,3.10,8.50,1.63,5.00,0.50,2.05,1.64,1.50,1.79,1.86,1,1,1,3.25,0,0
