min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
6,1.84,2.15,11.0,1,1,1.50,1.38,2.85,1.50,1.52,2.30,1,1,1,1,0,0
7,1.87,2.15,10.0,2.30,2.85,1.50,1.37,2.85,1.50,1.48,2.45,1,1,1,3.35,0,0
8,1.88,2.15,10.0,2.30,2.85,0.50,2.90,1.36,1.50,1.46,2.50,1,1,1,3.35,0,0
9,1.89,2.15,9.50,2.30,2.85,0.50,2.85,1.37,1.50,1.45,2.50,1,1,1,3.30,0,0
10,1.89,2.15,9.50,2.35,2.85,0.50,2.85,1.38,1.50,1.45,2.55,1,1,1,3.30,0,0
11,1.90,2.15,9.00,4.80,1.56,1.50,2.80,1.39,1.50,1.47,2.45,3.50,1.61,2.10,4.00,1,0
12,1.90,2.15,9.00,4.60,1.59,1.50,2.70,1.41,1.50,1.48,2.45,3.50,1.59,2.15,3.90,1,0
13,1.90,2.15,9.00,4.65,1.59,1.50,2.65,1.42,1.50,1.47,2.50,3.50,1.57,2.20,3.90,1,0
14,1.90,2.15,9.00,4.70,1.58,1.50,2.60,1.43,1.50,1.46,2.50,3.50,1.55,2.25,3.90,1,0
15,1.90,2.15,9.00,4.70,1.57,1.50,2.60,1.44,1.50,1.45,2.55,3.50,1.53,2.30,3.85,1,0
16,1.90,2.15,9.00,4.75,1.57,1.50,2.40,1.49,1.50,1.42,2.65,3.50,1.47,2.45,3.80,1,0
17,1.90,2.15,9.00,4.85,1.57,1.50,2.40,1.50,1.50,1.41,2.70,3.50,1.46,2.50,3.80,1,0
20,1.90,2.15,9.00,5.50,1.49,1.50,2.40,1.49,0.50,2.75,1.40,1,1,1,3.95,1,0
21,1.90,2.15,9.00,5.50,1.49,1.50,2.40,1.50,0.50,2.70,1.41,1,1,1,3.90,1,0
22,1.90,2.15,9.00,5.50,1.48,1.50,2.35,1.51,0.50,2.65,1.42,1,1,1,3.90,1,0
23,1.90,2.15,9.00,2.45,2.95,1.50,2.30,1.52,1.50,2.60,1.43,3.50,2.20,1.56,2.95,1,1
24,1.90,2.15,9.00,2.50,3.00,1.50,2.30,1.53,1.50,2.60,1.44,3.50,2.15,1.58,2.95,1,1
25,1.90,2.15,9.00,2.50,2.95,1.50,2.25,1.55,1.50,2.55,1.45,3.50,2.10,1.60,2.90,1,1
26,1.90,2.15,9.00,2.75,2.50,1.50,2.50,1.46,1.50,2.35,1.50,3.50,2.20,1.56,3.15,1,1
27,1.90,2.15,9.00,2.75,2.50,1.50,2.45,1.47,1.50,2.35,1.51,3.50,2.15,1.58,3.10,1,1
28,1.90,2.15,9.00,2.75,2.55,1.50,2.45,1.48,1.50,2.30,1.53,3.50,2.10,1.60,3.10,1,1
29,1.90,2.15,9.00,2.75,2.55,1.50,2.40,1.50,1.50,2.25,1.54,3.50,2.05,1.62,3.05,1,1
30,1.90,2.15,9.00,2.75,2.55,1.50,2.35,1.51,1.50,2.25,1.55,3.50,2.05,1.65,3.00,1,1
31,1.90,2.15,9.00,2.80,2.60,1.50,2.30,1.52,1.50,2.20,1.56,3.50,2.00,1.67,3.00,1,1
32,1.90,2.15,9.00,2.80,2.60,1.50,2.30,1.53,1.50,2.15,1.58,3.50,1.97,1.70,2.95,1,1
33,1.90,2.15,9.00,2.80,2.60,1.50,2.25,1.54,1.50,2.15,1.59,3.50,1.93,1.72,2.95,1,1
34,1.90,2.15,9.00,2.95,2.50,1.50,2.30,1.53,1.50,2.05,1.63,3.50,1.91,1.74,2.95,1,1
35,1.90,2.15,9.00,3.05,2.40,1.50,2.40,1.50,1.50,2.05,1.65,3.50,1.94,1.72,2.95,1,1
36,1.90,2.15,9.00,3.00,2.40,1.50,2.35,1.51,1.50,2.00,1.67,3.50,1.90,1.75,2.90,1,1
37,1.90,2.15,9.00,3.05,2.45,1.50,2.30,1.53,1.50,1.99,1.68,3.50,1.86,1.78,2.90,1,1
38,1.90,2.15,9.00,3.05,2.45,1.50,2.25,1.54,1.50,1.96,1.71,3.50,1.82,1.82,2.85,1,1
39,1.90,2.15,9.00,3.10,2.45,1.50,2.20,1.56,1.50,1.93,1.73,3.50,1.79,1.85,2.85,1,1
40,1.90,2.15,9.00,3.10,2.50,1.50,2.20,1.57,1.50,1.90,1.75,3.50,1.76,1.89,2.80,1,1
41,1.90,2.15,9.00,3.30,2.40,1.50,2.10,1.60,1.50,1.76,1.89,3.50,1.65,2.00,2.70,1,1
42,1.90,2.15,9.00,3.30,2.45,1.50,2.10,1.62,1.50,1.73,1.92,3.50,1.62,2.10,2.65,1,1
43,1.90,2.15,9.00,3.35,2.35,1.50,2.20,1.57,1.50,1.77,1.88,3.50,1.68,2.00,2.75,1,1
44,1.90,2.15,9.00,3.35,2.40,1.50,2.15,1.59,1.50,1.74,1.91,3.50,1.65,2.00,2.70,1,1
45,1.90,2.15,9.00,3.40,2.40,1.50,2.10,1.60,1.50,1.72,1.93,3.50,1.63,2.05,2.70,1,1
46,1.90,2.15,9.00,3.40,2.40,1.50,2.10,1.62,1.50,1.70,1.97,3.50,1.60,2.10,2.65,1,1
47,1.90,2.15,9.00,11.0,1.23,2.50,2.05,1.64,1.50,1.68,2.00,4.50,1.57,2.20,5.00,2,1
48,1.90,2.15,9.00,9.50,1.28,2.50,2.00,1.67,1.50,1.79,1.85,4.50,1.61,2.10,4.90,2,1
49,1.90,2.15,9.00,9.50,1.27,2.50,1.98,1.69,1.50,1.77,1.88,4.50,1.58,2.15,4.90,2,1
50,1.90,2.15,9.00,10.0,1.27,2.50,1.94,1.72,1.50,1.74,1.91,4.50,1.56,2.20,4.90,2,1
51,1.90,2.15,9.00,9.50,1.28,2.50,1.91,1.74,1.50,1.76,1.89,4.50,1.55,2.20,4.80,2,1
52,1.90,2.15,9.00,10.0,1.28,2.50,1.87,1.77,1.50,1.73,1.92,4.50,1.53,2.30,4.80,2,1
53,1.90,2.15,9.00,10.0,1.27,2.50,1.84,1.80,1.50,1.71,1.96,4.50,1.50,2.35,4.80,2,1
