min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.40,1.70,11.0,3.40,1.99,1.50,1.68,2.00,0.50,2.85,1.37,1,1,1,3.35,0,0
2,2.40,1.70,11.0,3.40,1.99,1.50,1.68,2.00,0.50,2.85,1.37,1,1,1,3.35,0,0
3,2.40,1.70,11.0,3.40,1.99,1.50,1.68,2.00,0.50,2.85,1.37,1,1,1,3.35,0,0
4,2.40,1.70,11.0,3.40,1.99,1.50,1.68,2.00,0.50,2.85,1.37,1,1,1,3.35,0,0
5,2.40,1.70,11.0,3.40,1.99,1.50,1.68,2.00,0.50,2.85,1.37,1,1,1,3.35,0,0
6,2.40,1.70,10.5,3.45,2.00,1.50,1.66,2.00,0.50,2.80,1.38,1,1,1,3.30,0,0
7,2.40,1.71,10.5,3.45,2.00,1.50,1.64,2.05,0.50,2.80,1.39,1,1,1,3.30,0,0
8,2.40,1.71,10.0,3.45,2.00,1.50,1.63,2.05,0.50,2.75,1.40,1,1,1,3.30,0,0
9,2.40,1.72,10.0,3.45,2.00,1.50,1.61,2.10,0.50,2.70,1.41,1,1,1,3.25,0,0
10,2.40,1.72,9.50,3.45,2.00,1.50,1.59,2.15,0.50,2.70,1.42,1,1,1,3.25,0,0
11,2.40,1.72,9.00,3.45,2.00,1.50,1.58,2.15,0.50,2.65,1.43,1,1,1,3.20,0,0
12,2.45,1.73,9.00,3.45,2.00,1.50,1.57,2.20,0.50,2.60,1.44,1,1,1,3.20,0,0
13,2.45,1.73,9.00,3.45,2.00,1.50,1.55,2.25,0.50,2.60,1.44,1,1,1,3.20,0,0
14,2.45,1.74,8.50,3.45,2.00,1.50,1.54,2.25,0.50,2.55,1.45,1,1,1,3.15,0,0
15,2.45,1.75,8.50,3.45,2.05,1.50,1.53,2.30,0.50,2.50,1.46,1,1,1,3.15,0,0
16,2.45,1.75,8.00,3.45,2.05,1.50,1.51,2.35,0.50,2.50,1.47,1,1,1,3.10,0,0
17,2.50,1.76,8.00,3.45,2.05,1.50,1.50,2.40,0.50,2.45,1.48,1,1,1,3.10,0,0
18,2.50,1.76,8.00,3.50,2.10,1.50,1.49,2.40,0.50,2.40,1.49,1,1,1,3.10,0,0
19,2.50,1.77,7.50,3.50,2.10,1.50,1.48,2.45,0.50,2.40,1.50,1,1,1,3.05,0,0
20,2.50,1.78,7.00,3.50,2.10,1.50,1.46,2.50,0.50,2.35,1.51,1,1,1,3.00,0,0
21,2.50,1.78,7.00,3.50,2.10,1.50,1.45,2.55,0.50,2.30,1.52,1,1,1,3.00,0,0
22,2.50,1.79,7.00,3.50,2.10,1.50,1.44,2.60,0.50,2.30,1.53,1.50,2.50,1.47,3.00,0,0
23,2.55,1.80,6.50,3.50,2.10,1.50,1.43,2.65,0.50,2.25,1.55,1.50,2.40,1.49,2.95,0,0
24,2.55,1.81,6.50,3.50,2.15,1.50,1.42,2.70,0.50,2.20,1.56,1.50,2.40,1.50,2.95,0,0
25,2.55,1.81,6.50,3.50,2.15,1.50,1.40,2.70,0.50,2.20,1.57,1.50,2.35,1.52,2.90,0,0
26,2.55,1.82,6.00,3.55,2.15,1.50,1.39,2.75,0.50,2.15,1.58,1.50,2.30,1.53,2.90,0,0
27,2.60,1.83,6.00,3.55,2.20,1.50,1.38,2.80,0.50,2.15,1.59,1.50,2.25,1.55,2.90,0,0
28,2.60,1.83,6.00,1.64,5.00,1.50,1.37,2.85,1.50,2.10,1.61,1,1,1,3.40,0,1
29,2.60,1.83,6.00,1.77,3.95,1.50,1.46,2.50,1.50,1.98,1.69,1,1,1,3.50,0,1
30,2.60,1.83,6.00,1.76,4.00,1.50,1.45,2.55,1.50,1.95,1.71,1,1,1,3.45,0,1
31,2.60,1.83,6.00,1.75,4.10,1.50,1.43,2.60,1.50,1.93,1.73,1,1,1,3.45,0,1
32,2.60,1.83,6.00,1.74,4.15,1.50,1.42,2.65,1.50,1.90,1.75,1,1,1,3.45,0,1
33,2.60,1.83,6.00,1.73,4.20,1.50,1.41,2.70,1.50,1.88,1.76,1,1,1,3.45,0,1
34,2.60,1.83,6.00,1.73,4.30,1.50,1.39,2.75,1.50,1.86,1.79,1,1,1,3.40,0,1
35,2.60,1.83,6.00,1.72,4.20,1.50,1.41,2.70,1.50,1.93,1.73,1,1,1,3.45,0,1
36,2.60,1.83,6.00,1.71,4.30,1.50,1.40,2.75,1.50,1.90,1.75,1,1,1,3.45,0,1
37,2.60,1.83,6.00,1.70,4.40,1.50,1.38,2.80,1.50,1.88,1.77,1,1,1,3.45,0,1
38,2.60,1.83,6.00,1.70,4.45,1.50,1.37,2.85,1.50,1.85,1.79,1,1,1,3.45,0,1
39,2.60,1.83,6.00,1.69,4.55,0.50,2.90,1.37,1.50,1.83,1.81,1,1,1,3.45,0,1
40,2.60,1.83,6.00,1.68,4.60,0.50,2.85,1.38,1.50,1.80,1.84,1,1,1,3.45,0,1
41,2.60,1.83,6.00,1.67,4.70,0.50,2.80,1.39,1.50,1.78,1.87,1,1,1,3.40,0,1
42,2.60,1.83,6.00,1.67,4.70,0.50,2.80,1.38,1.50,1.82,1.82,1,1,1,3.45,0,1
43,2.60,1.83,6.00,1.66,4.75,0.50,2.75,1.39,1.50,1.80,1.84,1,1,1,3.45,0,1
44,2.60,1.83,6.00,1.64,4.85,0.50,2.70,1.41,1.50,1.78,1.87,1,1,1,3.45,0,1
45,2.60,1.83,6.00,1.64,5.00,0.50,2.65,1.42,1.50,1.75,1.90,1,1,1,3.45,0,1
46,2.60,1.83,6.00,1.63,5.00,0.50,2.60,1.44,1.50,1.73,1.93,1,1,1,3.45,0,1
47,2.60,1.83,6.00,1.61,5.00,0.50,2.55,1.45,1.50,1.71,1.96,1,1,1,3.40,0,1
48,2.60,1.83,6.00,1.61,5.00,0.50,2.50,1.45,1.50,1.72,1.94,1,1,1,3.45,0,1
49,2.60,1.83,6.00,1.60,5.00,0.50,2.50,1.47,1.50,1.69,1.98,1,1,1,3.40,0,1
50,2.60,1.83,6.00,1.59,5.00,0.50,2.40,1.49,1.50,1.67,2.00,1,1,1,3.45,0,1
51,2.60,1.83,6.00,1.57,5.50,0.50,2.35,1.51,1.50,1.64,2.05,1,1,1,3.40,0,1
52,2.60,1.83,6.00,1.57,5.50,0.50,2.30,1.53,1.50,1.62,2.10,1,1,1,3.40,0,1
53,2.60,1.83,6.00,1.56,6.00,0.50,2.25,1.55,1.50,1.59,2.15,1,1,1,3.40,0,1
54,2.60,1.83,6.00,1.55,6.00,0.50,2.20,1.57,1.50,1.58,2.20,1,1,1,3.40,0,1
55,2.60,1.83,6.00,1.54,6.00,0.50,2.15,1.59,1.50,1.56,2.20,1,1,1,3.45,0,1
56,2.60,1.83,6.00,1.53,6.50,0.50,2.10,1.62,1.50,1.54,2.25,1,1,1,3.40,0,1
57,2.60,1.83,6.00,1.52,6.50,0.50,2.05,1.64,1.50,1.52,2.30,1,1,1,3.40,0,1
58,2.60,1.83,6.00,1.05,19.0,0.50,2.00,1.67,2.50,1.51,2.35,3.50,1.46,2.50,10.0,0,2
59,2.60,1.83,6.00,1.05,20.0,0.50,1.97,1.70,2.50,1.49,2.40,3.50,1.44,2.60,10.0,0,2
60,2.60,1.83,6.00,1.05,21.0,0.50,1.93,1.73,2.50,1.47,2.50,3.50,1.41,2.70,10.5,0,2
61,2.60,1.83,6.00,1.04,22.0,0.50,1.88,1.77,2.50,1.45,2.50,3.50,1.38,2.80,11.0,0,2
62,2.60,1.83,6.00,1.45,7.50,1.50,1.84,1.81,2.50,1.44,2.60,4.50,1.37,2.90,3.60,1,2
63,2.60,1.83,6.00,1.47,7.50,1.50,1.83,1.81,2.50,1.40,2.75,3.50,2.80,1.38,3.55,1,2
64,2.60,1.83,6.00,1.46,7.50,1.50,1.79,1.85,2.50,1.39,2.80,3.50,2.70,1.41,3.55,1,2
65,2.60,1.83,6.00,1.44,8.00,1.50,1.75,1.90,2.50,1.37,2.90,3.50,2.60,1.43,3.60,1,2
66,2.60,1.83,6.00,1.43,8.00,1.50,1.71,1.95,2.50,1.35,2.95,3.50,2.55,1.45,3.60,1,2
67,2.60,1.83,6.00,1.42,9.00,1.50,1.67,2.00,2.50,1.33,3.05,3.50,2.45,1.48,3.65,1,2
68,2.60,1.83,6.00,1.41,9.00,1.50,1.64,2.05,2.50,1.32,3.10,3.50,2.35,1.51,3.65,1,2
69,2.60,1.83,6.00,1.39,9.50,1.50,1.60,2.10,2.50,1.30,3.20,3.50,2.25,1.54,3.70,1,2
70,2.60,1.83,6.00,1.38,10.0,1.50,1.57,2.20,2.50,1.28,3.30,3.50,2.20,1.57,3.75,1,2
71,2.60,1.83,6.00,1.36,10.5,1.50,1.54,2.25,2.50,1.26,3.40,3.50,2.10,1.61,3.80,1,2
72,2.60,1.83,6.00,1.35,11.0,1.50,1.52,2.30,2.50,1.25,3.50,3.50,2.00,1.65,3.85,1,2
73,2.60,1.83,6.00,1.34,11.5,1.50,1.49,2.40,2.50,1.23,3.65,3.50,1.97,1.70,3.90,1,2
74,2.60,1.83,6.00,1.32,12.0,1.50,1.46,2.50,2.50,1.21,3.75,3.50,1.90,1.75,3.95,1,2
75,2.60,1.83,6.00,1.30,13.0,1.50,1.44,2.60,2.50,1.19,3.90,3.50,1.83,1.81,4.05,1,2
76,2.60,1.83,6.00,1.28,13.0,1.50,1.41,2.70,2.50,1.17,4.10,3.50,1.76,1.89,4.10,1,2
77,2.60,1.83,6.00,1.26,14.0,1.50,1.38,2.80,2.50,1.16,4.30,3.50,1.70,1.97,4.20,1,2
78,2.60,1.83,6.00,1.24,15.0,1.50,1.35,2.95,2.50,1.14,4.50,3.50,1.64,2.05,4.35,1,2
79,2.60,1.83,6.00,1.23,16.0,1.50,1.32,3.10,2.50,1.12,4.75,3.50,1.59,2.15,4.50,1,2
80,2.60,1.83,6.00,1.20,17.0,1.50,1.29,3.25,2.50,1.11,5.00,3.50,1.54,2.25,4.65,1,2
81,2.60,1.83,6.00,1.18,19.0,1.50,1.26,3.40,2.50,1.09,5.00,3.50,1.50,2.40,4.80,1,2
82,2.60,1.83,6.00,1.17,22.0,1.50,1.23,3.60,2.50,1.08,5.50,3.50,1.46,2.50,4.75,1,2
83,2.60,1.83,6.00,1.15,24.0,1.50,1.20,3.85,2.50,1.07,6.00,3.50,1.41,2.70,5.00,1,2
84,2.60,1.83,6.00,1.13,26.0,1.50,1.17,4.10,2.50,1.06,6.50,3.50,1.37,2.85,5.00,1,2
85,2.60,1.83,6.00,1.11,30.0,1.50,1.14,4.45,2.50,1.05,7.00,3.50,1.33,3.10,5.50,1,2
86,2.60,1.83,6.00,1.09,34.0,1.50,1.12,4.85,2.50,1.05,8.00,3.50,1.28,3.30,6.00,1,2
87,2.60,1.83,6.00,1.07,37.0,1.50,1.09,5.00,2.50,1.04,8.50,3.50,1.23,3.60,6.00,1,2
88,2.60,1.83,6.00,1.06,42.0,1.50,1.07,6.00,2.50,1.04,9.50,3.50,1.19,4.00,7.00,1,2
89,2.60,1.83,6.00,1.05,52.0,1,1,1,1,1,1,1,1,1,8.00,1,2
90,2.60,1.83,6.00,1.05,52.0,1,1,1,1,1,1,1,1,1,8.00,1,2
91,2.60,1.83,6.00,1.05,52.0,1,1,1,1,1,1,1,1,1,8.00,1,2
92,2.60,1.83,6.00,1.05,52.0,1,1,1,1,1,1,1,1,1,8.00,1,2
93,2.60,1.83,6.00,1.05,52.0,1,1,1,1,1,1,1,1,1,8.00,1,2
94,2.60,1.83,6.00,1.05,52.0,1,1,1,1,1,1,1,1,1,8.00,1,2
95,2.60,1.83,6.00,1.05,52.0,1,1,1,1,1,1,1,1,1,8.00,1,2
