min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.54,2.65,14.0,1.65,4.25,1.50,1.37,2.85,1.50,2.20,1.56,1,1,1,3.75,0,0
2,1.54,2.65,14.0,1.65,4.25,1.50,1.37,2.85,1.50,2.20,1.56,1,1,1,3.75,0,0
3,1.54,2.65,14.0,1.65,4.25,1.50,1.37,2.85,1.50,2.20,1.56,1,1,1,3.75,0,0
4,1.54,2.65,14.0,1.65,4.25,1.50,1.37,2.85,1.50,2.20,1.56,1,1,1,3.75,0,0
5,1.54,2.65,14.0,1.27,9.00,1.50,1.43,2.60,2.50,2.05,1.65,3.50,2.25,1.54,5.00,0,1
6,1.54,2.65,14.0,1.27,9.00,1.50,1.43,2.65,2.50,2.00,1.67,3.50,2.20,1.56,5.00,0,1
7,1.54,2.65,14.0,1.27,9.50,1.50,1.42,2.70,2.50,1.99,1.68,3.50,2.15,1.58,5.00,0,1
8,1.54,2.65,14.0,1.27,9.50,1.50,1.41,2.70,2.50,1.96,1.70,3.50,2.10,1.60,5.00,0,1
9,1.54,2.65,14.0,1.27,9.50,1.50,1.40,2.75,2.50,1.93,1.72,3.50,2.10,1.62,5.00,0,1
10,1.54,2.65,14.0,1.27,9.50,1.50,1.39,2.80,2.50,1.90,1.75,3.50,2.05,1.64,5.00,0,1
11,1.54,2.65,14.0,1.27,9.50,1.50,1.38,2.85,2.50,1.88,1.77,3.50,2.00,1.66,5.00,0,1
12,1.54,2.65,14.0,1.27,9.50,1.50,1.37,2.85,2.50,1.85,1.79,3.50,1.99,1.69,5.00,0,1
13,1.54,2.65,14.0,1.27,9.50,0.50,2.90,1.37,2.50,1.82,1.82,3.50,1.95,1.71,4.95,0,1
14,1.54,2.65,14.0,1.27,9.50,0.50,2.85,1.37,2.50,1.80,1.84,3.50,1.91,1.74,4.95,0,1
15,1.54,2.65,14.0,1.27,10.0,0.50,2.80,1.38,2.50,1.78,1.87,3.50,1.88,1.77,4.90,0,1
16,1.54,2.65,14.0,1.28,10.0,0.50,2.80,1.39,2.50,1.76,1.89,3.50,1.85,1.79,4.90,0,1
17,1.54,2.65,14.0,1.28,10.0,0.50,2.75,1.40,2.50,1.73,1.92,3.50,1.82,1.82,4.90,0,1
18,1.54,2.65,14.0,1.27,10.0,0.50,2.70,1.41,2.50,1.71,1.95,3.50,1.78,1.86,4.90,0,1
19,1.54,2.65,14.0,1.27,10.0,0.50,2.65,1.42,2.50,1.69,1.98,3.50,1.75,1.90,4.85,0,1
20,1.54,2.65,14.0,1.27,10.0,0.50,2.65,1.43,2.50,1.67,2.00,3.50,1.72,1.94,4.85,0,1
21,1.54,2.65,14.0,1.27,10.5,0.50,2.60,1.44,2.50,1.65,2.00,3.50,1.69,1.98,4.85,0,1
22,1.54,2.65,14.0,1.27,10.5,0.50,2.55,1.45,2.50,1.63,2.05,3.50,1.66,2.00,4.80,0,1
23,1.54,2.65,14.0,1.27,10.5,0.50,2.50,1.46,2.50,1.61,2.10,3.50,1.63,2.05,4.80,0,1
24,1.54,2.65,14.0,1.26,10.5,0.50,2.50,1.47,2.50,1.59,2.15,3.50,1.61,2.10,4.80,0,1
25,1.54,2.65,14.0,1.26,10.5,0.50,2.45,1.48,2.50,1.57,2.20,3.50,1.59,2.15,4.75,0,1
26,1.54,2.65,14.0,1.26,11.0,0.50,2.40,1.49,2.50,1.56,2.20,3.50,1.57,2.20,4.75,0,1
27,1.54,2.65,14.0,1.26,11.0,0.50,2.40,1.50,2.50,1.54,2.25,3.50,1.55,2.25,4.75,0,1
28,1.54,2.65,14.0,1.26,11.0,0.50,2.35,1.51,2.50,1.53,2.30,3.50,1.52,2.30,4.70,0,1
29,1.54,2.65,14.0,1.33,9.00,0.50,2.50,1.47,2.50,1.46,2.50,3.50,1.51,2.35,4.35,0,1
30,1.54,2.65,14.0,1.33,9.50,0.50,2.45,1.48,2.50,1.45,2.55,3.50,1.49,2.40,4.35,0,1
