min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.50,1.81,7.00,3.30,2.10,1.50,1.38,2.80,0.50,2.15,1.58,1.50,2.35,1.51,3.15,0,0
2,2.50,1.81,7.00,3.30,2.10,1.50,1.38,2.80,0.50,2.15,1.58,1.50,2.35,1.51,3.15,0,0
3,2.50,1.81,7.00,3.30,2.10,1.50,1.38,2.80,0.50,2.15,1.58,1.50,2.35,1.51,3.15,0,0
4,2.50,1.81,7.00,3.30,2.10,1.50,1.38,2.80,0.50,2.15,1.58,1.50,2.35,1.51,3.15,0,0
5,2.55,1.84,6.00,3.40,2.15,0.50,2.80,1.39,0.50,2.00,1.65,1.50,2.15,1.59,3.05,0,0
6,2.60,1.84,6.00,3.40,2.15,0.50,2.75,1.40,0.50,2.00,1.66,1.50,2.10,1.60,3.00,0,0
7,2.60,1.85,5.50,3.40,2.15,0.50,2.70,1.40,0.50,2.00,1.67,1.50,2.10,1.62,3.00,0,0
8,2.60,1.86,5.50,3.40,2.15,0.50,2.70,1.41,0.50,1.99,1.69,1.50,2.05,1.64,3.00,0,0
9,2.60,1.87,5.50,3.40,2.15,0.50,2.65,1.42,0.50,1.97,1.70,1.50,2.00,1.66,2.95,0,0
10,2.60,1.88,5.00,3.40,2.20,0.50,2.60,1.43,0.50,1.94,1.72,1.50,2.00,1.68,2.95,0,0
11,2.65,1.89,5.00,3.40,2.20,0.50,2.60,1.44,0.50,1.93,1.73,1.50,1.97,1.70,2.90,0,0
12,2.65,1.90,5.00,3.45,2.20,0.50,2.55,1.45,0.50,1.91,1.74,1.50,1.93,1.72,2.90,0,0
13,2.65,1.91,5.00,3.45,2.20,0.50,2.50,1.46,0.50,1.89,1.76,1.50,1.91,1.74,2.85,0,0
14,2.70,1.93,4.90,3.50,2.25,0.50,2.50,1.47,0.50,1.87,1.77,1.50,1.86,1.78,2.75,0,0
15,2.70,1.94,4.80,3.50,2.25,0.50,2.45,1.48,0.50,1.85,1.79,1.50,1.83,1.81,2.75,0,0
16,2.70,1.95,4.70,3.50,2.30,0.50,2.40,1.49,0.50,1.84,1.81,1.50,1.81,1.83,2.70,0,0
17,2.70,1.96,4.60,3.50,2.30,0.50,2.40,1.50,0.50,1.82,1.82,1.50,1.78,1.86,2.70,0,0
18,2.75,1.97,4.50,3.50,2.30,0.50,2.35,1.51,0.50,1.80,1.84,1.50,1.76,1.89,2.70,0,0
19,2.75,1.98,4.40,3.55,2.30,0.50,2.35,1.51,0.50,1.79,1.86,1.50,1.74,1.92,2.65,0,0
20,2.75,2.00,4.30,3.60,2.35,0.50,2.30,1.53,0.50,1.77,1.88,1.50,1.71,1.95,2.65,0,0
21,2.80,2.00,4.25,3.60,2.35,0.50,2.30,1.54,0.50,1.75,1.90,1.50,1.69,1.99,2.60,0,0
22,2.80,2.00,4.15,3.60,2.35,0.50,2.25,1.55,0.50,1.74,1.92,1.50,1.67,2.00,2.60,0,0
23,2.80,2.00,4.05,3.60,2.35,0.50,2.20,1.56,0.50,1.72,1.94,1.50,1.65,2.00,2.55,0,0
24,2.80,2.00,4.00,3.60,2.40,0.50,2.20,1.57,0.50,1.70,1.96,1.50,1.63,2.05,2.55,0,0
25,2.85,2.05,3.90,3.65,2.40,0.50,2.15,1.59,0.50,1.69,1.98,1.50,1.61,2.10,2.50,0,0
26,2.85,2.05,3.85,3.65,2.40,0.50,2.10,1.60,0.50,1.68,2.00,1.50,1.59,2.15,2.50,0,0
27,2.90,2.05,3.75,3.65,2.45,0.50,2.10,1.61,0.50,1.66,2.00,1.50,1.57,2.20,2.50,0,0
28,2.90,2.10,3.70,3.65,2.45,0.50,2.05,1.63,0.50,1.65,2.00,1.50,1.56,2.20,2.45,0,0
29,2.90,2.10,3.60,3.70,2.45,0.50,2.05,1.64,0.50,1.63,2.05,1.50,1.54,2.25,2.45,0,0
30,2.95,2.10,3.55,3.70,2.50,0.50,2.00,1.65,0.50,1.62,2.10,1.50,1.52,2.30,2.40,0,0
31,2.95,2.15,3.50,3.70,2.50,0.50,2.00,1.67,0.50,1.60,2.10,1.50,1.51,2.35,2.40,0,0
32,3.00,2.15,3.40,3.70,2.50,0.50,1.98,1.69,0.50,1.59,2.15,1.50,1.49,2.40,2.35,0,0
33,3.00,2.15,3.35,3.75,2.50,0.50,1.95,1.71,0.50,1.58,2.15,1.50,1.48,2.45,2.35,0,0
34,3.00,2.20,3.30,3.80,2.55,0.50,1.93,1.73,0.50,1.57,2.20,1.50,1.46,2.50,2.30,0,0
35,3.60,1.81,3.65,4.95,2.00,0.50,2.35,1.51,0.50,1.47,2.50,1.50,1.55,2.25,2.50,0,0
36,3.60,1.83,3.55,4.95,2.00,0.50,2.30,1.53,0.50,1.46,2.50,1.50,1.52,2.30,2.50,0,0
37,4.55,1.95,2.75,6.00,2.10,0.50,1.99,1.68,0.50,1.28,3.30,0.50,2.75,1.39,2.20,0,0
38,4.60,1.97,2.70,6.00,2.10,0.50,1.96,1.71,0.50,1.27,3.35,0.50,2.70,1.41,2.15,0,0
39,4.60,1.99,2.65,6.00,2.15,0.50,1.93,1.73,0.50,1.27,3.40,0.50,2.65,1.42,2.10,0,0
40,4.65,2.00,2.60,6.00,2.15,0.50,1.90,1.75,0.50,1.26,3.45,0.50,2.60,1.43,2.10,0,0
41,4.70,2.00,2.55,6.00,2.20,0.50,1.87,1.77,0.50,1.25,3.50,0.50,2.55,1.44,2.05,0,0
42,4.75,2.05,2.50,6.00,2.20,0.50,1.85,1.79,0.50,1.24,3.55,0.50,2.50,1.46,2.05,0,0
43,4.80,2.05,2.50,6.00,2.25,0.50,1.82,1.82,0.50,1.24,3.60,0.50,2.50,1.47,2.00,0,0
44,4.90,2.10,2.40,6.00,2.25,0.50,1.80,1.84,0.50,1.23,3.65,0.50,2.40,1.49,2.00,0,0
45,4.10,2.30,2.40,5.00,2.60,0.50,1.68,2.00,0.50,1.30,3.20,0.50,2.40,1.50,1.94,0,0
46,4.15,2.35,2.35,5.00,2.60,0.50,1.66,2.00,0.50,1.29,3.25,0.50,2.35,1.51,1.92,0,0
47,4.20,2.40,2.30,5.00,2.65,0.50,1.64,2.05,0.50,1.28,3.30,0.50,2.30,1.53,1.89,0,0
48,4.30,2.40,2.25,5.00,2.65,0.50,1.62,2.10,0.50,1.27,3.40,0.50,2.25,1.55,1.87,0,0
49,4.35,2.45,2.20,5.00,2.70,0.50,1.60,2.10,0.50,1.26,3.40,0.50,2.20,1.57,1.84,0,0
50,4.40,2.50,2.15,5.00,2.70,0.50,1.58,2.15,0.50,1.25,3.50,0.50,2.15,1.59,1.82,0,0
51,4.45,2.55,2.10,5.50,2.80,0.50,1.56,2.20,0.50,1.24,3.55,0.50,2.10,1.61,1.80,0,0
52,4.50,2.60,2.05,5.50,2.80,0.50,1.55,2.25,0.50,1.23,3.60,0.50,2.05,1.63,1.77,0,0
53,4.60,2.60,2.00,5.50,2.85,0.50,1.53,2.30,0.50,1.22,3.70,0.50,2.00,1.66,1.75,0,0
54,4.65,2.65,1.99,5.50,2.90,0.50,1.51,2.35,0.50,1.21,3.75,0.50,1.99,1.68,1.73,0,0
55,4.70,2.70,1.95,5.50,2.90,0.50,1.50,2.40,0.50,1.20,3.80,0.50,1.95,1.71,1.71,0,0
56,4.80,2.75,1.91,5.50,2.95,0.50,1.48,2.45,0.50,1.20,3.90,0.50,1.91,1.74,1.68,0,0
57,4.35,2.65,2.05,5.00,2.90,0.50,1.52,2.30,0.50,1.25,3.50,0.50,2.05,1.64,1.76,0,0
58,4.45,2.70,2.00,5.00,2.95,0.50,1.51,2.35,0.50,1.24,3.60,0.50,2.00,1.67,1.73,0,0
59,4.50,2.75,1.97,5.00,3.00,0.50,1.49,2.40,0.50,1.22,3.65,0.50,1.97,1.70,1.71,0,0
60,4.60,2.80,1.92,5.50,3.05,0.50,1.47,2.50,0.50,1.21,3.75,0.50,1.92,1.73,1.68,0,0
61,4.70,2.85,1.88,5.50,3.10,0.50,1.45,2.50,0.50,1.20,3.85,0.50,1.88,1.77,1.66,0,0
62,4.80,2.90,1.84,5.50,3.15,0.50,1.44,2.60,0.50,1.19,3.95,0.50,1.84,1.81,1.64,0,0
63,4.90,2.95,1.79,5.50,3.20,0.50,1.42,2.65,0.50,1.18,4.05,0.50,1.79,1.85,1.62,0,0
64,5.00,3.00,1.76,6.00,3.25,0.50,1.41,2.70,0.50,1.17,4.15,0.50,1.76,1.89,1.60,0,0
65,5.00,3.00,1.76,32.0,1.07,1.50,1.39,2.80,0.50,1.16,4.30,1.50,1.72,1.94,6.50,1,0
66,5.00,3.00,1.76,33.0,1.07,1.50,1.37,2.85,0.50,1.15,4.40,1.50,1.68,2.00,7.00,1,0
67,5.00,3.00,1.76,36.0,1.07,1.50,1.36,2.95,0.50,1.14,4.50,1.50,1.65,2.00,7.00,1,0
68,5.00,3.00,1.76,31.0,1.08,1.50,1.38,2.85,0.50,1.17,4.15,1.50,1.71,1.95,6.50,1,0
69,5.00,3.00,1.76,32.0,1.07,1.50,1.36,2.90,0.50,1.16,4.30,1.50,1.67,2.00,6.50,1,0
70,5.00,3.00,1.76,34.0,1.07,1.50,1.34,3.00,0.50,1.14,4.45,1.50,1.63,2.05,6.50,1,0
71,5.00,3.00,1.76,35.0,1.07,1.50,1.32,3.10,0.50,1.13,4.60,1.50,1.60,2.10,7.00,1,0
72,5.00,3.00,1.76,37.0,1.06,1.50,1.30,3.20,0.50,1.12,4.75,1.50,1.57,2.20,7.00,1,0
73,5.00,3.00,1.76,39.0,1.06,1.50,1.28,3.30,0.50,1.11,4.90,1.50,1.54,2.25,7.00,1,0
74,5.00,3.00,1.76,40.0,1.06,1.50,1.26,3.40,0.50,1.10,5.00,1.50,1.51,2.35,7.50,1,0
75,5.00,3.00,1.76,41.0,1.05,1.50,1.24,3.55,0.50,1.09,5.00,1.50,1.48,2.45,7.50,1,0
76,5.00,3.00,1.76,7.00,4.30,1.50,1.22,3.70,1.50,1.08,5.50,1,1,1,1.39,1,1
77,5.00,3.00,1.76,7.50,4.45,1.50,1.20,3.90,1.50,1.07,6.00,1,1,1,1.36,1,1
78,5.00,3.00,1.76,8.00,4.65,1.50,1.18,4.05,1.50,1.07,6.00,1,1,1,1.34,1,1
79,5.00,3.00,1.76,8.00,4.85,1.50,1.16,4.25,1.50,1.06,6.50,1,1,1,1.31,1,1
80,5.00,3.00,1.76,8.50,5.00,1.50,1.14,4.50,1.50,1.05,7.00,1,1,1,1.29,1,1
81,5.00,3.00,1.76,9.00,5.00,1.50,1.12,4.75,1.50,1.05,7.50,1,1,1,1.26,1,1
82,5.00,3.00,1.76,9.50,5.50,1.50,1.10,5.00,1.50,1.04,8.00,1,1,1,1.23,1,1
83,5.00,3.00,1.76,10.0,6.00,1.50,1.09,5.00,1.50,1.04,8.50,1,1,1,1.20,1,1
84,5.00,3.00,1.76,10.5,6.50,1.50,1.07,5.50,1.50,1.04,9.00,1,1,1,1.18,1,1
85,5.00,3.00,1.76,11.0,7.00,1.50,1.06,6.00,1.50,1.04,10.0,1,1,1,1.15,1,1
86,5.00,3.00,1.76,12.0,7.50,1.50,1.05,7.00,1,1,1,1,1,1,1.12,1,1
87,5.00,3.00,1.76,13.0,8.00,1.50,1.05,7.50,1,1,1,1,1,1,1.10,1,1
88,5.00,3.00,1.76,14.0,9.00,1.50,1.04,8.50,1,1,1,1,1,1,1.08,1,1
89,5.00,3.00,1.76,15.0,10.0,1,1,1,1,1,1,1,1,1,1.06,1,1
90,5.00,3.00,1.76,15.0,10.0,1,1,1,1,1,1,1,1,1,1.06,1,1
91,5.00,3.00,1.76,15.0,10.0,1,1,1,1,1,1,1,1,1,1.06,1,1
92,5.00,3.00,1.76,15.0,10.0,1,1,1,1,1,1,1,1,1,1.06,1,1
