min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
9,2.10,2.10,6.50,2.70,2.70,0.50,2.65,1.42,0.50,2.65,1.42,1.50,2.40,1.50,2.90,0,0
10,2.10,2.10,6.50,6.50,1.43,1.50,2.60,1.43,0.50,2.60,1.43,1,1,1,4.15,1,0
11,2.10,2.10,6.50,6.50,1.43,1.50,2.60,1.44,0.50,2.60,1.44,1,1,1,4.15,1,0
12,2.10,2.10,6.50,6.50,1.42,1.50,2.55,1.45,0.50,2.55,1.45,1,1,1,4.15,1,0
13,2.10,2.10,6.50,6.50,1.42,1.50,2.50,1.46,0.50,2.50,1.46,1,1,1,4.15,1,0
14,2.10,2.10,6.50,6.50,1.41,1.50,2.50,1.47,0.50,2.50,1.47,1,1,1,4.10,1,0
15,2.10,2.10,6.50,7.00,1.41,1.50,2.45,1.48,0.50,2.45,1.48,1,1,1,4.10,1,0
16,2.10,2.10,6.50,7.00,1.41,1.50,2.40,1.49,0.50,2.40,1.49,1,1,1,4.10,1,0
17,2.10,2.10,6.50,7.00,1.41,1.50,2.40,1.50,0.50,2.40,1.50,1,1,1,4.10,1,0
18,2.10,2.10,6.50,7.00,1.40,1.50,2.35,1.51,0.50,2.35,1.51,1,1,1,4.10,1,0
19,2.10,2.10,6.50,7.00,1.40,1.50,2.35,1.51,0.50,2.35,1.51,1,1,1,4.10,1,0
20,2.10,2.10,6.50,2.75,2.75,1.50,2.30,1.53,1.50,2.30,1.53,3.50,2.00,1.66,2.85,1,1
21,2.10,2.10,6.50,2.75,2.75,1.50,2.30,1.54,1.50,2.30,1.54,3.50,1.99,1.68,2.80,1,1
22,2.10,2.10,6.50,2.75,2.75,1.50,2.25,1.55,1.50,2.25,1.55,3.50,1.96,1.71,2.80,1,1
23,2.10,2.10,6.50,2.80,2.80,1.50,2.20,1.56,1.50,2.20,1.56,3.50,1.92,1.73,2.80,1,1
24,2.10,2.10,6.50,2.80,2.80,1.50,2.20,1.57,1.50,2.20,1.57,3.50,1.89,1.75,2.75,1,1
25,2.10,2.10,6.50,2.80,2.80,1.50,2.15,1.59,1.50,2.15,1.59,3.50,1.86,1.79,2.70,1,1
26,2.10,2.10,6.50,2.80,2.80,1.50,2.10,1.60,1.50,2.10,1.60,3.50,1.83,1.81,2.70,1,1
27,2.10,2.10,6.50,2.95,2.50,1.50,2.45,1.47,1.50,2.20,1.56,3.50,2.05,1.64,2.85,1,1
28,2.10,2.10,6.50,2.95,2.55,1.50,2.45,1.48,1.50,2.20,1.57,3.50,2.00,1.66,2.85,1,1
29,2.10,2.10,6.50,2.95,2.55,1.50,2.40,1.50,1.50,2.15,1.58,3.50,2.00,1.68,2.80,1,1
30,2.10,2.10,6.50,3.00,2.55,1.50,2.35,1.51,1.50,2.10,1.60,3.50,1.96,1.71,2.80,1,1
31,2.10,2.10,6.50,3.00,2.60,1.50,2.30,1.52,1.50,2.10,1.61,3.50,1.92,1.73,2.80,1,1
32,2.10,2.10,6.50,3.00,2.60,1.50,2.30,1.53,1.50,2.05,1.63,3.50,1.89,1.76,2.75,1,1
33,2.10,2.10,6.50,3.00,2.60,1.50,2.25,1.54,1.50,2.05,1.64,3.50,1.85,1.79,2.70,1,1
34,2.10,2.10,6.50,3.00,2.65,1.50,2.20,1.56,1.50,2.00,1.66,3.50,1.82,1.82,2.70,1,1
35,2.10,2.10,6.50,3.05,2.65,1.50,2.20,1.57,1.50,2.00,1.68,3.50,1.79,1.86,2.70,1,1
36,2.10,2.10,6.50,3.05,2.65,1.50,2.15,1.59,1.50,1.97,1.70,3.50,1.75,1.90,2.65,1,1
37,2.10,2.10,6.50,3.05,2.70,1.50,2.10,1.60,1.50,1.94,1.72,3.50,1.72,1.94,2.60,1,1
