min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.10,1.60,20.0,3.00,1.77,1.50,2.40,1.45,1.50,1.69,1.88,3.50,1.85,1.72,4.40,0,0
2,2.10,1.60,20.0,3.00,1.77,1.50,2.40,1.45,1.50,1.69,1.88,3.50,1.85,1.72,4.40,0,0
3,2.10,1.60,20.0,3.00,1.77,1.50,2.40,1.45,1.50,1.69,1.88,3.50,1.85,1.72,4.40,0,0
4,2.15,1.58,20.0,3.10,1.73,1.50,2.40,1.45,1.50,1.63,1.98,3.50,1.80,1.77,4.40,0,0
5,2.15,1.58,20.0,3.10,1.73,1.50,2.40,1.45,1.50,1.63,1.98,3.50,1.80,1.77,4.40,0,0
6,2.20,1.58,20.0,3.10,1.75,1.50,2.25,1.49,1.50,1.58,2.05,3.50,1.70,1.88,4.30,0,0
7,2.20,1.58,20.0,3.10,1.76,1.50,2.20,1.50,1.50,1.57,2.10,3.50,1.67,1.91,4.30,0,0
8,2.20,1.58,20.0,3.10,1.76,1.50,2.20,1.52,1.50,1.55,2.10,3.50,1.64,1.96,4.25,0,0
9,2.20,1.59,20.0,3.10,1.76,1.50,2.15,1.53,1.50,1.54,2.15,3.50,1.62,2.00,4.20,0,0
10,2.20,1.59,20.0,3.10,1.77,1.50,2.10,1.55,1.50,1.53,2.15,3.50,1.59,2.00,4.20,0,0
11,2.20,1.59,20.0,3.10,1.78,1.50,2.10,1.56,1.50,1.51,2.20,3.50,1.57,2.05,4.15,0,0
12,2.20,1.59,20.0,3.10,1.78,1.50,2.05,1.58,1.50,1.50,2.25,3.50,1.55,2.10,4.10,0,0
13,2.20,1.59,20.0,3.10,1.78,1.50,2.00,1.60,1.50,1.49,2.30,3.50,1.53,2.15,4.10,0,0
14,2.20,1.62,19.0,3.00,1.83,1.50,1.94,1.66,1.50,1.47,2.30,3.50,1.48,2.30,4.00,0,0
15,2.20,1.62,18.0,3.05,1.83,1.50,1.91,1.68,1.50,1.46,2.35,1,1,1,4.00,0,0
16,2.20,1.62,17.0,1.83,3.00,1.50,2.00,1.62,2.50,1.39,2.60,3.50,2.25,1.50,4.10,0,1
17,2.20,1.62,17.0,1.82,3.05,1.50,1.97,1.64,2.50,1.38,2.65,3.50,2.20,1.52,4.05,0,1
18,2.20,1.62,17.0,1.81,3.05,1.50,1.94,1.66,2.50,1.37,2.70,3.50,2.15,1.54,4.05,0,1
19,2.20,1.62,17.0,1.80,3.10,1.50,1.90,1.68,2.50,1.36,2.70,3.50,2.10,1.56,4.00,0,1
20,2.20,1.62,17.0,1.80,3.10,1.50,1.87,1.70,2.50,1.35,2.75,3.50,2.05,1.58,4.00,0,1
21,2.20,1.62,17.0,1.79,3.15,1.50,1.84,1.73,2.50,1.34,2.80,3.50,2.00,1.61,4.00,0,1
22,2.20,1.62,17.0,1.79,3.20,1.50,1.81,1.75,1.50,2.80,1.34,3.50,1.98,1.63,4.00,0,1
23,2.20,1.62,17.0,1.78,3.20,1.50,1.78,1.78,1.50,2.80,1.34,3.50,1.93,1.66,3.95,0,1
24,2.20,1.62,17.0,1.77,3.25,1.50,1.76,1.81,1.50,2.75,1.35,3.50,1.89,1.69,3.95,0,1
25,2.20,1.62,17.0,1.76,3.30,1.50,1.73,1.84,1.50,2.70,1.36,3.50,1.85,1.72,3.95,0,1
26,2.20,1.62,17.0,1.75,3.30,1.50,1.70,1.87,1.50,2.65,1.37,3.50,1.81,1.75,3.90,0,1
27,2.20,1.62,17.0,1.74,3.35,1.50,1.68,1.90,1.50,2.60,1.39,3.50,1.77,1.79,3.90,0,1
28,2.20,1.62,17.0,1.74,3.35,1.50,1.66,1.93,1.50,2.60,1.40,3.50,1.74,1.83,3.90,0,1
29,2.20,1.62,17.0,1.73,3.40,1.50,1.63,1.97,1.50,2.50,1.41,3.50,1.70,1.87,3.85,0,1
30,2.20,1.62,17.0,1.72,3.45,1.50,1.61,2.00,1.50,2.50,1.42,3.50,1.67,1.91,3.85,0,1
31,2.20,1.62,17.0,1.71,3.50,1.50,1.59,2.00,1.50,2.45,1.43,3.50,1.64,1.96,3.80,0,1
32,2.20,1.62,17.0,1.70,3.50,1.50,1.57,2.05,1.50,2.40,1.44,3.50,1.61,2.00,3.80,0,1
33,2.20,1.62,17.0,1.70,3.60,1.50,1.55,2.10,1.50,2.40,1.45,3.50,1.59,2.05,3.80,0,1
34,2.20,1.62,17.0,1.69,3.60,1.50,1.53,2.15,1.50,2.35,1.47,3.50,1.56,2.10,3.80,0,1
35,2.20,1.62,17.0,1.69,3.70,1.50,1.51,2.20,1.50,2.30,1.48,3.50,1.53,2.15,3.75,0,1
36,2.20,1.62,17.0,1.68,3.70,1.50,1.49,2.25,1.50,2.25,1.49,3.50,1.51,2.20,3.75,0,1
37,2.20,1.62,17.0,1.66,3.75,1.50,1.48,2.30,1.50,2.20,1.51,3.50,1.48,2.30,3.70,0,1
38,2.20,1.62,17.0,2.95,2.20,1.50,2.85,1.33,1.50,2.30,1.48,3.50,2.40,1.45,3.10,1,1
39,2.20,1.62,17.0,3.00,2.20,1.50,2.80,1.34,1.50,2.25,1.49,3.50,2.30,1.47,3.10,1,1
40,2.20,1.62,17.0,3.00,2.20,1.50,2.75,1.36,1.50,2.20,1.50,3.50,2.25,1.49,3.05,1,1
41,2.20,1.62,17.0,3.00,2.25,1.50,2.70,1.37,1.50,2.20,1.52,3.50,2.20,1.51,3.05,1,1
42,2.20,1.62,17.0,3.00,2.25,1.50,2.60,1.38,1.50,2.15,1.53,3.50,2.15,1.54,3.00,1,1
43,2.20,1.62,17.0,3.00,2.30,1.50,2.60,1.40,1.50,2.10,1.55,3.50,2.10,1.56,3.00,1,1
44,2.20,1.62,17.0,3.00,2.30,1.50,2.50,1.41,1.50,2.10,1.57,3.50,2.00,1.59,2.95,1,1
