min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
3,2.45,1.43,20.0,4.10,1.46,2.50,1.65,1.85,1.50,1.58,1.96,3.50,2.05,1.53,4.30,0,0
4,2.45,1.43,20.0,4.10,1.46,2.50,1.65,1.85,1.50,1.58,1.96,3.50,2.05,1.53,4.30,0,0
5,2.45,1.43,20.0,4.10,1.46,2.50,1.65,1.85,1.50,1.58,1.96,3.50,2.05,1.53,4.30,0,0
6,2.45,1.44,20.0,4.10,1.47,2.50,1.63,1.88,1.50,1.56,1.99,3.50,2.00,1.55,4.30,0,0
7,2.70,1.37,20.0,5.00,1.37,2.50,1.63,1.88,1.50,1.39,2.45,3.50,1.81,1.68,4.45,0,0
8,2.70,1.37,20.0,5.00,1.38,2.50,1.61,1.91,1.50,1.38,2.45,3.50,1.77,1.71,4.40,0,0
9,2.75,1.37,20.0,5.00,1.39,2.50,1.59,1.95,1.50,1.37,2.50,3.50,1.74,1.75,4.35,0,0
10,2.75,1.37,19.0,5.00,1.39,2.50,1.57,1.98,1.50,1.36,2.55,3.50,1.71,1.78,4.30,0,0
11,2.75,1.37,19.0,5.00,1.39,2.50,1.55,2.00,1.50,1.35,2.60,3.50,1.67,1.82,4.30,0,0
12,2.55,1.42,19.0,4.30,1.47,2.50,1.47,2.15,1.50,1.40,2.40,3.50,1.64,1.86,4.05,0,0
13,2.55,1.42,18.0,4.30,1.47,2.50,1.46,2.20,1.50,1.39,2.40,3.50,1.62,1.90,4.05,0,0
14,2.55,1.43,18.0,4.30,1.48,2.50,1.44,2.25,1.50,1.38,2.45,3.50,1.59,1.94,4.00,0,0
15,2.55,1.43,17.0,4.30,1.49,2.50,1.43,2.30,1.50,1.37,2.50,3.50,1.56,1.99,4.00,0,0
16,2.55,1.43,17.0,4.25,1.49,2.50,1.41,2.35,1.50,1.36,2.55,3.50,1.54,2.00,3.95,0,0
17,2.70,1.42,13.0,4.60,1.49,1.50,2.15,1.48,0.50,2.50,1.37,1,1,1,3.75,0,0
18,2.70,1.42,13.0,4.60,1.50,1.50,2.10,1.49,0.50,2.45,1.38,1,1,1,3.70,0,0
19,2.75,1.42,13.0,4.60,1.50,1.50,2.10,1.51,0.50,2.45,1.39,1,1,1,3.70,0,0
20,2.75,1.43,12.0,4.60,1.51,1.50,2.05,1.53,0.50,2.40,1.40,1,1,1,3.65,0,0
21,2.75,1.43,12.0,4.55,1.51,1.50,2.00,1.55,0.50,2.35,1.41,1,1,1,3.60,0,0
22,2.75,1.43,12.0,4.55,1.52,1.50,1.98,1.57,0.50,2.35,1.42,1,1,1,3.60,0,0
