min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
6,1.44,3.30,10.0,1.50,6.00,0.50,2.00,1.66,1.50,2.00,1.67,1,1,1,3.65,0,0
7,1.45,3.30,10.0,1.51,6.00,0.50,2.00,1.67,1.50,1.99,1.68,1,1,1,3.65,0,0
8,1.45,3.30,10.0,1.51,6.00,0.50,1.99,1.69,1.50,1.96,1.70,1,1,1,3.60,0,0
9,1.45,3.30,9.50,1.52,6.00,0.50,1.97,1.70,1.50,1.93,1.72,1,1,1,3.60,0,0
10,1.46,3.30,9.00,1.52,6.00,0.50,1.94,1.72,1.50,1.90,1.75,1,1,1,3.55,0,0
11,1.46,3.30,9.00,1.53,6.00,0.50,1.93,1.73,1.50,1.88,1.77,1,1,1,3.50,0,0
12,1.46,3.35,9.00,1.54,6.00,0.50,1.91,1.74,1.50,1.85,1.79,1,1,1,3.50,0,0
13,1.47,3.35,8.50,1.54,6.00,0.50,1.89,1.76,1.50,1.82,1.82,1,1,1,3.50,0,0
14,1.46,3.40,9.00,1.52,6.00,0.50,1.87,1.77,1.50,1.86,1.79,1,1,1,3.50,0,0
15,1.46,3.40,8.50,1.53,6.00,0.50,1.85,1.79,1.50,1.83,1.81,1,1,1,3.50,0,0
16,1.46,3.40,8.00,1.53,6.00,0.50,1.84,1.81,1.50,1.81,1.84,1,1,1,3.45,0,0
17,1.47,3.40,8.00,1.54,6.00,0.50,1.82,1.82,1.50,1.78,1.86,1,1,1,3.40,0,0
18,1.47,3.45,8.00,1.55,6.00,0.50,1.80,1.84,1.50,1.76,1.89,1,1,1,3.40,0,0
19,1.48,3.45,7.50,1.56,6.00,0.50,1.79,1.86,1.50,1.74,1.92,1,1,1,3.40,0,0
20,1.48,3.45,7.50,1.56,6.00,0.50,1.77,1.88,1.50,1.71,1.95,1,1,1,3.35,0,0
21,1.48,3.45,7.00,1.57,6.00,0.50,1.75,1.90,1.50,1.69,1.98,1,1,1,3.30,0,0
22,1.49,3.50,7.00,1.58,6.00,0.50,1.74,1.92,1.50,1.67,2.00,1,1,1,3.30,0,0
23,1.49,3.50,7.00,1.58,6.00,0.50,1.72,1.94,1.50,1.65,2.05,1.50,2.45,1.48,3.25,0,0
24,1.50,3.50,6.50,1.59,6.00,0.50,1.70,1.96,1.50,1.63,2.05,1.50,2.40,1.49,3.20,0,0
25,1.50,3.50,6.50,1.60,6.00,0.50,1.69,1.98,1.50,1.61,2.10,1.50,2.35,1.50,3.20,0,0
26,1.51,3.55,6.00,1.60,6.00,0.50,1.68,2.00,1.50,1.59,2.15,1.50,2.30,1.52,3.15,0,0
27,1.52,3.55,6.00,1.61,6.00,0.50,1.66,2.00,1.50,1.57,2.20,1.50,2.25,1.54,3.15,0,0
28,1.52,3.55,6.00,1.63,6.00,0.50,1.65,2.00,1.50,1.56,2.20,1.50,2.20,1.56,3.10,0,0
29,1.53,3.60,6.00,1.63,6.00,0.50,1.63,2.05,1.50,1.54,2.25,1.50,2.20,1.58,3.10,0,0
30,1.54,3.60,5.50,1.64,6.00,0.50,1.62,2.10,1.50,1.52,2.30,1.50,2.10,1.60,3.05,0,0
31,1.54,3.60,5.50,1.65,6.00,0.50,1.60,2.10,1.50,1.51,2.35,1.50,2.10,1.62,3.00,0,0
32,1.55,3.60,5.00,1.67,6.00,0.50,1.59,2.15,1.50,1.49,2.40,1.50,2.05,1.65,3.00,0,0
33,1.56,3.65,5.00,1.68,6.00,0.50,1.58,2.15,1.50,1.48,2.45,1.50,2.00,1.67,2.95,0,0
34,1.51,3.90,5.00,1.60,6.50,0.50,1.52,2.30,1.50,1.51,2.35,1.50,2.00,1.67,3.00,0,0
35,1.52,3.95,5.00,1.61,6.50,0.50,1.51,2.35,1.50,1.49,2.40,1.50,1.98,1.69,3.00,0,0
36,1.53,4.00,5.00,1.63,6.50,0.50,1.50,2.40,1.50,1.48,2.45,1.50,1.93,1.72,2.95,0,0
37,1.52,4.05,5.00,1.61,7.00,0.50,1.49,2.40,1.50,1.49,2.40,1.50,1.94,1.72,3.00,0,0
38,1.53,4.05,4.90,1.62,7.00,0.50,1.48,2.45,1.50,1.47,2.50,1.50,1.90,1.75,2.95,0,0
39,1.54,4.10,4.75,1.63,7.00,0.50,1.47,2.50,1.50,1.45,2.55,1.50,1.86,1.79,2.90,0,0
40,1.54,4.10,4.60,1.64,7.00,0.50,1.46,2.50,1.50,1.44,2.60,1.50,1.82,1.82,2.85,0,0
41,1.55,4.15,4.50,1.66,7.00,0.50,1.45,2.55,1.50,1.42,2.65,1.50,1.78,1.86,2.85,0,0
42,1.56,4.15,4.40,1.67,7.00,0.50,1.44,2.60,1.50,1.41,2.70,1.50,1.75,1.90,2.80,0,0
