min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,2.00,1.80,13.0,2.70,2.20,1.50,1.62,1.99,1.50,1.49,2.25,1,1,1,3.40,0,0
2,2.00,1.80,13.0,2.70,2.20,1.50,1.62,1.99,1.50,1.49,2.25,1,1,1,3.40,0,0
3,2.00,1.80,13.0,2.70,2.20,1.50,1.62,1.99,1.50,1.49,2.25,1,1,1,3.40,0,0
4,2.00,1.80,13.0,2.70,2.20,1.50,1.62,1.99,1.50,1.49,2.25,1,1,1,3.40,0,0
5,2.00,1.80,13.0,2.70,2.20,1.50,1.62,1.99,1.50,1.49,2.25,1,1,1,3.40,0,0
6,2.00,1.80,12.0,2.70,2.20,1.50,1.61,2.00,1.50,1.48,2.30,1,1,1,3.40,0,0
7,2.00,1.81,12.0,2.70,2.20,1.50,1.59,2.00,1.50,1.47,2.35,1,1,1,3.40,0,0
8,2.00,1.81,12.0,2.70,2.20,1.50,1.58,2.05,1.50,1.45,2.40,1,1,1,3.35,0,0
9,2.05,1.84,10.5,2.75,2.25,1.50,1.50,2.25,1.50,1.40,2.55,1,1,1,3.25,0,0
10,2.05,1.84,10.0,2.75,2.30,1.50,1.49,2.25,1.50,1.39,2.60,1,1,1,3.25,0,0
11,2.05,1.85,10.0,2.75,2.30,1.50,1.48,2.30,1.50,1.38,2.65,1,1,1,3.20,0,0
12,2.05,1.85,10.0,2.75,2.30,1.50,1.46,2.35,1.50,1.37,2.70,1,1,1,3.20,0,0
13,2.10,1.86,9.50,2.75,2.30,1.50,1.45,2.40,1.50,1.36,2.70,1,1,1,3.20,0,0
14,2.10,1.86,9.00,2.80,2.30,1.50,1.44,2.40,1.50,1.35,2.75,1,1,1,3.15,0,0
15,2.10,1.87,9.00,6.50,1.37,2.50,1.43,2.45,1.50,1.34,2.80,3.50,1.59,2.00,4.20,1,0
16,2.10,1.87,9.00,6.50,1.37,2.50,1.42,2.50,0.50,2.85,1.33,3.50,1.57,2.10,4.15,1,0
17,2.10,1.87,9.00,6.00,1.41,2.50,1.39,2.60,1.50,1.36,2.70,3.50,1.57,2.10,4.00,1,0
18,2.10,1.87,9.00,6.00,1.41,2.50,1.37,2.70,1.50,1.34,2.80,3.50,1.53,2.15,4.00,1,0
19,2.10,1.87,9.00,6.00,1.41,2.50,1.36,2.70,0.50,2.85,1.33,3.50,1.51,2.20,4.00,1,0
20,2.10,1.87,9.00,6.00,1.41,2.50,1.35,2.75,0.50,2.80,1.34,3.50,1.50,2.25,4.00,1,0
21,2.10,1.87,9.00,6.50,1.41,2.50,1.34,2.80,0.50,2.75,1.35,3.50,1.48,2.30,4.00,1,0
22,2.10,1.87,9.00,6.50,1.41,1.50,2.80,1.34,0.50,2.70,1.36,3.50,1.47,2.30,4.00,1,0
23,2.10,1.87,9.00,6.50,1.40,1.50,2.80,1.34,0.50,2.70,1.37,3.50,1.45,2.40,4.00,1,0
24,2.10,1.87,9.00,6.50,1.40,1.50,2.75,1.35,0.50,2.65,1.38,3.50,1.43,2.45,3.95,1,0
25,2.10,1.87,9.00,6.50,1.40,1.50,2.70,1.36,0.50,2.60,1.39,1,1,1,3.95,1,0
26,2.10,1.87,9.00,7.00,1.39,1.50,2.65,1.37,0.50,2.55,1.40,1,1,1,3.95,1,0
27,2.10,1.87,9.00,7.00,1.39,1.50,2.60,1.39,0.50,2.50,1.41,1,1,1,3.90,1,0
28,2.10,1.87,9.00,21.0,1.04,2.50,2.60,1.40,0.50,2.50,1.42,3.50,2.30,1.48,8.00,2,0
29,2.10,1.87,9.00,21.0,1.04,2.50,2.50,1.41,0.50,2.45,1.44,3.50,2.25,1.50,8.00,2,0
30,1,1,1,22.0,1.04,2.50,2.50,1.42,0.50,2.40,1.45,3.50,2.20,1.51,8.50,2,0
31,2.10,1.87,9.00,20.0,1.04,2.50,2.35,1.46,0.50,2.45,1.43,3.50,2.15,1.53,8.00,2,0
32,2.10,1.87,9.00,21.0,1.04,2.50,2.30,1.47,0.50,2.40,1.44,3.50,2.10,1.56,8.00,2,0
33,2.10,1.87,9.00,21.0,1.04,2.50,2.30,1.48,0.50,2.40,1.45,3.50,2.05,1.58,8.00,2,0
34,2.10,1.87,9.00,21.0,1.04,2.50,2.25,1.50,0.50,2.35,1.47,3.50,2.00,1.60,8.00,2,0
35,2.10,1.87,9.00,23.0,1.04,2.50,2.20,1.51,0.50,2.30,1.48,3.50,1.99,1.62,8.00,2,0
36,2.10,1.87,9.00,23.0,1.04,2.50,2.20,1.52,0.50,2.25,1.49,3.50,1.94,1.65,8.00,2,0
