min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
5,2.00,2.00,8.00,2.60,2.60,1.50,1.34,2.80,1.50,1.34,2.80,1,1,1,2.95,0,0
6,2.00,2.00,7.50,2.60,2.60,1.50,1.34,2.80,1.50,1.34,2.80,1,1,1,2.95,0,0
7,2.00,2.00,7.50,2.65,2.65,0.50,2.80,1.34,0.50,2.80,1.34,1,1,1,2.95,0,0
8,2.00,2.00,7.00,2.65,2.65,0.50,2.80,1.34,0.50,2.80,1.34,1,1,1,2.90,0,0
9,2.00,2.00,7.00,2.65,2.65,0.50,2.75,1.35,0.50,2.75,1.35,1,1,1,2.90,0,0
10,2.00,2.00,7.00,2.65,2.65,0.50,2.70,1.36,0.50,2.70,1.36,1,1,1,2.90,0,0
11,2.05,2.05,7.00,2.65,2.65,0.50,2.70,1.37,0.50,2.70,1.37,1,1,1,2.85,0,0
12,2.05,2.05,6.50,2.65,2.65,0.50,2.65,1.38,0.50,2.65,1.38,1.50,2.40,1.45,2.85,0,0
13,2.05,2.05,6.50,2.70,2.70,0.50,2.60,1.39,0.50,2.60,1.39,1.50,2.35,1.46,2.80,0,0
14,2.05,2.05,6.00,2.70,2.70,0.50,2.60,1.40,0.50,2.60,1.40,1.50,2.30,1.48,2.80,0,0
15,2.10,2.10,6.00,2.70,2.70,0.50,2.55,1.40,0.50,2.55,1.40,1.50,2.25,1.49,2.80,0,0
16,2.10,2.10,6.00,2.70,2.70,0.50,2.50,1.41,0.50,2.50,1.41,1.50,2.20,1.51,2.75,0,0
17,2.10,2.10,6.00,2.70,2.70,0.50,2.50,1.42,0.50,2.50,1.42,1.50,2.15,1.53,2.75,0,0
18,2.10,2.10,5.50,2.70,2.70,0.50,2.45,1.43,0.50,2.45,1.43,1.50,2.10,1.54,2.70,0,0
19,2.10,2.10,5.50,2.70,2.70,0.50,2.40,1.44,0.50,2.40,1.44,1.50,2.10,1.56,2.70,0,0
20,2.10,2.10,5.00,2.70,2.70,0.50,2.40,1.45,0.50,2.40,1.45,1.50,2.05,1.58,2.70,0,0
21,2.15,2.15,5.00,2.70,2.70,0.50,2.35,1.46,0.50,2.35,1.46,1.50,2.00,1.60,2.65,0,0
22,2.15,2.15,5.00,2.75,2.75,0.50,2.30,1.47,0.50,2.30,1.47,1.50,2.00,1.62,2.65,0,0
23,2.15,2.15,5.00,2.75,2.75,0.50,2.30,1.49,0.50,2.30,1.49,1.50,1.96,1.64,2.60,0,0
24,2.15,2.15,5.00,2.75,2.75,0.50,2.25,1.50,0.50,2.25,1.50,1.50,1.93,1.66,2.60,0,0
25,2.20,2.20,4.90,2.80,2.80,0.50,2.20,1.51,0.50,2.20,1.51,1.50,1.89,1.69,2.60,0,0
26,2.20,2.20,4.80,2.80,2.80,0.50,2.20,1.52,0.50,2.20,1.52,1.50,1.86,1.71,2.55,0,0
27,2.20,2.20,4.70,2.80,2.80,0.50,2.15,1.53,0.50,2.15,1.53,1.50,1.83,1.74,2.55,0,0
