min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
4,1.82,2.15,9.00,2.20,2.90,0.50,2.70,1.37,1.50,1.42,2.50,1,1,1,3.20,0,0
5,1.82,2.15,9.00,2.20,2.90,0.50,2.70,1.37,1.50,1.42,2.50,1,1,1,3.20,0,0
6,1.83,2.15,8.50,2.25,2.90,0.50,2.65,1.38,1.50,1.41,2.50,1,1,1,3.20,0,0
7,1.84,2.20,8.50,2.25,2.90,0.50,2.60,1.39,1.50,1.40,2.55,1,1,1,3.15,0,0
8,1.84,2.20,8.00,2.25,2.90,0.50,2.60,1.40,1.50,1.39,2.60,1,1,1,3.15,0,0
9,1.85,2.20,8.00,2.25,2.90,0.50,2.55,1.40,1.50,1.38,2.65,1,1,1,3.10,0,0
10,1.86,2.20,8.00,2.25,2.90,0.50,2.50,1.41,1.50,1.37,2.70,1,1,1,3.10,0,0
11,1.86,2.20,7.50,2.25,2.90,0.50,2.50,1.42,1.50,1.36,2.70,1,1,1,3.10,0,0
12,1.87,2.20,7.50,2.30,2.90,0.50,2.45,1.43,1.50,1.35,2.75,1,1,1,3.05,0,0
13,1.87,2.20,7.00,2.30,2.90,0.50,2.40,1.44,1.50,1.34,2.80,1.50,2.45,1.43,3.05,0,0
14,1.88,2.20,7.00,2.30,2.90,0.50,2.40,1.45,0.50,2.85,1.33,1.50,2.40,1.44,3.00,0,0
15,1.89,2.25,7.00,2.30,2.95,0.50,2.35,1.46,0.50,2.80,1.34,1.50,2.35,1.46,3.00,0,0
16,1.90,2.25,6.50,2.30,2.95,0.50,2.30,1.47,0.50,2.75,1.35,1.50,2.30,1.47,3.00,0,0
17,1.90,2.25,6.50,1.31,8.00,0.50,2.30,1.48,1.50,2.75,1.36,1,1,1,4.45,0,1
21,1.90,2.25,6.50,1.30,8.00,0.50,2.20,1.52,1.50,2.60,1.40,1,1,1,4.40,0,1
22,1.90,2.25,6.50,1.30,8.50,0.50,2.15,1.53,1.50,2.55,1.40,1,1,1,4.40,0,1
23,1.90,2.25,6.50,1.30,8.50,0.50,2.10,1.54,1.50,2.50,1.42,1,1,1,4.40,0,1
24,1.90,2.25,6.50,1.30,8.50,0.50,2.10,1.56,1.50,2.45,1.43,1,1,1,4.35,0,1
25,1.90,2.25,6.50,2.40,3.00,1.50,2.05,1.57,1.50,2.40,1.44,3.50,1.97,1.63,2.80,1,1
