min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
4,1.78,1.87,20.0,1.39,4.40,1.50,1.75,1.82,2.50,1.87,1.71,4.50,1.63,1.98,5.00,0,1
5,1.78,1.87,20.0,1.39,4.40,1.50,1.75,1.82,2.50,1.87,1.71,4.50,1.63,1.98,5.00,0,1
6,1.78,1.87,20.0,1.40,4.45,1.50,1.73,1.84,2.50,1.85,1.72,4.50,1.61,2.00,5.00,0,1
7,1.78,1.87,20.0,2.15,2.40,2.50,1.71,1.86,2.50,1.82,1.75,5.50,1.59,2.05,4.30,1,1
8,1.78,1.87,20.0,2.15,2.40,2.50,1.69,1.89,2.50,1.79,1.77,5.50,1.56,2.10,4.30,1,1
9,1.78,1.87,20.0,2.15,2.40,2.50,1.67,1.92,2.50,1.77,1.79,5.50,1.55,2.10,4.25,1,1
10,1.78,1.87,20.0,2.15,2.40,2.50,1.65,1.95,2.50,1.75,1.82,5.50,1.52,2.20,4.20,1,1
11,1.78,1.87,20.0,2.15,2.40,2.50,1.63,1.98,2.50,1.73,1.84,5.50,1.50,2.20,4.20,1,1
12,1.78,1.87,20.0,1.39,4.60,2.50,1.61,2.00,3.50,1.71,1.86,5.50,2.30,1.47,5.00,1,2
13,1.78,1.87,20.0,1.39,4.65,2.50,1.60,2.00,3.50,1.69,1.89,5.50,2.30,1.49,5.00,1,2
14,1.78,1.87,20.0,1.38,4.65,2.50,1.58,2.05,3.50,1.67,1.92,5.50,2.20,1.50,5.00,1,2
15,1.78,1.87,20.0,1.42,4.40,2.50,1.60,2.00,3.50,1.60,2.00,5.50,2.15,1.52,5.00,1,2
16,1.78,1.87,20.0,1.42,4.40,2.50,1.59,2.05,3.50,1.59,2.05,5.50,2.10,1.54,5.00,1,2
17,1.78,1.87,20.0,1.41,4.45,2.50,1.57,2.05,3.50,1.57,2.05,5.50,2.10,1.56,5.00,1,2
18,1.78,1.87,20.0,1.42,4.50,2.50,1.56,2.10,3.50,1.56,2.10,5.50,2.05,1.59,5.00,1,2
19,1.78,1.87,20.0,1.42,4.55,2.50,1.54,2.10,3.50,1.54,2.10,5.50,2.00,1.61,5.00,1,2
20,1.78,1.87,20.0,1.41,4.60,2.50,1.53,2.15,3.50,1.53,2.15,5.50,1.97,1.64,5.00,1,2
21,1.78,1.87,20.0,1.41,4.60,2.50,1.51,2.20,3.50,1.51,2.20,5.50,1.93,1.66,5.00,1,2
22,1.78,1.87,20.0,1.41,4.65,2.50,1.50,2.25,3.50,1.50,2.25,5.50,1.89,1.69,5.00,1,2
23,1.78,1.87,20.0,1.41,4.70,2.50,1.48,2.30,3.50,1.48,2.30,5.50,1.85,1.72,5.00,1,2
24,1.78,1.87,20.0,1.41,4.80,2.50,1.47,2.30,3.50,1.47,2.30,5.50,1.81,1.75,4.95,1,2
25,1.78,1.87,20.0,1.40,4.80,2.50,1.45,2.40,3.50,1.45,2.40,5.50,1.77,1.79,4.90,1,2
26,1.78,1.87,20.0,1.40,4.90,2.50,1.44,2.40,3.50,1.44,2.40,5.50,1.74,1.83,4.90,1,2
27,1.78,1.87,20.0,1.41,4.70,2.50,1.48,2.30,3.50,1.48,2.30,5.50,1.85,1.72,5.00,1,2
28,1.78,1.87,20.0,1.41,4.80,2.50,1.47,2.30,3.50,1.47,2.30,5.50,1.81,1.75,4.95,1,2
29,1.78,1.87,20.0,1.41,4.85,2.50,1.45,2.40,3.50,1.45,2.40,5.50,1.77,1.79,4.95,1,2
30,1.78,1.87,20.0,1.40,4.90,2.50,1.44,2.40,3.50,1.44,2.40,5.50,1.73,1.83,4.90,1,2
31,1.78,1.87,20.0,1.40,4.90,2.50,1.43,2.45,3.50,1.43,2.45,5.50,1.70,1.87,4.90,1,2
32,1.78,1.87,20.0,1.40,5.00,2.50,1.41,2.50,3.50,1.41,2.50,5.50,1.67,1.92,4.85,1,2
33,1.78,1.87,20.0,1.40,5.00,2.50,1.40,2.55,3.50,1.40,2.55,5.50,1.64,1.96,4.85,1,2
34,1.78,1.87,20.0,1.40,5.00,2.50,1.39,2.60,3.50,1.39,2.60,5.50,1.61,2.00,4.85,1,2
35,1.78,1.87,20.0,1.39,5.00,2.50,1.37,2.65,3.50,1.37,2.65,5.50,1.59,2.05,4.80,1,2
36,1.78,1.87,20.0,1.39,5.00,2.50,1.36,2.70,3.50,1.36,2.70,5.50,1.56,2.10,4.80,1,2
37,1,1,1,1.39,5.00,2.50,1.35,2.80,3.50,1.35,2.80,5.50,1.54,2.15,4.80,1,2
38,1.78,1.87,20.0,1.39,5.00,1.50,2.85,1.33,2.50,2.85,1.33,5.50,1.51,2.20,4.75,1,2
39,1.78,1.87,20.0,1.39,5.00,1.50,2.80,1.34,2.50,2.80,1.34,5.50,1.49,2.25,4.75,1,2
40,1.78,1.87,20.0,1.38,5.50,1.50,2.75,1.36,2.50,2.75,1.36,5.50,1.47,2.30,4.75,1,2
41,1.78,1.87,20.0,1.38,5.50,1.50,2.70,1.37,2.50,2.70,1.37,5.50,1.45,2.40,4.70,1,2
42,1.78,1.87,20.0,1.37,5.50,1.50,2.60,1.38,2.50,2.60,1.38,4.50,2.50,1.42,4.70,1,2
43,1.78,1.87,20.0,1.37,5.50,1.50,2.60,1.40,2.50,2.60,1.40,4.50,2.40,1.44,4.70,1,2
44,1.78,1.87,20.0,1.37,5.50,1.50,2.50,1.41,2.50,2.50,1.41,4.50,2.30,1.47,4.65,1,2
45,1.78,1.87,20.0,1.37,6.00,1.50,2.30,1.47,2.50,2.20,1.52,4.50,2.00,1.61,4.45,1,2
46,1.78,1.87,20.0,1.37,6.00,1.50,2.30,1.48,2.50,2.15,1.53,4.50,1.97,1.63,4.40,1,2
47,1.78,1.87,20.0,1.36,6.00,1.50,2.25,1.50,2.50,2.10,1.55,4.50,1.92,1.67,4.40,1,2
